UFA|YQZ,|YQZ|YVR|MUC|IST|UFA|
UFA|YXC,|YXC|YYC|FRA|IST|UFA|
UFA|YXJ,|YXJ|YYC|FRA|IST|UFA|
UFA|YXS,|YXS|YYC|FRA|IST|UFA|
UFA|YXT,|YXT|YVR|MUC|IST|UFA|
UFA|YXY,|YXY|YVR|MUC|IST|UFA|
UFA|YYD,|YYD|YVR|MUC|IST|UFA|
UFA|YYF,|YYF|YVR|MUC|IST|UFA|
UFA|YZP,|YZP|YVR|MUC|IST|UFA|
UFA|YQT,|YQT|YYZ|IST|UFA|
UFA|SJD,|SJD|ORD|IST|UFA|
UFA|YQF,|YQF|YYC|FRA|IST|UFA|
UFA|YQL,|YQL|YYC|FRA|IST|UFA|
UFA|YXH,|YXH|YYC|FRA|IST|UFA|
UFA|YWK,|YWK|YYR|YYT|LHR|IST|UFA|
UFA|ANU,|ANU|EWR|BHX|IST|UFA|
UFA|AUA,|AUA|EWR|BHX|IST|UFA|
UFA|AUH,|AUH|IST|UFA|
UFA|BCN,|BCN|IST|UFA|
UFA|BDA,|BDA|EWR|BHX|IST|UFA|
UFA|BGI,|BGI|YYZ|IST|UFA|
UFA|BNA,|BNA|YYZ|IST|UFA|
UFA|BOG,|BOG|MIA|ZRH|IST|UFA|
UFA|BWI,|BWI|EWR|BHX|IST|UFA|
UFA|CLE,|CLE|YYZ|IST|UFA|
UFA|CLT,|CLT|EWR|BHX|IST|UFA|
UFA|CMH,|CMH|YYZ|IST|UFA|
UFA|CVG,|CVG|YYZ|IST|UFA|
UFA|DFW,|DFW|ORD|IST|UFA|
UFA|DTW,|DTW|FRA|IST|UFA|
UFA|DUB,|DUB|IST|UFA|
UFA|FCO,|FCO|IST|UFA|
UFA|GCM,|GCM|EWR|BHX|IST|UFA|
UFA|GGT,|GGT|FLL|MCO|FRA|IST|UFA|
UFA|GND,|GND|YYZ|IST|UFA|
UFA|GRU,|GRU|IST|UFA|
UFA|HAV,|HAV|YYZ|IST|UFA|
UFA|IND,|IND|YYZ|IST|UFA|
UFA|JFK,|JFK|IST|UFA|
UFA|KIN,|KIN|YYZ|IST|UFA|
UFA|LIM,|LIM|MIA|ZRH|IST|UFA|
UFA|LIR,|LIR|EWR|BHX|IST|UFA|
UFA|MCI,|MCI|ORD|IST|UFA|
UFA|MDT,|MDT|IAD|IST|UFA|
UFA|MIA,|MIA|ZRH|IST|UFA|
UFA|MKE,|MKE|YYZ|IST|UFA|
UFA|MSP,|MSP|YUL|FRA|IST|UFA|
UFA|NAS,|NAS|EWR|BHX|IST|UFA|
UFA|PHL,|PHL|IAD|IST|UFA|
UFA|PHX,|PHX|DEN|FRA|IST|UFA|
UFA|PIT,|PIT|YYZ|IST|UFA|
UFA|PLS,|PLS|EWR|BHX|IST|UFA|
UFA|POP,|POP|EWR|BHX|IST|UFA|
UFA|RDU,|RDU|EWR|BHX|IST|UFA|
UFA|ROC,|ROC|YYZ|IST|UFA|
UFA|RSW,|RSW|MCO|FRA|IST|UFA|
UFA|SAN,|SAN|LAX|IST|UFA|
UFA|SJO,|SJO|EWR|BHX|IST|UFA|
UFA|STL,|STL|ORD|IST|UFA|
UFA|SYR,|SYR|EWR|BHX|IST|UFA|
UFA|TLV,|TLV|IST|UFA|
UFA|TPA,|TPA|EWR|BHX|IST|UFA|
UFA|UVF,|UVF|EWR|BHX|IST|UFA|
UFA|VIE,|VIE|IST|UFA|
UFA|YAM,|YAM|YYZ|IST|UFA|
UFA|YGK,|YGK|YYZ|IST|UFA|
UFA|YQG,|YQG|YYZ|IST|UFA|
UFA|YSB,|YSB|YYZ|IST|UFA|
UFA|YTS,|YTS|YYZ|IST|UFA|
