SYD|IAH,|IAH|LAX|SYD|
SYD|ORD,|ORD|LAX|SYD|
SYD|SOF,|SOF|IST|BKK|SYD|
SYD|YQB,|YQB|YUL|SFO|SYD|
SYD|YXU,|YXU|ORD|LAX|SYD|
SYD|EZE,|EZE|IAH|LAX|SYD|
SYD|YYJ,|YYJ|YVR|SYD|
SYD|YYY,|YYY|YUL|SFO|SYD|
SYD|YQQ,|YQQ|YBL|YVR|SYD|
SYD|YYR,|YYR|YWK|YZV|YUL|SFO|SYD|
SYD|LHR,|LHR|CAN|SYD|
SYD|SFO,|SFO|SYD|
SYD|YQU,|YQU|YEG|YVR|SYD|
SYD|YZF,|YZF|YEG|YVR|SYD|
SYD|YGR,|YGR|YGP|YQB|YUL|SFO|SYD|
SYD|YGP,|YGP|YQB|YUL|SFO|SYD|
SYD|BOS,|BOS|LAX|SYD|
SYD|YDF,|YDF|YYZ|LAX|SYD|
SYD|YFC,|YFC|YUL|SFO|SYD|
SYD|YQM,|YQM|YUL|SFO|SYD|
SYD|YQX,|YQX|YHZ|YUL|SFO|SYD|
SYD|YQY,|YQY|YYZ|LAX|SYD|
SYD|YSJ,|YSJ|YUL|SFO|SYD|
SYD|YYG,|YYG|YUL|SFO|SYD|
SYD|LAX,|LAX|SYD|
SYD|DCA,|DCA|STL|LAX|SYD|
SYD|LGA,|LGA|CLE|LAX|SYD|
SYD|YZV,|YZV|YUL|SFO|SYD|
SYD|YWL,|YWL|YVR|SYD|
SYD|AZS,|AZS|YYZ|LAX|SYD|
SYD|BDL,|BDL|MDW|LAX|SYD|
SYD|CCC,|CCC|YYZ|LAX|SYD|
SYD|CDG,|CDG|CAN|SYD|
SYD|CUN,|CUN|LAX|SYD|
SYD|CZM,|CZM|IAH|LAX|SYD|
SYD|FDF,|FDF|YUL|SFO|SYD|
SYD|FLL,|FLL|PHX|LAX|SYD|
SYD|GVA,|GVA|IST|BKK|SYD|
SYD|HOG,|HOG|YYZ|LAX|SYD|
SYD|LAS,|LAS|LAX|SYD|
SYD|MBJ,|MBJ|IAH|LAX|SYD|
SYD|MCO,|MCO|LAX|SYD|
SYD|MUC,|MUC|IST|BKK|SYD|
SYD|PAP,|PAP|YUL|SFO|SYD|
SYD|PTP,|PTP|YUL|SFO|SYD|
SYD|PUJ,|PUJ|ATL|LAX|SYD|
SYD|SNU,|SNU|YYZ|LAX|SYD|
SYD|VRA,|VRA|YYC|YVR|SYD|
SYD|YBC,|YBC|YUL|SFO|SYD|
SYD|YBG,|YBG|YUL|SFO|SYD|
SYD|YTZ,|YTZ|YUL|SFO|SYD|
SYD|YUY,|YUY|YUL|SFO|SYD|
SYD|YVO,|YVO|YUL|SFO|SYD|
SYD|ZBF,|ZBF|YUL|SFO|SYD|
SYD|ZRH,|ZRH|IST|BKK|SYD|
SYD|ZSA,|ZSA|YUL|SFO|SYD|
SYD|AKL,|AKL|CAN|SYD|
SYD|HKG,|HKG|CAN|SYD|
SYD|HND,|HND|YVR|SYD|
SYD|HNL,|HNL|NRT|ICN|SYD|
SYD|MEX,|MEX|LAX|SYD|
SYD|OGG,|OGG|SFO|SYD|
SYD|PDX,|PDX|SFO|SYD|
SYD|PEK,|PEK|ICN|SYD|
SYD|PVG,|PVG|CAN|SYD|
SYD|PVR,|PVR|LAX|SYD|
SYD|SEA,|SEA|YVR|SYD|
SYD|YBL,|YBL|YVR|SYD|
SYD|YCD,|YCD|YVR|SYD|
SYD|YCG,|YCG|YVR|SYD|
