FAY|YXJ,|YXJ|YYC|ORD|IAD|FAY|
FAY|YXS,|YXS|YYC|ORD|IAD|FAY|
FAY|YXT,|YXT|YVR|ORD|IAD|FAY|
FAY|YXY,|YXY|YVR|ORD|IAD|FAY|
FAY|YYD,|YYD|YVR|ORD|IAD|FAY|
FAY|YYF,|YYF|YVR|ORD|IAD|FAY|
FAY|YZP,|YZP|YVR|ORD|IAD|FAY|
FAY|YQT,|YQT|YYZ|IAD|FAY|
FAY|SJD,|SJD|IAH|IAD|FAY|
FAY|YQF,|YQF|YYC|ORD|IAD|FAY|
FAY|YQL,|YQL|YYC|ORD|IAD|FAY|
FAY|YXH,|YXH|YYC|ORD|IAD|FAY|
FAY|YWK,|YWK|YZV|YUL|IAD|FAY|
FAY|ANU,|ANU|EWR|IAD|FAY|
FAY|AUA,|AUA|IAD|FAY|
FAY|AUH,|AUH|FRA|IAD|FAY|
FAY|BCN,|BCN|EWR|IAD|FAY|
FAY|BDA,|BDA|EWR|IAD|FAY|
FAY|BGI,|BGI|YYZ|IAD|FAY|
FAY|BNA,|BNA|IAD|FAY|
FAY|BOG,|BOG|IAD|FAY|
FAY|BWI,|BWI|ORF|IAD|FAY|
FAY|CLE,|CLE|IAD|FAY|
FAY|CLT,|CLT|IAD|FAY|
FAY|CMH,|CMH|IAD|FAY|
FAY|CVG,|CVG|IAD|FAY|
FAY|DFW,|DFW|IAD|FAY|
FAY|DTW,|DTW|IAD|FAY|
FAY|DUB,|DUB|IAD|FAY|
FAY|FCO,|FCO|IAD|FAY|
FAY|GCM,|GCM|IAD|FAY|
FAY|GGT,|GGT|FLL|IAD|FAY|
FAY|GND,|GND|YYZ|IAD|FAY|
FAY|GRU,|GRU|IAD|FAY|
FAY|HAV,|HAV|YYZ|IAD|FAY|
FAY|IND,|IND|IAD|FAY|
FAY|JFK,|JFK|IAD|FAY|
FAY|KIN,|KIN|YYZ|IAD|FAY|
FAY|LIM,|LIM|MIA|IAD|FAY|
FAY|LIR,|LIR|EWR|IAD|FAY|
FAY|MCI,|MCI|IAD|FAY|
FAY|MDT,|MDT|IAD|FAY|
FAY|MIA,|MIA|IAD|FAY|
FAY|MKE,|MKE|CLE|IAD|FAY|
FAY|MSP,|MSP|IAD|FAY|
FAY|NAS,|NAS|ATL|IAD|FAY|
FAY|PHL,|PHL|IAD|FAY|
FAY|PHX,|PHX|IAD|FAY|
FAY|PIT,|PIT|IAD|FAY|
FAY|PLS,|PLS|EWR|IAD|FAY|
FAY|POP,|POP|EWR|IAD|FAY|
FAY|RDU,|RDU|IAD|FAY|
FAY|ROC,|ROC|IAD|FAY|
