NAS|YYF,|YYF|YVR|DEN|ATL|NAS|
NAS|YZP,|YZP|YVR|DEN|ATL|NAS|
NAS|YQT,|YQT|YYZ|NAS|
NAS|SJD,|SJD|IAH|NAS|
NAS|YQF,|YQF|YYC|ORD|NAS|
NAS|YQL,|YQL|YYC|ORD|NAS|
NAS|YXH,|YXH|YYC|ORD|NAS|
NAS|YWK,|YWK|YZV|YQB|EWR|NAS|
NAS|ANU,|ANU|EWR|NAS|
NAS|AUA,|AUA|ATL|NAS|
NAS|AUH,|AUH|FRA|EWR|NAS|
NAS|BCN,|BCN|EWR|NAS|
NAS|BDA,|BDA|EWR|NAS|
NAS|BGI,|BGI|YYZ|NAS|
NAS|BNA,|BNA|CHS|ATL|NAS|
NAS|BOG,|BOG|MIA|MSY|ATL|NAS|
NAS|BWI,|BWI|EWR|NAS|
NAS|CLE,|CLE|ATL|NAS|
NAS|CLT,|CLT|IAD|ATL|NAS|
NAS|CMH,|CMH|ATL|NAS|
NAS|CVG,|CVG|ORD|NAS|
NAS|DFW,|DFW|IAH|NAS|
NAS|DTW,|DTW|ATL|NAS|
NAS|DUB,|DUB|EWR|NAS|
NAS|FCO,|FCO|EWR|NAS|
NAS|GCM,|GCM|IAH|NAS|
NAS|GGT,|GGT|FLL|ATL|NAS|
NAS|GND,|GND|YYZ|NAS|
NAS|GRU,|GRU|EWR|NAS|
NAS|HAV,|HAV|YYZ|NAS|
NAS|IND,|IND|ATL|NAS|
NAS|JFK,|JFK|ATL|NAS|
NAS|KIN,|KIN|YYZ|NAS|
NAS|LIM,|LIM|IAH|NAS|
NAS|LIR,|LIR|IAH|NAS|
NAS|MCI,|MCI|ATL|NAS|
NAS|MDT,|MDT|IAD|ATL|NAS|
NAS|MIA,|MIA|MSY|ATL|NAS|
NAS|MKE,|MKE|ORD|NAS|
NAS|MSP,|MSP|ATL|NAS|
NAS|PHL,|PHL|ATL|NAS|
NAS|PHX,|PHX|IAH|NAS|
NAS|PIT,|PIT|ATL|NAS|
NAS|PLS,|PLS|EWR|NAS|
NAS|POP,|POP|EWR|NAS|
NAS|RDU,|RDU|ATL|NAS|
NAS|ROC,|ROC|EWR|NAS|
NAS|RSW,|RSW|ATL|NAS|
NAS|SAN,|SAN|IAH|NAS|
NAS|SJO,|SJO|IAH|NAS|
NAS|STL,|STL|ATL|NAS|
NAS|SYR,|SYR|EWR|NAS|
NAS|TLV,|TLV|EWR|NAS|
NAS|TPA,|TPA|ATL|NAS|
NAS|UVF,|UVF|EWR|NAS|
NAS|VIE,|VIE|YYZ|NAS|
NAS|YAM,|YAM|YYZ|NAS|
NAS|YGK,|YGK|YYZ|NAS|
NAS|YQG,|YQG|YYZ|NAS|
NAS|YSB,|YSB|YYZ|NAS|
NAS|YTS,|YTS|YYZ|NAS|
NAS|YYB,|YYB|YYZ|NAS|
NAS|YZR,|YZR|YYZ|NAS|
NAS|CAN,|CAN|PEK|YYZ|NAS|
NAS|URC,|URC|TSE|FRA|EWR|NAS|
NAS|CTU,|CTU|PEK|YYZ|NAS|
NAS|HGH,|HGH|PEK|YYZ|NAS|
NAS|XMN,|XMN|PEK|YYZ|NAS|
NAS|CGO,|CGO|PEK|YYZ|NAS|
NAS|CSX,|CSX|PEK|YYZ|NAS|
NAS|SHE,|SHE|PEK|YYZ|NAS|
NAS|SJW,|SJW|DLC|PEK|YYZ|NAS|
NAS|WUH,|WUH|PEK|YYZ|NAS|
NAS|SZX,|SZX|PEK|YYZ|NAS|
NAS|CKG,|CKG|PEK|YYZ|NAS|
NAS|KMG,|KMG|PEK|YYZ|NAS|
NAS|FOC,|FOC|PEK|YYZ|NAS|
NAS|NNG,|NNG|PEK|YYZ|NAS|
NAS|SWA,|SWA|PEK|YYZ|NAS|
NAS|ACX,|ACX|CAN|PEK|YYZ|NAS|
NAS|AQG,|AQG|CAN|PEK|YYZ|NAS|
NAS|AVA,|AVA|CAN|PEK|YYZ|NAS|
NAS|BFJ,|BFJ|CAN|PEK|YYZ|NAS|
NAS|BHY,|BHY|CGO|PEK|YYZ|NAS|
NAS|BNE,|BNE|CAN|PEK|YYZ|NAS|
NAS|CGD,|CGD|PEK|YYZ|NAS|
NAS|CGK,|CGK|CAN|PEK|YYZ|NAS|
NAS|CGQ,|CGQ|PEK|YYZ|NAS|
NAS|CIH,|CIH|PEK|YYZ|NAS|
NAS|CNX,|CNX|CAN|PEK|YYZ|NAS|
NAS|CZX,|CZX|SHE|PEK|YYZ|NAS|
NAS|DAC,|DAC|IST|BHX|EWR|NAS|
NAS|DAD,|DAD|CAN|PEK|YYZ|NAS|
NAS|DEL,|DEL|EWR|NAS|
NAS|DIG,|DIG|KMG|PEK|YYZ|NAS|
NAS|DLC,|DLC|PEK|YYZ|NAS|
NAS|DPS,|DPS|SZX|PEK|YYZ|NAS|
NAS|DXB,|DXB|IST|BHX|EWR|NAS|
NAS|DYG,|DYG|PEK|YYZ|NAS|
NAS|FUG,|FUG|CAN|PEK|YYZ|NAS|
NAS|FUK,|FUK|ICN|YVR|DEN|ATL|NAS|
NAS|HAK,|HAK|PEK|YYZ|NAS|
NAS|HAN,|HAN|PEK|YYZ|NAS|
NAS|HDG,|HDG|CAN|PEK|YYZ|NAS|
NAS|HET,|HET|DLC|PEK|YYZ|NAS|
NAS|HFE,|HFE|XIY|PEK|YYZ|NAS|
NAS|HJJ,|HJJ|CSX|PEK|YYZ|NAS|
NAS|HKT,|HKT|KWE|PEK|YYZ|NAS|
NAS|HRB,|HRB|PEK|YYZ|NAS|
NAS|HZH,|HZH|CAN|PEK|YYZ|NAS|
NAS|JIU,|JIU|CAN|PEK|YYZ|NAS|
NAS|JJN,|JJN|PEK|YYZ|NAS|
NAS|JNG,|JNG|CAN|PEK|YYZ|NAS|
NAS|KHN,|KHN|DLC|PEK|YYZ|NAS|
NAS|KIX,|KIX|SFO|IAH|NAS|
NAS|KOW,|KOW|PEK|YYZ|NAS|
NAS|KTM,|KTM|IST|BHX|EWR|NAS|
NAS|KUL,|KUL|CAN|PEK|YYZ|NAS|
NAS|KWE,|KWE|PEK|YYZ|NAS|
NAS|KWL,|KWL|PEK|YYZ|NAS|
NAS|LHW,|LHW|CGO|PEK|YYZ|NAS|
NAS|LYA,|LYA|KHN|DLC|PEK|YYZ|NAS|
NAS|LYG,|LYG|HSN|PEK|YYZ|NAS|
NAS|LZH,|LZH|CAN|PEK|YYZ|NAS|
NAS|MEL,|MEL|SYD|LAX|IAH|NAS|
NAS|MIG,|MIG|CSX|PEK|YYZ|NAS|
NAS|MLE,|MLE|IST|BHX|EWR|NAS|
NAS|MNL,|MNL|XMN|PEK|YYZ|NAS|
NAS|MXZ,|MXZ|CAN|PEK|YYZ|NAS|
NAS|NAO,|NAO|PEK|YYZ|NAS|
NAS|NGB,|NGB|PEK|YYZ|NAS|
NAS|NKG,|NKG|DLC|PEK|YYZ|NAS|
NAS|NNY,|NNY|CGO|PEK|YYZ|NAS|
NAS|PEN,|PEN|CAN|PEK|YYZ|NAS|
NAS|PER,|PER|CAN|PEK|YYZ|NAS|
NAS|PNH,|PNH|CAN|PEK|YYZ|NAS|
NAS|REP,|REP|CAN|PEK|YYZ|NAS|
NAS|RGN,|RGN|CAN|PEK|YYZ|NAS|
NAS|SGN,|SGN|CAN|PEK|YYZ|NAS|
NAS|SHA,|SHA|PEK|YYZ|NAS|
NAS|SIN,|SIN|CAN|PEK|YYZ|NAS|
NAS|SVO,|SVO|URC|TSE|FRA|EWR|NAS|
NAS|SYX,|SYX|PEK|YYZ|NAS|
NAS|TAO,|TAO|DLC|PEK|YYZ|NAS|
NAS|TEN,|TEN|PEK|YYZ|NAS|
NAS|TNA,|TNA|DLC|PEK|YYZ|NAS|
NAS|TPE,|TPE|PVG|ORD|NAS|
NAS|TSN,|TSN|DLC|PEK|YYZ|NAS|
NAS|TXN,|TXN|DLC|PEK|YYZ|NAS|
NAS|TYN,|TYN|DAT|CIH|PEK|YYZ|NAS|
NAS|WNZ,|WNZ|CGO|PEK|YYZ|NAS|
NAS|WUX,|WUX|CAN|PEK|YYZ|NAS|
NAS|XFN,|XFN|XMN|PEK|YYZ|NAS|
NAS|XIY,|XIY|PEK|YYZ|NAS|
NAS|XUZ,|XUZ|LYG|HSN|PEK|YYZ|NAS|
NAS|YIH,|YIH|CKG|PEK|YYZ|NAS|
NAS|YIW,|YIW|PEK|YYZ|NAS|
NAS|YNT,|YNT|SHE|PEK|YYZ|NAS|
NAS|YNZ,|YNZ|DLC|PEK|YYZ|NAS|
NAS|YTY,|YTY|DLC|PEK|YYZ|NAS|
NAS|ZHA,|ZHA|CAN|PEK|YYZ|NAS|
NAS|ZYI,|ZYI|PEK|YYZ|NAS|
NAS|BAV,|BAV|CGO|PEK|YYZ|NAS|
NAS|CJU,|CJU|DLC|PEK|YYZ|NAS|
NAS|DSN,|DSN|CGO|PEK|YYZ|NAS|
NAS|HMI,|HMI|URC|TSE|FRA|EWR|NAS|
NAS|INC,|INC|PEK|YYZ|NAS|
NAS|KHH,|KHH|CGO|PEK|YYZ|NAS|
NAS|UYN,|UYN|CGO|PEK|YYZ|NAS|
NAS|XNN,|XNN|PEK|YYZ|NAS|
NAS|ZUH,|ZUH|PEK|YYZ|NAS|
NAS|YNJ,|YNJ|ICN|YVR|DEN|ATL|NAS|
NAS|DAT,|DAT|CIH|PEK|YYZ|NAS|
NAS|JHG,|JHG|CKG|PEK|YYZ|NAS|
NAS|LJG,|LJG|CKG|PEK|YYZ|NAS|
NAS|LXA,|LXA|XIY|PEK|YYZ|NAS|
NAS|YCU,|YCU|CSX|PEK|YYZ|NAS|
NAS|LZO,|LZO|CSX|PEK|YYZ|NAS|
NAS|MDG,|MDG|ICN|YVR|DEN|ATL|NAS|
NAS|NGO,|NGO|ICN|YVR|DEN|ATL|NAS|
NAS|TOY,|TOY|DLC|PEK|YYZ|NAS|
NAS|MFM,|MFM|XMN|PEK|YYZ|NAS|
NAS|TGO,|TGO|HET|DLC|PEK|YYZ|NAS|
NAS|XIL,|XIL|HET|DLC|PEK|YYZ|NAS|
NAS|HEK,|HEK|HRB|PEK|YYZ|NAS|
NAS|KIJ,|KIJ|HRB|PEK|YYZ|NAS|
NAS|LDS,|LDS|HRB|PEK|YYZ|NAS|
NAS|OHE,|OHE|HRB|PEK|YYZ|NAS|
NAS|HSN,|HSN|PEK|YYZ|NAS|
NAS|DLU,|DLU|KMG|PEK|YYZ|NAS|
NAS|SYM,|SYM|KMG|PEK|YYZ|NAS|
NAS|ZAT,|ZAT|KMG|PEK|YYZ|NAS|
