OHE|ZRH,|ZRH|IST|PEK|HRB|OHE|
OHE|ZSA,|ZSA|YUL|YYZ|PEK|HRB|OHE|
OHE|AKL,|AKL|CAN|HRB|OHE|
OHE|HKG,|HKG|CAN|HRB|OHE|
OHE|HND,|HND|HNL|NRT|ICN|HRB|OHE|
OHE|HNL,|HNL|NRT|ICN|HRB|OHE|
OHE|MEX,|MEX|SFO|ICN|HRB|OHE|
OHE|OGG,|OGG|HNL|NRT|ICN|HRB|OHE|
OHE|PDX,|PDX|SEA|ICN|HRB|OHE|
OHE|PEK,|PEK|HRB|OHE|
OHE|PVG,|PVG|HRB|OHE|
OHE|PVR,|PVR|LAX|ICN|HRB|OHE|
OHE|SEA,|SEA|ICN|HRB|OHE|
OHE|SYD,|SYD|ICN|HRB|OHE|
OHE|YBL,|YBL|YVR|ICN|HRB|OHE|
OHE|YCD,|YCD|YVR|ICN|HRB|OHE|
OHE|YCG,|YCG|YVR|ICN|HRB|OHE|
OHE|YKA,|YKA|YVR|ICN|HRB|OHE|
OHE|YPR,|YPR|YVR|ICN|HRB|OHE|
OHE|YQZ,|YQZ|YVR|ICN|HRB|OHE|
OHE|YXC,|YXC|YVR|ICN|HRB|OHE|
OHE|YXJ,|YXJ|YVR|ICN|HRB|OHE|
OHE|YXS,|YXS|YVR|ICN|HRB|OHE|
OHE|YXT,|YXT|YVR|ICN|HRB|OHE|
OHE|YXY,|YXY|YVR|ICN|HRB|OHE|
OHE|YYD,|YYD|YVR|ICN|HRB|OHE|
OHE|YYF,|YYF|YVR|ICN|HRB|OHE|
OHE|YZP,|YZP|YVR|ICN|HRB|OHE|
OHE|YQT,|YQT|YWG|YVR|ICN|HRB|OHE|
OHE|SJD,|SJD|LAX|ICN|HRB|OHE|
OHE|YQF,|YQF|YYC|YVR|ICN|HRB|OHE|
OHE|YQL,|YQL|YYC|YVR|ICN|HRB|OHE|
OHE|YXH,|YXH|YYC|YVR|ICN|HRB|OHE|
OHE|YWK,|YWK|YZV|YQB|YYZ|PEK|HRB|OHE|
