HRG|YQZ,|YQZ|YVR|MUC|IST|HRG|
HRG|YXC,|YXC|YYC|FRA|IST|HRG|
HRG|YXJ,|YXJ|YYC|FRA|IST|HRG|
HRG|YXS,|YXS|YYC|FRA|IST|HRG|
HRG|YXT,|YXT|YVR|MUC|IST|HRG|
HRG|YXY,|YXY|YVR|MUC|IST|HRG|
HRG|YYD,|YYD|YVR|MUC|IST|HRG|
HRG|YYF,|YYF|YVR|MUC|IST|HRG|
HRG|YZP,|YZP|YVR|MUC|IST|HRG|
HRG|YQT,|YQT|YYZ|IST|HRG|
HRG|SJD,|SJD|ORD|IST|HRG|
HRG|YQF,|YQF|YYC|FRA|IST|HRG|
HRG|YQL,|YQL|YYC|FRA|IST|HRG|
HRG|YXH,|YXH|YYC|FRA|IST|HRG|
HRG|YWK,|YWK|YYR|YYT|LHR|IST|HRG|
HRG|ANU,|ANU|EWR|BHX|IST|HRG|
HRG|AUA,|AUA|EWR|BHX|IST|HRG|
HRG|AUH,|AUH|IST|HRG|
HRG|BCN,|BCN|IST|HRG|
HRG|BDA,|BDA|EWR|BHX|IST|HRG|
HRG|BGI,|BGI|YYZ|IST|HRG|
HRG|BNA,|BNA|YYZ|IST|HRG|
HRG|BOG,|BOG|MIA|ZRH|IST|HRG|
HRG|BWI,|BWI|EWR|BHX|IST|HRG|
HRG|CLE,|CLE|YYZ|IST|HRG|
HRG|CLT,|CLT|EWR|BHX|IST|HRG|
HRG|CMH,|CMH|YYZ|IST|HRG|
HRG|CVG,|CVG|YYZ|IST|HRG|
HRG|DFW,|DFW|ORD|IST|HRG|
HRG|DTW,|DTW|FRA|IST|HRG|
HRG|DUB,|DUB|IST|HRG|
HRG|FCO,|FCO|IST|HRG|
HRG|GCM,|GCM|EWR|BHX|IST|HRG|
HRG|GGT,|GGT|FLL|MCO|FRA|IST|HRG|
HRG|GND,|GND|YYZ|IST|HRG|
HRG|GRU,|GRU|IST|HRG|
HRG|HAV,|HAV|YYZ|IST|HRG|
HRG|IND,|IND|YYZ|IST|HRG|
HRG|JFK,|JFK|IST|HRG|
HRG|KIN,|KIN|YYZ|IST|HRG|
HRG|LIM,|LIM|MIA|ZRH|IST|HRG|
HRG|LIR,|LIR|EWR|BHX|IST|HRG|
HRG|MCI,|MCI|ORD|IST|HRG|
HRG|MDT,|MDT|IAD|IST|HRG|
HRG|MIA,|MIA|ZRH|IST|HRG|
HRG|MKE,|MKE|YYZ|IST|HRG|
