SAH|HKG,|HKG|IST|ADE|SAH|
SAH|HND,|HND|YVR|MUC|IST|ADE|SAH|
SAH|HNL,|HNL|YVR|MUC|IST|ADE|SAH|
SAH|MEX,|MEX|IAD|IST|ADE|SAH|
SAH|OGG,|OGG|YVR|MUC|IST|ADE|SAH|
SAH|PDX,|PDX|SEA|FRA|IST|ADE|SAH|
SAH|PEK,|PEK|IST|ADE|SAH|
SAH|PVG,|PVG|IST|ADE|SAH|
SAH|PVR,|PVR|ORD|IST|ADE|SAH|
SAH|SEA,|SEA|FRA|IST|ADE|SAH|
SAH|SYD,|SYD|BKK|IST|ADE|SAH|
SAH|YBL,|YBL|YVR|MUC|IST|ADE|SAH|
SAH|YCD,|YCD|YVR|MUC|IST|ADE|SAH|
SAH|YCG,|YCG|YYC|FRA|IST|ADE|SAH|
SAH|YKA,|YKA|YYC|FRA|IST|ADE|SAH|
SAH|YPR,|YPR|YVR|MUC|IST|ADE|SAH|
SAH|YQZ,|YQZ|YVR|MUC|IST|ADE|SAH|
SAH|YXC,|YXC|YYC|FRA|IST|ADE|SAH|
SAH|YXJ,|YXJ|YYC|FRA|IST|ADE|SAH|
SAH|YXS,|YXS|YYC|FRA|IST|ADE|SAH|
SAH|YXT,|YXT|YVR|MUC|IST|ADE|SAH|
SAH|YXY,|YXY|YVR|MUC|IST|ADE|SAH|
SAH|YYD,|YYD|YVR|MUC|IST|ADE|SAH|
SAH|YYF,|YYF|YVR|MUC|IST|ADE|SAH|
SAH|YZP,|YZP|YVR|MUC|IST|ADE|SAH|
SAH|YQT,|YQT|YYZ|IST|ADE|SAH|
SAH|SJD,|SJD|ORD|IST|ADE|SAH|
SAH|YQF,|YQF|YYC|FRA|IST|ADE|SAH|
SAH|YQL,|YQL|YYC|FRA|IST|ADE|SAH|
SAH|YXH,|YXH|YYC|FRA|IST|ADE|SAH|
SAH|YWK,|YWK|YYR|YYT|LHR|IST|ADE|SAH|
SAH|ANU,|ANU|EWR|BHX|IST|ADE|SAH|
SAH|AUA,|AUA|EWR|BHX|IST|ADE|SAH|
SAH|AUH,|AUH|IST|ADE|SAH|
SAH|BCN,|BCN|IST|ADE|SAH|
SAH|BDA,|BDA|EWR|BHX|IST|ADE|SAH|
SAH|BGI,|BGI|YYZ|IST|ADE|SAH|
SAH|BNA,|BNA|YYZ|IST|ADE|SAH|
SAH|BOG,|BOG|MIA|ZRH|IST|ADE|SAH|
SAH|BWI,|BWI|EWR|BHX|IST|ADE|SAH|
SAH|CLE,|CLE|YYZ|IST|ADE|SAH|
SAH|CLT,|CLT|EWR|BHX|IST|ADE|SAH|
SAH|CMH,|CMH|YYZ|IST|ADE|SAH|
SAH|CVG,|CVG|YYZ|IST|ADE|SAH|
SAH|DFW,|DFW|ORD|IST|ADE|SAH|
SAH|DTW,|DTW|FRA|IST|ADE|SAH|
SAH|DUB,|DUB|IST|ADE|SAH|
SAH|FCO,|FCO|IST|ADE|SAH|
SAH|GCM,|GCM|EWR|BHX|IST|ADE|SAH|
SAH|GGT,|GGT|FLL|MCO|FRA|IST|ADE|SAH|
SAH|GND,|GND|YYZ|IST|ADE|SAH|
SAH|GRU,|GRU|IST|ADE|SAH|
SAH|HAV,|HAV|YYZ|IST|ADE|SAH|
SAH|IND,|IND|YYZ|IST|ADE|SAH|
SAH|JFK,|JFK|IST|ADE|SAH|
SAH|KIN,|KIN|YYZ|IST|ADE|SAH|
SAH|LIM,|LIM|MIA|ZRH|IST|ADE|SAH|
SAH|LIR,|LIR|EWR|BHX|IST|ADE|SAH|
SAH|MCI,|MCI|ORD|IST|ADE|SAH|
SAH|MDT,|MDT|IAD|IST|ADE|SAH|
