NKC|LIR,|LIR|EWR|IAD|DKR|NKC|
NKC|MCI,|MCI|IAD|DKR|NKC|
NKC|MDT,|MDT|IAD|DKR|NKC|
NKC|MIA,|MIA|IAD|DKR|NKC|
NKC|MKE,|MKE|CLE|IAD|DKR|NKC|
NKC|MSP,|MSP|IAD|DKR|NKC|
NKC|NAS,|NAS|ATL|IAD|DKR|NKC|
NKC|PHL,|PHL|IAD|DKR|NKC|
NKC|PHX,|PHX|IAD|DKR|NKC|
NKC|PIT,|PIT|IAD|DKR|NKC|
NKC|PLS,|PLS|EWR|IAD|DKR|NKC|
NKC|POP,|POP|EWR|IAD|DKR|NKC|
NKC|RDU,|RDU|IAD|DKR|NKC|
NKC|ROC,|ROC|IAD|DKR|NKC|
NKC|RSW,|RSW|MCO|IAD|DKR|NKC|
NKC|SAN,|SAN|IAD|DKR|NKC|
NKC|SJO,|SJO|IAD|DKR|NKC|
NKC|STL,|STL|IAD|DKR|NKC|
NKC|SYR,|SYR|IAD|DKR|NKC|
NKC|TLV,|TLV|IST|DKR|NKC|
NKC|TPA,|TPA|IAD|DKR|NKC|
NKC|UVF,|UVF|EWR|IAD|DKR|NKC|
NKC|VIE,|VIE|IST|DKR|NKC|
NKC|YAM,|YAM|YYZ|IAD|DKR|NKC|
NKC|YGK,|YGK|YYZ|IAD|DKR|NKC|
NKC|YQG,|YQG|YYZ|IAD|DKR|NKC|
NKC|YSB,|YSB|YYZ|IAD|DKR|NKC|
NKC|YTS,|YTS|YYZ|IAD|DKR|NKC|
NKC|YYB,|YYB|YYZ|IAD|DKR|NKC|
NKC|YZR,|YZR|YYZ|IAD|DKR|NKC|
NKC|CAN,|CAN|IST|DKR|NKC|
NKC|URC,|URC|IST|DKR|NKC|
NKC|CTU,|CTU|URC|IST|DKR|NKC|
NKC|HGH,|HGH|URC|IST|DKR|NKC|
NKC|XMN,|XMN|CSX|URC|IST|DKR|NKC|
NKC|CGO,|CGO|URC|IST|DKR|NKC|
NKC|CSX,|CSX|URC|IST|DKR|NKC|
NKC|SHE,|SHE|PEK|IST|DKR|NKC|
NKC|SJW,|SJW|URC|IST|DKR|NKC|
NKC|WUH,|WUH|URC|IST|DKR|NKC|
NKC|SZX,|SZX|CKG|URC|IST|DKR|NKC|
NKC|CKG,|CKG|URC|IST|DKR|NKC|
NKC|KMG,|KMG|CTU|URC|IST|DKR|NKC|
NKC|FOC,|FOC|XIY|URC|IST|DKR|NKC|
NKC|NNG,|NNG|KWE|URC|IST|DKR|NKC|
NKC|SWA,|SWA|CAN|IST|DKR|NKC|
NKC|ACX,|ACX|CAN|IST|DKR|NKC|
NKC|AQG,|AQG|CAN|IST|DKR|NKC|
NKC|AVA,|AVA|CAN|IST|DKR|NKC|
NKC|BFJ,|BFJ|CAN|IST|DKR|NKC|
NKC|BHY,|BHY|CKG|URC|IST|DKR|NKC|
NKC|BNE,|BNE|BKK|IST|DKR|NKC|
NKC|CGD,|CGD|PEK|IST|DKR|NKC|
NKC|CGK,|CGK|SIN|IST|DKR|NKC|
