WUH|YQZ,|YQZ|YVR|ICN|WUH|
WUH|YXC,|YXC|YVR|ICN|WUH|
WUH|YXJ,|YXJ|YVR|ICN|WUH|
WUH|YXS,|YXS|YVR|ICN|WUH|
WUH|YXT,|YXT|YVR|ICN|WUH|
WUH|YXY,|YXY|YVR|ICN|WUH|
WUH|YYD,|YYD|YVR|ICN|WUH|
WUH|YYF,|YYF|YVR|ICN|WUH|
WUH|YZP,|YZP|YVR|ICN|WUH|
WUH|YQT,|YQT|YWG|YVR|ICN|WUH|
WUH|SJD,|SJD|LAX|ICN|WUH|
WUH|YQF,|YQF|YYC|YVR|ICN|WUH|
WUH|YQL,|YQL|YYC|YVR|ICN|WUH|
WUH|YXH,|YXH|YYC|YVR|ICN|WUH|
WUH|YWK,|YWK|YZV|YQB|YYZ|PEK|WUH|
WUH|ANU,|ANU|EWR|PEK|WUH|
WUH|AUA,|AUA|EWR|PEK|WUH|
WUH|AUH,|AUH|IST|URC|WUH|
WUH|BCN,|BCN|IST|URC|WUH|
WUH|BDA,|BDA|EWR|PEK|WUH|
WUH|BGI,|BGI|YYZ|PEK|WUH|
WUH|BNA,|BNA|ORD|PEK|WUH|
WUH|BOG,|BOG|MIA|ORD|PEK|WUH|
WUH|BWI,|BWI|YYZ|PEK|WUH|
WUH|CLE,|CLE|YYZ|PEK|WUH|
WUH|CLT,|CLT|YYZ|PEK|WUH|
WUH|CMH,|CMH|ORD|PEK|WUH|
WUH|CVG,|CVG|ORD|PEK|WUH|
WUH|DFW,|DFW|YVR|ICN|WUH|
WUH|DTW,|DTW|PEK|WUH|
WUH|DUB,|DUB|IST|URC|WUH|
WUH|FCO,|FCO|IST|URC|WUH|
WUH|GCM,|GCM|YYZ|PEK|WUH|
WUH|GGT,|GGT|YYZ|PEK|WUH|
WUH|GND,|GND|YYZ|PEK|WUH|
WUH|GRU,|GRU|IST|URC|WUH|
WUH|HAV,|HAV|YYZ|PEK|WUH|
WUH|IND,|IND|ORD|PEK|WUH|
WUH|JFK,|JFK|PEK|WUH|
WUH|KIN,|KIN|YYZ|PEK|WUH|
WUH|LIM,|LIM|IAH|PEK|WUH|
WUH|LIR,|LIR|IAH|PEK|WUH|
WUH|MCI,|MCI|DEN|YVR|ICN|WUH|
WUH|MDT,|MDT|YYZ|PEK|WUH|
WUH|MIA,|MIA|ORD|PEK|WUH|
WUH|MKE,|MKE|ORD|PEK|WUH|
WUH|MSP,|MSP|ORD|PEK|WUH|
WUH|NAS,|NAS|YYZ|PEK|WUH|
WUH|PHL,|PHL|YYZ|PEK|WUH|
WUH|PHX,|PHX|SFO|ICN|WUH|
WUH|PIT,|PIT|YYZ|PEK|WUH|
WUH|PLS,|PLS|EWR|PEK|WUH|
WUH|POP,|POP|EWR|PEK|WUH|
WUH|RDU,|RDU|YYZ|PEK|WUH|
WUH|ROC,|ROC|YYZ|PEK|WUH|
WUH|RSW,|RSW|ORD|PEK|WUH|
WUH|SAN,|SAN|LAX|ICN|WUH|
WUH|SJO,|SJO|IAH|PEK|WUH|
WUH|STL,|STL|ORD|PEK|WUH|
WUH|SYR,|SYR|YYZ|PEK|WUH|
WUH|TLV,|TLV|SAW|TBS|URC|WUH|
WUH|TPA,|TPA|ORD|PEK|WUH|
WUH|UVF,|UVF|EWR|PEK|WUH|
WUH|VIE,|VIE|IST|URC|WUH|
WUH|YAM,|YAM|YYZ|PEK|WUH|
WUH|YGK,|YGK|YYZ|PEK|WUH|
WUH|YQG,|YQG|YYZ|PEK|WUH|
WUH|YSB,|YSB|YYZ|PEK|WUH|
WUH|YTS,|YTS|YYZ|PEK|WUH|
WUH|YYB,|YYB|YYZ|PEK|WUH|
WUH|YZR,|YZR|YYZ|PEK|WUH|
WUH|CAN,|CAN|WUH|
WUH|URC,|URC|WUH|
WUH|CTU,|CTU|WUH|
WUH|HGH,|HGH|WUH|
WUH|XMN,|XMN|WUH|
WUH|CGO,|CGO|HGH|WUH|
WUH|CSX,|CSX|HGH|WUH|
WUH|SHE,|SHE|WUH|
WUH|SJW,|SJW|BAV|WUH|
WUH|SZX,|SZX|WUH|
WUH|CKG,|CKG|WUH|
WUH|KMG,|KMG|WUH|
WUH|FOC,|FOC|WUH|
