STR|BWI,|BWI|EWR|STR|
STR|CLE,|CLE|EWR|STR|
STR|CLT,|CLT|EWR|STR|
STR|CMH,|CMH|EWR|STR|
STR|CVG,|CVG|EWR|STR|
STR|DFW,|DFW|EWR|STR|
STR|DTW,|DTW|EWR|STR|
STR|DUB,|DUB|IST|STR|
STR|FCO,|FCO|IST|STR|
STR|GCM,|GCM|EWR|STR|
STR|GGT,|GGT|FLL|EWR|STR|
STR|GND,|GND|YYZ|EWR|STR|
STR|GRU,|GRU|IST|STR|
STR|HAV,|HAV|YYZ|EWR|STR|
STR|IND,|IND|EWR|STR|
STR|JFK,|JFK|IAD|EWR|STR|
STR|KIN,|KIN|YYZ|EWR|STR|
STR|LIM,|LIM|EWR|STR|
STR|LIR,|LIR|EWR|STR|
STR|MCI,|MCI|EWR|STR|
STR|MDT,|MDT|IAD|EWR|STR|
STR|MIA,|MIA|EWR|STR|
STR|MKE,|MKE|EWR|STR|
STR|MSP,|MSP|EWR|STR|
STR|NAS,|NAS|EWR|STR|
STR|PHL,|PHL|IAD|EWR|STR|
STR|PHX,|PHX|EWR|STR|
STR|PIT,|PIT|EWR|STR|
STR|PLS,|PLS|EWR|STR|
STR|POP,|POP|EWR|STR|
STR|RDU,|RDU|EWR|STR|
STR|ROC,|ROC|EWR|STR|
STR|RSW,|RSW|EWR|STR|
STR|SAN,|SAN|EWR|STR|
STR|SJO,|SJO|EWR|STR|
STR|STL,|STL|EWR|STR|
STR|SYR,|SYR|EWR|STR|
STR|TLV,|TLV|IST|STR|
STR|TPA,|TPA|EWR|STR|
STR|UVF,|UVF|EWR|STR|
STR|VIE,|VIE|IST|STR|
STR|YAM,|YAM|YYZ|EWR|STR|
STR|YGK,|YGK|YYZ|EWR|STR|
STR|YQG,|YQG|YYZ|EWR|STR|
STR|YSB,|YSB|YYZ|EWR|STR|
STR|YTS,|YTS|YYZ|EWR|STR|
STR|YYB,|YYB|YYZ|EWR|STR|
STR|YZR,|YZR|YYZ|EWR|STR|
STR|CAN,|CAN|IST|STR|
STR|URC,|URC|IST|STR|
STR|CTU,|CTU|URC|IST|STR|
STR|HGH,|HGH|URC|IST|STR|
STR|XMN,|XMN|CSX|URC|IST|STR|
STR|CGO,|CGO|URC|IST|STR|
STR|CSX,|CSX|URC|IST|STR|
STR|SHE,|SHE|PEK|IST|STR|
STR|SJW,|SJW|URC|IST|STR|
STR|WUH,|WUH|URC|IST|STR|
STR|SZX,|SZX|CKG|URC|IST|STR|
STR|CKG,|CKG|URC|IST|STR|
STR|KMG,|KMG|CTU|URC|IST|STR|
STR|FOC,|FOC|XIY|URC|IST|STR|
STR|NNG,|NNG|KWE|URC|IST|STR|
STR|SWA,|SWA|CAN|IST|STR|
STR|ACX,|ACX|CAN|IST|STR|
STR|AQG,|AQG|CAN|IST|STR|
STR|AVA,|AVA|CAN|IST|STR|
STR|BFJ,|BFJ|CAN|IST|STR|
STR|BHY,|BHY|CKG|URC|IST|STR|
STR|BNE,|BNE|BKK|IST|STR|
STR|CGD,|CGD|PEK|IST|STR|
STR|CGK,|CGK|SIN|IST|STR|
STR|CGQ,|CGQ|HET|URC|IST|STR|
STR|CIH,|CIH|PEK|IST|STR|
STR|CNX,|CNX|CAN|IST|STR|
STR|CZX,|CZX|TYN|URC|IST|STR|
STR|DAC,|DAC|IST|STR|
STR|DAD,|DAD|CAN|IST|STR|
STR|DEL,|DEL|IST|STR|
STR|DIG,|DIG|KMG|CTU|URC|IST|STR|
STR|DLC,|DLC|PEK|IST|STR|
STR|DPS,|DPS|CAN|IST|STR|
STR|DXB,|DXB|IST|STR|
STR|DYG,|DYG|CSX|URC|IST|STR|
STR|FUG,|FUG|CAN|IST|STR|
STR|FUK,|FUK|ICN|IST|STR|
STR|HAK,|HAK|CTU|URC|IST|STR|
STR|HAN,|HAN|CAN|IST|STR|
STR|HDG,|HDG|CAN|IST|STR|
STR|HET,|HET|URC|IST|STR|
STR|HFE,|HFE|XIY|URC|IST|STR|
STR|HJJ,|HJJ|CSX|URC|IST|STR|
STR|HKT,|HKT|KWE|URC|IST|STR|
STR|HRB,|HRB|PEK|IST|STR|
STR|HZH,|HZH|CAN|IST|STR|
STR|JIU,|JIU|CAN|IST|STR|
STR|JJN,|JJN|CSX|URC|IST|STR|
STR|JNG,|JNG|CAN|IST|STR|
STR|KHN,|KHN|XIY|URC|IST|STR|
STR|KIX,|KIX|IST|STR|
STR|KOW,|KOW|CAN|IST|STR|
STR|KTM,|KTM|IST|STR|
STR|KUL,|KUL|IST|STR|
STR|KWE,|KWE|URC|IST|STR|
STR|KWL,|KWL|CKG|URC|IST|STR|
STR|LHW,|LHW|URC|IST|STR|
STR|LYA,|LYA|KHN|XIY|URC|IST|STR|
STR|LYG,|LYG|XUZ|INC|URC|IST|STR|
STR|LZH,|LZH|CAN|IST|STR|
STR|MEL,|MEL|BKK|IST|STR|
STR|MIG,|MIG|CSX|URC|IST|STR|
STR|MLE,|MLE|IST|STR|
STR|MNL,|MNL|CAN|IST|STR|
STR|MXZ,|MXZ|CAN|IST|STR|
STR|NAO,|NAO|PEK|IST|STR|
STR|NGB,|NGB|WUH|URC|IST|STR|
STR|NKG,|NKG|URC|IST|STR|
STR|NNY,|NNY|CGO|URC|IST|STR|
STR|PEN,|PEN|CAN|IST|STR|
STR|PER,|PER|BKK|IST|STR|
STR|PNH,|PNH|CAN|IST|STR|
STR|REP,|REP|CAN|IST|STR|
STR|RGN,|RGN|CAN|IST|STR|
STR|SGN,|SGN|BKK|IST|STR|
STR|SHA,|SHA|URC|IST|STR|
STR|SIN,|SIN|IST|STR|
STR|SVO,|SVO|URC|IST|STR|
STR|SYX,|SYX|CKG|URC|IST|STR|
STR|TAO,|TAO|TYN|URC|IST|STR|
STR|TEN,|TEN|CAN|IST|STR|
STR|TNA,|TNA|URC|IST|STR|
STR|TPE,|TPE|URC|IST|STR|
STR|TSN,|TSN|HET|URC|IST|STR|
STR|TXN,|TXN|TYN|URC|IST|STR|
STR|TYN,|TYN|URC|IST|STR|
STR|WNZ,|WNZ|XIY|URC|IST|STR|
STR|WUX,|WUX|CAN|IST|STR|
STR|XFN,|XFN|CAN|IST|STR|
STR|XIY,|XIY|URC|IST|STR|
STR|XUZ,|XUZ|INC|URC|IST|STR|
STR|YIH,|YIH|CKG|URC|IST|STR|
STR|YIW,|YIW|URC|IST|STR|
STR|YNT,|YNT|SHE|PEK|IST|STR|
STR|YNZ,|YNZ|WUH|URC|IST|STR|
STR|YTY,|YTY|CGO|URC|IST|STR|
STR|ZHA,|ZHA|CAN|IST|STR|
STR|ZYI,|ZYI|CAN|IST|STR|
STR|BAV,|BAV|URC|IST|STR|
STR|CJU,|CJU|DLC|PEK|IST|STR|
STR|DSN,|DSN|CGO|URC|IST|STR|
STR|HMI,|HMI|URC|IST|STR|
STR|INC,|INC|URC|IST|STR|
STR|KHH,|KHH|WUH|URC|IST|STR|
STR|UYN,|UYN|XIY|URC|IST|STR|
STR|XNN,|XNN|URC|IST|STR|
STR|ZUH,|ZUH|KWE|URC|IST|STR|
STR|YNJ,|YNJ|PEK|IST|STR|
STR|DAT,|DAT|TYN|URC|IST|STR|
STR|JHG,|JHG|KMG|CTU|URC|IST|STR|
STR|LJG,|LJG|KMG|CTU|URC|IST|STR|
STR|LXA,|LXA|CKG|URC|IST|STR|
STR|YCU,|YCU|CKG|URC|IST|STR|
STR|LZO,|LZO|CSX|URC|IST|STR|
STR|MDG,|MDG|DLC|PEK|IST|STR|
STR|NGO,|NGO|ICN|IST|STR|
STR|TOY,|TOY|DLC|PEK|IST|STR|
STR|MFM,|MFM|XMN|CSX|URC|IST|STR|
STR|TGO,|TGO|HET|URC|IST|STR|
STR|XIL,|XIL|HET|URC|IST|STR|
STR|HEK,|HEK|HRB|PEK|IST|STR|
STR|KIJ,|KIJ|HRB|PEK|IST|STR|
STR|LDS,|LDS|HRB|PEK|IST|STR|
STR|OHE,|OHE|HRB|PEK|IST|STR|
STR|HSN,|HSN|LYG|XUZ|INC|URC|IST|STR|
STR|DLU,|DLU|KMG|CTU|URC|IST|STR|
STR|SYM,|SYM|KMG|CTU|URC|IST|STR|
STR|ZAT,|ZAT|KMG|CTU|URC|IST|STR|
STR|LUN,|LUN|NBO|IST|STR|
STR|AOG,|AOG|PEK|IST|STR|
STR|GMP,|GMP|PEK|IST|STR|
STR|ISB,|ISB|IST|STR|
STR|TAS,|TAS|IST|STR|
STR|WUS,|WUS|PEK|IST|STR|
STR|JMU,|JMU|PVG|IST|STR|
STR|NDG,|NDG|PVG|IST|STR|
STR|JXA,|JXA|SHE|PEK|IST|STR|
STR|PUS,|PUS|SHE|PEK|IST|STR|
STR|BKI,|BKI|SZX|CKG|URC|IST|STR|
STR|AKU,|AKU|URC|IST|STR|
STR|ALA,|ALA|IST|STR|
STR|ASB,|ASB|IST|STR|
STR|DNH,|DNH|URC|IST|STR|
STR|DYU,|DYU|IST|STR|
STR|FRU,|FRU|IST|STR|
STR|GYD,|GYD|IST|STR|
STR|HTN,|HTN|URC|IST|STR|
STR|IKA,|IKA|IST|STR|
STR|KCA,|KCA|URC|IST|STR|
STR|KHG,|KHG|URC|IST|STR|
STR|KRL,|KRL|URC|IST|STR|
STR|KRY,|KRY|URC|IST|STR|
STR|LBD,|LBD|URC|IST|STR|
STR|NLT,|NLT|URC|IST|STR|
STR|OSS,|OSS|IST|STR|
STR|OVB,|OVB|IST|STR|
STR|TBS,|TBS|IST|STR|
STR|TCG,|TCG|URC|IST|STR|
STR|TSE,|TSE|IST|STR|
STR|YIN,|YIN|URC|IST|STR|
STR|ENH,|ENH|WUH|URC|IST|STR|
STR|ENY,|ENY|XIY|URC|IST|STR|
STR|WXN,|WXN|XIY|URC|IST|STR|
STR|BLL,|BLL|IST|STR|
STR|ESB,|ESB|IST|STR|
STR|SAW,|SAW|ADB|IST|STR|
STR|HAM,|HAM|IST|STR|
STR|HRE,|HRE|ADD|IST|STR|
STR|JUB,|JUB|CAI|IST|STR|
STR|SSG,|SSG|DLA|IST|STR|
STR|BGW,|BGW|IST|STR|
STR|EBL,|EBL|IST|STR|
STR|VKO,|VKO|IST|STR|
STR|MCT,|MCT|IST|STR|
STR|AYT,|AYT|IST|STR|
STR|SCQ,|SCQ|BIO|IST|STR|
STR|AAL,|AAL|IST|STR|
STR|AOE,|AOE|BRU|IST|STR|
STR|JNB,|JNB|IST|STR|
STR|LBV,|LBV|DLA|IST|STR|
