SAN|YYF,|YYF|YVR|SEA|RNO|SAN|
SAN|YZP,|YZP|YVR|SEA|RNO|SAN|
SAN|YQT,|YQT|YWG|LAS|SAN|
SAN|SJD,|SJD|LAX|SAN|
SAN|YQF,|YQF|YYC|SAN|
SAN|YQL,|YQL|YYC|SAN|
SAN|YXH,|YXH|YYC|SAN|
SAN|YWK,|YWK|YZV|YQB|ORD|SAN|
SAN|ANU,|ANU|EWR|SAN|
SAN|AUA,|AUA|ATL|SAN|
SAN|AUH,|AUH|IST|LAX|SAN|
SAN|BCN,|BCN|YYZ|SAN|
SAN|BDA,|BDA|EWR|SAN|
SAN|BGI,|BGI|YYZ|SAN|
SAN|BNA,|BNA|SAN|
SAN|BOG,|BOG|IAH|SAN|
SAN|BWI,|BWI|SAN|
SAN|CLE,|CLE|MCI|SAN|
SAN|CLT,|CLT|IAH|SAN|
SAN|CMH,|CMH|STL|SAN|
SAN|CVG,|CVG|DEN|SAN|
SAN|DFW,|DFW|LAX|SAN|
SAN|DTW,|DTW|MDW|SAN|
SAN|DUB,|DUB|ORD|SAN|
SAN|FCO,|FCO|YYZ|SAN|
SAN|GCM,|GCM|IAH|SAN|
SAN|GGT,|GGT|FLL|IAH|SAN|
SAN|GND,|GND|YYZ|SAN|
SAN|GRU,|GRU|IAH|SAN|
SAN|HAV,|HAV|YYZ|SAN|
SAN|IND,|IND|MCI|SAN|
SAN|JFK,|JFK|IAD|SAN|
SAN|KIN,|KIN|YYZ|SAN|
SAN|LIM,|LIM|IAH|SAN|
SAN|LIR,|LIR|IAH|SAN|
SAN|MCI,|MCI|SAN|
SAN|MDT,|MDT|ORD|SAN|
SAN|MIA,|MIA|IAH|SAN|
SAN|MKE,|MKE|DEN|SAN|
SAN|MSP,|MSP|DEN|SAN|
SAN|NAS,|NAS|IAH|SAN|
SAN|PHL,|PHL|STL|SAN|
SAN|PHX,|PHX|SAN|
SAN|PIT,|PIT|PHX|SAN|
SAN|PLS,|PLS|YYZ|SAN|
SAN|POP,|POP|EWR|SAN|
SAN|RDU,|RDU|BNA|SAN|
SAN|ROC,|ROC|ORD|SAN|
SAN|RSW,|RSW|IAH|SAN|
SAN|SJO,|SJO|IAH|SAN|
SAN|STL,|STL|SAN|
SAN|SYR,|SYR|ORD|SAN|
SAN|TLV,|TLV|IST|LAX|SAN|
SAN|TPA,|TPA|MSY|SAN|
SAN|UVF,|UVF|EWR|SAN|
SAN|VIE,|VIE|ORD|SAN|
SAN|YAM,|YAM|YYZ|SAN|
SAN|YGK,|YGK|YYZ|SAN|
SAN|YQG,|YQG|YYZ|SAN|
SAN|YSB,|YSB|YYZ|SAN|
SAN|YTS,|YTS|YYZ|SAN|
SAN|YYB,|YYB|YYZ|SAN|
SAN|YZR,|YZR|YYZ|SAN|
SAN|CAN,|CAN|LAX|SAN|
SAN|URC,|URC|PEK|LAX|SAN|
SAN|CTU,|CTU|PEK|LAX|SAN|
SAN|HGH,|HGH|DLC|ICN|LAX|SAN|
SAN|XMN,|XMN|YNZ|DLC|ICN|LAX|SAN|
SAN|CGO,|CGO|PEK|LAX|SAN|
SAN|CSX,|CSX|ICN|LAX|SAN|
SAN|SHE,|SHE|ICN|LAX|SAN|
SAN|SJW,|SJW|DLC|ICN|LAX|SAN|
SAN|WUH,|WUH|ICN|LAX|SAN|
SAN|SZX,|SZX|PVG|LAX|SAN|
SAN|CKG,|CKG|PEK|LAX|SAN|
SAN|KMG,|KMG|PEK|LAX|SAN|
SAN|FOC,|FOC|HGH|DLC|ICN|LAX|SAN|
SAN|NNG,|NNG|CSX|ICN|LAX|SAN|
SAN|SWA,|SWA|WUH|ICN|LAX|SAN|
SAN|ACX,|ACX|CAN|LAX|SAN|
SAN|AQG,|AQG|CAN|LAX|SAN|
SAN|AVA,|AVA|CAN|LAX|SAN|
SAN|BFJ,|BFJ|CAN|LAX|SAN|
SAN|BHY,|BHY|CSX|ICN|LAX|SAN|
SAN|BNE,|BNE|CAN|LAX|SAN|
SAN|CGD,|CGD|PEK|LAX|SAN|
SAN|CGK,|CGK|CAN|LAX|SAN|
SAN|CGQ,|CGQ|NRT|LAX|SAN|
SAN|CIH,|CIH|PEK|LAX|SAN|
SAN|CNX,|CNX|CAN|LAX|SAN|
SAN|CZX,|CZX|SHE|ICN|LAX|SAN|
SAN|DAC,|DAC|CAN|LAX|SAN|
SAN|DAD,|DAD|CAN|LAX|SAN|
SAN|DEL,|DEL|CAN|LAX|SAN|
SAN|DIG,|DIG|KMG|PEK|LAX|SAN|
SAN|DLC,|DLC|ICN|LAX|SAN|
SAN|DPS,|DPS|SZX|PVG|LAX|SAN|
SAN|DXB,|DXB|IST|LAX|SAN|
SAN|DYG,|DYG|PEK|LAX|SAN|
SAN|FUG,|FUG|CAN|LAX|SAN|
SAN|FUK,|FUK|ICN|LAX|SAN|
SAN|HAK,|HAK|PVG|LAX|SAN|
SAN|HAN,|HAN|PEK|LAX|SAN|
SAN|HDG,|HDG|CAN|LAX|SAN|
SAN|HET,|HET|DLC|ICN|LAX|SAN|
SAN|HFE,|HFE|TYN|DLC|ICN|LAX|SAN|
SAN|HJJ,|HJJ|CSX|ICN|LAX|SAN|
SAN|HKT,|HKT|CAN|LAX|SAN|
SAN|HRB,|HRB|ICN|LAX|SAN|
SAN|HZH,|HZH|CAN|LAX|SAN|
SAN|JIU,|JIU|CAN|LAX|SAN|
SAN|JJN,|JJN|HGH|DLC|ICN|LAX|SAN|
SAN|JNG,|JNG|CAN|LAX|SAN|
SAN|KHN,|KHN|DLC|ICN|LAX|SAN|
SAN|KIX,|KIX|SFO|SAN|
SAN|KOW,|KOW|PEK|LAX|SAN|
SAN|KTM,|KTM|CAN|LAX|SAN|
SAN|KUL,|KUL|PVG|LAX|SAN|
SAN|KWE,|KWE|PEK|LAX|SAN|
SAN|KWL,|KWL|WUH|ICN|LAX|SAN|
SAN|LHW,|LHW|CGO|PEK|LAX|SAN|
SAN|LYA,|LYA|KHN|DLC|ICN|LAX|SAN|
SAN|LYG,|LYG|HSN|PEK|LAX|SAN|
SAN|LZH,|LZH|CAN|LAX|SAN|
SAN|MEL,|MEL|SYD|LAX|SAN|
SAN|MIG,|MIG|CSX|ICN|LAX|SAN|
SAN|MLE,|MLE|CAN|LAX|SAN|
SAN|MNL,|MNL|GUM|HNL|LAX|SAN|
SAN|MXZ,|MXZ|CAN|LAX|SAN|
SAN|NAO,|NAO|PEK|LAX|SAN|
SAN|NGB,|NGB|DLC|ICN|LAX|SAN|
SAN|NKG,|NKG|DLC|ICN|LAX|SAN|
SAN|NNY,|NNY|CGO|PEK|LAX|SAN|
SAN|PEN,|PEN|CAN|LAX|SAN|
SAN|PER,|PER|CAN|LAX|SAN|
SAN|PNH,|PNH|CAN|LAX|SAN|
SAN|REP,|REP|CAN|LAX|SAN|
SAN|RGN,|RGN|CAN|LAX|SAN|
SAN|SGN,|SGN|HKG|SFO|SAN|
SAN|SHA,|SHA|PEK|LAX|SAN|
SAN|SIN,|SIN|NRT|LAX|SAN|
SAN|SVO,|SVO|URC|PEK|LAX|SAN|
SAN|SYX,|SYX|PVG|LAX|SAN|
SAN|TAO,|TAO|DLC|ICN|LAX|SAN|
SAN|TEN,|TEN|PEK|LAX|SAN|
SAN|TNA,|TNA|DLC|ICN|LAX|SAN|
SAN|TPE,|TPE|SFO|SAN|
SAN|TSN,|TSN|DLC|ICN|LAX|SAN|
SAN|TXN,|TXN|DLC|ICN|LAX|SAN|
SAN|TYN,|TYN|DLC|ICN|LAX|SAN|
SAN|WNZ,|WNZ|WUH|ICN|LAX|SAN|
SAN|WUX,|WUX|CAN|LAX|SAN|
SAN|XFN,|XFN|CAN|LAX|SAN|
SAN|XIY,|XIY|PEK|LAX|SAN|
SAN|XUZ,|XUZ|LYG|HSN|PEK|LAX|SAN|
SAN|YIH,|YIH|CKG|PEK|LAX|SAN|
SAN|YIW,|YIW|PEK|LAX|SAN|
SAN|YNT,|YNT|SHE|ICN|LAX|SAN|
SAN|YNZ,|YNZ|DLC|ICN|LAX|SAN|
SAN|YTY,|YTY|DLC|ICN|LAX|SAN|
SAN|ZHA,|ZHA|CAN|LAX|SAN|
SAN|ZYI,|ZYI|PEK|LAX|SAN|
SAN|BAV,|BAV|SJW|DLC|ICN|LAX|SAN|
SAN|CJU,|CJU|DLC|ICN|LAX|SAN|
SAN|DSN,|DSN|CGO|PEK|LAX|SAN|
SAN|HMI,|HMI|CGO|PEK|LAX|SAN|
SAN|INC,|INC|PEK|LAX|SAN|
SAN|KHH,|KHH|WUH|ICN|LAX|SAN|
SAN|UYN,|UYN|CGO|PEK|LAX|SAN|
SAN|XNN,|XNN|PEK|LAX|SAN|
SAN|ZUH,|ZUH|PVG|LAX|SAN|
SAN|YNJ,|YNJ|ICN|LAX|SAN|
SAN|DAT,|DAT|CIH|PEK|LAX|SAN|
SAN|JHG,|JHG|CKG|PEK|LAX|SAN|
SAN|LJG,|LJG|CKG|PEK|LAX|SAN|
SAN|LXA,|LXA|XIY|PEK|LAX|SAN|
SAN|YCU,|YCU|CSX|ICN|LAX|SAN|
SAN|LZO,|LZO|CSX|ICN|LAX|SAN|
SAN|MDG,|MDG|ICN|LAX|SAN|
SAN|NGO,|NGO|ICN|LAX|SAN|
SAN|TOY,|TOY|DLC|ICN|LAX|SAN|
SAN|MFM,|MFM|HGH|DLC|ICN|LAX|SAN|
SAN|TGO,|TGO|HET|DLC|ICN|LAX|SAN|
SAN|XIL,|XIL|HET|DLC|ICN|LAX|SAN|
SAN|HEK,|HEK|HRB|ICN|LAX|SAN|
SAN|KIJ,|KIJ|HRB|ICN|LAX|SAN|
SAN|LDS,|LDS|HRB|ICN|LAX|SAN|
SAN|OHE,|OHE|HRB|ICN|LAX|SAN|
SAN|HSN,|HSN|PEK|LAX|SAN|
SAN|DLU,|DLU|KMG|PEK|LAX|SAN|
SAN|SYM,|SYM|KMG|PEK|LAX|SAN|
SAN|ZAT,|ZAT|KMG|PEK|LAX|SAN|
SAN|LUN,|LUN|NBO|ZRH|LAX|SAN|
SAN|AOG,|AOG|PEK|LAX|SAN|
SAN|GMP,|GMP|PEK|LAX|SAN|
SAN|ISB,|ISB|PEK|LAX|SAN|
SAN|TAS,|TAS|PEK|LAX|SAN|
SAN|WUS,|WUS|PEK|LAX|SAN|
SAN|JMU,|JMU|PVG|LAX|SAN|
SAN|NDG,|NDG|PVG|LAX|SAN|
SAN|JXA,|JXA|SHE|ICN|LAX|SAN|
SAN|PUS,|PUS|SHE|ICN|LAX|SAN|
SAN|BKI,|BKI|SZX|PVG|LAX|SAN|
SAN|AKU,|AKU|URC|PEK|LAX|SAN|
SAN|ALA,|ALA|URC|PEK|LAX|SAN|
SAN|ASB,|ASB|GYD|FRA|DEN|SAN|
SAN|DNH,|DNH|XIY|PEK|LAX|SAN|
SAN|DYU,|DYU|URC|PEK|LAX|SAN|
SAN|FRU,|FRU|URC|PEK|LAX|SAN|
SAN|GYD,|GYD|FRA|DEN|SAN|
SAN|HTN,|HTN|URC|PEK|LAX|SAN|
SAN|IKA,|IKA|IST|LAX|SAN|
SAN|KCA,|KCA|URC|PEK|LAX|SAN|
SAN|KHG,|KHG|URC|PEK|LAX|SAN|
SAN|KRL,|KRL|URC|PEK|LAX|SAN|
SAN|KRY,|KRY|URC|PEK|LAX|SAN|
SAN|LBD,|LBD|URC|PEK|LAX|SAN|
SAN|NLT,|NLT|URC|PEK|LAX|SAN|
SAN|OSS,|OSS|URC|PEK|LAX|SAN|
SAN|OVB,|OVB|URC|PEK|LAX|SAN|
SAN|TBS,|TBS|IST|LAX|SAN|
SAN|TCG,|TCG|URC|PEK|LAX|SAN|
SAN|TSE,|TSE|FRA|DEN|SAN|
SAN|YIN,|YIN|URC|PEK|LAX|SAN|
SAN|ENH,|ENH|WUH|ICN|LAX|SAN|
SAN|ENY,|ENY|XIY|PEK|LAX|SAN|
SAN|WXN,|WXN|XIY|PEK|LAX|SAN|
SAN|BLL,|BLL|IST|LAX|SAN|
SAN|ESB,|ESB|IST|LAX|SAN|
SAN|SAW,|SAW|FRA|DEN|SAN|
SAN|HAM,|HAM|EWR|SAN|
SAN|HRE,|HRE|ADD|IST|LAX|SAN|
SAN|JUB,|JUB|CAI|IST|LAX|SAN|
SAN|SSG,|SSG|DLA|BRU|ORD|SAN|
SAN|BGW,|BGW|IST|LAX|SAN|
