HJJ|YTZ,|YTZ|YUL|YYZ|PEK|CSX|HJJ|
HJJ|YUY,|YUY|YUL|YYZ|PEK|CSX|HJJ|
HJJ|YVO,|YVO|YUL|YYZ|PEK|CSX|HJJ|
HJJ|ZBF,|ZBF|YUL|YYZ|PEK|CSX|HJJ|
HJJ|ZRH,|ZRH|IST|URC|CSX|HJJ|
HJJ|ZSA,|ZSA|YUL|YYZ|PEK|CSX|HJJ|
HJJ|AKL,|AKL|CAN|HJJ|
HJJ|HKG,|HKG|CAN|HJJ|
HJJ|HND,|HND|HNL|NRT|ICN|CSX|HJJ|
HJJ|HNL,|HNL|NRT|ICN|CSX|HJJ|
HJJ|MEX,|MEX|SFO|ICN|CSX|HJJ|
HJJ|OGG,|OGG|HNL|NRT|ICN|CSX|HJJ|
HJJ|PDX,|PDX|SEA|ICN|CSX|HJJ|
HJJ|PEK,|PEK|CSX|HJJ|
HJJ|PVG,|PVG|CSX|HJJ|
HJJ|PVR,|PVR|LAX|ICN|CSX|HJJ|
HJJ|SEA,|SEA|ICN|CSX|HJJ|
HJJ|SYD,|SYD|CAN|HJJ|
HJJ|YBL,|YBL|YVR|ICN|CSX|HJJ|
HJJ|YCD,|YCD|YVR|ICN|CSX|HJJ|
HJJ|YCG,|YCG|YVR|ICN|CSX|HJJ|
HJJ|YKA,|YKA|YVR|ICN|CSX|HJJ|
HJJ|YPR,|YPR|YVR|ICN|CSX|HJJ|
HJJ|YQZ,|YQZ|YVR|ICN|CSX|HJJ|
HJJ|YXC,|YXC|YVR|ICN|CSX|HJJ|
HJJ|YXJ,|YXJ|YVR|ICN|CSX|HJJ|
HJJ|YXS,|YXS|YVR|ICN|CSX|HJJ|
HJJ|YXT,|YXT|YVR|ICN|CSX|HJJ|
HJJ|YXY,|YXY|YVR|ICN|CSX|HJJ|
HJJ|YYD,|YYD|YVR|ICN|CSX|HJJ|
HJJ|YYF,|YYF|YVR|ICN|CSX|HJJ|
HJJ|YZP,|YZP|YVR|ICN|CSX|HJJ|
HJJ|YQT,|YQT|YWG|YVR|ICN|CSX|HJJ|
HJJ|SJD,|SJD|LAX|ICN|CSX|HJJ|
HJJ|YQF,|YQF|YYC|YVR|ICN|CSX|HJJ|
HJJ|YQL,|YQL|YYC|YVR|ICN|CSX|HJJ|
HJJ|YXH,|YXH|YYC|YVR|ICN|CSX|HJJ|
HJJ|YWK,|YWK|YZV|YQB|YYZ|PEK|CSX|HJJ|
HJJ|ANU,|ANU|EWR|PEK|CSX|HJJ|
HJJ|AUA,|AUA|EWR|PEK|CSX|HJJ|
HJJ|AUH,|AUH|IST|URC|CSX|HJJ|
HJJ|BCN,|BCN|IST|URC|CSX|HJJ|
HJJ|BDA,|BDA|EWR|PEK|CSX|HJJ|
HJJ|BGI,|BGI|YYZ|PEK|CSX|HJJ|
HJJ|BNA,|BNA|ORD|PEK|CSX|HJJ|
HJJ|BOG,|BOG|MIA|ORD|PEK|CSX|HJJ|
HJJ|BWI,|BWI|YYZ|PEK|CSX|HJJ|
HJJ|CLE,|CLE|YYZ|PEK|CSX|HJJ|
HJJ|CLT,|CLT|YYZ|PEK|CSX|HJJ|
HJJ|CMH,|CMH|ORD|PEK|CSX|HJJ|
HJJ|CVG,|CVG|ORD|PEK|CSX|HJJ|
HJJ|DFW,|DFW|YVR|ICN|CSX|HJJ|
HJJ|DTW,|DTW|PEK|CSX|HJJ|
HJJ|DUB,|DUB|IST|URC|CSX|HJJ|
HJJ|FCO,|FCO|IST|URC|CSX|HJJ|
HJJ|GCM,|GCM|YYZ|PEK|CSX|HJJ|
HJJ|GGT,|GGT|YYZ|PEK|CSX|HJJ|
HJJ|GND,|GND|YYZ|PEK|CSX|HJJ|
HJJ|GRU,|GRU|IST|URC|CSX|HJJ|
HJJ|HAV,|HAV|YYZ|PEK|CSX|HJJ|
HJJ|IND,|IND|ORD|PEK|CSX|HJJ|
HJJ|JFK,|JFK|PEK|CSX|HJJ|
HJJ|KIN,|KIN|YYZ|PEK|CSX|HJJ|
HJJ|LIM,|LIM|IAH|PEK|CSX|HJJ|
HJJ|LIR,|LIR|IAH|PEK|CSX|HJJ|
HJJ|MCI,|MCI|DEN|YVR|ICN|CSX|HJJ|
HJJ|MDT,|MDT|YYZ|PEK|CSX|HJJ|
HJJ|MIA,|MIA|ORD|PEK|CSX|HJJ|
HJJ|MKE,|MKE|ORD|PEK|CSX|HJJ|
HJJ|MSP,|MSP|ORD|PEK|CSX|HJJ|
HJJ|NAS,|NAS|YYZ|PEK|CSX|HJJ|
HJJ|PHL,|PHL|YYZ|PEK|CSX|HJJ|
HJJ|PHX,|PHX|SFO|ICN|CSX|HJJ|
HJJ|PIT,|PIT|YYZ|PEK|CSX|HJJ|
HJJ|PLS,|PLS|EWR|PEK|CSX|HJJ|
HJJ|POP,|POP|EWR|PEK|CSX|HJJ|
