BUD|YQZ,|YQZ|YVR|MUC|IST|BUD|
BUD|YXC,|YXC|YYC|FRA|IST|BUD|
BUD|YXJ,|YXJ|YYC|FRA|IST|BUD|
BUD|YXS,|YXS|YYC|FRA|IST|BUD|
BUD|YXT,|YXT|YVR|MUC|IST|BUD|
BUD|YXY,|YXY|YVR|MUC|IST|BUD|
BUD|YYD,|YYD|YVR|MUC|IST|BUD|
BUD|YYF,|YYF|YVR|MUC|IST|BUD|
BUD|YZP,|YZP|YVR|MUC|IST|BUD|
BUD|YQT,|YQT|YYZ|IST|BUD|
BUD|SJD,|SJD|ORD|IST|BUD|
BUD|YQF,|YQF|YYC|FRA|IST|BUD|
BUD|YQL,|YQL|YYC|FRA|IST|BUD|
BUD|YXH,|YXH|YYC|FRA|IST|BUD|
BUD|YWK,|YWK|YYR|YYT|LHR|IST|BUD|
BUD|ANU,|ANU|EWR|BHX|IST|BUD|
BUD|AUA,|AUA|EWR|BHX|IST|BUD|
BUD|AUH,|AUH|IST|BUD|
BUD|BCN,|BCN|IST|BUD|
BUD|BDA,|BDA|EWR|BHX|IST|BUD|
BUD|BGI,|BGI|YYZ|IST|BUD|
BUD|BNA,|BNA|YYZ|IST|BUD|
BUD|BOG,|BOG|MIA|ZRH|IST|BUD|
BUD|BWI,|BWI|EWR|BHX|IST|BUD|
BUD|CLE,|CLE|YYZ|IST|BUD|
BUD|CLT,|CLT|EWR|BHX|IST|BUD|
BUD|CMH,|CMH|YYZ|IST|BUD|
BUD|CVG,|CVG|YYZ|IST|BUD|
BUD|DFW,|DFW|ORD|IST|BUD|
BUD|DTW,|DTW|FRA|IST|BUD|
BUD|DUB,|DUB|IST|BUD|
BUD|FCO,|FCO|IST|BUD|
BUD|GCM,|GCM|EWR|BHX|IST|BUD|
BUD|GGT,|GGT|FLL|MCO|FRA|IST|BUD|
BUD|GND,|GND|YYZ|IST|BUD|
BUD|GRU,|GRU|IST|BUD|
BUD|HAV,|HAV|YYZ|IST|BUD|
BUD|IND,|IND|YYZ|IST|BUD|
BUD|JFK,|JFK|IST|BUD|
BUD|KIN,|KIN|YYZ|IST|BUD|
BUD|LIM,|LIM|MIA|ZRH|IST|BUD|
BUD|LIR,|LIR|EWR|BHX|IST|BUD|
BUD|MCI,|MCI|ORD|IST|BUD|
BUD|MDT,|MDT|IAD|IST|BUD|
BUD|MIA,|MIA|ZRH|IST|BUD|
BUD|MKE,|MKE|YYZ|IST|BUD|
BUD|MSP,|MSP|YUL|FRA|IST|BUD|
BUD|NAS,|NAS|EWR|BHX|IST|BUD|
BUD|PHL,|PHL|IAD|IST|BUD|
BUD|PHX,|PHX|DEN|FRA|IST|BUD|
BUD|PIT,|PIT|YYZ|IST|BUD|
BUD|PLS,|PLS|EWR|BHX|IST|BUD|
BUD|POP,|POP|EWR|BHX|IST|BUD|
BUD|RDU,|RDU|EWR|BHX|IST|BUD|
BUD|ROC,|ROC|YYZ|IST|BUD|
BUD|RSW,|RSW|MCO|FRA|IST|BUD|
BUD|SAN,|SAN|LAX|IST|BUD|
BUD|SJO,|SJO|EWR|BHX|IST|BUD|
BUD|STL,|STL|ORD|IST|BUD|
BUD|SYR,|SYR|EWR|BHX|IST|BUD|
BUD|TLV,|TLV|IST|BUD|
BUD|TPA,|TPA|EWR|BHX|IST|BUD|
BUD|UVF,|UVF|EWR|BHX|IST|BUD|
BUD|VIE,|VIE|IST|BUD|
BUD|YAM,|YAM|YYZ|IST|BUD|
BUD|YGK,|YGK|YYZ|IST|BUD|
BUD|YQG,|YQG|YYZ|IST|BUD|
BUD|YSB,|YSB|YYZ|IST|BUD|
BUD|YTS,|YTS|YYZ|IST|BUD|
BUD|YYB,|YYB|YYZ|IST|BUD|
BUD|YZR,|YZR|YYZ|IST|BUD|
BUD|CAN,|CAN|IST|BUD|
BUD|URC,|URC|IST|BUD|
BUD|CTU,|CTU|URC|IST|BUD|
BUD|HGH,|HGH|URC|IST|BUD|
BUD|XMN,|XMN|CSX|URC|IST|BUD|
BUD|CGO,|CGO|URC|IST|BUD|
BUD|CSX,|CSX|URC|IST|BUD|
BUD|SHE,|SHE|PEK|IST|BUD|
BUD|SJW,|SJW|URC|IST|BUD|
BUD|WUH,|WUH|URC|IST|BUD|
BUD|SZX,|SZX|CKG|URC|IST|BUD|
BUD|CKG,|CKG|URC|IST|BUD|
BUD|KMG,|KMG|CTU|URC|IST|BUD|
BUD|FOC,|FOC|XIY|URC|IST|BUD|
BUD|NNG,|NNG|KWE|URC|IST|BUD|
BUD|SWA,|SWA|CAN|IST|BUD|
BUD|ACX,|ACX|CAN|IST|BUD|
BUD|AQG,|AQG|CAN|IST|BUD|
BUD|AVA,|AVA|CAN|IST|BUD|
BUD|BFJ,|BFJ|CAN|IST|BUD|
BUD|BHY,|BHY|CKG|URC|IST|BUD|
BUD|BNE,|BNE|BKK|IST|BUD|
BUD|CGD,|CGD|PEK|IST|BUD|
BUD|CGK,|CGK|SIN|IST|BUD|
BUD|CGQ,|CGQ|HET|URC|IST|BUD|
BUD|CIH,|CIH|PEK|IST|BUD|
BUD|CNX,|CNX|CAN|IST|BUD|
BUD|CZX,|CZX|TYN|URC|IST|BUD|
BUD|DAC,|DAC|IST|BUD|
BUD|DAD,|DAD|CAN|IST|BUD|
BUD|DEL,|DEL|IST|BUD|
BUD|DIG,|DIG|KMG|CTU|URC|IST|BUD|
BUD|DLC,|DLC|PEK|IST|BUD|
BUD|DPS,|DPS|CAN|IST|BUD|
BUD|DXB,|DXB|IST|BUD|
BUD|DYG,|DYG|CSX|URC|IST|BUD|
BUD|FUG,|FUG|CAN|IST|BUD|
BUD|FUK,|FUK|ICN|IST|BUD|
BUD|HAK,|HAK|CTU|URC|IST|BUD|
BUD|HAN,|HAN|CAN|IST|BUD|
BUD|HDG,|HDG|CAN|IST|BUD|
BUD|HET,|HET|URC|IST|BUD|
BUD|HFE,|HFE|XIY|URC|IST|BUD|
BUD|HJJ,|HJJ|CSX|URC|IST|BUD|
BUD|HKT,|HKT|KWE|URC|IST|BUD|
BUD|HRB,|HRB|PEK|IST|BUD|
BUD|HZH,|HZH|CAN|IST|BUD|
BUD|JIU,|JIU|CAN|IST|BUD|
BUD|JJN,|JJN|CSX|URC|IST|BUD|
BUD|JNG,|JNG|CAN|IST|BUD|
BUD|KHN,|KHN|XIY|URC|IST|BUD|
BUD|KIX,|KIX|IST|BUD|
BUD|KOW,|KOW|CAN|IST|BUD|
BUD|KTM,|KTM|IST|BUD|
BUD|KUL,|KUL|IST|BUD|
BUD|KWE,|KWE|URC|IST|BUD|
BUD|KWL,|KWL|CKG|URC|IST|BUD|
BUD|LHW,|LHW|URC|IST|BUD|
BUD|LYA,|LYA|KHN|XIY|URC|IST|BUD|
BUD|LYG,|LYG|XUZ|INC|URC|IST|BUD|
BUD|LZH,|LZH|CAN|IST|BUD|
BUD|MEL,|MEL|BKK|IST|BUD|
BUD|MIG,|MIG|CSX|URC|IST|BUD|
BUD|MLE,|MLE|IST|BUD|
BUD|MNL,|MNL|CAN|IST|BUD|
BUD|MXZ,|MXZ|CAN|IST|BUD|
BUD|NAO,|NAO|PEK|IST|BUD|
BUD|NGB,|NGB|WUH|URC|IST|BUD|
BUD|NKG,|NKG|URC|IST|BUD|
BUD|NNY,|NNY|CGO|URC|IST|BUD|
BUD|PEN,|PEN|CAN|IST|BUD|
BUD|PER,|PER|BKK|IST|BUD|
BUD|PNH,|PNH|CAN|IST|BUD|
BUD|REP,|REP|CAN|IST|BUD|
BUD|RGN,|RGN|CAN|IST|BUD|
BUD|SGN,|SGN|BKK|IST|BUD|
BUD|SHA,|SHA|URC|IST|BUD|
BUD|SIN,|SIN|IST|BUD|
BUD|SVO,|SVO|URC|IST|BUD|
BUD|SYX,|SYX|CKG|URC|IST|BUD|
BUD|TAO,|TAO|TYN|URC|IST|BUD|
BUD|TEN,|TEN|CAN|IST|BUD|
BUD|TNA,|TNA|URC|IST|BUD|
BUD|TPE,|TPE|URC|IST|BUD|
BUD|TSN,|TSN|HET|URC|IST|BUD|
BUD|TXN,|TXN|TYN|URC|IST|BUD|
BUD|TYN,|TYN|URC|IST|BUD|
BUD|WNZ,|WNZ|XIY|URC|IST|BUD|
BUD|WUX,|WUX|CAN|IST|BUD|
BUD|XFN,|XFN|CAN|IST|BUD|
BUD|XIY,|XIY|URC|IST|BUD|
BUD|XUZ,|XUZ|INC|URC|IST|BUD|
BUD|YIH,|YIH|CKG|URC|IST|BUD|
BUD|YIW,|YIW|URC|IST|BUD|
BUD|YNT,|YNT|SHE|PEK|IST|BUD|
BUD|YNZ,|YNZ|WUH|URC|IST|BUD|
BUD|YTY,|YTY|CGO|URC|IST|BUD|
BUD|ZHA,|ZHA|CAN|IST|BUD|
BUD|ZYI,|ZYI|CAN|IST|BUD|
BUD|BAV,|BAV|URC|IST|BUD|
BUD|CJU,|CJU|DLC|PEK|IST|BUD|
BUD|DSN,|DSN|CGO|URC|IST|BUD|
BUD|HMI,|HMI|URC|IST|BUD|
BUD|INC,|INC|URC|IST|BUD|
BUD|KHH,|KHH|WUH|URC|IST|BUD|
BUD|UYN,|UYN|XIY|URC|IST|BUD|
BUD|XNN,|XNN|URC|IST|BUD|
BUD|ZUH,|ZUH|KWE|URC|IST|BUD|
BUD|YNJ,|YNJ|PEK|IST|BUD|
BUD|DAT,|DAT|TYN|URC|IST|BUD|
BUD|JHG,|JHG|KMG|CTU|URC|IST|BUD|
BUD|LJG,|LJG|KMG|CTU|URC|IST|BUD|
BUD|LXA,|LXA|CKG|URC|IST|BUD|
BUD|YCU,|YCU|CKG|URC|IST|BUD|
BUD|LZO,|LZO|CSX|URC|IST|BUD|
BUD|MDG,|MDG|DLC|PEK|IST|BUD|
BUD|NGO,|NGO|ICN|IST|BUD|
BUD|TOY,|TOY|DLC|PEK|IST|BUD|
BUD|MFM,|MFM|XMN|CSX|URC|IST|BUD|
BUD|TGO,|TGO|HET|URC|IST|BUD|
BUD|XIL,|XIL|HET|URC|IST|BUD|
BUD|HEK,|HEK|HRB|PEK|IST|BUD|
BUD|KIJ,|KIJ|HRB|PEK|IST|BUD|
BUD|LDS,|LDS|HRB|PEK|IST|BUD|
BUD|OHE,|OHE|HRB|PEK|IST|BUD|
BUD|HSN,|HSN|LYG|XUZ|INC|URC|IST|BUD|
BUD|DLU,|DLU|KMG|CTU|URC|IST|BUD|
BUD|SYM,|SYM|KMG|CTU|URC|IST|BUD|
BUD|ZAT,|ZAT|KMG|CTU|URC|IST|BUD|
BUD|LUN,|LUN|NBO|IST|BUD|
BUD|AOG,|AOG|PEK|IST|BUD|
BUD|GMP,|GMP|PEK|IST|BUD|
BUD|ISB,|ISB|IST|BUD|
BUD|TAS,|TAS|IST|BUD|
BUD|WUS,|WUS|PEK|IST|BUD|
BUD|JMU,|JMU|PVG|IST|BUD|
BUD|NDG,|NDG|PVG|IST|BUD|
BUD|JXA,|JXA|SHE|PEK|IST|BUD|
BUD|PUS,|PUS|SHE|PEK|IST|BUD|
BUD|BKI,|BKI|SZX|CKG|URC|IST|BUD|
BUD|AKU,|AKU|URC|IST|BUD|
BUD|ALA,|ALA|IST|BUD|
BUD|ASB,|ASB|IST|BUD|
BUD|DNH,|DNH|URC|IST|BUD|
BUD|DYU,|DYU|IST|BUD|
BUD|FRU,|FRU|IST|BUD|
BUD|GYD,|GYD|IST|BUD|
BUD|HTN,|HTN|URC|IST|BUD|
BUD|IKA,|IKA|IST|BUD|
BUD|KCA,|KCA|URC|IST|BUD|
BUD|KHG,|KHG|URC|IST|BUD|
BUD|KRL,|KRL|URC|IST|BUD|
BUD|KRY,|KRY|URC|IST|BUD|
BUD|LBD,|LBD|URC|IST|BUD|
BUD|NLT,|NLT|URC|IST|BUD|
BUD|OSS,|OSS|IST|BUD|
BUD|OVB,|OVB|IST|BUD|
BUD|TBS,|TBS|IST|BUD|
BUD|TCG,|TCG|URC|IST|BUD|
BUD|TSE,|TSE|IST|BUD|
BUD|YIN,|YIN|URC|IST|BUD|
BUD|ENH,|ENH|WUH|URC|IST|BUD|
BUD|ENY,|ENY|XIY|URC|IST|BUD|
BUD|WXN,|WXN|XIY|URC|IST|BUD|
BUD|BLL,|BLL|IST|BUD|
BUD|ESB,|ESB|IST|BUD|
BUD|SAW,|SAW|ADB|IST|BUD|
BUD|HAM,|HAM|IST|BUD|
BUD|HRE,|HRE|ADD|IST|BUD|
BUD|JUB,|JUB|CAI|IST|BUD|
BUD|SSG,|SSG|DLA|IST|BUD|
BUD|BGW,|BGW|IST|BUD|
BUD|EBL,|EBL|IST|BUD|
BUD|VKO,|VKO|IST|BUD|
BUD|MCT,|MCT|IST|BUD|
BUD|AYT,|AYT|IST|BUD|
BUD|SCQ,|SCQ|BIO|IST|BUD|
BUD|AAL,|AAL|IST|BUD|
BUD|AOE,|AOE|BRU|IST|BUD|
BUD|JNB,|JNB|IST|BUD|
BUD|LBV,|LBV|DLA|IST|BUD|
