VAS|YCD,|YCD|YVR|MUC|SAW|VAS|
VAS|YCG,|YCG|YYC|FRA|SAW|VAS|
VAS|YKA,|YKA|YYC|FRA|SAW|VAS|
VAS|YPR,|YPR|YVR|MUC|SAW|VAS|
VAS|YQZ,|YQZ|YVR|MUC|SAW|VAS|
VAS|YXC,|YXC|YYC|FRA|SAW|VAS|
VAS|YXJ,|YXJ|YYC|FRA|SAW|VAS|
VAS|YXS,|YXS|YYC|FRA|SAW|VAS|
VAS|YXT,|YXT|YVR|MUC|SAW|VAS|
VAS|YXY,|YXY|YVR|MUC|SAW|VAS|
VAS|YYD,|YYD|YVR|MUC|SAW|VAS|
VAS|YYF,|YYF|YVR|MUC|SAW|VAS|
VAS|YZP,|YZP|YVR|MUC|SAW|VAS|
VAS|YQT,|YQT|YYZ|VIE|SAW|VAS|
VAS|SJD,|SJD|ORD|VIE|SAW|VAS|
VAS|YQF,|YQF|YYC|FRA|SAW|VAS|
VAS|YQL,|YQL|YYC|FRA|SAW|VAS|
VAS|YXH,|YXH|YYC|FRA|SAW|VAS|
VAS|YWK,|YWK|YYR|YYT|LHR|IST|VAS|
VAS|ANU,|ANU|EWR|FRA|SAW|VAS|
VAS|AUA,|AUA|EWR|FRA|SAW|VAS|
VAS|AUH,|AUH|IST|VAS|
VAS|BCN,|BCN|IST|VAS|
VAS|BDA,|BDA|EWR|FRA|SAW|VAS|
VAS|BGI,|BGI|YYZ|VIE|SAW|VAS|
VAS|BNA,|BNA|YYZ|VIE|SAW|VAS|
VAS|BOG,|BOG|MIA|ZRH|IST|VAS|
VAS|BWI,|BWI|EWR|FRA|SAW|VAS|
VAS|CLE,|CLE|YYZ|VIE|SAW|VAS|
VAS|CLT,|CLT|EWR|FRA|SAW|VAS|
VAS|CMH,|CMH|YYZ|VIE|SAW|VAS|
VAS|CVG,|CVG|YYZ|VIE|SAW|VAS|
VAS|DFW,|DFW|ORD|VIE|SAW|VAS|
VAS|DTW,|DTW|YYZ|VIE|SAW|VAS|
VAS|DUB,|DUB|IST|VAS|
VAS|FCO,|FCO|IST|VAS|
VAS|GCM,|GCM|EWR|FRA|SAW|VAS|
VAS|GGT,|GGT|FLL|MCO|FRA|SAW|VAS|
VAS|GND,|GND|YYZ|VIE|SAW|VAS|
VAS|GRU,|GRU|IST|VAS|
VAS|HAV,|HAV|YYZ|VIE|SAW|VAS|
VAS|IND,|IND|YYZ|VIE|SAW|VAS|
VAS|JFK,|JFK|FRA|SAW|VAS|
VAS|KIN,|KIN|YYZ|VIE|SAW|VAS|
VAS|LIM,|LIM|MIA|ZRH|IST|VAS|
VAS|LIR,|LIR|EWR|FRA|SAW|VAS|
VAS|MCI,|MCI|ORD|VIE|SAW|VAS|
VAS|MDT,|MDT|IAD|FRA|SAW|VAS|
VAS|MIA,|MIA|ZRH|IST|VAS|
VAS|MKE,|MKE|YYZ|VIE|SAW|VAS|
VAS|MSP,|MSP|YUL|FRA|SAW|VAS|
VAS|NAS,|NAS|EWR|FRA|SAW|VAS|
VAS|PHL,|PHL|IAD|FRA|SAW|VAS|
VAS|PHX,|PHX|DEN|FRA|SAW|VAS|
VAS|PIT,|PIT|YYZ|VIE|SAW|VAS|
VAS|PLS,|PLS|EWR|FRA|SAW|VAS|
VAS|POP,|POP|EWR|FRA|SAW|VAS|
VAS|RDU,|RDU|EWR|FRA|SAW|VAS|
VAS|ROC,|ROC|YYZ|VIE|SAW|VAS|
VAS|RSW,|RSW|MCO|FRA|SAW|VAS|
VAS|SAN,|SAN|LAX|IST|VAS|
VAS|SJO,|SJO|EWR|FRA|SAW|VAS|
VAS|STL,|STL|ORD|VIE|SAW|VAS|
VAS|SYR,|SYR|EWR|FRA|SAW|VAS|
VAS|TLV,|TLV|SAW|VAS|
VAS|TPA,|TPA|EWR|FRA|SAW|VAS|
VAS|UVF,|UVF|EWR|FRA|SAW|VAS|
VAS|VIE,|VIE|SAW|VAS|
VAS|YAM,|YAM|YYZ|VIE|SAW|VAS|
VAS|YGK,|YGK|YYZ|VIE|SAW|VAS|
VAS|YQG,|YQG|YYZ|VIE|SAW|VAS|
VAS|YSB,|YSB|YYZ|VIE|SAW|VAS|
VAS|YTS,|YTS|YYZ|VIE|SAW|VAS|
VAS|YYB,|YYB|YYZ|VIE|SAW|VAS|
VAS|YZR,|YZR|YYZ|VIE|SAW|VAS|
VAS|CAN,|CAN|IST|VAS|
VAS|URC,|URC|TBS|SAW|VAS|
VAS|CTU,|CTU|URC|TBS|SAW|VAS|
VAS|HGH,|HGH|URC|TBS|SAW|VAS|
VAS|XMN,|XMN|CSX|URC|TBS|SAW|VAS|
VAS|CGO,|CGO|URC|TBS|SAW|VAS|
VAS|CSX,|CSX|URC|TBS|SAW|VAS|
VAS|SHE,|SHE|PEK|IST|VAS|
VAS|SJW,|SJW|URC|TBS|SAW|VAS|
VAS|WUH,|WUH|URC|TBS|SAW|VAS|
VAS|SZX,|SZX|CKG|URC|TBS|SAW|VAS|
VAS|CKG,|CKG|URC|TBS|SAW|VAS|
VAS|KMG,|KMG|CTU|URC|TBS|SAW|VAS|
VAS|FOC,|FOC|XIY|URC|TBS|SAW|VAS|
VAS|NNG,|NNG|KWE|URC|TBS|SAW|VAS|
VAS|SWA,|SWA|CSX|URC|TBS|SAW|VAS|
VAS|ACX,|ACX|CAN|IST|VAS|
VAS|AQG,|AQG|CAN|IST|VAS|
VAS|AVA,|AVA|CAN|IST|VAS|
VAS|BFJ,|BFJ|CAN|IST|VAS|
VAS|BHY,|BHY|CKG|URC|TBS|SAW|VAS|
VAS|BNE,|BNE|BKK|IST|VAS|
VAS|CGD,|CGD|PEK|IST|VAS|
VAS|CGK,|CGK|SIN|IST|VAS|
VAS|CGQ,|CGQ|HET|URC|TBS|SAW|VAS|
VAS|CIH,|CIH|PEK|IST|VAS|
VAS|CNX,|CNX|CAN|IST|VAS|
VAS|CZX,|CZX|TYN|URC|TBS|SAW|VAS|
VAS|DAC,|DAC|IST|VAS|
VAS|DAD,|DAD|CAN|IST|VAS|
VAS|DEL,|DEL|IST|VAS|
VAS|DIG,|DIG|KMG|CTU|URC|TBS|SAW|VAS|
VAS|DLC,|DLC|PEK|IST|VAS|
VAS|DPS,|DPS|CAN|IST|VAS|
VAS|DXB,|DXB|IST|VAS|
VAS|DYG,|DYG|CSX|URC|TBS|SAW|VAS|
VAS|FUG,|FUG|CAN|IST|VAS|
VAS|FUK,|FUK|ICN|IST|VAS|
VAS|HAK,|HAK|CTU|URC|TBS|SAW|VAS|
VAS|HAN,|HAN|CAN|IST|VAS|
VAS|HDG,|HDG|CAN|IST|VAS|
VAS|HET,|HET|URC|TBS|SAW|VAS|
VAS|HFE,|HFE|XIY|URC|TBS|SAW|VAS|
VAS|HJJ,|HJJ|CSX|URC|TBS|SAW|VAS|
VAS|HKT,|HKT|KWE|URC|TBS|SAW|VAS|
VAS|HRB,|HRB|PEK|IST|VAS|
VAS|HZH,|HZH|CAN|IST|VAS|
VAS|JIU,|JIU|CAN|IST|VAS|
VAS|JJN,|JJN|CSX|URC|TBS|SAW|VAS|
VAS|JNG,|JNG|CAN|IST|VAS|
VAS|KHN,|KHN|XIY|URC|TBS|SAW|VAS|
VAS|KIX,|KIX|IST|VAS|
VAS|KOW,|KOW|CAN|IST|VAS|
VAS|KTM,|KTM|IST|VAS|
VAS|KUL,|KUL|IST|VAS|
VAS|KWE,|KWE|URC|TBS|SAW|VAS|
VAS|KWL,|KWL|CKG|URC|TBS|SAW|VAS|
