ECP|SEA,|SEA|DEN|STL|ECP|
ECP|SYD,|SYD|LAX|HOU|ECP|
ECP|YBL,|YBL|YVR|DEN|STL|ECP|
ECP|YCD,|YCD|YVR|DEN|STL|ECP|
ECP|YCG,|YCG|YYC|ORD|BNA|ECP|
ECP|YKA,|YKA|YYC|ORD|BNA|ECP|
ECP|YPR,|YPR|YVR|DEN|STL|ECP|
ECP|YQZ,|YQZ|YVR|DEN|STL|ECP|
ECP|YXC,|YXC|YYC|ORD|BNA|ECP|
ECP|YXJ,|YXJ|YYC|ORD|BNA|ECP|
ECP|YXS,|YXS|YYC|ORD|BNA|ECP|
ECP|YXT,|YXT|YVR|DEN|STL|ECP|
ECP|YXY,|YXY|YVR|DEN|STL|ECP|
ECP|YYD,|YYD|YVR|DEN|STL|ECP|
ECP|YYF,|YYF|YVR|DEN|STL|ECP|
ECP|YZP,|YZP|YVR|DEN|STL|ECP|
ECP|YQT,|YQT|YYZ|BNA|ECP|
ECP|SJD,|SJD|IAH|AUS|HOU|ECP|
ECP|YQF,|YQF|YYC|ORD|BNA|ECP|
ECP|YQL,|YQL|YYC|ORD|BNA|ECP|
ECP|YXH,|YXH|YYC|ORD|BNA|ECP|
ECP|YWK,|YWK|YZV|YQB|EWR|BWI|ECP|
ECP|ANU,|ANU|EWR|BWI|ECP|
ECP|AUA,|AUA|IAD|BNA|ECP|
ECP|AUH,|AUH|FRA|EWR|BWI|ECP|
ECP|BCN,|BCN|EWR|BWI|ECP|
ECP|BDA,|BDA|EWR|BWI|ECP|
ECP|BGI,|BGI|YYZ|BNA|ECP|
ECP|BNA,|BNA|ECP|
ECP|BOG,|BOG|MIA|MSY|HOU|ECP|
ECP|BWI,|BWI|ECP|
ECP|CLE,|CLE|BNA|ECP|
ECP|CLT,|CLT|BWI|ECP|
ECP|CMH,|CMH|BNA|ECP|
ECP|CVG,|CVG|ORD|BNA|ECP|
ECP|DFW,|DFW|IAH|AUS|HOU|ECP|
ECP|DTW,|DTW|BNA|ECP|
ECP|DUB,|DUB|EWR|BWI|ECP|
ECP|FCO,|FCO|EWR|BWI|ECP|
ECP|GCM,|GCM|IAH|AUS|HOU|ECP|
ECP|GGT,|GGT|FLL|BNA|ECP|
ECP|GND,|GND|YYZ|BNA|ECP|
ECP|GRU,|GRU|IAD|BNA|ECP|
ECP|HAV,|HAV|YYZ|BNA|ECP|
ECP|IND,|IND|ORD|BNA|ECP|
ECP|JFK,|JFK|IAD|BNA|ECP|
ECP|KIN,|KIN|YYZ|BNA|ECP|
ECP|LIM,|LIM|IAH|AUS|HOU|ECP|
ECP|LIR,|LIR|IAH|AUS|HOU|ECP|
ECP|MCI,|MCI|STL|ECP|
ECP|MDT,|MDT|IAD|BNA|ECP|
ECP|MIA,|MIA|MSY|HOU|ECP|
ECP|MKE,|MKE|ORD|BNA|ECP|
ECP|MSP,|MSP|STL|ECP|
ECP|NAS,|NAS|ATL|STL|ECP|
ECP|PHL,|PHL|BNA|ECP|
ECP|PHX,|PHX|HOU|ECP|
ECP|PIT,|PIT|BNA|ECP|
ECP|PLS,|PLS|EWR|BWI|ECP|
ECP|POP,|POP|EWR|BWI|ECP|
ECP|RDU,|RDU|BNA|ECP|
ECP|ROC,|ROC|BWI|ECP|
ECP|RSW,|RSW|MCO|BNA|ECP|
ECP|SAN,|SAN|HOU|ECP|
ECP|SJO,|SJO|IAH|AUS|HOU|ECP|
ECP|STL,|STL|ECP|
ECP|SYR,|SYR|EWR|BWI|ECP|
ECP|TLV,|TLV|EWR|BWI|ECP|
ECP|TPA,|TPA|BNA|ECP|
ECP|UVF,|UVF|EWR|BWI|ECP|
ECP|VIE,|VIE|YYZ|BNA|ECP|
ECP|YAM,|YAM|YYZ|BNA|ECP|
ECP|YGK,|YGK|YYZ|BNA|ECP|
ECP|YQG,|YQG|YYZ|BNA|ECP|
ECP|YSB,|YSB|YYZ|BNA|ECP|
ECP|YTS,|YTS|YYZ|BNA|ECP|
ECP|YYB,|YYB|YYZ|BNA|ECP|
ECP|YZR,|YZR|YYZ|BNA|ECP|
ECP|CAN,|CAN|PEK|ORD|BNA|ECP|
ECP|URC,|URC|TSE|FRA|EWR|BWI|ECP|
ECP|CTU,|CTU|PEK|ORD|BNA|ECP|
ECP|HGH,|HGH|PEK|ORD|BNA|ECP|
ECP|XMN,|XMN|PEK|ORD|BNA|ECP|
ECP|CGO,|CGO|PEK|ORD|BNA|ECP|
ECP|CSX,|CSX|PEK|ORD|BNA|ECP|
ECP|SHE,|SHE|PEK|ORD|BNA|ECP|
ECP|SJW,|SJW|DLC|PEK|ORD|BNA|ECP|
ECP|WUH,|WUH|PEK|ORD|BNA|ECP|
ECP|SZX,|SZX|PEK|ORD|BNA|ECP|
ECP|CKG,|CKG|PEK|ORD|BNA|ECP|
ECP|KMG,|KMG|PEK|ORD|BNA|ECP|
ECP|FOC,|FOC|PEK|ORD|BNA|ECP|
ECP|NNG,|NNG|PEK|ORD|BNA|ECP|
ECP|SWA,|SWA|PEK|ORD|BNA|ECP|
ECP|ACX,|ACX|CAN|PEK|ORD|BNA|ECP|
ECP|AQG,|AQG|CAN|PEK|ORD|BNA|ECP|
ECP|AVA,|AVA|CAN|PEK|ORD|BNA|ECP|
ECP|BFJ,|BFJ|CAN|PEK|ORD|BNA|ECP|
ECP|BHY,|BHY|CGO|PEK|ORD|BNA|ECP|
ECP|BNE,|BNE|CAN|PEK|ORD|BNA|ECP|
ECP|CGD,|CGD|PEK|ORD|BNA|ECP|
ECP|CGK,|CGK|CAN|PEK|ORD|BNA|ECP|
ECP|CGQ,|CGQ|PEK|ORD|BNA|ECP|
ECP|CIH,|CIH|PEK|ORD|BNA|ECP|
ECP|CNX,|CNX|CAN|PEK|ORD|BNA|ECP|
ECP|CZX,|CZX|SHE|PEK|ORD|BNA|ECP|
ECP|DAC,|DAC|IST|BHX|EWR|BWI|ECP|
ECP|DAD,|DAD|CAN|PEK|ORD|BNA|ECP|
ECP|DEL,|DEL|EWR|BWI|ECP|
ECP|DIG,|DIG|KMG|PEK|ORD|BNA|ECP|
ECP|DLC,|DLC|PEK|ORD|BNA|ECP|
ECP|DPS,|DPS|SZX|PEK|ORD|BNA|ECP|
ECP|DXB,|DXB|IST|BHX|EWR|BWI|ECP|
ECP|DYG,|DYG|PEK|ORD|BNA|ECP|
ECP|FUG,|FUG|CAN|PEK|ORD|BNA|ECP|
ECP|FUK,|FUK|ICN|YVR|DEN|STL|ECP|
ECP|HAK,|HAK|PEK|ORD|BNA|ECP|
ECP|HAN,|HAN|PEK|ORD|BNA|ECP|
ECP|HDG,|HDG|CAN|PEK|ORD|BNA|ECP|
ECP|HET,|HET|DLC|PEK|ORD|BNA|ECP|
ECP|HFE,|HFE|XIY|PEK|ORD|BNA|ECP|
ECP|HJJ,|HJJ|CSX|PEK|ORD|BNA|ECP|
ECP|HKT,|HKT|KWE|PEK|ORD|BNA|ECP|
ECP|HRB,|HRB|PEK|ORD|BNA|ECP|
ECP|HZH,|HZH|CAN|PEK|ORD|BNA|ECP|
ECP|JIU,|JIU|CAN|PEK|ORD|BNA|ECP|
ECP|JJN,|JJN|PEK|ORD|BNA|ECP|
ECP|JNG,|JNG|CAN|PEK|ORD|BNA|ECP|
ECP|KHN,|KHN|DLC|PEK|ORD|BNA|ECP|
ECP|KIX,|KIX|SFO|LAS|HOU|ECP|
ECP|KOW,|KOW|PEK|ORD|BNA|ECP|
ECP|KTM,|KTM|IST|BHX|EWR|BWI|ECP|
ECP|KUL,|KUL|CAN|PEK|ORD|BNA|ECP|
ECP|KWE,|KWE|PEK|ORD|BNA|ECP|
ECP|KWL,|KWL|PEK|ORD|BNA|ECP|
ECP|LHW,|LHW|CGO|PEK|ORD|BNA|ECP|
ECP|LYA,|LYA|KHN|DLC|PEK|ORD|BNA|ECP|
ECP|LYG,|LYG|HSN|PEK|ORD|BNA|ECP|
ECP|LZH,|LZH|CAN|PEK|ORD|BNA|ECP|
ECP|MEL,|MEL|SYD|LAX|HOU|ECP|
ECP|MIG,|MIG|CSX|PEK|ORD|BNA|ECP|
ECP|MLE,|MLE|IST|BHX|EWR|BWI|ECP|
ECP|MNL,|MNL|XMN|PEK|ORD|BNA|ECP|
ECP|MXZ,|MXZ|CAN|PEK|ORD|BNA|ECP|
ECP|NAO,|NAO|PEK|ORD|BNA|ECP|
ECP|NGB,|NGB|PEK|ORD|BNA|ECP|
ECP|NKG,|NKG|DLC|PEK|ORD|BNA|ECP|
ECP|NNY,|NNY|CGO|PEK|ORD|BNA|ECP|
ECP|PEN,|PEN|CAN|PEK|ORD|BNA|ECP|
ECP|PER,|PER|CAN|PEK|ORD|BNA|ECP|
ECP|PNH,|PNH|CAN|PEK|ORD|BNA|ECP|
ECP|REP,|REP|CAN|PEK|ORD|BNA|ECP|
ECP|RGN,|RGN|CAN|PEK|ORD|BNA|ECP|
ECP|SGN,|SGN|CAN|PEK|ORD|BNA|ECP|
ECP|SHA,|SHA|PEK|ORD|BNA|ECP|
ECP|SIN,|SIN|HKG|ORD|BNA|ECP|
ECP|SVO,|SVO|URC|TSE|FRA|EWR|BWI|ECP|
