LIT|YXT,|YXT|YVR|DEN|LIT|
LIT|YXY,|YXY|YVR|DEN|LIT|
LIT|YYD,|YYD|YVR|DEN|LIT|
LIT|YYF,|YYF|YVR|DEN|LIT|
LIT|YZP,|YZP|YVR|DEN|LIT|
LIT|YQT,|YQT|YYZ|DTW|MDW|LIT|
LIT|SJD,|SJD|IAH|LIT|
LIT|YQF,|YQF|YYC|DEN|LIT|
LIT|YQL,|YQL|YYC|DEN|LIT|
LIT|YXH,|YXH|YYC|DEN|LIT|
LIT|YWK,|YWK|YZV|YQB|ORD|LIT|
LIT|ANU,|ANU|EWR|BWI|LIT|
LIT|AUA,|AUA|ATL|IAH|LIT|
LIT|AUH,|AUH|YYZ|DTW|MDW|LIT|
LIT|BCN,|BCN|EWR|BWI|LIT|
LIT|BDA,|BDA|EWR|BWI|LIT|
LIT|BGI,|BGI|YYZ|DTW|MDW|LIT|
LIT|BNA,|BNA|MDW|LIT|
LIT|BOG,|BOG|IAH|LIT|
LIT|BWI,|BWI|LIT|
LIT|CLE,|CLE|MDW|LIT|
LIT|CLT,|CLT|MDW|LIT|
LIT|CMH,|CMH|MDW|LIT|
LIT|CVG,|CVG|ORD|LIT|
LIT|DFW,|DFW|IAH|LIT|
LIT|DTW,|DTW|MDW|LIT|
LIT|DUB,|DUB|ORD|LIT|
LIT|FCO,|FCO|EWR|BWI|LIT|
LIT|GCM,|GCM|IAH|LIT|
LIT|GGT,|GGT|FLL|IAH|LIT|
LIT|GND,|GND|YYZ|DTW|MDW|LIT|
LIT|GRU,|GRU|IAH|LIT|
LIT|HAV,|HAV|YYZ|DTW|MDW|LIT|
LIT|IND,|IND|ORD|LIT|
LIT|JFK,|JFK|IAD|MDW|LIT|
LIT|KIN,|KIN|YYZ|DTW|MDW|LIT|
LIT|LIM,|LIM|IAH|LIT|
LIT|LIR,|LIR|IAH|LIT|
LIT|MCI,|MCI|DAL|LIT|
LIT|MDT,|MDT|ORD|LIT|
LIT|MIA,|MIA|IAH|LIT|
LIT|MKE,|MKE|ORD|LIT|
LIT|MSP,|MSP|ORD|LIT|
LIT|NAS,|NAS|IAH|LIT|
LIT|PHL,|PHL|MDW|LIT|
LIT|PHX,|PHX|LIT|
LIT|PIT,|PIT|MDW|LIT|
LIT|PLS,|PLS|EWR|BWI|LIT|
LIT|POP,|POP|EWR|BWI|LIT|
LIT|RDU,|RDU|BWI|LIT|
LIT|ROC,|ROC|MDW|LIT|
LIT|RSW,|RSW|IAH|LIT|
LIT|SAN,|SAN|PHX|LIT|
LIT|SJO,|SJO|IAH|LIT|
LIT|STL,|STL|MDW|LIT|
LIT|SYR,|SYR|ORD|LIT|
LIT|TLV,|TLV|IST|ORD|LIT|
LIT|TPA,|TPA|IAH|LIT|
LIT|UVF,|UVF|EWR|BWI|LIT|
LIT|VIE,|VIE|ORD|LIT|
LIT|YAM,|YAM|YYZ|DTW|MDW|LIT|
LIT|YGK,|YGK|YYZ|DTW|MDW|LIT|
LIT|YQG,|YQG|YYZ|DTW|MDW|LIT|
LIT|YSB,|YSB|YYZ|DTW|MDW|LIT|
LIT|YTS,|YTS|YYZ|DTW|MDW|LIT|
LIT|YYB,|YYB|YYZ|DTW|MDW|LIT|
LIT|YZR,|YZR|YYZ|DTW|MDW|LIT|
LIT|CAN,|CAN|YVR|DEN|LIT|
LIT|URC,|URC|TSE|FRA|ORD|LIT|
LIT|CTU,|CTU|PEK|ORD|LIT|
LIT|HGH,|HGH|PEK|ORD|LIT|
LIT|XMN,|XMN|PEK|ORD|LIT|
LIT|CGO,|CGO|PEK|ORD|LIT|
LIT|CSX,|CSX|PEK|ORD|LIT|
LIT|SHE,|SHE|ICN|YVR|DEN|LIT|
LIT|SJW,|SJW|DLC|ICN|YVR|DEN|LIT|
LIT|WUH,|WUH|PEK|ORD|LIT|
LIT|SZX,|SZX|PVG|YVR|DEN|LIT|
LIT|CKG,|CKG|PEK|ORD|LIT|
LIT|KMG,|KMG|PEK|ORD|LIT|
LIT|FOC,|FOC|PEK|ORD|LIT|
LIT|NNG,|NNG|PEK|ORD|LIT|
LIT|SWA,|SWA|PEK|ORD|LIT|
LIT|ACX,|ACX|CAN|YVR|DEN|LIT|
LIT|AQG,|AQG|CAN|YVR|DEN|LIT|
LIT|AVA,|AVA|CAN|YVR|DEN|LIT|
LIT|BFJ,|BFJ|CAN|YVR|DEN|LIT|
LIT|BHY,|BHY|CGO|PEK|ORD|LIT|
LIT|BNE,|BNE|CAN|YVR|DEN|LIT|
LIT|CGD,|CGD|PEK|ORD|LIT|
LIT|CGK,|CGK|CAN|YVR|DEN|LIT|
LIT|CGQ,|CGQ|ICN|YVR|DEN|LIT|
LIT|CIH,|CIH|PEK|ORD|LIT|
LIT|CNX,|CNX|CAN|YVR|DEN|LIT|
LIT|CZX,|CZX|SHE|ICN|YVR|DEN|LIT|
LIT|DAC,|DAC|CAN|YVR|DEN|LIT|
LIT|DAD,|DAD|CAN|YVR|DEN|LIT|
LIT|DEL,|DEL|EWR|BWI|LIT|
LIT|DIG,|DIG|KMG|PEK|ORD|LIT|
LIT|DLC,|DLC|ICN|YVR|DEN|LIT|
LIT|DPS,|DPS|SZX|PVG|YVR|DEN|LIT|
LIT|DXB,|DXB|IST|ORD|LIT|
LIT|DYG,|DYG|PEK|ORD|LIT|
LIT|FUG,|FUG|CAN|YVR|DEN|LIT|
LIT|FUK,|FUK|ICN|YVR|DEN|LIT|
LIT|HAK,|HAK|CAN|YVR|DEN|LIT|
LIT|HAN,|HAN|PEK|ORD|LIT|
LIT|HDG,|HDG|CAN|YVR|DEN|LIT|
LIT|HET,|HET|DLC|ICN|YVR|DEN|LIT|
LIT|HFE,|HFE|XIY|PEK|ORD|LIT|
LIT|HJJ,|HJJ|CSX|PEK|ORD|LIT|
LIT|HKT,|HKT|KWE|PEK|ORD|LIT|
LIT|HRB,|HRB|ICN|YVR|DEN|LIT|
LIT|HZH,|HZH|CAN|YVR|DEN|LIT|
LIT|JIU,|JIU|CAN|YVR|DEN|LIT|
LIT|JJN,|JJN|PEK|ORD|LIT|
LIT|JNG,|JNG|CAN|YVR|DEN|LIT|
LIT|KHN,|KHN|DLC|ICN|YVR|DEN|LIT|
LIT|KIX,|KIX|SFO|LAS|LIT|
LIT|KOW,|KOW|PEK|ORD|LIT|
LIT|KTM,|KTM|IST|ORD|LIT|
LIT|KUL,|KUL|PVG|YVR|DEN|LIT|
LIT|KWE,|KWE|PEK|ORD|LIT|
LIT|KWL,|KWL|PEK|ORD|LIT|
LIT|LHW,|LHW|CGO|PEK|ORD|LIT|
LIT|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|LIT|
LIT|LYG,|LYG|HSN|PEK|ORD|LIT|
LIT|LZH,|LZH|CAN|YVR|DEN|LIT|
LIT|MEL,|MEL|SYD|LAX|PHX|LIT|
LIT|MIG,|MIG|CSX|PEK|ORD|LIT|
LIT|MLE,|MLE|IST|ORD|LIT|
LIT|MNL,|MNL|XMN|PEK|ORD|LIT|
LIT|MXZ,|MXZ|CAN|YVR|DEN|LIT|
LIT|NAO,|NAO|PEK|ORD|LIT|
LIT|NGB,|NGB|PEK|ORD|LIT|
LIT|NKG,|NKG|DLC|ICN|YVR|DEN|LIT|
LIT|NNY,|NNY|CGO|PEK|ORD|LIT|
LIT|PEN,|PEN|CAN|YVR|DEN|LIT|
LIT|PER,|PER|CAN|YVR|DEN|LIT|
LIT|PNH,|PNH|CAN|YVR|DEN|LIT|
LIT|REP,|REP|ICN|YVR|DEN|LIT|
LIT|RGN,|RGN|CAN|YVR|DEN|LIT|
LIT|SGN,|SGN|HKG|YVR|DEN|LIT|
LIT|SHA,|SHA|PEK|ORD|LIT|
LIT|SIN,|SIN|HKG|YVR|DEN|LIT|
LIT|SVO,|SVO|URC|TSE|FRA|ORD|LIT|
LIT|SYX,|SYX|CAN|YVR|DEN|LIT|
LIT|TAO,|TAO|DLC|ICN|YVR|DEN|LIT|
LIT|TEN,|TEN|PEK|ORD|LIT|
LIT|TNA,|TNA|DLC|ICN|YVR|DEN|LIT|
LIT|TPE,|TPE|PVG|YVR|DEN|LIT|
