CNX|PDX,|PDX|SEA|ICN|CAN|CNX|
CNX|PEK,|PEK|CAN|CNX|
CNX|PVG,|PVG|CAN|CNX|
CNX|PVR,|PVR|LAX|CAN|CNX|
CNX|SEA,|SEA|ICN|CAN|CNX|
CNX|SYD,|SYD|CAN|CNX|
CNX|YBL,|YBL|YVR|CAN|CNX|
CNX|YCD,|YCD|YVR|CAN|CNX|
CNX|YCG,|YCG|YVR|CAN|CNX|
CNX|YKA,|YKA|YVR|CAN|CNX|
CNX|YPR,|YPR|YVR|CAN|CNX|
CNX|YQZ,|YQZ|YVR|CAN|CNX|
CNX|YXC,|YXC|YVR|CAN|CNX|
CNX|YXJ,|YXJ|YVR|CAN|CNX|
CNX|YXS,|YXS|YVR|CAN|CNX|
CNX|YXT,|YXT|YVR|CAN|CNX|
CNX|YXY,|YXY|YVR|CAN|CNX|
CNX|YYD,|YYD|YVR|CAN|CNX|
CNX|YYF,|YYF|YVR|CAN|CNX|
CNX|YZP,|YZP|YVR|CAN|CNX|
CNX|YQT,|YQT|YWG|YVR|CAN|CNX|
CNX|SJD,|SJD|LAX|CAN|CNX|
CNX|YQF,|YQF|YYC|YVR|CAN|CNX|
CNX|YQL,|YQL|YYC|YVR|CAN|CNX|
CNX|YXH,|YXH|YYC|YVR|CAN|CNX|
CNX|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|CNX|
CNX|ANU,|ANU|EWR|PEK|CAN|CNX|
CNX|AUA,|AUA|EWR|PEK|CAN|CNX|
CNX|AUH,|AUH|IST|CAN|CNX|
CNX|BCN,|BCN|IST|CAN|CNX|
CNX|BDA,|BDA|EWR|PEK|CAN|CNX|
CNX|BGI,|BGI|YYZ|PEK|CAN|CNX|
CNX|BNA,|BNA|ORD|PEK|CAN|CNX|
CNX|BOG,|BOG|MIA|ORD|PEK|CAN|CNX|
CNX|BWI,|BWI|YYZ|PEK|CAN|CNX|
CNX|CLE,|CLE|YYZ|PEK|CAN|CNX|
CNX|CLT,|CLT|YYZ|PEK|CAN|CNX|
CNX|CMH,|CMH|ORD|PEK|CAN|CNX|
CNX|CVG,|CVG|ORD|PEK|CAN|CNX|
CNX|DFW,|DFW|YVR|CAN|CNX|
CNX|DTW,|DTW|PEK|CAN|CNX|
CNX|DUB,|DUB|IST|CAN|CNX|
CNX|FCO,|FCO|IST|CAN|CNX|
CNX|GCM,|GCM|YYZ|PEK|CAN|CNX|
CNX|GGT,|GGT|YYZ|PEK|CAN|CNX|
CNX|GND,|GND|YYZ|PEK|CAN|CNX|
CNX|GRU,|GRU|IST|CAN|CNX|
CNX|HAV,|HAV|YYZ|PEK|CAN|CNX|
CNX|IND,|IND|ORD|PEK|CAN|CNX|
CNX|JFK,|JFK|PEK|CAN|CNX|
CNX|KIN,|KIN|YYZ|PEK|CAN|CNX|
CNX|LIM,|LIM|IAH|YVR|CAN|CNX|
CNX|LIR,|LIR|IAH|YVR|CAN|CNX|
CNX|MCI,|MCI|DEN|YVR|CAN|CNX|
CNX|MDT,|MDT|YYZ|PEK|CAN|CNX|
CNX|MIA,|MIA|ORD|PEK|CAN|CNX|
CNX|MKE,|MKE|ORD|PEK|CAN|CNX|
CNX|MSP,|MSP|ORD|PEK|CAN|CNX|
CNX|NAS,|NAS|YYZ|PEK|CAN|CNX|
CNX|PHL,|PHL|YYZ|PEK|CAN|CNX|
CNX|PHX,|PHX|SFO|PVG|CAN|CNX|
CNX|PIT,|PIT|YYZ|PEK|CAN|CNX|
CNX|PLS,|PLS|EWR|PEK|CAN|CNX|
CNX|POP,|POP|EWR|PEK|CAN|CNX|
CNX|RDU,|RDU|YYZ|PEK|CAN|CNX|
CNX|ROC,|ROC|YYZ|PEK|CAN|CNX|
CNX|RSW,|RSW|ORD|PEK|CAN|CNX|
CNX|SAN,|SAN|LAX|CAN|CNX|
CNX|SJO,|SJO|IAH|YVR|CAN|CNX|
CNX|STL,|STL|ORD|PEK|CAN|CNX|
CNX|SYR,|SYR|YYZ|PEK|CAN|CNX|
CNX|TLV,|TLV|IST|CAN|CNX|
CNX|TPA,|TPA|ORD|PEK|CAN|CNX|
CNX|UVF,|UVF|EWR|PEK|CAN|CNX|
CNX|VIE,|VIE|IST|CAN|CNX|
CNX|YAM,|YAM|YYZ|PEK|CAN|CNX|
CNX|YGK,|YGK|YYZ|PEK|CAN|CNX|
CNX|YQG,|YQG|YYZ|PEK|CAN|CNX|
CNX|YSB,|YSB|YYZ|PEK|CAN|CNX|
CNX|YTS,|YTS|YYZ|PEK|CAN|CNX|
CNX|YYB,|YYB|YYZ|PEK|CAN|CNX|
CNX|YZR,|YZR|YYZ|PEK|CAN|CNX|
CNX|CAN,|CAN|CNX|
CNX|URC,|URC|CAN|CNX|
CNX|CTU,|CTU|CAN|CNX|
CNX|HGH,|HGH|CAN|CNX|
CNX|XMN,|XMN|CAN|CNX|
CNX|CGO,|CGO|CAN|CNX|
CNX|CSX,|CSX|CAN|CNX|
CNX|SHE,|SHE|CAN|CNX|
CNX|SJW,|SJW|CAN|CNX|
CNX|WUH,|WUH|CAN|CNX|
CNX|SZX,|SZX|MXZ|CAN|CNX|
CNX|CKG,|CKG|CAN|CNX|
CNX|KMG,|KMG|CAN|CNX|
CNX|FOC,|FOC|CAN|CNX|
CNX|NNG,|NNG|CAN|CNX|
CNX|SWA,|SWA|CAN|CNX|
CNX|ACX,|ACX|CAN|CNX|
CNX|AQG,|AQG|CAN|CNX|
CNX|AVA,|AVA|CAN|CNX|
CNX|BFJ,|BFJ|CAN|CNX|
CNX|BHY,|BHY|CAN|CNX|
CNX|BNE,|BNE|CAN|CNX|
CNX|CGD,|CGD|CAN|CNX|
CNX|CGK,|CGK|CAN|CNX|
CNX|CGQ,|CGQ|CAN|CNX|
CNX|CIH,|CIH|CAN|CNX|
CNX|CZX,|CZX|CAN|CNX|
CNX|DAC,|DAC|CAN|CNX|
CNX|DAD,|DAD|CAN|CNX|
CNX|DEL,|DEL|CAN|CNX|
CNX|DIG,|DIG|CAN|CNX|
CNX|DLC,|DLC|CAN|CNX|
CNX|DPS,|DPS|CAN|CNX|
CNX|DXB,|DXB|CAN|CNX|
CNX|DYG,|DYG|CAN|CNX|
CNX|FUG,|FUG|CAN|CNX|
CNX|FUK,|FUK|CAN|CNX|
CNX|HAK,|HAK|CAN|CNX|
CNX|HAN,|HAN|CAN|CNX|
CNX|HDG,|HDG|CAN|CNX|
CNX|HET,|HET|CAN|CNX|
CNX|HFE,|HFE|CAN|CNX|
CNX|HJJ,|HJJ|CAN|CNX|
CNX|HKT,|HKT|CAN|CNX|
CNX|HRB,|HRB|CAN|CNX|
CNX|HZH,|HZH|CAN|CNX|
CNX|JIU,|JIU|CAN|CNX|
CNX|JJN,|JJN|CAN|CNX|
CNX|JNG,|JNG|CAN|CNX|
CNX|KHN,|KHN|CAN|CNX|
CNX|KIX,|KIX|CAN|CNX|
CNX|KOW,|KOW|CAN|CNX|
CNX|KTM,|KTM|CAN|CNX|
CNX|KUL,|KUL|CAN|CNX|
CNX|KWE,|KWE|CAN|CNX|
CNX|KWL,|KWL|CAN|CNX|
CNX|LHW,|LHW|CAN|CNX|
CNX|LYA,|LYA|CAN|CNX|
CNX|LYG,|LYG|CAN|CNX|
CNX|LZH,|LZH|CAN|CNX|
CNX|MEL,|MEL|CAN|CNX|
CNX|MIG,|MIG|CAN|CNX|
CNX|MLE,|MLE|CAN|CNX|
CNX|MNL,|MNL|CAN|CNX|
CNX|MXZ,|MXZ|CAN|CNX|
CNX|NAO,|NAO|CAN|CNX|
CNX|NGB,|NGB|CAN|CNX|
CNX|NKG,|NKG|CAN|CNX|
CNX|NNY,|NNY|CAN|CNX|
CNX|PEN,|PEN|CAN|CNX|
CNX|PER,|PER|CAN|CNX|
CNX|PNH,|PNH|CAN|CNX|
CNX|REP,|REP|CAN|CNX|
CNX|RGN,|RGN|CAN|CNX|
CNX|SGN,|SGN|CAN|CNX|
CNX|SHA,|SHA|CAN|CNX|
CNX|SIN,|SIN|CAN|CNX|
CNX|SVO,|SVO|CAN|CNX|
CNX|SYX,|SYX|CAN|CNX|
CNX|TAO,|TAO|CAN|CNX|
CNX|TEN,|TEN|CAN|CNX|
CNX|TNA,|TNA|CAN|CNX|
CNX|TPE,|TPE|CAN|CNX|
CNX|TSN,|TSN|CAN|CNX|
CNX|TXN,|TXN|CAN|CNX|
CNX|TYN,|TYN|CAN|CNX|
CNX|WNZ,|WNZ|CAN|CNX|
CNX|WUX,|WUX|CAN|CNX|
CNX|XFN,|XFN|CAN|CNX|
CNX|XIY,|XIY|CAN|CNX|
CNX|XUZ,|XUZ|CAN|CNX|
CNX|YIH,|YIH|CAN|CNX|
CNX|YIW,|YIW|CAN|CNX|
CNX|YNT,|YNT|CAN|CNX|
CNX|YNZ,|YNZ|CAN|CNX|
CNX|YTY,|YTY|CAN|CNX|
CNX|ZHA,|ZHA|CAN|CNX|
CNX|ZYI,|ZYI|CAN|CNX|
CNX|BAV,|BAV|CSX|CAN|CNX|
CNX|CJU,|CJU|CSX|CAN|CNX|
CNX|DSN,|DSN|CGO|CAN|CNX|
CNX|HMI,|HMI|CGO|CAN|CNX|
CNX|INC,|INC|XIY|CAN|CNX|
CNX|KHH,|KHH|WUH|CAN|CNX|
