KHN|AKL,|AKL|CAN|KHN|
KHN|HKG,|HKG|CAN|KHN|
KHN|HND,|HND|HNL|NRT|DLC|KHN|
KHN|HNL,|HNL|NRT|DLC|KHN|
KHN|MEX,|MEX|SFO|ICN|DLC|KHN|
KHN|OGG,|OGG|HNL|NRT|DLC|KHN|
KHN|PDX,|PDX|SEA|ICN|DLC|KHN|
KHN|PEK,|PEK|DLC|KHN|
KHN|PVG,|PVG|CAN|KHN|
KHN|PVR,|PVR|LAX|ICN|DLC|KHN|
KHN|SEA,|SEA|ICN|DLC|KHN|
KHN|SYD,|SYD|CAN|KHN|
KHN|YBL,|YBL|YVR|ICN|DLC|KHN|
KHN|YCD,|YCD|YVR|ICN|DLC|KHN|
KHN|YCG,|YCG|YVR|ICN|DLC|KHN|
KHN|YKA,|YKA|YVR|ICN|DLC|KHN|
KHN|YPR,|YPR|YVR|ICN|DLC|KHN|
KHN|YQZ,|YQZ|YVR|ICN|DLC|KHN|
KHN|YXC,|YXC|YVR|ICN|DLC|KHN|
KHN|YXJ,|YXJ|YVR|ICN|DLC|KHN|
KHN|YXS,|YXS|YVR|ICN|DLC|KHN|
KHN|YXT,|YXT|YVR|ICN|DLC|KHN|
KHN|YXY,|YXY|YVR|ICN|DLC|KHN|
KHN|YYD,|YYD|YVR|ICN|DLC|KHN|
KHN|YYF,|YYF|YVR|ICN|DLC|KHN|
KHN|YZP,|YZP|YVR|ICN|DLC|KHN|
KHN|YQT,|YQT|YWG|YVR|ICN|DLC|KHN|
KHN|SJD,|SJD|LAX|ICN|DLC|KHN|
KHN|YQF,|YQF|YYC|YVR|ICN|DLC|KHN|
KHN|YQL,|YQL|YYC|YVR|ICN|DLC|KHN|
KHN|YXH,|YXH|YYC|YVR|ICN|DLC|KHN|
KHN|YWK,|YWK|YZV|YQB|YYZ|PEK|DLC|KHN|
KHN|ANU,|ANU|EWR|PEK|DLC|KHN|
KHN|AUA,|AUA|EWR|PEK|DLC|KHN|
KHN|AUH,|AUH|IST|URC|XIY|KHN|
KHN|BCN,|BCN|IST|URC|XIY|KHN|
KHN|BDA,|BDA|EWR|PEK|DLC|KHN|
KHN|BGI,|BGI|YYZ|PEK|DLC|KHN|
KHN|BNA,|BNA|ORD|PEK|DLC|KHN|
KHN|BOG,|BOG|MIA|ORD|PEK|DLC|KHN|
KHN|BWI,|BWI|YYZ|PEK|DLC|KHN|
KHN|CLE,|CLE|YYZ|PEK|DLC|KHN|
KHN|CLT,|CLT|YYZ|PEK|DLC|KHN|
KHN|CMH,|CMH|ORD|PEK|DLC|KHN|
KHN|CVG,|CVG|ORD|PEK|DLC|KHN|
KHN|DFW,|DFW|YVR|ICN|DLC|KHN|
KHN|DTW,|DTW|PEK|DLC|KHN|
KHN|DUB,|DUB|IST|URC|XIY|KHN|
KHN|FCO,|FCO|IST|URC|XIY|KHN|
KHN|GCM,|GCM|IAH|YVR|ICN|DLC|KHN|
KHN|GGT,|GGT|YYZ|PEK|DLC|KHN|
KHN|GND,|GND|YYZ|PEK|DLC|KHN|
KHN|GRU,|GRU|IST|URC|XIY|KHN|
KHN|HAV,|HAV|YYZ|PEK|DLC|KHN|
KHN|IND,|IND|ORD|PEK|DLC|KHN|
KHN|JFK,|JFK|PEK|DLC|KHN|
KHN|KIN,|KIN|YYZ|PEK|DLC|KHN|
KHN|LIM,|LIM|IAH|YVR|ICN|DLC|KHN|
KHN|LIR,|LIR|IAH|YVR|ICN|DLC|KHN|
KHN|MCI,|MCI|DEN|YVR|ICN|DLC|KHN|
KHN|MDT,|MDT|YYZ|PEK|DLC|KHN|
KHN|MIA,|MIA|ORD|PEK|DLC|KHN|
KHN|MKE,|MKE|ORD|PEK|DLC|KHN|
KHN|MSP,|MSP|DEN|YVR|ICN|DLC|KHN|
KHN|NAS,|NAS|YYZ|PEK|DLC|KHN|
KHN|PHL,|PHL|YYZ|PEK|DLC|KHN|
KHN|PHX,|PHX|SFO|ICN|DLC|KHN|
KHN|PIT,|PIT|YYZ|PEK|DLC|KHN|
KHN|PLS,|PLS|EWR|PEK|DLC|KHN|
KHN|POP,|POP|EWR|PEK|DLC|KHN|
KHN|RDU,|RDU|YYZ|PEK|DLC|KHN|
KHN|ROC,|ROC|YYZ|PEK|DLC|KHN|
KHN|RSW,|RSW|ORD|PEK|DLC|KHN|
KHN|SAN,|SAN|LAX|ICN|DLC|KHN|
KHN|SJO,|SJO|IAH|YVR|ICN|DLC|KHN|
KHN|STL,|STL|ORD|PEK|DLC|KHN|
KHN|SYR,|SYR|YYZ|PEK|DLC|KHN|
KHN|TLV,|TLV|SAW|TBS|URC|XIY|KHN|
KHN|TPA,|TPA|ORD|PEK|DLC|KHN|
KHN|UVF,|UVF|EWR|PEK|DLC|KHN|
KHN|VIE,|VIE|IST|URC|XIY|KHN|
KHN|YAM,|YAM|YYZ|PEK|DLC|KHN|
KHN|YGK,|YGK|YYZ|PEK|DLC|KHN|
KHN|YQG,|YQG|YYZ|PEK|DLC|KHN|
KHN|YSB,|YSB|YYZ|PEK|DLC|KHN|
KHN|YTS,|YTS|YYZ|PEK|DLC|KHN|
KHN|YYB,|YYB|YYZ|PEK|DLC|KHN|
KHN|YZR,|YZR|YYZ|PEK|DLC|KHN|
KHN|CAN,|CAN|KHN|
KHN|URC,|URC|XIY|KHN|
KHN|CTU,|CTU|XIY|KHN|
KHN|HGH,|HGH|XMN|KHN|
KHN|XMN,|XMN|KHN|
KHN|CGO,|CGO|XMN|KHN|
KHN|CSX,|CSX|NKG|KHN|
KHN|SHE,|SHE|NKG|KHN|
KHN|SJW,|SJW|DLC|KHN|
KHN|WUH,|WUH|XMN|KHN|
KHN|SZX,|SZX|KHN|
KHN|CKG,|CKG|KHN|
KHN|KMG,|KMG|KHN|
KHN|FOC,|FOC|NKG|KHN|
KHN|NNG,|NNG|KHN|
KHN|SWA,|SWA|CAN|KHN|
KHN|ACX,|ACX|CAN|KHN|
KHN|AQG,|AQG|CAN|KHN|
KHN|AVA,|AVA|CAN|KHN|
KHN|BFJ,|BFJ|CAN|KHN|
KHN|BHY,|BHY|CAN|KHN|
KHN|BNE,|BNE|CAN|KHN|
KHN|CGD,|CGD|CAN|KHN|
KHN|CGK,|CGK|CAN|KHN|
KHN|CGQ,|CGQ|KHN|
KHN|CIH,|CIH|DAT|TYN|KHN|
KHN|CNX,|CNX|CAN|KHN|
KHN|CZX,|CZX|FOC|NKG|KHN|
KHN|DAC,|DAC|CAN|KHN|
KHN|DAD,|DAD|CAN|KHN|
KHN|DEL,|DEL|CAN|KHN|
KHN|DIG,|DIG|KMG|KHN|
KHN|DLC,|DLC|KHN|
KHN|DPS,|DPS|SZX|KHN|
KHN|DXB,|DXB|CAN|KHN|
KHN|DYG,|DYG|CAN|KHN|
KHN|FUG,|FUG|CAN|KHN|
KHN|FUK,|FUK|ICN|DLC|KHN|
KHN|HAK,|HAK|CAN|KHN|
KHN|HAN,|HAN|CAN|KHN|
KHN|HDG,|HDG|CAN|KHN|
KHN|HET,|HET|NKG|KHN|
KHN|HFE,|HFE|XMN|KHN|
KHN|HJJ,|HJJ|CAN|KHN|
KHN|HKT,|HKT|CAN|KHN|
KHN|HRB,|HRB|KHN|
KHN|HZH,|HZH|CAN|KHN|
KHN|JIU,|JIU|CAN|KHN|
KHN|JJN,|JJN|NKG|KHN|
KHN|JNG,|JNG|CAN|KHN|
KHN|KIX,|KIX|DLC|KHN|
KHN|KOW,|KOW|CAN|KHN|
KHN|KTM,|KTM|CAN|KHN|
KHN|KUL,|KUL|CAN|KHN|
KHN|KWE,|KWE|CKG|KHN|
KHN|KWL,|KWL|CAN|KHN|
KHN|LHW,|LHW|CSX|NKG|KHN|
KHN|LYA,|LYA|KHN|
KHN|LYG,|LYG|HSN|XMN|KHN|
KHN|LZH,|LZH|CAN|KHN|
KHN|MEL,|MEL|CAN|KHN|
KHN|MIG,|MIG|CAN|KHN|
KHN|MLE,|MLE|CAN|KHN|
KHN|MNL,|MNL|XMN|KHN|
KHN|MXZ,|MXZ|CAN|KHN|
KHN|NAO,|NAO|CAN|KHN|
KHN|NGB,|NGB|XMN|KHN|
KHN|NKG,|NKG|KHN|
KHN|NNY,|NNY|CAN|KHN|
KHN|PEN,|PEN|CAN|KHN|
KHN|PER,|PER|CAN|KHN|
KHN|PNH,|PNH|CAN|KHN|
KHN|REP,|REP|CAN|KHN|
KHN|RGN,|RGN|CAN|KHN|
KHN|SGN,|SGN|CAN|KHN|
KHN|SHA,|SHA|XMN|KHN|
KHN|SIN,|SIN|CAN|KHN|
KHN|SVO,|SVO|URC|XIY|KHN|
KHN|SYX,|SYX|CAN|KHN|
KHN|TAO,|TAO|DLC|KHN|
KHN|TEN,|TEN|CAN|KHN|
KHN|TNA,|TNA|DLC|KHN|
KHN|TPE,|TPE|CAN|KHN|
KHN|TSN,|TSN|DLC|KHN|
KHN|TXN,|TXN|XMN|KHN|
KHN|TYN,|TYN|KHN|
KHN|WNZ,|WNZ|CAN|KHN|
KHN|WUX,|WUX|CAN|KHN|
KHN|XFN,|XFN|XMN|KHN|
KHN|XIY,|XIY|KHN|
KHN|XUZ,|XUZ|CAN|KHN|
KHN|YIH,|YIH|CKG|KHN|
KHN|YIW,|YIW|XMN|KHN|
KHN|YNT,|YNT|SHE|NKG|KHN|
KHN|YNZ,|YNZ|XMN|KHN|
KHN|YTY,|YTY|CAN|KHN|
KHN|ZHA,|ZHA|CAN|KHN|
KHN|ZYI,|ZYI|CAN|KHN|
KHN|BAV,|BAV|SJW|DLC|KHN|
KHN|CJU,|CJU|DLC|KHN|
KHN|DSN,|DSN|CGO|XMN|KHN|
KHN|HMI,|HMI|URC|XIY|KHN|
KHN|INC,|INC|XIY|KHN|
KHN|KHH,|KHH|WUH|XMN|KHN|
KHN|UYN,|UYN|XIY|KHN|
KHN|XNN,|XNN|XIY|KHN|
KHN|ZUH,|ZUH|KHN|
KHN|YNJ,|YNJ|DLC|KHN|
KHN|DAT,|DAT|TYN|KHN|
KHN|JHG,|JHG|KMG|KHN|
KHN|LJG,|LJG|CKG|KHN|
KHN|LXA,|LXA|CKG|KHN|
KHN|YCU,|YCU|CKG|KHN|
KHN|LZO,|LZO|SZX|KHN|
KHN|MDG,|MDG|DLC|KHN|
KHN|NGO,|NGO|DLC|KHN|
KHN|TOY,|TOY|DLC|KHN|
KHN|MFM,|MFM|XMN|KHN|
KHN|TGO,|TGO|HET|NKG|KHN|
KHN|XIL,|XIL|HET|NKG|KHN|
KHN|HEK,|HEK|HRB|KHN|
KHN|KIJ,|KIJ|HRB|KHN|
KHN|LDS,|LDS|HRB|KHN|
KHN|OHE,|OHE|HRB|KHN|
KHN|HSN,|HSN|XMN|KHN|
KHN|DLU,|DLU|KMG|KHN|
KHN|SYM,|SYM|KMG|KHN|
KHN|ZAT,|ZAT|KMG|KHN|
KHN|LUN,|LUN|NBO|CAN|KHN|
KHN|AOG,|AOG|PEK|DLC|KHN|
KHN|GMP,|GMP|PEK|DLC|KHN|
KHN|ISB,|ISB|URC|XIY|KHN|
KHN|TAS,|TAS|URC|XIY|KHN|
KHN|WUS,|WUS|PEK|DLC|KHN|
KHN|JMU,|JMU|PVG|CAN|KHN|
KHN|NDG,|NDG|PVG|CAN|KHN|
KHN|JXA,|JXA|SHE|NKG|KHN|
KHN|PUS,|PUS|SHE|NKG|KHN|
KHN|BKI,|BKI|SZX|KHN|
KHN|AKU,|AKU|URC|XIY|KHN|
KHN|ALA,|ALA|URC|XIY|KHN|
KHN|ASB,|ASB|URC|XIY|KHN|
KHN|DNH,|DNH|XIY|KHN|
KHN|DYU,|DYU|URC|XIY|KHN|
KHN|FRU,|FRU|URC|XIY|KHN|
KHN|GYD,|GYD|URC|XIY|KHN|
KHN|HTN,|HTN|URC|XIY|KHN|
KHN|IKA,|IKA|URC|XIY|KHN|
KHN|KCA,|KCA|URC|XIY|KHN|
KHN|KHG,|KHG|URC|XIY|KHN|
KHN|KRL,|KRL|URC|XIY|KHN|
KHN|KRY,|KRY|URC|XIY|KHN|
KHN|LBD,|LBD|URC|XIY|KHN|
KHN|NLT,|NLT|URC|XIY|KHN|
