MTY|TLV,|TLV|YYZ|IAH|MTY|
MTY|TPA,|TPA|IAH|MTY|
MTY|UVF,|UVF|EWR|IAH|MTY|
MTY|VIE,|VIE|YYZ|IAH|MTY|
MTY|YAM,|YAM|YYZ|IAH|MTY|
MTY|YGK,|YGK|YYZ|IAH|MTY|
MTY|YQG,|YQG|YYZ|IAH|MTY|
MTY|YSB,|YSB|YYZ|IAH|MTY|
MTY|YTS,|YTS|YYZ|IAH|MTY|
MTY|YYB,|YYB|YYZ|IAH|MTY|
MTY|YZR,|YZR|YYZ|IAH|MTY|
MTY|CAN,|CAN|YVR|IAH|MTY|
MTY|URC,|URC|PEK|IAH|MTY|
MTY|CTU,|CTU|PEK|IAH|MTY|
MTY|HGH,|HGH|PEK|IAH|MTY|
MTY|XMN,|XMN|PEK|IAH|MTY|
MTY|CGO,|CGO|PEK|IAH|MTY|
MTY|CSX,|CSX|PEK|IAH|MTY|
MTY|SHE,|SHE|ICN|YVR|IAH|MTY|
MTY|SJW,|SJW|DLC|ICN|YVR|IAH|MTY|
MTY|WUH,|WUH|PEK|IAH|MTY|
MTY|SZX,|SZX|PVG|YVR|IAH|MTY|
MTY|CKG,|CKG|PEK|IAH|MTY|
MTY|KMG,|KMG|PEK|IAH|MTY|
MTY|FOC,|FOC|PEK|IAH|MTY|
MTY|NNG,|NNG|PEK|IAH|MTY|
MTY|SWA,|SWA|PEK|IAH|MTY|
MTY|ACX,|ACX|CAN|YVR|IAH|MTY|
MTY|AQG,|AQG|CAN|YVR|IAH|MTY|
MTY|AVA,|AVA|CAN|YVR|IAH|MTY|
MTY|BFJ,|BFJ|CAN|YVR|IAH|MTY|
MTY|BHY,|BHY|CGO|PEK|IAH|MTY|
MTY|BNE,|BNE|CAN|YVR|IAH|MTY|
MTY|CGD,|CGD|PEK|IAH|MTY|
MTY|CGK,|CGK|CAN|YVR|IAH|MTY|
MTY|CGQ,|CGQ|ICN|YVR|IAH|MTY|
MTY|CIH,|CIH|PEK|IAH|MTY|
MTY|CNX,|CNX|CAN|YVR|IAH|MTY|
MTY|CZX,|CZX|SHE|ICN|YVR|IAH|MTY|
MTY|DAC,|DAC|CAN|YVR|IAH|MTY|
MTY|DAD,|DAD|CAN|YVR|IAH|MTY|
MTY|DEL,|DEL|EWR|IAH|MTY|
MTY|DIG,|DIG|KMG|PEK|IAH|MTY|
MTY|DLC,|DLC|ICN|YVR|IAH|MTY|
MTY|DPS,|DPS|SZX|PVG|YVR|IAH|MTY|
MTY|DXB,|DXB|IST|IAH|MTY|
MTY|DYG,|DYG|PEK|IAH|MTY|
MTY|FUG,|FUG|CAN|YVR|IAH|MTY|
MTY|FUK,|FUK|ICN|YVR|IAH|MTY|
MTY|HAK,|HAK|CAN|YVR|IAH|MTY|
MTY|HAN,|HAN|PEK|IAH|MTY|
MTY|HDG,|HDG|CAN|YVR|IAH|MTY|
MTY|HET,|HET|DLC|ICN|YVR|IAH|MTY|
MTY|HFE,|HFE|XIY|PEK|IAH|MTY|
MTY|HJJ,|HJJ|CSX|PEK|IAH|MTY|
MTY|HKT,|HKT|KWE|PEK|IAH|MTY|
MTY|HRB,|HRB|ICN|YVR|IAH|MTY|
MTY|HZH,|HZH|CAN|YVR|IAH|MTY|
MTY|JIU,|JIU|CAN|YVR|IAH|MTY|
MTY|JJN,|JJN|PEK|IAH|MTY|
MTY|JNG,|JNG|CAN|YVR|IAH|MTY|
MTY|KHN,|KHN|DLC|ICN|YVR|IAH|MTY|
MTY|KIX,|KIX|SFO|IAH|MTY|
MTY|KOW,|KOW|PEK|IAH|MTY|
MTY|KTM,|KTM|IST|IAH|MTY|
MTY|KUL,|KUL|PVG|YVR|IAH|MTY|
MTY|KWE,|KWE|PEK|IAH|MTY|
MTY|KWL,|KWL|PEK|IAH|MTY|
MTY|LHW,|LHW|CGO|PEK|IAH|MTY|
MTY|LYA,|LYA|KHN|DLC|ICN|YVR|IAH|MTY|
