JMU|YBL,|YBL|YVR|PVG|JMU|
JMU|YCD,|YCD|YVR|PVG|JMU|
JMU|YCG,|YCG|YVR|PVG|JMU|
JMU|YKA,|YKA|YVR|PVG|JMU|
JMU|YPR,|YPR|YVR|PVG|JMU|
JMU|YQZ,|YQZ|YVR|PVG|JMU|
JMU|YXC,|YXC|YVR|PVG|JMU|
JMU|YXJ,|YXJ|YVR|PVG|JMU|
JMU|YXS,|YXS|YVR|PVG|JMU|
JMU|YXT,|YXT|YVR|PVG|JMU|
JMU|YXY,|YXY|YVR|PVG|JMU|
JMU|YYD,|YYD|YVR|PVG|JMU|
JMU|YYF,|YYF|YVR|PVG|JMU|
JMU|YZP,|YZP|YVR|PVG|JMU|
JMU|YQT,|YQT|YWG|YVR|PVG|JMU|
JMU|SJD,|SJD|LAX|PVG|JMU|
JMU|YQF,|YQF|YYC|YVR|PVG|JMU|
JMU|YQL,|YQL|YYC|YVR|PVG|JMU|
JMU|YXH,|YXH|YYC|YVR|PVG|JMU|
JMU|YWK,|YWK|YZV|YQB|YYZ|PVG|JMU|
JMU|ANU,|ANU|EWR|PVG|JMU|
JMU|AUA,|AUA|YYZ|PVG|JMU|
JMU|AUH,|AUH|IST|PVG|JMU|
JMU|BCN,|BCN|IST|PVG|JMU|
JMU|BDA,|BDA|EWR|PVG|JMU|
JMU|BGI,|BGI|YYZ|PVG|JMU|
JMU|BNA,|BNA|ORD|PVG|JMU|
JMU|BOG,|BOG|MIA|ORD|PVG|JMU|
JMU|BWI,|BWI|YYZ|PVG|JMU|
JMU|CLE,|CLE|YYZ|PVG|JMU|
JMU|CLT,|CLT|ORD|PVG|JMU|
JMU|CMH,|CMH|ORD|PVG|JMU|
JMU|CVG,|CVG|ORD|PVG|JMU|
JMU|DFW,|DFW|YVR|PVG|JMU|
JMU|DTW,|DTW|PVG|JMU|
JMU|DUB,|DUB|IST|PVG|JMU|
JMU|FCO,|FCO|IST|PVG|JMU|
JMU|GCM,|GCM|IAH|YVR|PVG|JMU|
JMU|GGT,|GGT|YYZ|PVG|JMU|
JMU|GND,|GND|YYZ|PVG|JMU|
JMU|GRU,|GRU|IST|PVG|JMU|
JMU|HAV,|HAV|YYZ|PVG|JMU|
JMU|IND,|IND|ORD|PVG|JMU|
JMU|JFK,|JFK|ICN|PVG|JMU|
JMU|KIN,|KIN|YYZ|PVG|JMU|
JMU|LIM,|LIM|IAH|YVR|PVG|JMU|
JMU|LIR,|LIR|IAH|YVR|PVG|JMU|
JMU|MCI,|MCI|DEN|YVR|PVG|JMU|
JMU|MDT,|MDT|YYZ|PVG|JMU|
JMU|MIA,|MIA|ORD|PVG|JMU|
JMU|MKE,|MKE|ORD|PVG|JMU|
JMU|MSP,|MSP|ORD|PVG|JMU|
JMU|NAS,|NAS|ORD|PVG|JMU|
JMU|PHL,|PHL|YYZ|PVG|JMU|
JMU|PHX,|PHX|SFO|PVG|JMU|
JMU|PIT,|PIT|YYZ|PVG|JMU|
JMU|PLS,|PLS|YYZ|PVG|JMU|
JMU|POP,|POP|YYZ|PVG|JMU|
JMU|RDU,|RDU|YYZ|PVG|JMU|
JMU|ROC,|ROC|YYZ|PVG|JMU|
JMU|RSW,|RSW|ORD|PVG|JMU|
JMU|SAN,|SAN|LAX|PVG|JMU|
JMU|SJO,|SJO|IAH|YVR|PVG|JMU|
JMU|STL,|STL|ORD|PVG|JMU|
JMU|SYR,|SYR|YYZ|PVG|JMU|
JMU|TLV,|TLV|IST|PVG|JMU|
JMU|TPA,|TPA|ORD|PVG|JMU|
JMU|UVF,|UVF|EWR|PVG|JMU|
JMU|VIE,|VIE|IST|PVG|JMU|
JMU|YAM,|YAM|YYZ|PVG|JMU|
JMU|YGK,|YGK|YYZ|PVG|JMU|
JMU|YQG,|YQG|YYZ|PVG|JMU|
JMU|YSB,|YSB|YYZ|PVG|JMU|
JMU|YTS,|YTS|YYZ|PVG|JMU|
JMU|YYB,|YYB|YYZ|PVG|JMU|
JMU|YZR,|YZR|YYZ|PVG|JMU|
JMU|CAN,|CAN|PVG|JMU|
JMU|URC,|URC|PVG|JMU|
JMU|CTU,|CTU|WUH|PVG|JMU|
JMU|HGH,|HGH|TAO|PVG|JMU|
JMU|XMN,|XMN|WUH|PVG|JMU|
JMU|CGO,|CGO|PVG|JMU|
JMU|CSX,|CSX|PVG|JMU|
JMU|SHE,|SHE|PVG|JMU|
JMU|SJW,|SJW|DLC|PVG|JMU|
JMU|WUH,|WUH|PVG|JMU|
JMU|SZX,|SZX|PVG|JMU|
JMU|CKG,|CKG|WUH|PVG|JMU|
JMU|KMG,|KMG|KWE|PVG|JMU|
JMU|FOC,|FOC|WUH|PVG|JMU|
JMU|NNG,|NNG|PVG|JMU|
JMU|SWA,|SWA|CSX|PVG|JMU|
JMU|ACX,|ACX|CAN|PVG|JMU|
JMU|AQG,|AQG|CAN|PVG|JMU|
JMU|AVA,|AVA|CAN|PVG|JMU|
JMU|BFJ,|BFJ|CAN|PVG|JMU|
JMU|BHY,|BHY|CAN|PVG|JMU|
JMU|BNE,|BNE|CAN|PVG|JMU|
JMU|CGD,|CGD|CAN|PVG|JMU|
JMU|CGK,|CGK|CAN|PVG|JMU|
JMU|CGQ,|CGQ|PVG|JMU|
JMU|CIH,|CIH|PEK|PVG|JMU|
JMU|CNX,|CNX|CAN|PVG|JMU|
JMU|CZX,|CZX|CSX|PVG|JMU|
JMU|DAC,|DAC|CAN|PVG|JMU|
JMU|DAD,|DAD|CAN|PVG|JMU|
JMU|DEL,|DEL|CAN|PVG|JMU|
JMU|DIG,|DIG|KMG|KWE|PVG|JMU|
JMU|DLC,|DLC|PVG|JMU|
JMU|DPS,|DPS|SZX|PVG|JMU|
JMU|DXB,|DXB|CAN|PVG|JMU|
JMU|DYG,|DYG|CSX|PVG|JMU|
JMU|FUG,|FUG|CAN|PVG|JMU|
JMU|FUK,|FUK|ICN|PVG|JMU|
JMU|HAK,|HAK|PVG|JMU|
JMU|HAN,|HAN|CAN|PVG|JMU|
JMU|HDG,|HDG|CAN|PVG|JMU|
JMU|HET,|HET|TAO|PVG|JMU|
JMU|HFE,|HFE|CSX|PVG|JMU|
JMU|HJJ,|HJJ|CSX|PVG|JMU|
JMU|HKT,|HKT|CAN|PVG|JMU|
JMU|HRB,|HRB|PVG|JMU|
JMU|HZH,|HZH|CAN|PVG|JMU|
JMU|JIU,|JIU|CAN|PVG|JMU|
JMU|JJN,|JJN|WUH|PVG|JMU|
JMU|JNG,|JNG|CAN|PVG|JMU|
JMU|KHN,|KHN|CAN|PVG|JMU|
JMU|KIX,|KIX|DLC|PVG|JMU|
JMU|KOW,|KOW|CAN|PVG|JMU|
JMU|KTM,|KTM|CAN|PVG|JMU|
JMU|KUL,|KUL|PVG|JMU|
JMU|KWE,|KWE|PVG|JMU|
JMU|KWL,|KWL|PVG|JMU|
JMU|LHW,|LHW|CGO|PVG|JMU|
JMU|LYA,|LYA|CAN|PVG|JMU|
JMU|LYG,|LYG|CAN|PVG|JMU|
JMU|LZH,|LZH|CAN|PVG|JMU|
JMU|MEL,|MEL|CAN|PVG|JMU|
JMU|MIG,|MIG|CSX|PVG|JMU|
JMU|MLE,|MLE|CAN|PVG|JMU|
JMU|MNL,|MNL|CAN|PVG|JMU|
JMU|MXZ,|MXZ|CAN|PVG|JMU|
JMU|NAO,|NAO|CAN|PVG|JMU|
JMU|NGB,|NGB|TAO|PVG|JMU|
JMU|NKG,|NKG|CSX|PVG|JMU|
JMU|NNY,|NNY|CGO|PVG|JMU|
JMU|PEN,|PEN|CAN|PVG|JMU|
JMU|PER,|PER|CAN|PVG|JMU|
JMU|PNH,|PNH|CAN|PVG|JMU|
JMU|REP,|REP|CAN|PVG|JMU|
JMU|RGN,|RGN|CAN|PVG|JMU|
JMU|SGN,|SGN|CAN|PVG|JMU|
JMU|SHA,|SHA|WUH|PVG|JMU|
JMU|SIN,|SIN|CAN|PVG|JMU|
JMU|SVO,|SVO|URC|PVG|JMU|
JMU|SYX,|SYX|PVG|JMU|
JMU|TAO,|TAO|PVG|JMU|
JMU|TEN,|TEN|CAN|PVG|JMU|
JMU|TNA,|TNA|DLC|PVG|JMU|
JMU|TPE,|TPE|PVG|JMU|
JMU|TSN,|TSN|DLC|PVG|JMU|
JMU|TXN,|TXN|TAO|PVG|JMU|
JMU|TYN,|TYN|TAO|PVG|JMU|
JMU|WNZ,|WNZ|WUH|PVG|JMU|
