SJU|SJD,|SJD|IAH|SJU|
SJU|YQF,|YQF|YYC|ORD|SJU|
SJU|YQL,|YQL|YYC|ORD|SJU|
SJU|YXH,|YXH|YYC|ORD|SJU|
SJU|YWK,|YWK|YZV|YQB|EWR|SJU|
SJU|ANU,|ANU|EWR|SJU|
SJU|AUA,|AUA|ATL|SJU|
SJU|AUH,|AUH|FRA|EWR|SJU|
SJU|BCN,|BCN|EWR|SJU|
SJU|BDA,|BDA|EWR|SJU|
SJU|BGI,|BGI|YYZ|SJU|
SJU|BNA,|BNA|MCO|SJU|
SJU|BOG,|BOG|MIA|MSY|FLL|SJU|
SJU|BWI,|BWI|SJU|
SJU|CLE,|CLE|IAD|SJU|
SJU|CLT,|CLT|MCO|SJU|
SJU|CMH,|CMH|IAD|SJU|
SJU|CVG,|CVG|IAD|SJU|
SJU|DFW,|DFW|IAH|SJU|
SJU|DTW,|DTW|IAD|SJU|
SJU|DUB,|DUB|EWR|SJU|
SJU|FCO,|FCO|EWR|SJU|
SJU|GCM,|GCM|IAD|SJU|
SJU|GGT,|GGT|FLL|SJU|
SJU|GND,|GND|YYZ|SJU|
SJU|GRU,|GRU|IAD|SJU|
SJU|HAV,|HAV|YYZ|SJU|
SJU|IND,|IND|ATL|SJU|
SJU|JFK,|JFK|IAD|SJU|
SJU|KIN,|KIN|YYZ|SJU|
SJU|LIM,|LIM|MIA|MSY|FLL|SJU|
SJU|LIR,|LIR|IAH|SJU|
SJU|MCI,|MCI|ATL|SJU|
SJU|MDT,|MDT|IAD|SJU|
SJU|MIA,|MIA|MSY|FLL|SJU|
SJU|MKE,|MKE|ORD|SJU|
SJU|MSP,|MSP|ORD|SJU|
SJU|NAS,|NAS|ATL|SJU|
SJU|PHL,|PHL|IAD|SJU|
SJU|PHX,|PHX|IAH|SJU|
SJU|PIT,|PIT|IAD|SJU|
SJU|PLS,|PLS|EWR|SJU|
SJU|POP,|POP|EWR|SJU|
SJU|RDU,|RDU|MCO|SJU|
SJU|ROC,|ROC|BWI|SJU|
SJU|RSW,|RSW|MCO|SJU|
SJU|SAN,|SAN|IAH|SJU|
SJU|SJO,|SJO|IAH|SJU|
SJU|STL,|STL|ATL|SJU|
SJU|SYR,|SYR|EWR|SJU|
SJU|TLV,|TLV|EWR|SJU|
SJU|TPA,|TPA|SJU|
SJU|UVF,|UVF|EWR|SJU|
SJU|VIE,|VIE|IAD|SJU|
SJU|YAM,|YAM|YYZ|SJU|
SJU|YGK,|YGK|YYZ|SJU|
SJU|YQG,|YQG|YYZ|SJU|
SJU|YSB,|YSB|YYZ|SJU|
SJU|YTS,|YTS|YYZ|SJU|
SJU|YYB,|YYB|YYZ|SJU|
SJU|YZR,|YZR|YYZ|SJU|
SJU|CAN,|CAN|PEK|EWR|SJU|
SJU|URC,|URC|TSE|FRA|EWR|SJU|
SJU|CTU,|CTU|PEK|EWR|SJU|
SJU|HGH,|HGH|PEK|EWR|SJU|
SJU|XMN,|XMN|PEK|EWR|SJU|
SJU|CGO,|CGO|PEK|EWR|SJU|
SJU|CSX,|CSX|PEK|EWR|SJU|
SJU|SHE,|SHE|PEK|EWR|SJU|
SJU|SJW,|SJW|DLC|PEK|EWR|SJU|
