ROB|YQZ,|YQZ|YVR|YUL|BRU|ROB|
ROB|YXC,|YXC|YYC|YUL|BRU|ROB|
ROB|YXJ,|YXJ|YYC|YUL|BRU|ROB|
ROB|YXS,|YXS|YYC|YUL|BRU|ROB|
ROB|YXT,|YXT|YVR|YUL|BRU|ROB|
ROB|YXY,|YXY|YVR|YUL|BRU|ROB|
ROB|YYD,|YYD|YVR|YUL|BRU|ROB|
ROB|YYF,|YYF|YVR|YUL|BRU|ROB|
ROB|YZP,|YZP|YVR|YUL|BRU|ROB|
ROB|YQT,|YQT|YYZ|BRU|ROB|
ROB|SJD,|SJD|ORD|BRU|ROB|
ROB|YQF,|YQF|YYC|YUL|BRU|ROB|
ROB|YQL,|YQL|YYC|YUL|BRU|ROB|
ROB|YXH,|YXH|YYC|YUL|BRU|ROB|
ROB|YWK,|YWK|YZV|YUL|BRU|ROB|
ROB|ANU,|ANU|EWR|BRU|ROB|
ROB|AUA,|AUA|EWR|BRU|ROB|
ROB|AUH,|AUH|IST|BRU|ROB|
ROB|BCN,|BCN|IST|BRU|ROB|
ROB|BDA,|BDA|EWR|BRU|ROB|
ROB|BGI,|BGI|YYZ|BRU|ROB|
ROB|BNA,|BNA|YYZ|BRU|ROB|
ROB|BOG,|BOG|JFK|BRU|ROB|
ROB|BWI,|BWI|EWR|BRU|ROB|
ROB|CLE,|CLE|YYZ|BRU|ROB|
ROB|CLT,|CLT|EWR|BRU|ROB|
ROB|CMH,|CMH|YYZ|BRU|ROB|
ROB|CVG,|CVG|YYZ|BRU|ROB|
ROB|DFW,|DFW|ORD|BRU|ROB|
ROB|DTW,|DTW|YYZ|BRU|ROB|
ROB|DUB,|DUB|IST|BRU|ROB|
ROB|FCO,|FCO|IST|BRU|ROB|
ROB|GCM,|GCM|EWR|BRU|ROB|
ROB|GGT,|GGT|FLL|EWR|BRU|ROB|
ROB|GND,|GND|YYZ|BRU|ROB|
ROB|GRU,|GRU|IST|BRU|ROB|
ROB|HAV,|HAV|YYZ|BRU|ROB|
ROB|IND,|IND|YYZ|BRU|ROB|
ROB|JFK,|JFK|BRU|ROB|
ROB|KIN,|KIN|YYZ|BRU|ROB|
ROB|LIM,|LIM|EWR|BRU|ROB|
ROB|LIR,|LIR|EWR|BRU|ROB|
ROB|MCI,|MCI|ORD|BRU|ROB|
ROB|MDT,|MDT|IAD|BRU|ROB|
ROB|MIA,|MIA|EWR|BRU|ROB|
ROB|MKE,|MKE|YYZ|BRU|ROB|
ROB|MSP,|MSP|YUL|BRU|ROB|
ROB|NAS,|NAS|EWR|BRU|ROB|
ROB|PHL,|PHL|IAD|BRU|ROB|
ROB|PHX,|PHX|ORD|BRU|ROB|
ROB|PIT,|PIT|YYZ|BRU|ROB|
ROB|PLS,|PLS|EWR|BRU|ROB|
ROB|POP,|POP|EWR|BRU|ROB|
ROB|RDU,|RDU|EWR|BRU|ROB|
ROB|ROC,|ROC|YYZ|BRU|ROB|
ROB|RSW,|RSW|EWR|BRU|ROB|
ROB|SAN,|SAN|ORD|BRU|ROB|
ROB|SJO,|SJO|EWR|BRU|ROB|
ROB|STL,|STL|ORD|BRU|ROB|
ROB|SYR,|SYR|EWR|BRU|ROB|
ROB|TLV,|TLV|IST|BRU|ROB|
ROB|TPA,|TPA|EWR|BRU|ROB|
ROB|UVF,|UVF|EWR|BRU|ROB|
ROB|VIE,|VIE|IST|BRU|ROB|
ROB|YAM,|YAM|YYZ|BRU|ROB|
ROB|YGK,|YGK|YYZ|BRU|ROB|
ROB|YQG,|YQG|YYZ|BRU|ROB|
ROB|YSB,|YSB|YYZ|BRU|ROB|
ROB|YTS,|YTS|YYZ|BRU|ROB|
ROB|YYB,|YYB|YYZ|BRU|ROB|
ROB|YZR,|YZR|YYZ|BRU|ROB|
ROB|CAN,|CAN|IST|BRU|ROB|
ROB|URC,|URC|IST|BRU|ROB|
ROB|CTU,|CTU|URC|IST|BRU|ROB|
ROB|HGH,|HGH|URC|IST|BRU|ROB|
ROB|XMN,|XMN|CSX|URC|IST|BRU|ROB|
ROB|CGO,|CGO|URC|IST|BRU|ROB|
ROB|CSX,|CSX|URC|IST|BRU|ROB|
ROB|SHE,|SHE|PEK|IST|BRU|ROB|
ROB|SJW,|SJW|URC|IST|BRU|ROB|
ROB|WUH,|WUH|URC|IST|BRU|ROB|
ROB|SZX,|SZX|CKG|URC|IST|BRU|ROB|
ROB|CKG,|CKG|URC|IST|BRU|ROB|
ROB|KMG,|KMG|CTU|URC|IST|BRU|ROB|
ROB|FOC,|FOC|XIY|URC|IST|BRU|ROB|
ROB|NNG,|NNG|KWE|URC|IST|BRU|ROB|
ROB|SWA,|SWA|CAN|IST|BRU|ROB|
ROB|ACX,|ACX|CAN|IST|BRU|ROB|
ROB|AQG,|AQG|CAN|IST|BRU|ROB|
ROB|AVA,|AVA|CAN|IST|BRU|ROB|
ROB|BFJ,|BFJ|CAN|IST|BRU|ROB|
ROB|BHY,|BHY|CKG|URC|IST|BRU|ROB|
ROB|BNE,|BNE|BKK|IST|BRU|ROB|
ROB|CGD,|CGD|PEK|IST|BRU|ROB|
ROB|CGK,|CGK|SIN|IST|BRU|ROB|
ROB|CGQ,|CGQ|HET|URC|IST|BRU|ROB|
ROB|CIH,|CIH|PEK|IST|BRU|ROB|
ROB|CNX,|CNX|CAN|IST|BRU|ROB|
ROB|CZX,|CZX|TYN|URC|IST|BRU|ROB|
ROB|DAC,|DAC|IST|BRU|ROB|
ROB|DAD,|DAD|CAN|IST|BRU|ROB|
ROB|DEL,|DEL|IST|BRU|ROB|
ROB|DIG,|DIG|KMG|CTU|URC|IST|BRU|ROB|
ROB|DLC,|DLC|PEK|IST|BRU|ROB|
ROB|DPS,|DPS|CAN|IST|BRU|ROB|
ROB|DXB,|DXB|IST|BRU|ROB|
ROB|DYG,|DYG|CSX|URC|IST|BRU|ROB|
ROB|FUG,|FUG|CAN|IST|BRU|ROB|
ROB|FUK,|FUK|ICN|IST|BRU|ROB|
ROB|HAK,|HAK|CTU|URC|IST|BRU|ROB|
ROB|HAN,|HAN|CAN|IST|BRU|ROB|
ROB|HDG,|HDG|CAN|IST|BRU|ROB|
ROB|HET,|HET|URC|IST|BRU|ROB|
ROB|HFE,|HFE|XIY|URC|IST|BRU|ROB|
ROB|HJJ,|HJJ|CSX|URC|IST|BRU|ROB|
ROB|HKT,|HKT|KWE|URC|IST|BRU|ROB|
ROB|HRB,|HRB|PEK|IST|BRU|ROB|
ROB|HZH,|HZH|CAN|IST|BRU|ROB|
ROB|JIU,|JIU|CAN|IST|BRU|ROB|
ROB|JJN,|JJN|CSX|URC|IST|BRU|ROB|
ROB|JNG,|JNG|CAN|IST|BRU|ROB|
ROB|KHN,|KHN|XIY|URC|IST|BRU|ROB|
ROB|KIX,|KIX|IST|BRU|ROB|
ROB|KOW,|KOW|CAN|IST|BRU|ROB|
ROB|KTM,|KTM|IST|BRU|ROB|
ROB|KUL,|KUL|IST|BRU|ROB|
ROB|KWE,|KWE|URC|IST|BRU|ROB|
ROB|KWL,|KWL|CKG|URC|IST|BRU|ROB|
ROB|LHW,|LHW|URC|IST|BRU|ROB|
ROB|LYA,|LYA|KHN|XIY|URC|IST|BRU|ROB|
ROB|LYG,|LYG|XUZ|INC|URC|IST|BRU|ROB|
ROB|LZH,|LZH|CAN|IST|BRU|ROB|
ROB|MEL,|MEL|BKK|IST|BRU|ROB|
ROB|MIG,|MIG|CSX|URC|IST|BRU|ROB|
ROB|MLE,|MLE|IST|BRU|ROB|
ROB|MNL,|MNL|CAN|IST|BRU|ROB|
ROB|MXZ,|MXZ|CAN|IST|BRU|ROB|
ROB|NAO,|NAO|PEK|IST|BRU|ROB|
ROB|NGB,|NGB|WUH|URC|IST|BRU|ROB|
ROB|NKG,|NKG|URC|IST|BRU|ROB|
ROB|NNY,|NNY|CGO|URC|IST|BRU|ROB|
ROB|PEN,|PEN|CAN|IST|BRU|ROB|
ROB|PER,|PER|BKK|IST|BRU|ROB|
ROB|PNH,|PNH|CAN|IST|BRU|ROB|
ROB|REP,|REP|CAN|IST|BRU|ROB|
ROB|RGN,|RGN|CAN|IST|BRU|ROB|
ROB|SGN,|SGN|BKK|IST|BRU|ROB|
ROB|SHA,|SHA|URC|IST|BRU|ROB|
ROB|SIN,|SIN|IST|BRU|ROB|
ROB|SVO,|SVO|URC|IST|BRU|ROB|
ROB|SYX,|SYX|CKG|URC|IST|BRU|ROB|
ROB|TAO,|TAO|TYN|URC|IST|BRU|ROB|
ROB|TEN,|TEN|CAN|IST|BRU|ROB|
ROB|TNA,|TNA|URC|IST|BRU|ROB|
ROB|TPE,|TPE|URC|IST|BRU|ROB|
ROB|TSN,|TSN|HET|URC|IST|BRU|ROB|
ROB|TXN,|TXN|TYN|URC|IST|BRU|ROB|
ROB|TYN,|TYN|URC|IST|BRU|ROB|
ROB|WNZ,|WNZ|XIY|URC|IST|BRU|ROB|
ROB|WUX,|WUX|CAN|IST|BRU|ROB|
ROB|XFN,|XFN|CAN|IST|BRU|ROB|
ROB|XIY,|XIY|URC|IST|BRU|ROB|
ROB|XUZ,|XUZ|INC|URC|IST|BRU|ROB|
ROB|YIH,|YIH|CKG|URC|IST|BRU|ROB|
ROB|YIW,|YIW|URC|IST|BRU|ROB|
ROB|YNT,|YNT|SHE|PEK|IST|BRU|ROB|
ROB|YNZ,|YNZ|WUH|URC|IST|BRU|ROB|
ROB|YTY,|YTY|CGO|URC|IST|BRU|ROB|
ROB|ZHA,|ZHA|CAN|IST|BRU|ROB|
ROB|ZYI,|ZYI|CAN|IST|BRU|ROB|
ROB|BAV,|BAV|URC|IST|BRU|ROB|
ROB|CJU,|CJU|DLC|PEK|IST|BRU|ROB|
ROB|DSN,|DSN|CGO|URC|IST|BRU|ROB|
ROB|HMI,|HMI|URC|IST|BRU|ROB|
ROB|INC,|INC|URC|IST|BRU|ROB|
ROB|KHH,|KHH|WUH|URC|IST|BRU|ROB|
ROB|UYN,|UYN|XIY|URC|IST|BRU|ROB|
ROB|XNN,|XNN|URC|IST|BRU|ROB|
ROB|ZUH,|ZUH|KWE|URC|IST|BRU|ROB|
ROB|YNJ,|YNJ|PEK|IST|BRU|ROB|
ROB|DAT,|DAT|TYN|URC|IST|BRU|ROB|
ROB|JHG,|JHG|KMG|CTU|URC|IST|BRU|ROB|
ROB|LJG,|LJG|KMG|CTU|URC|IST|BRU|ROB|
ROB|LXA,|LXA|CKG|URC|IST|BRU|ROB|
ROB|YCU,|YCU|CKG|URC|IST|BRU|ROB|
ROB|LZO,|LZO|CSX|URC|IST|BRU|ROB|
ROB|MDG,|MDG|DLC|PEK|IST|BRU|ROB|
ROB|NGO,|NGO|ICN|IST|BRU|ROB|
ROB|TOY,|TOY|DLC|PEK|IST|BRU|ROB|
ROB|MFM,|MFM|XMN|CSX|URC|IST|BRU|ROB|
ROB|TGO,|TGO|HET|URC|IST|BRU|ROB|
ROB|XIL,|XIL|HET|URC|IST|BRU|ROB|
ROB|HEK,|HEK|HRB|PEK|IST|BRU|ROB|
ROB|KIJ,|KIJ|HRB|PEK|IST|BRU|ROB|
ROB|LDS,|LDS|HRB|PEK|IST|BRU|ROB|
ROB|OHE,|OHE|HRB|PEK|IST|BRU|ROB|
ROB|HSN,|HSN|LYG|XUZ|INC|URC|IST|BRU|ROB|
ROB|DLU,|DLU|KMG|CTU|URC|IST|BRU|ROB|
ROB|SYM,|SYM|KMG|CTU|URC|IST|BRU|ROB|
ROB|ZAT,|ZAT|KMG|CTU|URC|IST|BRU|ROB|
ROB|LUN,|LUN|NBO|IST|BRU|ROB|
ROB|AOG,|AOG|PEK|IST|BRU|ROB|
ROB|GMP,|GMP|PEK|IST|BRU|ROB|
ROB|ISB,|ISB|IST|BRU|ROB|
ROB|TAS,|TAS|IST|BRU|ROB|
ROB|WUS,|WUS|PEK|IST|BRU|ROB|
ROB|JMU,|JMU|PVG|IST|BRU|ROB|
ROB|NDG,|NDG|PVG|IST|BRU|ROB|
ROB|JXA,|JXA|SHE|PEK|IST|BRU|ROB|
ROB|PUS,|PUS|SHE|PEK|IST|BRU|ROB|
ROB|BKI,|BKI|SZX|CKG|URC|IST|BRU|ROB|
ROB|AKU,|AKU|URC|IST|BRU|ROB|
ROB|ALA,|ALA|IST|BRU|ROB|
ROB|ASB,|ASB|IST|BRU|ROB|
ROB|DNH,|DNH|URC|IST|BRU|ROB|
ROB|DYU,|DYU|IST|BRU|ROB|
ROB|FRU,|FRU|IST|BRU|ROB|
ROB|GYD,|GYD|IST|BRU|ROB|
