MFM|YVO,|YVO|YUL|YYZ|PEK|XMN|MFM|
MFM|ZBF,|ZBF|YUL|YYZ|PEK|XMN|MFM|
MFM|ZRH,|ZRH|IST|URC|CSX|XMN|MFM|
MFM|ZSA,|ZSA|YUL|YYZ|PEK|XMN|MFM|
MFM|AKL,|AKL|CAN|XMN|MFM|
MFM|HKG,|HKG|XMN|MFM|
MFM|HND,|HND|HNL|NRT|DLC|HGH|MFM|
MFM|HNL,|HNL|NRT|DLC|HGH|MFM|
MFM|MEX,|MEX|SFO|ICN|DLC|HGH|MFM|
MFM|OGG,|OGG|HNL|NRT|DLC|HGH|MFM|
MFM|PDX,|PDX|SEA|ICN|DLC|HGH|MFM|
MFM|PEK,|PEK|XMN|MFM|
MFM|PVG,|PVG|WUH|XMN|MFM|
MFM|PVR,|PVR|LAX|ICN|DLC|HGH|MFM|
MFM|SEA,|SEA|ICN|DLC|HGH|MFM|
MFM|SYD,|SYD|CAN|XMN|MFM|
MFM|YBL,|YBL|YVR|PEK|XMN|MFM|
MFM|YCD,|YCD|YVR|PEK|XMN|MFM|
MFM|YCG,|YCG|YVR|PEK|XMN|MFM|
MFM|YKA,|YKA|YVR|PEK|XMN|MFM|
MFM|YPR,|YPR|YVR|PEK|XMN|MFM|
MFM|YQZ,|YQZ|YVR|PEK|XMN|MFM|
MFM|YXC,|YXC|YVR|PEK|XMN|MFM|
MFM|YXJ,|YXJ|YVR|PEK|XMN|MFM|
MFM|YXS,|YXS|YVR|PEK|XMN|MFM|
MFM|YXT,|YXT|YVR|PEK|XMN|MFM|
MFM|YXY,|YXY|YVR|PEK|XMN|MFM|
MFM|YYD,|YYD|YVR|PEK|XMN|MFM|
MFM|YYF,|YYF|YVR|PEK|XMN|MFM|
MFM|YZP,|YZP|YVR|PEK|XMN|MFM|
MFM|YQT,|YQT|YWG|YVR|PEK|XMN|MFM|
MFM|SJD,|SJD|LAX|ICN|DLC|HGH|MFM|
MFM|YQF,|YQF|YYC|YVR|PEK|XMN|MFM|
MFM|YQL,|YQL|YYC|YVR|PEK|XMN|MFM|
MFM|YXH,|YXH|YYC|YVR|PEK|XMN|MFM|
MFM|YWK,|YWK|YZV|YQB|YYZ|PEK|XMN|MFM|
MFM|ANU,|ANU|EWR|PEK|XMN|MFM|
MFM|AUA,|AUA|EWR|PEK|XMN|MFM|
MFM|AUH,|AUH|IST|URC|CSX|XMN|MFM|
MFM|BCN,|BCN|IST|URC|CSX|XMN|MFM|
MFM|BDA,|BDA|EWR|PEK|XMN|MFM|
MFM|BGI,|BGI|YYZ|PEK|XMN|MFM|
MFM|BNA,|BNA|ORD|PEK|XMN|MFM|
MFM|BOG,|BOG|MIA|ORD|PEK|XMN|MFM|
MFM|BWI,|BWI|YYZ|PEK|XMN|MFM|
MFM|CLE,|CLE|YYZ|PEK|XMN|MFM|
MFM|CLT,|CLT|YYZ|PEK|XMN|MFM|
MFM|CMH,|CMH|ORD|PEK|XMN|MFM|
MFM|CVG,|CVG|ORD|PEK|XMN|MFM|
MFM|DFW,|DFW|YVR|PEK|XMN|MFM|
MFM|DTW,|DTW|PEK|XMN|MFM|
MFM|DUB,|DUB|IST|URC|CSX|XMN|MFM|
MFM|FCO,|FCO|IST|URC|CSX|XMN|MFM|
MFM|GCM,|GCM|YYZ|PEK|XMN|MFM|
MFM|GGT,|GGT|YYZ|PEK|XMN|MFM|
MFM|GND,|GND|YYZ|PEK|XMN|MFM|
MFM|GRU,|GRU|IST|URC|CSX|XMN|MFM|
MFM|HAV,|HAV|YYZ|PEK|XMN|MFM|
MFM|IND,|IND|ORD|PEK|XMN|MFM|
MFM|JFK,|JFK|PEK|XMN|MFM|
MFM|KIN,|KIN|YYZ|PEK|XMN|MFM|
MFM|LIM,|LIM|IAH|PEK|XMN|MFM|
MFM|LIR,|LIR|IAH|PEK|XMN|MFM|
MFM|MCI,|MCI|DEN|YVR|PEK|XMN|MFM|
MFM|MDT,|MDT|YYZ|PEK|XMN|MFM|
MFM|MIA,|MIA|ORD|PEK|XMN|MFM|
MFM|MKE,|MKE|ORD|PEK|XMN|MFM|
MFM|MSP,|MSP|ORD|PEK|XMN|MFM|
MFM|NAS,|NAS|YYZ|PEK|XMN|MFM|
MFM|PHL,|PHL|YYZ|PEK|XMN|MFM|
MFM|PHX,|PHX|SFO|ICN|DLC|HGH|MFM|
MFM|PIT,|PIT|YYZ|PEK|XMN|MFM|
MFM|PLS,|PLS|EWR|PEK|XMN|MFM|
MFM|POP,|POP|EWR|PEK|XMN|MFM|
MFM|RDU,|RDU|YYZ|PEK|XMN|MFM|
MFM|ROC,|ROC|YYZ|PEK|XMN|MFM|
MFM|RSW,|RSW|ORD|PEK|XMN|MFM|
MFM|SAN,|SAN|LAX|ICN|DLC|HGH|MFM|
MFM|SJO,|SJO|IAH|PEK|XMN|MFM|
MFM|STL,|STL|ORD|PEK|XMN|MFM|
MFM|SYR,|SYR|YYZ|PEK|XMN|MFM|
MFM|TLV,|TLV|SAW|TBS|URC|CSX|XMN|MFM|
MFM|TPA,|TPA|ORD|PEK|XMN|MFM|
MFM|UVF,|UVF|EWR|PEK|XMN|MFM|
MFM|VIE,|VIE|IST|URC|CSX|XMN|MFM|
MFM|YAM,|YAM|YYZ|PEK|XMN|MFM|
MFM|YGK,|YGK|YYZ|PEK|XMN|MFM|
MFM|YQG,|YQG|YYZ|PEK|XMN|MFM|
MFM|YSB,|YSB|YYZ|PEK|XMN|MFM|
MFM|YTS,|YTS|YYZ|PEK|XMN|MFM|
MFM|YYB,|YYB|YYZ|PEK|XMN|MFM|
MFM|YZR,|YZR|YYZ|PEK|XMN|MFM|
MFM|CAN,|CAN|XMN|MFM|
MFM|URC,|URC|CSX|XMN|MFM|
MFM|CTU,|CTU|XMN|MFM|
MFM|HGH,|HGH|MFM|
MFM|XMN,|XMN|MFM|
MFM|CGO,|CGO|XMN|MFM|
MFM|CSX,|CSX|XMN|MFM|
MFM|SHE,|SHE|HGH|MFM|
MFM|SJW,|SJW|HGH|MFM|
MFM|WUH,|WUH|XMN|MFM|
MFM|SZX,|SZX|XMN|MFM|
MFM|CKG,|CKG|XMN|MFM|
MFM|KMG,|KMG|XMN|MFM|
MFM|FOC,|FOC|MFM|
MFM|NNG,|NNG|XMN|MFM|
MFM|SWA,|SWA|HKG|XMN|MFM|
MFM|ACX,|ACX|CAN|XMN|MFM|
MFM|AQG,|AQG|CAN|XMN|MFM|
MFM|AVA,|AVA|CAN|XMN|MFM|
MFM|BFJ,|BFJ|CAN|XMN|MFM|
MFM|BHY,|BHY|CAN|XMN|MFM|
MFM|BNE,|BNE|CAN|XMN|MFM|
MFM|CGD,|CGD|CAN|XMN|MFM|
MFM|CGK,|CGK|XMN|MFM|
MFM|CGQ,|CGQ|HGH|MFM|
MFM|CIH,|CIH|CAN|XMN|MFM|
MFM|CNX,|CNX|CAN|XMN|MFM|
MFM|CZX,|CZX|FOC|MFM|
MFM|DAC,|DAC|CAN|XMN|MFM|
MFM|DAD,|DAD|CAN|XMN|MFM|
MFM|DEL,|DEL|CAN|XMN|MFM|
MFM|DIG,|DIG|CAN|XMN|MFM|
MFM|DLC,|DLC|HGH|MFM|
MFM|DPS,|DPS|SZX|XMN|MFM|
MFM|DXB,|DXB|CAN|XMN|MFM|
MFM|DYG,|DYG|CSX|XMN|MFM|
MFM|FUG,|FUG|CAN|XMN|MFM|
MFM|FUK,|FUK|CAN|XMN|MFM|
MFM|HAK,|HAK|XMN|MFM|
MFM|HAN,|HAN|CAN|XMN|MFM|
MFM|HDG,|HDG|CAN|XMN|MFM|
MFM|HET,|HET|NKG|XMN|MFM|
MFM|HFE,|HFE|XMN|MFM|
MFM|HJJ,|HJJ|CSX|XMN|MFM|
MFM|HKT,|HKT|SZX|XMN|MFM|
MFM|HRB,|HRB|HGH|MFM|
MFM|HZH,|HZH|CAN|XMN|MFM|
MFM|JIU,|JIU|CAN|XMN|MFM|
MFM|JJN,|JJN|MFM|
MFM|JNG,|JNG|CAN|XMN|MFM|
MFM|KHN,|KHN|XMN|MFM|
MFM|KIX,|KIX|DLC|HGH|MFM|
MFM|KOW,|KOW|CAN|XMN|MFM|
MFM|KTM,|KTM|CAN|XMN|MFM|
MFM|KUL,|KUL|XMN|MFM|
MFM|KWE,|KWE|CAN|XMN|MFM|
MFM|KWL,|KWL|XMN|MFM|
MFM|LHW,|LHW|CSX|XMN|MFM|
MFM|LYA,|LYA|KHN|XMN|MFM|
MFM|LYG,|LYG|HSN|XMN|MFM|
MFM|LZH,|LZH|CAN|XMN|MFM|
MFM|MEL,|MEL|CAN|XMN|MFM|
MFM|MIG,|MIG|CSX|XMN|MFM|
MFM|MLE,|MLE|CAN|XMN|MFM|
MFM|MNL,|MNL|XMN|MFM|
MFM|MXZ,|MXZ|SZX|XMN|MFM|
MFM|NAO,|NAO|CAN|XMN|MFM|
MFM|NGB,|NGB|XMN|MFM|
MFM|NKG,|NKG|XMN|MFM|
MFM|NNY,|NNY|CGO|XMN|MFM|
MFM|PEN,|PEN|CAN|XMN|MFM|
MFM|PER,|PER|CAN|XMN|MFM|
MFM|PNH,|PNH|CAN|XMN|MFM|
MFM|REP,|REP|CAN|XMN|MFM|
MFM|RGN,|RGN|CAN|XMN|MFM|
MFM|SGN,|SGN|HKG|XMN|MFM|
MFM|SHA,|SHA|XMN|MFM|
MFM|SIN,|SIN|XMN|MFM|
MFM|SVO,|SVO|URC|CSX|XMN|MFM|
MFM|SYX,|SYX|XMN|MFM|
MFM|TAO,|TAO|HGH|MFM|
MFM|TEN,|TEN|CAN|XMN|MFM|
MFM|TNA,|TNA|XMN|MFM|
MFM|TPE,|TPE|SZX|XMN|MFM|
MFM|TSN,|TSN|HGH|MFM|
MFM|TXN,|TXN|XMN|MFM|
MFM|TYN,|TYN|XMN|MFM|
MFM|WNZ,|WNZ|CSX|XMN|MFM|
MFM|WUX,|WUX|CAN|XMN|MFM|
MFM|XFN,|XFN|XMN|MFM|
MFM|XIY,|XIY|XMN|MFM|
MFM|XUZ,|XUZ|LYG|HSN|XMN|MFM|
MFM|YIH,|YIH|XMN|MFM|
MFM|YIW,|YIW|XMN|MFM|
MFM|YNT,|YNT|CSX|XMN|MFM|
MFM|YNZ,|YNZ|XMN|MFM|
MFM|YTY,|YTY|CSX|XMN|MFM|
MFM|ZHA,|ZHA|CAN|XMN|MFM|
MFM|ZYI,|ZYI|CAN|XMN|MFM|
MFM|BAV,|BAV|CGO|XMN|MFM|
MFM|CJU,|CJU|CSX|XMN|MFM|
MFM|DSN,|DSN|CGO|XMN|MFM|
MFM|HMI,|HMI|CGO|XMN|MFM|
MFM|INC,|INC|WUH|XMN|MFM|
MFM|KHH,|KHH|WUH|XMN|MFM|
MFM|UYN,|UYN|CGO|XMN|MFM|
MFM|XNN,|XNN|CSX|XMN|MFM|
MFM|ZUH,|ZUH|XMN|MFM|
MFM|YNJ,|YNJ|DLC|HGH|MFM|
MFM|DAT,|DAT|TYN|XMN|MFM|
MFM|JHG,|JHG|KMG|XMN|MFM|
MFM|LJG,|LJG|KMG|XMN|MFM|
MFM|LXA,|LXA|CKG|XMN|MFM|
MFM|YCU,|YCU|CSX|XMN|MFM|
MFM|LZO,|LZO|CSX|XMN|MFM|
MFM|MDG,|MDG|DLC|HGH|MFM|
MFM|NGO,|NGO|PVG|WUH|XMN|MFM|
MFM|TOY,|TOY|DLC|HGH|MFM|
MFM|TGO,|TGO|HET|NKG|XMN|MFM|
MFM|XIL,|XIL|HET|NKG|XMN|MFM|
MFM|HEK,|HEK|HRB|HGH|MFM|
MFM|KIJ,|KIJ|HRB|HGH|MFM|
MFM|LDS,|LDS|HRB|HGH|MFM|
MFM|OHE,|OHE|HRB|HGH|MFM|
MFM|HSN,|HSN|XMN|MFM|
MFM|DLU,|DLU|KMG|XMN|MFM|
MFM|SYM,|SYM|KMG|XMN|MFM|
MFM|ZAT,|ZAT|KMG|XMN|MFM|
MFM|LUN,|LUN|NBO|CAN|XMN|MFM|
MFM|AOG,|AOG|PEK|XMN|MFM|
MFM|GMP,|GMP|PEK|XMN|MFM|
MFM|ISB,|ISB|URC|CSX|XMN|MFM|
MFM|TAS,|TAS|URC|CSX|XMN|MFM|
MFM|WUS,|WUS|PEK|XMN|MFM|
MFM|JMU,|JMU|PVG|WUH|XMN|MFM|
MFM|NDG,|NDG|PVG|WUH|XMN|MFM|
MFM|JXA,|JXA|SHE|HGH|MFM|
MFM|PUS,|PUS|SHE|HGH|MFM|
MFM|BKI,|BKI|SZX|XMN|MFM|
MFM|AKU,|AKU|URC|CSX|XMN|MFM|
MFM|ALA,|ALA|URC|CSX|XMN|MFM|
MFM|ASB,|ASB|URC|CSX|XMN|MFM|
MFM|DNH,|DNH|XIY|XMN|MFM|
MFM|DYU,|DYU|URC|CSX|XMN|MFM|
MFM|FRU,|FRU|URC|CSX|XMN|MFM|
MFM|GYD,|GYD|URC|CSX|XMN|MFM|
MFM|HTN,|HTN|URC|CSX|XMN|MFM|
MFM|IKA,|IKA|URC|CSX|XMN|MFM|
MFM|KCA,|KCA|URC|CSX|XMN|MFM|
MFM|KHG,|KHG|URC|CSX|XMN|MFM|
MFM|KRL,|KRL|URC|CSX|XMN|MFM|
MFM|KRY,|KRY|URC|CSX|XMN|MFM|
MFM|LBD,|LBD|URC|CSX|XMN|MFM|
MFM|NLT,|NLT|URC|CSX|XMN|MFM|
MFM|OSS,|OSS|URC|CSX|XMN|MFM|
MFM|OVB,|OVB|URC|CSX|XMN|MFM|
MFM|TBS,|TBS|URC|CSX|XMN|MFM|
MFM|TCG,|TCG|URC|CSX|XMN|MFM|
MFM|TSE,|TSE|URC|CSX|XMN|MFM|
MFM|YIN,|YIN|URC|CSX|XMN|MFM|
MFM|ENH,|ENH|WUH|XMN|MFM|
MFM|ENY,|ENY|XIY|XMN|MFM|
MFM|WXN,|WXN|XMN|MFM|
MFM|BLL,|BLL|IST|URC|CSX|XMN|MFM|
MFM|ESB,|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|SAW,|SAW|TBS|URC|CSX|XMN|MFM|
MFM|HAM,|HAM|IST|URC|CSX|XMN|MFM|
MFM|HRE,|HRE|ADD|IST|URC|CSX|XMN|MFM|
MFM|JUB,|JUB|CAI|IST|URC|CSX|XMN|MFM|
MFM|SSG,|SSG|DLA|IST|URC|CSX|XMN|MFM|
MFM|BGW,|BGW|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|EBL,|EBL|IST|URC|CSX|XMN|MFM|
MFM|VKO,|VKO|IST|URC|CSX|XMN|MFM|
MFM|MCT,|MCT|IST|URC|CSX|XMN|MFM|
MFM|AYT,|AYT|IST|URC|CSX|XMN|MFM|
MFM|SCQ,|SCQ|BIO|IST|URC|CSX|XMN|MFM|
MFM|AAL,|AAL|IST|URC|CSX|XMN|MFM|
MFM|AOE,|AOE|BRU|IST|URC|CSX|XMN|MFM|
MFM|JNB,|JNB|IST|URC|CSX|XMN|MFM|
MFM|LBV,|LBV|DLA|IST|URC|CSX|XMN|MFM|
MFM|ADA,|ADA|SAW|TBS|URC|CSX|XMN|MFM|
MFM|ADB,|ADB|IST|URC|CSX|XMN|MFM|
MFM|ADF,|ADF|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|AJI,|AJI|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|BAL,|BAL|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|BJV,|BJV|IST|URC|CSX|XMN|MFM|
MFM|CKZ,|CKZ|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|DIY,|DIY|SAW|TBS|URC|CSX|XMN|MFM|
MFM|ECN,|ECN|SAW|TBS|URC|CSX|XMN|MFM|
MFM|ERC,|ERC|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|ERZ,|ERZ|SAW|TBS|URC|CSX|XMN|MFM|
MFM|EZS,|EZS|SAW|TBS|URC|CSX|XMN|MFM|
MFM|GNY,|GNY|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|GZP,|GZP|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|GZT,|GZT|SAW|TBS|URC|CSX|XMN|MFM|
MFM|HTY,|HTY|SAW|TBS|URC|CSX|XMN|MFM|
MFM|KCM,|KCM|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|KSY,|KSY|SAW|TBS|URC|CSX|XMN|MFM|
MFM|MLX,|MLX|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|MQM,|MQM|SAW|TBS|URC|CSX|XMN|MFM|
MFM|MSR,|MSR|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|TEQ,|TEQ|ESB|SAW|TBS|URC|CSX|XMN|MFM|
MFM|TZX,|TZX|SAW|TBS|URC|CSX|XMN|MFM|
MFM|VAN,|VAN|SAW|TBS|URC|CSX|XMN|MFM|
MFM|ULN,|ULN|FRU|URC|CSX|XMN|MFM|
MFM|HIJ,|HIJ|ICN|DLC|HGH|MFM|
MFM|VVO,|VVO|ICN|DLC|HGH|MFM|
MFM|ACC,|ACC|IST|URC|CSX|XMN|MFM|
MFM|AER,|AER|IST|URC|CSX|XMN|MFM|
MFM|AGP,|AGP|IST|URC|CSX|XMN|MFM|
MFM|ALG,|ALG|IST|URC|CSX|XMN|MFM|
MFM|AMM,|AMM|IST|URC|CSX|XMN|MFM|
MFM|AQJ,|AQJ|IST|URC|CSX|XMN|MFM|
MFM|ARN,|ARN|IST|URC|CSX|XMN|MFM|
MFM|ASR,|ASR|SAW|TBS|URC|CSX|XMN|MFM|
MFM|ATH,|ATH|IST|URC|CSX|XMN|MFM|
MFM|BAH,|BAH|KWI|SAW|TBS|URC|CSX|XMN|MFM|
MFM|BEG,|BEG|IST|URC|CSX|XMN|MFM|
MFM|BEN,|BEN|IST|URC|CSX|XMN|MFM|
MFM|BEY,|BEY|IST|URC|CSX|XMN|MFM|
MFM|BHX,|BHX|IST|URC|CSX|XMN|MFM|
MFM|BIO,|BIO|IST|URC|CSX|XMN|MFM|
MFM|BLQ,|BLQ|IST|URC|CSX|XMN|MFM|
MFM|BOM,|BOM|IST|URC|CSX|XMN|MFM|
MFM|BRE,|BRE|IST|URC|CSX|XMN|MFM|
MFM|BSL,|BSL|IST|URC|CSX|XMN|MFM|
MFM|BSR,|BSR|IST|URC|CSX|XMN|MFM|
MFM|BUD,|BUD|IST|URC|CSX|XMN|MFM|
MFM|BUS,|BUS|IST|URC|CSX|XMN|MFM|
MFM|CAI,|CAI|IST|URC|CSX|XMN|MFM|
MFM|CGN,|CGN|IST|URC|CSX|XMN|MFM|
MFM|CMN,|CMN|IST|URC|CSX|XMN|MFM|
MFM|CND,|CND|IST|URC|CSX|XMN|MFM|
MFM|DAR,|DAR|NBO|CAN|XMN|MFM|
MFM|DLM,|DLM|IST|URC|CSX|XMN|MFM|
MFM|DMM,|DMM|IST|URC|CSX|XMN|MFM|
MFM|DNK,|DNK|IST|URC|CSX|XMN|MFM|
MFM|DNZ,|DNZ|IST|URC|CSX|XMN|MFM|
MFM|DOK,|DOK|IST|URC|CSX|XMN|MFM|
MFM|DUS,|DUS|IST|URC|CSX|XMN|MFM|
MFM|EDI,|EDI|IST|URC|CSX|XMN|MFM|
MFM|ELQ,|ELQ|IST|URC|CSX|XMN|MFM|
MFM|FDH,|FDH|IST|URC|CSX|XMN|MFM|
MFM|GOA,|GOA|IST|URC|CSX|XMN|MFM|
MFM|GOT,|GOT|IST|URC|CSX|XMN|MFM|
MFM|HAJ,|HAJ|IST|URC|CSX|XMN|MFM|
MFM|HBE,|HBE|IST|URC|CSX|XMN|MFM|
MFM|HEL,|HEL|IST|URC|CSX|XMN|MFM|
MFM|HRG,|HRG|IST|URC|CSX|XMN|MFM|
