BHX|YQL,|YQL|YYC|EWR|BHX|
BHX|YXH,|YXH|YYC|EWR|BHX|
BHX|YWK,|YWK|YZV|YQB|EWR|BHX|
BHX|ANU,|ANU|EWR|BHX|
BHX|AUA,|AUA|EWR|BHX|
BHX|AUH,|AUH|IST|BHX|
BHX|BCN,|BCN|IST|BHX|
BHX|BDA,|BDA|EWR|BHX|
BHX|BGI,|BGI|YYZ|EWR|BHX|
BHX|BNA,|BNA|EWR|BHX|
BHX|BOG,|BOG|EWR|BHX|
BHX|BWI,|BWI|EWR|BHX|
BHX|CLE,|CLE|EWR|BHX|
BHX|CLT,|CLT|EWR|BHX|
BHX|CMH,|CMH|EWR|BHX|
BHX|CVG,|CVG|EWR|BHX|
BHX|DFW,|DFW|EWR|BHX|
BHX|DTW,|DTW|EWR|BHX|
BHX|DUB,|DUB|IST|BHX|
BHX|FCO,|FCO|IST|BHX|
BHX|GCM,|GCM|EWR|BHX|
BHX|GGT,|GGT|FLL|EWR|BHX|
BHX|GND,|GND|YYZ|EWR|BHX|
BHX|GRU,|GRU|EWR|BHX|
BHX|HAV,|HAV|YYZ|EWR|BHX|
BHX|IND,|IND|EWR|BHX|
BHX|JFK,|JFK|IAD|EWR|BHX|
BHX|KIN,|KIN|YYZ|EWR|BHX|
BHX|LIM,|LIM|EWR|BHX|
BHX|LIR,|LIR|EWR|BHX|
BHX|MCI,|MCI|EWR|BHX|
BHX|MDT,|MDT|IAD|EWR|BHX|
BHX|MIA,|MIA|EWR|BHX|
BHX|MKE,|MKE|EWR|BHX|
BHX|MSP,|MSP|EWR|BHX|
BHX|NAS,|NAS|EWR|BHX|
BHX|PHL,|PHL|IAD|EWR|BHX|
BHX|PHX,|PHX|EWR|BHX|
BHX|PIT,|PIT|EWR|BHX|
BHX|PLS,|PLS|EWR|BHX|
BHX|POP,|POP|EWR|BHX|
BHX|RDU,|RDU|EWR|BHX|
BHX|ROC,|ROC|EWR|BHX|
BHX|RSW,|RSW|EWR|BHX|
BHX|SAN,|SAN|EWR|BHX|
BHX|SJO,|SJO|EWR|BHX|
BHX|STL,|STL|EWR|BHX|
BHX|SYR,|SYR|EWR|BHX|
BHX|TLV,|TLV|IST|BHX|
BHX|TPA,|TPA|EWR|BHX|
BHX|UVF,|UVF|EWR|BHX|
BHX|VIE,|VIE|IST|BHX|
BHX|YAM,|YAM|YYZ|EWR|BHX|
BHX|YGK,|YGK|YYZ|EWR|BHX|
BHX|YQG,|YQG|YYZ|EWR|BHX|
BHX|YSB,|YSB|YYZ|EWR|BHX|
BHX|YTS,|YTS|YYZ|EWR|BHX|
BHX|YYB,|YYB|YYZ|EWR|BHX|
BHX|YZR,|YZR|YYZ|EWR|BHX|
BHX|CAN,|CAN|IST|BHX|
BHX|URC,|URC|IST|BHX|
BHX|CTU,|CTU|URC|IST|BHX|
BHX|HGH,|HGH|URC|IST|BHX|
BHX|XMN,|XMN|CSX|URC|IST|BHX|
BHX|CGO,|CGO|URC|IST|BHX|
BHX|CSX,|CSX|URC|IST|BHX|
BHX|SHE,|SHE|PEK|IST|BHX|
BHX|SJW,|SJW|URC|IST|BHX|
BHX|WUH,|WUH|URC|IST|BHX|
BHX|SZX,|SZX|CKG|URC|IST|BHX|
BHX|CKG,|CKG|URC|IST|BHX|
BHX|KMG,|KMG|CTU|URC|IST|BHX|
BHX|FOC,|FOC|XIY|URC|IST|BHX|
BHX|NNG,|NNG|KWE|URC|IST|BHX|
BHX|SWA,|SWA|CAN|IST|BHX|
BHX|ACX,|ACX|CAN|IST|BHX|
BHX|AQG,|AQG|CAN|IST|BHX|
BHX|AVA,|AVA|CAN|IST|BHX|
BHX|BFJ,|BFJ|CAN|IST|BHX|
BHX|BHY,|BHY|CKG|URC|IST|BHX|
BHX|BNE,|BNE|BKK|IST|BHX|
BHX|CGD,|CGD|PEK|IST|BHX|
BHX|CGK,|CGK|SIN|IST|BHX|
BHX|CGQ,|CGQ|HET|URC|IST|BHX|
BHX|CIH,|CIH|PEK|IST|BHX|
BHX|CNX,|CNX|CAN|IST|BHX|
BHX|CZX,|CZX|TYN|URC|IST|BHX|
BHX|DAC,|DAC|IST|BHX|
BHX|DAD,|DAD|CAN|IST|BHX|
BHX|DEL,|DEL|IST|BHX|
BHX|DIG,|DIG|KMG|CTU|URC|IST|BHX|
BHX|DLC,|DLC|PEK|IST|BHX|
BHX|DPS,|DPS|CAN|IST|BHX|
BHX|DXB,|DXB|IST|BHX|
BHX|DYG,|DYG|CSX|URC|IST|BHX|
BHX|FUG,|FUG|CAN|IST|BHX|
BHX|FUK,|FUK|ICN|IST|BHX|
BHX|HAK,|HAK|CTU|URC|IST|BHX|
BHX|HAN,|HAN|CAN|IST|BHX|
BHX|HDG,|HDG|CAN|IST|BHX|
BHX|HET,|HET|URC|IST|BHX|
BHX|HFE,|HFE|XIY|URC|IST|BHX|
BHX|HJJ,|HJJ|CSX|URC|IST|BHX|
BHX|HKT,|HKT|KWE|URC|IST|BHX|
BHX|HRB,|HRB|PEK|IST|BHX|
BHX|HZH,|HZH|CAN|IST|BHX|
BHX|JIU,|JIU|CAN|IST|BHX|
BHX|JJN,|JJN|CSX|URC|IST|BHX|
BHX|JNG,|JNG|CAN|IST|BHX|
BHX|KHN,|KHN|XIY|URC|IST|BHX|
BHX|KIX,|KIX|IST|BHX|
BHX|KOW,|KOW|CAN|IST|BHX|
BHX|KTM,|KTM|IST|BHX|
BHX|KUL,|KUL|IST|BHX|
BHX|KWE,|KWE|URC|IST|BHX|
BHX|KWL,|KWL|CKG|URC|IST|BHX|
BHX|LHW,|LHW|URC|IST|BHX|
BHX|LYA,|LYA|KHN|XIY|URC|IST|BHX|
BHX|LYG,|LYG|XUZ|INC|URC|IST|BHX|
BHX|LZH,|LZH|CAN|IST|BHX|
BHX|MEL,|MEL|BKK|IST|BHX|
BHX|MIG,|MIG|CSX|URC|IST|BHX|
BHX|MLE,|MLE|IST|BHX|
BHX|MNL,|MNL|CAN|IST|BHX|
BHX|MXZ,|MXZ|CAN|IST|BHX|
BHX|NAO,|NAO|PEK|IST|BHX|
BHX|NGB,|NGB|WUH|URC|IST|BHX|
BHX|NKG,|NKG|URC|IST|BHX|
BHX|NNY,|NNY|CGO|URC|IST|BHX|
BHX|PEN,|PEN|CAN|IST|BHX|
BHX|PER,|PER|BKK|IST|BHX|
BHX|PNH,|PNH|CAN|IST|BHX|
BHX|REP,|REP|CAN|IST|BHX|
BHX|RGN,|RGN|CAN|IST|BHX|
BHX|SGN,|SGN|BKK|IST|BHX|
BHX|SHA,|SHA|URC|IST|BHX|
BHX|SIN,|SIN|IST|BHX|
BHX|SVO,|SVO|URC|IST|BHX|
BHX|SYX,|SYX|CKG|URC|IST|BHX|
BHX|TAO,|TAO|TYN|URC|IST|BHX|
BHX|TEN,|TEN|CAN|IST|BHX|
