FUG|PDX,|PDX|SEA|ICN|CAN|FUG|
FUG|PEK,|PEK|CAN|FUG|
FUG|PVG,|PVG|CAN|FUG|
FUG|PVR,|PVR|LAX|CAN|FUG|
FUG|SEA,|SEA|ICN|CAN|FUG|
FUG|SYD,|SYD|CAN|FUG|
FUG|YBL,|YBL|YVR|CAN|FUG|
FUG|YCD,|YCD|YVR|CAN|FUG|
FUG|YCG,|YCG|YVR|CAN|FUG|
FUG|YKA,|YKA|YVR|CAN|FUG|
FUG|YPR,|YPR|YVR|CAN|FUG|
FUG|YQZ,|YQZ|YVR|CAN|FUG|
FUG|YXC,|YXC|YVR|CAN|FUG|
FUG|YXJ,|YXJ|YVR|CAN|FUG|
FUG|YXS,|YXS|YVR|CAN|FUG|
FUG|YXT,|YXT|YVR|CAN|FUG|
FUG|YXY,|YXY|YVR|CAN|FUG|
FUG|YYD,|YYD|YVR|CAN|FUG|
FUG|YYF,|YYF|YVR|CAN|FUG|
FUG|YZP,|YZP|YVR|CAN|FUG|
FUG|YQT,|YQT|YWG|YVR|CAN|FUG|
FUG|SJD,|SJD|LAX|CAN|FUG|
FUG|YQF,|YQF|YYC|YVR|CAN|FUG|
FUG|YQL,|YQL|YYC|YVR|CAN|FUG|
FUG|YXH,|YXH|YYC|YVR|CAN|FUG|
FUG|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|FUG|
FUG|ANU,|ANU|EWR|PEK|CAN|FUG|
FUG|AUA,|AUA|EWR|PEK|CAN|FUG|
FUG|AUH,|AUH|IST|CAN|FUG|
FUG|BCN,|BCN|IST|CAN|FUG|
FUG|BDA,|BDA|EWR|PEK|CAN|FUG|
FUG|BGI,|BGI|YYZ|PEK|CAN|FUG|
FUG|BNA,|BNA|ORD|PEK|CAN|FUG|
FUG|BOG,|BOG|MIA|ORD|PEK|CAN|FUG|
FUG|BWI,|BWI|YYZ|PEK|CAN|FUG|
FUG|CLE,|CLE|YYZ|PEK|CAN|FUG|
FUG|CLT,|CLT|YYZ|PEK|CAN|FUG|
FUG|CMH,|CMH|ORD|PEK|CAN|FUG|
FUG|CVG,|CVG|ORD|PEK|CAN|FUG|
FUG|DFW,|DFW|YVR|CAN|FUG|
FUG|DTW,|DTW|PEK|CAN|FUG|
FUG|DUB,|DUB|IST|CAN|FUG|
FUG|FCO,|FCO|IST|CAN|FUG|
FUG|GCM,|GCM|YYZ|PEK|CAN|FUG|
FUG|GGT,|GGT|YYZ|PEK|CAN|FUG|
FUG|GND,|GND|YYZ|PEK|CAN|FUG|
FUG|GRU,|GRU|IST|CAN|FUG|
FUG|HAV,|HAV|YYZ|PEK|CAN|FUG|
FUG|IND,|IND|ORD|PEK|CAN|FUG|
FUG|JFK,|JFK|PEK|CAN|FUG|
FUG|KIN,|KIN|YYZ|PEK|CAN|FUG|
FUG|LIM,|LIM|IAH|YVR|CAN|FUG|
FUG|LIR,|LIR|IAH|YVR|CAN|FUG|
FUG|MCI,|MCI|DEN|YVR|CAN|FUG|
FUG|MDT,|MDT|YYZ|PEK|CAN|FUG|
FUG|MIA,|MIA|ORD|PEK|CAN|FUG|
FUG|MKE,|MKE|ORD|PEK|CAN|FUG|
FUG|MSP,|MSP|ORD|PEK|CAN|FUG|
FUG|NAS,|NAS|YYZ|PEK|CAN|FUG|
FUG|PHL,|PHL|YYZ|PEK|CAN|FUG|
FUG|PHX,|PHX|SFO|PVG|CAN|FUG|
FUG|PIT,|PIT|YYZ|PEK|CAN|FUG|
FUG|PLS,|PLS|EWR|PEK|CAN|FUG|
FUG|POP,|POP|EWR|PEK|CAN|FUG|
FUG|RDU,|RDU|YYZ|PEK|CAN|FUG|
FUG|ROC,|ROC|YYZ|PEK|CAN|FUG|
FUG|RSW,|RSW|ORD|PEK|CAN|FUG|
FUG|SAN,|SAN|LAX|CAN|FUG|
FUG|SJO,|SJO|IAH|YVR|CAN|FUG|
FUG|STL,|STL|ORD|PEK|CAN|FUG|
FUG|SYR,|SYR|YYZ|PEK|CAN|FUG|
FUG|TLV,|TLV|IST|CAN|FUG|
FUG|TPA,|TPA|ORD|PEK|CAN|FUG|
FUG|UVF,|UVF|EWR|PEK|CAN|FUG|
FUG|VIE,|VIE|IST|CAN|FUG|
FUG|YAM,|YAM|YYZ|PEK|CAN|FUG|
FUG|YGK,|YGK|YYZ|PEK|CAN|FUG|
FUG|YQG,|YQG|YYZ|PEK|CAN|FUG|
FUG|YSB,|YSB|YYZ|PEK|CAN|FUG|
FUG|YTS,|YTS|YYZ|PEK|CAN|FUG|
FUG|YYB,|YYB|YYZ|PEK|CAN|FUG|
FUG|YZR,|YZR|YYZ|PEK|CAN|FUG|
