PAP|YZP,|YZP|YVR|YUL|PAP|
PAP|YQT,|YQT|YYZ|YUL|PAP|
PAP|SJD,|SJD|ORD|YUL|PAP|
PAP|YQF,|YQF|YYC|YUL|PAP|
PAP|YQL,|YQL|YYC|YUL|PAP|
PAP|YXH,|YXH|YYC|YUL|PAP|
PAP|YWK,|YWK|YZV|YUL|PAP|
PAP|ANU,|ANU|EWR|YUL|PAP|
PAP|AUA,|AUA|EWR|YUL|PAP|
PAP|AUH,|AUH|FRA|YUL|PAP|
PAP|BCN,|BCN|EWR|YUL|PAP|
PAP|BDA,|BDA|EWR|YUL|PAP|
PAP|BGI,|BGI|YYZ|YUL|PAP|
PAP|BNA,|BNA|YYZ|YUL|PAP|
PAP|BOG,|BOG|JFK|YUL|PAP|
PAP|BWI,|BWI|EWR|YUL|PAP|
PAP|CLE,|CLE|YYZ|YUL|PAP|
PAP|CLT,|CLT|IAD|YUL|PAP|
PAP|CMH,|CMH|YYZ|YUL|PAP|
PAP|CVG,|CVG|YYZ|YUL|PAP|
PAP|DFW,|DFW|YUL|PAP|
PAP|DTW,|DTW|YYZ|YUL|PAP|
PAP|DUB,|DUB|BOS|YUL|PAP|
PAP|FCO,|FCO|EWR|YUL|PAP|
PAP|GCM,|GCM|IAD|YUL|PAP|
PAP|GGT,|GGT|FLL|YUL|PAP|
PAP|GND,|GND|YYZ|YUL|PAP|
PAP|GRU,|GRU|EWR|YUL|PAP|
PAP|HAV,|HAV|YYZ|YUL|PAP|
PAP|IND,|IND|YYZ|YUL|PAP|
PAP|JFK,|JFK|YUL|PAP|
PAP|KIN,|KIN|YYZ|YUL|PAP|
PAP|LIM,|LIM|EWR|YUL|PAP|
PAP|LIR,|LIR|EWR|YUL|PAP|
PAP|MCI,|MCI|ORD|YUL|PAP|
PAP|MDT,|MDT|IAD|YUL|PAP|
PAP|MIA,|MIA|YUL|PAP|
PAP|MKE,|MKE|YYZ|YUL|PAP|
PAP|MSP,|MSP|YUL|PAP|
PAP|NAS,|NAS|EWR|YUL|PAP|
PAP|PHL,|PHL|IAD|YUL|PAP|
PAP|PHX,|PHX|ORD|YUL|PAP|
PAP|PIT,|PIT|YYZ|YUL|PAP|
PAP|PLS,|PLS|EWR|YUL|PAP|
PAP|POP,|POP|EWR|YUL|PAP|
PAP|RDU,|RDU|IAD|YUL|PAP|
PAP|ROC,|ROC|YYZ|YUL|PAP|
PAP|RSW,|RSW|DCA|YUL|PAP|
PAP|SAN,|SAN|DEN|YUL|PAP|
PAP|SJO,|SJO|IAD|YUL|PAP|
PAP|STL,|STL|YYZ|YUL|PAP|
PAP|SYR,|SYR|YYZ|YUL|PAP|
PAP|TLV,|TLV|IST|FRA|YUL|PAP|
PAP|TPA,|TPA|IAD|YUL|PAP|
PAP|UVF,|UVF|EWR|YUL|PAP|
PAP|VIE,|VIE|JFK|YUL|PAP|
PAP|YAM,|YAM|YYZ|YUL|PAP|
PAP|YGK,|YGK|YYZ|YUL|PAP|
PAP|YQG,|YQG|YYZ|YUL|PAP|
PAP|YSB,|YSB|YYZ|YUL|PAP|
PAP|YTS,|YTS|YYZ|YUL|PAP|
PAP|YYB,|YYB|YYZ|YUL|PAP|
PAP|YZR,|YZR|YYZ|YUL|PAP|
PAP|CAN,|CAN|PEK|YYZ|YUL|PAP|
PAP|URC,|URC|TSE|FRA|YUL|PAP|
PAP|CTU,|CTU|PEK|YYZ|YUL|PAP|
PAP|HGH,|HGH|PEK|YYZ|YUL|PAP|
PAP|XMN,|XMN|PEK|YYZ|YUL|PAP|
PAP|CGO,|CGO|PEK|YYZ|YUL|PAP|
PAP|CSX,|CSX|PEK|YYZ|YUL|PAP|
PAP|SHE,|SHE|PEK|YYZ|YUL|PAP|
PAP|SJW,|SJW|DLC|PEK|YYZ|YUL|PAP|
PAP|WUH,|WUH|PEK|YYZ|YUL|PAP|
PAP|SZX,|SZX|PEK|YYZ|YUL|PAP|
PAP|CKG,|CKG|PEK|YYZ|YUL|PAP|
PAP|KMG,|KMG|PEK|YYZ|YUL|PAP|
PAP|FOC,|FOC|PEK|YYZ|YUL|PAP|
PAP|NNG,|NNG|PEK|YYZ|YUL|PAP|
PAP|SWA,|SWA|PEK|YYZ|YUL|PAP|
PAP|ACX,|ACX|CAN|PEK|YYZ|YUL|PAP|
PAP|AQG,|AQG|CAN|PEK|YYZ|YUL|PAP|
PAP|AVA,|AVA|CAN|PEK|YYZ|YUL|PAP|
PAP|BFJ,|BFJ|CAN|PEK|YYZ|YUL|PAP|
PAP|BHY,|BHY|CGO|PEK|YYZ|YUL|PAP|
PAP|BNE,|BNE|CAN|PEK|YYZ|YUL|PAP|
PAP|CGD,|CGD|PEK|YYZ|YUL|PAP|
PAP|CGK,|CGK|CAN|PEK|YYZ|YUL|PAP|
PAP|CGQ,|CGQ|PEK|YYZ|YUL|PAP|
PAP|CIH,|CIH|PEK|YYZ|YUL|PAP|
PAP|CNX,|CNX|CAN|PEK|YYZ|YUL|PAP|
PAP|CZX,|CZX|SHE|PEK|YYZ|YUL|PAP|
PAP|DAC,|DAC|IST|FRA|YUL|PAP|
PAP|DAD,|DAD|CAN|PEK|YYZ|YUL|PAP|
PAP|DEL,|DEL|IST|FRA|YUL|PAP|
PAP|DIG,|DIG|KMG|PEK|YYZ|YUL|PAP|
PAP|DLC,|DLC|PEK|YYZ|YUL|PAP|
PAP|DPS,|DPS|SZX|PEK|YYZ|YUL|PAP|
PAP|DXB,|DXB|IST|FRA|YUL|PAP|
PAP|DYG,|DYG|PEK|YYZ|YUL|PAP|
PAP|FUG,|FUG|CAN|PEK|YYZ|YUL|PAP|
PAP|FUK,|FUK|ICN|JFK|YUL|PAP|
PAP|HAK,|HAK|PEK|YYZ|YUL|PAP|
PAP|HAN,|HAN|PEK|YYZ|YUL|PAP|
PAP|HDG,|HDG|CAN|PEK|YYZ|YUL|PAP|
PAP|HET,|HET|DLC|PEK|YYZ|YUL|PAP|
PAP|HFE,|HFE|XIY|PEK|YYZ|YUL|PAP|
PAP|HJJ,|HJJ|CSX|PEK|YYZ|YUL|PAP|
PAP|HKT,|HKT|KWE|PEK|YYZ|YUL|PAP|
PAP|HRB,|HRB|PEK|YYZ|YUL|PAP|
PAP|HZH,|HZH|CAN|PEK|YYZ|YUL|PAP|
