LIS|YQF,|YQF|YYC|EWR|LIS|
LIS|YQL,|YQL|YYC|EWR|LIS|
LIS|YXH,|YXH|YYC|EWR|LIS|
LIS|YWK,|YWK|YZV|YQB|EWR|LIS|
LIS|ANU,|ANU|EWR|LIS|
LIS|AUA,|AUA|EWR|LIS|
LIS|AUH,|AUH|IST|LIS|
LIS|BCN,|BCN|IST|LIS|
LIS|BDA,|BDA|EWR|LIS|
LIS|BGI,|BGI|YYZ|EWR|LIS|
LIS|BNA,|BNA|EWR|LIS|
LIS|BOG,|BOG|MIA|LIS|
LIS|BWI,|BWI|EWR|LIS|
LIS|CLE,|CLE|EWR|LIS|
LIS|CLT,|CLT|EWR|LIS|
LIS|CMH,|CMH|EWR|LIS|
LIS|CVG,|CVG|EWR|LIS|
LIS|DFW,|DFW|EWR|LIS|
LIS|DTW,|DTW|EWR|LIS|
LIS|DUB,|DUB|IST|LIS|
LIS|FCO,|FCO|IST|LIS|
LIS|GCM,|GCM|EWR|LIS|
LIS|GGT,|GGT|FLL|EWR|LIS|
LIS|GND,|GND|YYZ|EWR|LIS|
LIS|GRU,|GRU|EWR|LIS|
LIS|HAV,|HAV|YYZ|EWR|LIS|
LIS|IND,|IND|EWR|LIS|
LIS|JFK,|JFK|IAD|EWR|LIS|
LIS|KIN,|KIN|YYZ|EWR|LIS|
LIS|LIM,|LIM|MIA|LIS|
LIS|LIR,|LIR|EWR|LIS|
LIS|MCI,|MCI|EWR|LIS|
LIS|MDT,|MDT|IAD|EWR|LIS|
LIS|MIA,|MIA|LIS|
LIS|MKE,|MKE|EWR|LIS|
LIS|MSP,|MSP|EWR|LIS|
LIS|NAS,|NAS|EWR|LIS|
LIS|PHL,|PHL|IAD|EWR|LIS|
LIS|PHX,|PHX|EWR|LIS|
LIS|PIT,|PIT|EWR|LIS|
LIS|PLS,|PLS|EWR|LIS|
LIS|POP,|POP|EWR|LIS|
LIS|RDU,|RDU|EWR|LIS|
LIS|ROC,|ROC|EWR|LIS|
LIS|RSW,|RSW|EWR|LIS|
LIS|SAN,|SAN|EWR|LIS|
LIS|SJO,|SJO|EWR|LIS|
LIS|STL,|STL|EWR|LIS|
LIS|SYR,|SYR|EWR|LIS|
LIS|TLV,|TLV|IST|LIS|
LIS|TPA,|TPA|EWR|LIS|
LIS|UVF,|UVF|EWR|LIS|
LIS|VIE,|VIE|IST|LIS|
LIS|YAM,|YAM|YYZ|EWR|LIS|
LIS|YGK,|YGK|YYZ|EWR|LIS|
LIS|YQG,|YQG|YYZ|EWR|LIS|
LIS|YSB,|YSB|YYZ|EWR|LIS|
LIS|YTS,|YTS|YYZ|EWR|LIS|
LIS|YYB,|YYB|YYZ|EWR|LIS|
LIS|YZR,|YZR|YYZ|EWR|LIS|
LIS|CAN,|CAN|IST|LIS|
LIS|URC,|URC|IST|LIS|
LIS|CTU,|CTU|URC|IST|LIS|
LIS|HGH,|HGH|URC|IST|LIS|
LIS|XMN,|XMN|CSX|URC|IST|LIS|
LIS|CGO,|CGO|URC|IST|LIS|
LIS|CSX,|CSX|URC|IST|LIS|
LIS|SHE,|SHE|PEK|IST|LIS|
LIS|SJW,|SJW|URC|IST|LIS|
LIS|WUH,|WUH|URC|IST|LIS|
LIS|SZX,|SZX|CKG|URC|IST|LIS|
