BFD|HNL,|HNL|ORD|CLE|BFD|
BFD|MEX,|MEX|IAH|CLE|BFD|
BFD|OGG,|OGG|SFO|CLE|BFD|
BFD|PDX,|PDX|ORD|CLE|BFD|
BFD|PEK,|PEK|YYZ|CLE|BFD|
BFD|PVG,|PVG|YYZ|CLE|BFD|
BFD|PVR,|PVR|IAH|CLE|BFD|
BFD|SEA,|SEA|MKE|CLE|BFD|
BFD|SYD,|SYD|LAX|CLE|BFD|
BFD|YBL,|YBL|YVR|ORD|CLE|BFD|
BFD|YCD,|YCD|YVR|ORD|CLE|BFD|
BFD|YCG,|YCG|YYC|ORD|CLE|BFD|
BFD|YKA,|YKA|YYC|ORD|CLE|BFD|
BFD|YPR,|YPR|YVR|ORD|CLE|BFD|
BFD|YQZ,|YQZ|YVR|ORD|CLE|BFD|
BFD|YXC,|YXC|YYC|ORD|CLE|BFD|
BFD|YXJ,|YXJ|YYC|ORD|CLE|BFD|
BFD|YXS,|YXS|YYC|ORD|CLE|BFD|
BFD|YXT,|YXT|YVR|ORD|CLE|BFD|
BFD|YXY,|YXY|YVR|ORD|CLE|BFD|
BFD|YYD,|YYD|YVR|ORD|CLE|BFD|
BFD|YYF,|YYF|YVR|ORD|CLE|BFD|
BFD|YZP,|YZP|YVR|ORD|CLE|BFD|
BFD|YQT,|YQT|YYZ|CLE|BFD|
BFD|SJD,|SJD|IAH|CLE|BFD|
BFD|YQF,|YQF|YYC|ORD|CLE|BFD|
BFD|YQL,|YQL|YYC|ORD|CLE|BFD|
BFD|YXH,|YXH|YYC|ORD|CLE|BFD|
BFD|YWK,|YWK|YZV|YQB|YYZ|CLE|BFD|
BFD|ANU,|ANU|EWR|CLE|BFD|
BFD|AUA,|AUA|IAD|CLE|BFD|
BFD|AUH,|AUH|YYZ|CLE|BFD|
BFD|BCN,|BCN|YYZ|CLE|BFD|
BFD|BDA,|BDA|EWR|CLE|BFD|
BFD|BGI,|BGI|YYZ|CLE|BFD|
BFD|BNA,|BNA|CLE|BFD|
BFD|BOG,|BOG|IAD|CLE|BFD|
BFD|BWI,|BWI|CLE|BFD|
BFD|CLE,|CLE|BFD|
BFD|CLT,|CLT|CLE|BFD|
BFD|CMH,|CMH|CLE|BFD|
BFD|CVG,|CVG|ORD|CLE|BFD|
BFD|DFW,|DFW|CLE|BFD|
BFD|DTW,|DTW|YYZ|CLE|BFD|
BFD|DUB,|DUB|YYZ|CLE|BFD|
BFD|FCO,|FCO|YYZ|CLE|BFD|
BFD|GCM,|GCM|IAD|CLE|BFD|
BFD|GGT,|GGT|FLL|CLE|BFD|
BFD|GND,|GND|YYZ|CLE|BFD|
BFD|GRU,|GRU|IAD|CLE|BFD|
BFD|HAV,|HAV|YYZ|CLE|BFD|
BFD|IND,|IND|CLE|BFD|
BFD|JFK,|JFK|IAD|CLE|BFD|
BFD|KIN,|KIN|YYZ|CLE|BFD|
BFD|LIM,|LIM|MIA|IAD|CLE|BFD|
BFD|LIR,|LIR|YYZ|CLE|BFD|
BFD|MCI,|MCI|CLE|BFD|
BFD|MDT,|MDT|IAD|CLE|BFD|
BFD|MIA,|MIA|IAD|CLE|BFD|
BFD|MKE,|MKE|CLE|BFD|
BFD|MSP,|MSP|CLE|BFD|
BFD|NAS,|NAS|ATL|CLE|BFD|
BFD|PHL,|PHL|IAD|CLE|BFD|
BFD|PHX,|PHX|CLE|BFD|
BFD|PIT,|PIT|YYZ|CLE|BFD|
BFD|PLS,|PLS|EWR|CLE|BFD|
BFD|POP,|POP|EWR|CLE|BFD|
BFD|RDU,|RDU|IAD|CLE|BFD|
BFD|ROC,|ROC|CLE|BFD|
BFD|RSW,|RSW|CLE|BFD|
BFD|SAN,|SAN|MCI|CLE|BFD|
BFD|SJO,|SJO|IAD|CLE|BFD|
BFD|STL,|STL|CLE|BFD|
BFD|SYR,|SYR|CLE|BFD|
BFD|TLV,|TLV|YYZ|CLE|BFD|
BFD|TPA,|TPA|CLE|BFD|
BFD|UVF,|UVF|EWR|CLE|BFD|
BFD|VIE,|VIE|YYZ|CLE|BFD|
BFD|YAM,|YAM|YYZ|CLE|BFD|
BFD|YGK,|YGK|YYZ|CLE|BFD|
BFD|YQG,|YQG|YYZ|CLE|BFD|
BFD|YSB,|YSB|YYZ|CLE|BFD|
BFD|YTS,|YTS|YYZ|CLE|BFD|
BFD|YYB,|YYB|YYZ|CLE|BFD|
BFD|YZR,|YZR|YYZ|CLE|BFD|
BFD|CAN,|CAN|PEK|YYZ|CLE|BFD|
BFD|URC,|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|CTU,|CTU|PEK|YYZ|CLE|BFD|
BFD|HGH,|HGH|PEK|YYZ|CLE|BFD|
BFD|XMN,|XMN|PEK|YYZ|CLE|BFD|
BFD|CGO,|CGO|PEK|YYZ|CLE|BFD|
BFD|CSX,|CSX|PEK|YYZ|CLE|BFD|
BFD|SHE,|SHE|PEK|YYZ|CLE|BFD|
BFD|SJW,|SJW|DLC|PEK|YYZ|CLE|BFD|
BFD|WUH,|WUH|PEK|YYZ|CLE|BFD|
BFD|SZX,|SZX|PEK|YYZ|CLE|BFD|
BFD|CKG,|CKG|PEK|YYZ|CLE|BFD|
BFD|KMG,|KMG|PEK|YYZ|CLE|BFD|
BFD|FOC,|FOC|PEK|YYZ|CLE|BFD|
BFD|NNG,|NNG|PEK|YYZ|CLE|BFD|
BFD|SWA,|SWA|PEK|YYZ|CLE|BFD|
BFD|ACX,|ACX|CAN|PEK|YYZ|CLE|BFD|
BFD|AQG,|AQG|CAN|PEK|YYZ|CLE|BFD|
BFD|AVA,|AVA|CAN|PEK|YYZ|CLE|BFD|
BFD|BFJ,|BFJ|CAN|PEK|YYZ|CLE|BFD|
BFD|BHY,|BHY|CGO|PEK|YYZ|CLE|BFD|
BFD|BNE,|BNE|CAN|PEK|YYZ|CLE|BFD|
BFD|CGD,|CGD|PEK|YYZ|CLE|BFD|
BFD|CGK,|CGK|CAN|PEK|YYZ|CLE|BFD|
BFD|CGQ,|CGQ|PEK|YYZ|CLE|BFD|
BFD|CIH,|CIH|PEK|YYZ|CLE|BFD|
BFD|CNX,|CNX|CAN|PEK|YYZ|CLE|BFD|
BFD|CZX,|CZX|SHE|PEK|YYZ|CLE|BFD|
BFD|DAC,|DAC|IST|YYZ|CLE|BFD|
BFD|DAD,|DAD|CAN|PEK|YYZ|CLE|BFD|
BFD|DEL,|DEL|EWR|CLE|BFD|
BFD|DIG,|DIG|KMG|PEK|YYZ|CLE|BFD|
BFD|DLC,|DLC|PEK|YYZ|CLE|BFD|
BFD|DPS,|DPS|SZX|PEK|YYZ|CLE|BFD|
BFD|DXB,|DXB|IST|YYZ|CLE|BFD|
BFD|DYG,|DYG|PEK|YYZ|CLE|BFD|
BFD|FUG,|FUG|CAN|PEK|YYZ|CLE|BFD|
BFD|FUK,|FUK|ICN|YVR|ORD|CLE|BFD|
BFD|HAK,|HAK|PEK|YYZ|CLE|BFD|
BFD|HAN,|HAN|PEK|YYZ|CLE|BFD|
BFD|HDG,|HDG|CAN|PEK|YYZ|CLE|BFD|
BFD|HET,|HET|DLC|PEK|YYZ|CLE|BFD|
BFD|HFE,|HFE|XIY|PEK|YYZ|CLE|BFD|
BFD|HJJ,|HJJ|CSX|PEK|YYZ|CLE|BFD|
BFD|HKT,|HKT|KWE|PEK|YYZ|CLE|BFD|
BFD|HRB,|HRB|PEK|YYZ|CLE|BFD|
BFD|HZH,|HZH|CAN|PEK|YYZ|CLE|BFD|
BFD|JIU,|JIU|CAN|PEK|YYZ|CLE|BFD|
BFD|JJN,|JJN|PEK|YYZ|CLE|BFD|
BFD|JNG,|JNG|CAN|PEK|YYZ|CLE|BFD|
BFD|KHN,|KHN|DLC|PEK|YYZ|CLE|BFD|
BFD|KIX,|KIX|SFO|CLE|BFD|
BFD|KOW,|KOW|PEK|YYZ|CLE|BFD|
BFD|KTM,|KTM|IST|YYZ|CLE|BFD|
BFD|KUL,|KUL|CAN|PEK|YYZ|CLE|BFD|
BFD|KWE,|KWE|PEK|YYZ|CLE|BFD|
BFD|KWL,|KWL|PEK|YYZ|CLE|BFD|
BFD|LHW,|LHW|CGO|PEK|YYZ|CLE|BFD|
BFD|LYA,|LYA|KHN|DLC|PEK|YYZ|CLE|BFD|
BFD|LYG,|LYG|HSN|PEK|YYZ|CLE|BFD|
BFD|LZH,|LZH|CAN|PEK|YYZ|CLE|BFD|
BFD|MEL,|MEL|SYD|LAX|CLE|BFD|
BFD|MIG,|MIG|CSX|PEK|YYZ|CLE|BFD|
BFD|MLE,|MLE|IST|YYZ|CLE|BFD|
BFD|MNL,|MNL|XMN|PEK|YYZ|CLE|BFD|
BFD|MXZ,|MXZ|CAN|PEK|YYZ|CLE|BFD|
BFD|NAO,|NAO|PEK|YYZ|CLE|BFD|
BFD|NGB,|NGB|PEK|YYZ|CLE|BFD|
BFD|NKG,|NKG|DLC|PEK|YYZ|CLE|BFD|
BFD|NNY,|NNY|CGO|PEK|YYZ|CLE|BFD|
BFD|PEN,|PEN|CAN|PEK|YYZ|CLE|BFD|
BFD|PER,|PER|CAN|PEK|YYZ|CLE|BFD|
BFD|PNH,|PNH|CAN|PEK|YYZ|CLE|BFD|
BFD|REP,|REP|CAN|PEK|YYZ|CLE|BFD|
BFD|RGN,|RGN|CAN|PEK|YYZ|CLE|BFD|
BFD|SGN,|SGN|CAN|PEK|YYZ|CLE|BFD|
BFD|SHA,|SHA|PEK|YYZ|CLE|BFD|
BFD|SIN,|SIN|CAN|PEK|YYZ|CLE|BFD|
BFD|SVO,|SVO|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|SYX,|SYX|PEK|YYZ|CLE|BFD|
BFD|TAO,|TAO|DLC|PEK|YYZ|CLE|BFD|
BFD|TEN,|TEN|PEK|YYZ|CLE|BFD|
BFD|TNA,|TNA|DLC|PEK|YYZ|CLE|BFD|
BFD|TPE,|TPE|PVG|YYZ|CLE|BFD|
BFD|TSN,|TSN|DLC|PEK|YYZ|CLE|BFD|
BFD|TXN,|TXN|DLC|PEK|YYZ|CLE|BFD|
BFD|TYN,|TYN|DAT|CIH|PEK|YYZ|CLE|BFD|
BFD|WNZ,|WNZ|CGO|PEK|YYZ|CLE|BFD|
BFD|WUX,|WUX|CAN|PEK|YYZ|CLE|BFD|
BFD|XFN,|XFN|XMN|PEK|YYZ|CLE|BFD|
BFD|XIY,|XIY|PEK|YYZ|CLE|BFD|
BFD|XUZ,|XUZ|LYG|HSN|PEK|YYZ|CLE|BFD|
BFD|YIH,|YIH|CKG|PEK|YYZ|CLE|BFD|
BFD|YIW,|YIW|PEK|YYZ|CLE|BFD|
BFD|YNT,|YNT|SHE|PEK|YYZ|CLE|BFD|
BFD|YNZ,|YNZ|DLC|PEK|YYZ|CLE|BFD|
BFD|YTY,|YTY|DLC|PEK|YYZ|CLE|BFD|
BFD|ZHA,|ZHA|CAN|PEK|YYZ|CLE|BFD|
BFD|ZYI,|ZYI|PEK|YYZ|CLE|BFD|
BFD|BAV,|BAV|CGO|PEK|YYZ|CLE|BFD|
BFD|CJU,|CJU|DLC|PEK|YYZ|CLE|BFD|
BFD|DSN,|DSN|CGO|PEK|YYZ|CLE|BFD|
BFD|HMI,|HMI|URC|TSE|FRA|YYZ|CLE|BFD|
BFD|INC,|INC|PEK|YYZ|CLE|BFD|
BFD|KHH,|KHH|CGO|PEK|YYZ|CLE|BFD|
BFD|UYN,|UYN|CGO|PEK|YYZ|CLE|BFD|
BFD|XNN,|XNN|PEK|YYZ|CLE|BFD|
BFD|ZUH,|ZUH|PEK|YYZ|CLE|BFD|
BFD|YNJ,|YNJ|PEK|YYZ|CLE|BFD|
