GZT|YCD,|YCD|YVR|MUC|SAW|GZT|
GZT|YCG,|YCG|YYC|FRA|ESB|GZT|
GZT|YKA,|YKA|YYC|FRA|ESB|GZT|
GZT|YPR,|YPR|YVR|MUC|SAW|GZT|
GZT|YQZ,|YQZ|YVR|MUC|SAW|GZT|
GZT|YXC,|YXC|YYC|FRA|ESB|GZT|
GZT|YXJ,|YXJ|YYC|FRA|ESB|GZT|
GZT|YXS,|YXS|YYC|FRA|ESB|GZT|
GZT|YXT,|YXT|YVR|MUC|SAW|GZT|
GZT|YXY,|YXY|YVR|MUC|SAW|GZT|
GZT|YYD,|YYD|YVR|MUC|SAW|GZT|
GZT|YYF,|YYF|YVR|MUC|SAW|GZT|
GZT|YZP,|YZP|YVR|MUC|SAW|GZT|
GZT|YQT,|YQT|YYZ|VIE|ESB|GZT|
GZT|SJD,|SJD|ORD|VIE|ESB|GZT|
GZT|YQF,|YQF|YYC|FRA|ESB|GZT|
GZT|YQL,|YQL|YYC|FRA|ESB|GZT|
GZT|YXH,|YXH|YYC|FRA|ESB|GZT|
GZT|YWK,|YWK|YYR|YYT|LHR|IST|GZT|
GZT|ANU,|ANU|EWR|FRA|ESB|GZT|
GZT|AUA,|AUA|EWR|FRA|ESB|GZT|
GZT|AUH,|AUH|IST|GZT|
GZT|BCN,|BCN|IST|GZT|
GZT|BDA,|BDA|EWR|FRA|ESB|GZT|
GZT|BGI,|BGI|YYZ|VIE|ESB|GZT|
GZT|BNA,|BNA|YYZ|VIE|ESB|GZT|
GZT|BOG,|BOG|JFK|VIE|ESB|GZT|
GZT|BWI,|BWI|EWR|FRA|ESB|GZT|
GZT|CLE,|CLE|YYZ|VIE|ESB|GZT|
GZT|CLT,|CLT|EWR|FRA|ESB|GZT|
GZT|CMH,|CMH|YYZ|VIE|ESB|GZT|
GZT|CVG,|CVG|YYZ|VIE|ESB|GZT|
GZT|DFW,|DFW|ORD|VIE|ESB|GZT|
GZT|DTW,|DTW|YYZ|VIE|ESB|GZT|
GZT|DUB,|DUB|IST|GZT|
GZT|FCO,|FCO|IST|GZT|
GZT|GCM,|GCM|EWR|FRA|ESB|GZT|
GZT|GGT,|GGT|FLL|MCO|FRA|ESB|GZT|
GZT|GND,|GND|YYZ|VIE|ESB|GZT|
GZT|GRU,|GRU|IST|GZT|
GZT|HAV,|HAV|YYZ|VIE|ESB|GZT|
GZT|IND,|IND|YYZ|VIE|ESB|GZT|
GZT|JFK,|JFK|VIE|ESB|GZT|
GZT|KIN,|KIN|YYZ|VIE|ESB|GZT|
GZT|LIM,|LIM|MIA|ZRH|IST|GZT|
GZT|LIR,|LIR|EWR|FRA|ESB|GZT|
GZT|MCI,|MCI|ORD|VIE|ESB|GZT|
GZT|MDT,|MDT|IAD|VIE|ESB|GZT|
GZT|MIA,|MIA|ZRH|IST|GZT|
GZT|MKE,|MKE|YYZ|VIE|ESB|GZT|
GZT|MSP,|MSP|YUL|FRA|ESB|GZT|
GZT|NAS,|NAS|EWR|FRA|ESB|GZT|
GZT|PHL,|PHL|IAD|VIE|ESB|GZT|
GZT|PHX,|PHX|DEN|FRA|ESB|GZT|
GZT|PIT,|PIT|YYZ|VIE|ESB|GZT|
GZT|PLS,|PLS|EWR|FRA|ESB|GZT|
GZT|POP,|POP|EWR|FRA|ESB|GZT|
GZT|RDU,|RDU|EWR|FRA|ESB|GZT|
GZT|ROC,|ROC|YYZ|VIE|ESB|GZT|
GZT|RSW,|RSW|MCO|FRA|ESB|GZT|
GZT|SAN,|SAN|LAX|IST|GZT|
GZT|SJO,|SJO|EWR|FRA|ESB|GZT|
GZT|STL,|STL|ORD|VIE|ESB|GZT|
GZT|SYR,|SYR|EWR|FRA|ESB|GZT|
GZT|TLV,|TLV|SAW|GZT|
GZT|TPA,|TPA|EWR|FRA|ESB|GZT|
GZT|UVF,|UVF|EWR|FRA|ESB|GZT|
GZT|VIE,|VIE|ESB|GZT|
GZT|YAM,|YAM|YYZ|VIE|ESB|GZT|
GZT|YGK,|YGK|YYZ|VIE|ESB|GZT|
GZT|YQG,|YQG|YYZ|VIE|ESB|GZT|
GZT|YSB,|YSB|YYZ|VIE|ESB|GZT|
GZT|YTS,|YTS|YYZ|VIE|ESB|GZT|
GZT|YYB,|YYB|YYZ|VIE|ESB|GZT|
GZT|YZR,|YZR|YYZ|VIE|ESB|GZT|
GZT|CAN,|CAN|IST|GZT|
GZT|URC,|URC|TBS|SAW|GZT|
GZT|CTU,|CTU|URC|TBS|SAW|GZT|
GZT|HGH,|HGH|URC|TBS|SAW|GZT|
GZT|XMN,|XMN|CSX|URC|TBS|SAW|GZT|
GZT|CGO,|CGO|URC|TBS|SAW|GZT|
GZT|CSX,|CSX|URC|TBS|SAW|GZT|
GZT|SHE,|SHE|PEK|IST|GZT|
GZT|SJW,|SJW|URC|TBS|SAW|GZT|
GZT|WUH,|WUH|URC|TBS|SAW|GZT|
GZT|SZX,|SZX|CKG|URC|TBS|SAW|GZT|
GZT|CKG,|CKG|URC|TBS|SAW|GZT|
GZT|KMG,|KMG|CTU|URC|TBS|SAW|GZT|
GZT|FOC,|FOC|XIY|URC|TBS|SAW|GZT|
GZT|NNG,|NNG|KWE|URC|TBS|SAW|GZT|
GZT|SWA,|SWA|CSX|URC|TBS|SAW|GZT|
GZT|ACX,|ACX|CAN|IST|GZT|
GZT|AQG,|AQG|CAN|IST|GZT|
GZT|AVA,|AVA|CAN|IST|GZT|
GZT|BFJ,|BFJ|CAN|IST|GZT|
GZT|BHY,|BHY|CKG|URC|TBS|SAW|GZT|
GZT|BNE,|BNE|BKK|IST|GZT|
GZT|CGD,|CGD|PEK|IST|GZT|
GZT|CGK,|CGK|SIN|IST|GZT|
GZT|CGQ,|CGQ|HET|URC|TBS|SAW|GZT|
GZT|CIH,|CIH|PEK|IST|GZT|
GZT|CNX,|CNX|CAN|IST|GZT|
GZT|CZX,|CZX|TYN|URC|TBS|SAW|GZT|
GZT|DAC,|DAC|IST|GZT|
GZT|DAD,|DAD|CAN|IST|GZT|
GZT|DEL,|DEL|IST|GZT|
GZT|DIG,|DIG|KMG|CTU|URC|TBS|SAW|GZT|
GZT|DLC,|DLC|PEK|IST|GZT|
GZT|DPS,|DPS|CAN|IST|GZT|
GZT|DXB,|DXB|IST|GZT|
GZT|DYG,|DYG|CSX|URC|TBS|SAW|GZT|
GZT|FUG,|FUG|CAN|IST|GZT|
GZT|FUK,|FUK|ICN|IST|GZT|
GZT|HAK,|HAK|CTU|URC|TBS|SAW|GZT|
GZT|HAN,|HAN|CAN|IST|GZT|
GZT|HDG,|HDG|CAN|IST|GZT|
GZT|HET,|HET|URC|TBS|SAW|GZT|
GZT|HFE,|HFE|XIY|URC|TBS|SAW|GZT|
GZT|HJJ,|HJJ|CSX|URC|TBS|SAW|GZT|
GZT|HKT,|HKT|KWE|URC|TBS|SAW|GZT|
GZT|HRB,|HRB|PEK|IST|GZT|
GZT|HZH,|HZH|CAN|IST|GZT|
GZT|JIU,|JIU|CAN|IST|GZT|
GZT|JJN,|JJN|CSX|URC|TBS|SAW|GZT|
GZT|JNG,|JNG|CAN|IST|GZT|
GZT|KHN,|KHN|XIY|URC|TBS|SAW|GZT|
GZT|KIX,|KIX|IST|GZT|
GZT|KOW,|KOW|CAN|IST|GZT|
GZT|KTM,|KTM|IST|GZT|
GZT|KUL,|KUL|IST|GZT|
GZT|KWE,|KWE|URC|TBS|SAW|GZT|
GZT|KWL,|KWL|CKG|URC|TBS|SAW|GZT|
GZT|LHW,|LHW|URC|TBS|SAW|GZT|
GZT|LYA,|LYA|KHN|XIY|URC|TBS|SAW|GZT|
GZT|LYG,|LYG|XUZ|INC|URC|TBS|SAW|GZT|
GZT|LZH,|LZH|CAN|IST|GZT|
GZT|MEL,|MEL|BKK|IST|GZT|
GZT|MIG,|MIG|CSX|URC|TBS|SAW|GZT|
GZT|MLE,|MLE|IST|GZT|
GZT|MNL,|MNL|CAN|IST|GZT|
GZT|MXZ,|MXZ|CAN|IST|GZT|
GZT|NAO,|NAO|PEK|IST|GZT|
GZT|NGB,|NGB|WUH|URC|TBS|SAW|GZT|
GZT|NKG,|NKG|URC|TBS|SAW|GZT|
GZT|NNY,|NNY|CGO|URC|TBS|SAW|GZT|
GZT|PEN,|PEN|CAN|IST|GZT|
GZT|PER,|PER|BKK|IST|GZT|
GZT|PNH,|PNH|CAN|IST|GZT|
GZT|REP,|REP|CAN|IST|GZT|
GZT|RGN,|RGN|CAN|IST|GZT|
GZT|SGN,|SGN|BKK|IST|GZT|
GZT|SHA,|SHA|URC|TBS|SAW|GZT|
GZT|SIN,|SIN|IST|GZT|
GZT|SVO,|SVO|URC|TBS|SAW|GZT|
GZT|SYX,|SYX|CKG|URC|TBS|SAW|GZT|
GZT|TAO,|TAO|TYN|URC|TBS|SAW|GZT|
GZT|TEN,|TEN|CAN|IST|GZT|
GZT|TNA,|TNA|URC|TBS|SAW|GZT|
GZT|TPE,|TPE|URC|TBS|SAW|GZT|
GZT|TSN,|TSN|HET|URC|TBS|SAW|GZT|
GZT|TXN,|TXN|TYN|URC|TBS|SAW|GZT|
GZT|TYN,|TYN|URC|TBS|SAW|GZT|
