TIP|BOS,|BOS|FRA|IST|TIP|
TIP|YDF,|YDF|YYT|LHR|IST|TIP|
TIP|YFC,|YFC|YHZ|LHR|IST|TIP|
TIP|YQM,|YQM|YHZ|LHR|IST|TIP|
TIP|YQX,|YQX|YYT|LHR|IST|TIP|
TIP|YQY,|YQY|YHZ|LHR|IST|TIP|
TIP|YSJ,|YSJ|YHZ|LHR|IST|TIP|
TIP|YYG,|YYG|YHZ|LHR|IST|TIP|
TIP|LAX,|LAX|IST|TIP|
TIP|DCA,|DCA|EWR|BHX|IST|TIP|
TIP|LGA,|LGA|YHZ|LHR|IST|TIP|
TIP|YZV,|YZV|YWK|YYR|YYT|LHR|IST|TIP|
TIP|YWL,|YWL|YVR|MUC|IST|TIP|
TIP|AZS,|AZS|YUL|FRA|IST|TIP|
TIP|BDL,|BDL|YUL|FRA|IST|TIP|
TIP|CCC,|CCC|YUL|FRA|IST|TIP|
TIP|CDG,|CDG|IST|TIP|
TIP|CUN,|CUN|YHZ|LHR|IST|TIP|
TIP|CZM,|CZM|YUL|FRA|IST|TIP|
TIP|FDF,|FDF|YUL|FRA|IST|TIP|
TIP|FLL,|FLL|MCO|FRA|IST|TIP|
TIP|GVA,|GVA|IST|TIP|
TIP|HOG,|HOG|YUL|FRA|IST|TIP|
TIP|LAS,|LAS|DEN|FRA|IST|TIP|
TIP|MBJ,|MBJ|YHZ|LHR|IST|TIP|
TIP|MCO,|MCO|FRA|IST|TIP|
TIP|MUC,|MUC|IST|TIP|
TIP|PAP,|PAP|YUL|FRA|IST|TIP|
TIP|PTP,|PTP|YUL|FRA|IST|TIP|
TIP|PUJ,|PUJ|YHZ|LHR|IST|TIP|
TIP|SNU,|SNU|YUL|FRA|IST|TIP|
TIP|VRA,|VRA|YUL|FRA|IST|TIP|
TIP|YBC,|YBC|YUL|FRA|IST|TIP|
TIP|YBG,|YBG|YUL|FRA|IST|TIP|
TIP|YTZ,|YTZ|YUL|FRA|IST|TIP|
TIP|YUY,|YUY|YUL|FRA|IST|TIP|
TIP|YVO,|YVO|YUL|FRA|IST|TIP|
TIP|ZBF,|ZBF|YUL|FRA|IST|TIP|
TIP|ZRH,|ZRH|IST|TIP|
TIP|ZSA,|ZSA|YUL|FRA|IST|TIP|
TIP|AKL,|AKL|BKK|IST|TIP|
TIP|HKG,|HKG|IST|TIP|
TIP|HND,|HND|YVR|MUC|IST|TIP|
TIP|HNL,|HNL|YVR|MUC|IST|TIP|
TIP|MEX,|MEX|IAD|IST|TIP|
TIP|OGG,|OGG|YVR|MUC|IST|TIP|
TIP|PDX,|PDX|SEA|FRA|IST|TIP|
TIP|PEK,|PEK|IST|TIP|
TIP|PVG,|PVG|IST|TIP|
TIP|PVR,|PVR|ORD|IST|TIP|
TIP|SEA,|SEA|FRA|IST|TIP|
TIP|SYD,|SYD|BKK|IST|TIP|
TIP|YBL,|YBL|YVR|MUC|IST|TIP|
TIP|YCD,|YCD|YVR|MUC|IST|TIP|
TIP|YCG,|YCG|YYC|FRA|IST|TIP|
TIP|YKA,|YKA|YYC|FRA|IST|TIP|
TIP|YPR,|YPR|YVR|MUC|IST|TIP|
TIP|YQZ,|YQZ|YVR|MUC|IST|TIP|
TIP|YXC,|YXC|YYC|FRA|IST|TIP|
TIP|YXJ,|YXJ|YYC|FRA|IST|TIP|
TIP|YXS,|YXS|YYC|FRA|IST|TIP|
TIP|YXT,|YXT|YVR|MUC|IST|TIP|
TIP|YXY,|YXY|YVR|MUC|IST|TIP|
TIP|YYD,|YYD|YVR|MUC|IST|TIP|
TIP|YYF,|YYF|YVR|MUC|IST|TIP|
TIP|YZP,|YZP|YVR|MUC|IST|TIP|
TIP|YQT,|YQT|YYZ|IST|TIP|
TIP|SJD,|SJD|ORD|IST|TIP|
TIP|YQF,|YQF|YYC|FRA|IST|TIP|
TIP|YQL,|YQL|YYC|FRA|IST|TIP|
TIP|YXH,|YXH|YYC|FRA|IST|TIP|
TIP|YWK,|YWK|YYR|YYT|LHR|IST|TIP|
TIP|ANU,|ANU|EWR|BHX|IST|TIP|
TIP|AUA,|AUA|EWR|BHX|IST|TIP|
TIP|AUH,|AUH|IST|TIP|
TIP|BCN,|BCN|IST|TIP|
TIP|BDA,|BDA|EWR|BHX|IST|TIP|
TIP|BGI,|BGI|YYZ|IST|TIP|
TIP|BNA,|BNA|YYZ|IST|TIP|
TIP|BOG,|BOG|MIA|ZRH|IST|TIP|
TIP|BWI,|BWI|EWR|BHX|IST|TIP|
TIP|CLE,|CLE|YYZ|IST|TIP|
TIP|CLT,|CLT|EWR|BHX|IST|TIP|
TIP|CMH,|CMH|YYZ|IST|TIP|
TIP|CVG,|CVG|YYZ|IST|TIP|
TIP|DFW,|DFW|ORD|IST|TIP|
TIP|DTW,|DTW|FRA|IST|TIP|
TIP|DUB,|DUB|IST|TIP|
TIP|FCO,|FCO|IST|TIP|
TIP|GCM,|GCM|EWR|BHX|IST|TIP|
TIP|GGT,|GGT|FLL|MCO|FRA|IST|TIP|
TIP|GND,|GND|YYZ|IST|TIP|
TIP|GRU,|GRU|IST|TIP|
TIP|HAV,|HAV|YYZ|IST|TIP|
TIP|IND,|IND|YYZ|IST|TIP|
TIP|JFK,|JFK|IST|TIP|
TIP|KIN,|KIN|YYZ|IST|TIP|
TIP|LIM,|LIM|MIA|ZRH|IST|TIP|
TIP|LIR,|LIR|EWR|BHX|IST|TIP|
TIP|MCI,|MCI|ORD|IST|TIP|
TIP|MDT,|MDT|IAD|IST|TIP|
TIP|MIA,|MIA|ZRH|IST|TIP|
TIP|MKE,|MKE|YYZ|IST|TIP|
TIP|MSP,|MSP|YUL|FRA|IST|TIP|
TIP|NAS,|NAS|EWR|BHX|IST|TIP|
TIP|PHL,|PHL|IAD|IST|TIP|
TIP|PHX,|PHX|DEN|FRA|IST|TIP|
TIP|PIT,|PIT|YYZ|IST|TIP|
TIP|PLS,|PLS|EWR|BHX|IST|TIP|
TIP|POP,|POP|EWR|BHX|IST|TIP|
TIP|RDU,|RDU|EWR|BHX|IST|TIP|
TIP|ROC,|ROC|YYZ|IST|TIP|
TIP|RSW,|RSW|MCO|FRA|IST|TIP|
TIP|SAN,|SAN|LAX|IST|TIP|
TIP|SJO,|SJO|EWR|BHX|IST|TIP|
TIP|STL,|STL|ORD|IST|TIP|
TIP|SYR,|SYR|EWR|BHX|IST|TIP|
TIP|TLV,|TLV|IST|TIP|
TIP|TPA,|TPA|EWR|BHX|IST|TIP|
TIP|UVF,|UVF|EWR|BHX|IST|TIP|
TIP|VIE,|VIE|IST|TIP|
TIP|YAM,|YAM|YYZ|IST|TIP|
TIP|YGK,|YGK|YYZ|IST|TIP|
TIP|YQG,|YQG|YYZ|IST|TIP|
TIP|YSB,|YSB|YYZ|IST|TIP|
TIP|YTS,|YTS|YYZ|IST|TIP|
TIP|YYB,|YYB|YYZ|IST|TIP|
TIP|YZR,|YZR|YYZ|IST|TIP|
TIP|CAN,|CAN|IST|TIP|
TIP|URC,|URC|IST|TIP|
TIP|CTU,|CTU|URC|IST|TIP|
TIP|HGH,|HGH|URC|IST|TIP|
TIP|XMN,|XMN|CSX|URC|IST|TIP|
TIP|CGO,|CGO|URC|IST|TIP|
TIP|CSX,|CSX|URC|IST|TIP|
TIP|SHE,|SHE|PEK|IST|TIP|
TIP|SJW,|SJW|URC|IST|TIP|
TIP|WUH,|WUH|URC|IST|TIP|
TIP|SZX,|SZX|CKG|URC|IST|TIP|
TIP|CKG,|CKG|URC|IST|TIP|
TIP|KMG,|KMG|CTU|URC|IST|TIP|
TIP|FOC,|FOC|XIY|URC|IST|TIP|
TIP|NNG,|NNG|KWE|URC|IST|TIP|
TIP|SWA,|SWA|CAN|IST|TIP|
TIP|ACX,|ACX|CAN|IST|TIP|
TIP|AQG,|AQG|CAN|IST|TIP|
TIP|AVA,|AVA|CAN|IST|TIP|
TIP|BFJ,|BFJ|CAN|IST|TIP|
TIP|BHY,|BHY|CKG|URC|IST|TIP|
TIP|BNE,|BNE|BKK|IST|TIP|
TIP|CGD,|CGD|PEK|IST|TIP|
TIP|CGK,|CGK|SIN|IST|TIP|
TIP|CGQ,|CGQ|HET|URC|IST|TIP|
TIP|CIH,|CIH|PEK|IST|TIP|
TIP|CNX,|CNX|CAN|IST|TIP|
TIP|CZX,|CZX|TYN|URC|IST|TIP|
TIP|DAC,|DAC|IST|TIP|
TIP|DAD,|DAD|CAN|IST|TIP|
TIP|DEL,|DEL|IST|TIP|
TIP|DIG,|DIG|KMG|CTU|URC|IST|TIP|
TIP|DLC,|DLC|PEK|IST|TIP|
TIP|DPS,|DPS|CAN|IST|TIP|
TIP|DXB,|DXB|IST|TIP|
TIP|DYG,|DYG|CSX|URC|IST|TIP|
TIP|FUG,|FUG|CAN|IST|TIP|
TIP|FUK,|FUK|ICN|IST|TIP|
TIP|HAK,|HAK|CTU|URC|IST|TIP|
TIP|HAN,|HAN|CAN|IST|TIP|
TIP|HDG,|HDG|CAN|IST|TIP|
TIP|HET,|HET|URC|IST|TIP|
TIP|HFE,|HFE|XIY|URC|IST|TIP|
TIP|HJJ,|HJJ|CSX|URC|IST|TIP|
TIP|HKT,|HKT|KWE|URC|IST|TIP|
TIP|HRB,|HRB|PEK|IST|TIP|
TIP|HZH,|HZH|CAN|IST|TIP|
