LFW|YQZ,|YQZ|YVR|YUL|BRU|LFW|
LFW|YXC,|YXC|YYC|YUL|BRU|LFW|
LFW|YXJ,|YXJ|YYC|YUL|BRU|LFW|
LFW|YXS,|YXS|YYC|YUL|BRU|LFW|
LFW|YXT,|YXT|YVR|YUL|BRU|LFW|
LFW|YXY,|YXY|YVR|YUL|BRU|LFW|
LFW|YYD,|YYD|YVR|YUL|BRU|LFW|
LFW|YYF,|YYF|YVR|YUL|BRU|LFW|
LFW|YZP,|YZP|YVR|YUL|BRU|LFW|
LFW|YQT,|YQT|YYZ|BRU|LFW|
LFW|SJD,|SJD|ORD|BRU|LFW|
LFW|YQF,|YQF|YYC|YUL|BRU|LFW|
LFW|YQL,|YQL|YYC|YUL|BRU|LFW|
LFW|YXH,|YXH|YYC|YUL|BRU|LFW|
LFW|YWK,|YWK|YZV|YUL|BRU|LFW|
LFW|ANU,|ANU|EWR|BRU|LFW|
LFW|AUA,|AUA|EWR|BRU|LFW|
LFW|AUH,|AUH|IST|BRU|LFW|
LFW|BCN,|BCN|IST|BRU|LFW|
LFW|BDA,|BDA|EWR|BRU|LFW|
LFW|BGI,|BGI|YYZ|BRU|LFW|
LFW|BNA,|BNA|YYZ|BRU|LFW|
LFW|BOG,|BOG|JFK|BRU|LFW|
LFW|BWI,|BWI|EWR|BRU|LFW|
LFW|CLE,|CLE|YYZ|BRU|LFW|
LFW|CLT,|CLT|EWR|BRU|LFW|
LFW|CMH,|CMH|YYZ|BRU|LFW|
LFW|CVG,|CVG|YYZ|BRU|LFW|
LFW|DFW,|DFW|ORD|BRU|LFW|
LFW|DTW,|DTW|YYZ|BRU|LFW|
LFW|DUB,|DUB|IST|BRU|LFW|
LFW|FCO,|FCO|IST|BRU|LFW|
LFW|GCM,|GCM|EWR|BRU|LFW|
LFW|GGT,|GGT|FLL|EWR|BRU|LFW|
LFW|GND,|GND|YYZ|BRU|LFW|
LFW|GRU,|GRU|IST|BRU|LFW|
LFW|HAV,|HAV|YYZ|BRU|LFW|
LFW|IND,|IND|YYZ|BRU|LFW|
LFW|JFK,|JFK|BRU|LFW|
LFW|KIN,|KIN|YYZ|BRU|LFW|
LFW|LIM,|LIM|EWR|BRU|LFW|
LFW|LIR,|LIR|EWR|BRU|LFW|
