SZG|YQZ,|YQZ|YVR|MUC|IST|SZG|
SZG|YXC,|YXC|YYC|FRA|IST|SZG|
SZG|YXJ,|YXJ|YYC|FRA|IST|SZG|
SZG|YXS,|YXS|YYC|FRA|IST|SZG|
SZG|YXT,|YXT|YVR|MUC|IST|SZG|
SZG|YXY,|YXY|YVR|MUC|IST|SZG|
SZG|YYD,|YYD|YVR|MUC|IST|SZG|
SZG|YYF,|YYF|YVR|MUC|IST|SZG|
SZG|YZP,|YZP|YVR|MUC|IST|SZG|
SZG|YQT,|YQT|YYZ|IST|SZG|
SZG|SJD,|SJD|ORD|IST|SZG|
SZG|YQF,|YQF|YYC|FRA|IST|SZG|
SZG|YQL,|YQL|YYC|FRA|IST|SZG|
SZG|YXH,|YXH|YYC|FRA|IST|SZG|
SZG|YWK,|YWK|YYR|YYT|LHR|IST|SZG|
SZG|ANU,|ANU|EWR|BHX|IST|SZG|
SZG|AUA,|AUA|EWR|BHX|IST|SZG|
SZG|AUH,|AUH|IST|SZG|
SZG|BCN,|BCN|IST|SZG|
SZG|BDA,|BDA|EWR|BHX|IST|SZG|
SZG|BGI,|BGI|YYZ|IST|SZG|
SZG|BNA,|BNA|YYZ|IST|SZG|
SZG|BOG,|BOG|MIA|ZRH|IST|SZG|
SZG|BWI,|BWI|EWR|BHX|IST|SZG|
SZG|CLE,|CLE|YYZ|IST|SZG|
SZG|CLT,|CLT|EWR|BHX|IST|SZG|
SZG|CMH,|CMH|YYZ|IST|SZG|
SZG|CVG,|CVG|YYZ|IST|SZG|
SZG|DFW,|DFW|ORD|IST|SZG|
SZG|DTW,|DTW|FRA|IST|SZG|
SZG|DUB,|DUB|IST|SZG|
SZG|FCO,|FCO|IST|SZG|
SZG|GCM,|GCM|EWR|BHX|IST|SZG|
SZG|GGT,|GGT|FLL|MCO|FRA|IST|SZG|
SZG|GND,|GND|YYZ|IST|SZG|
SZG|GRU,|GRU|IST|SZG|
SZG|HAV,|HAV|YYZ|IST|SZG|
SZG|IND,|IND|YYZ|IST|SZG|
SZG|JFK,|JFK|IST|SZG|
SZG|KIN,|KIN|YYZ|IST|SZG|
SZG|LIM,|LIM|MIA|ZRH|IST|SZG|
SZG|LIR,|LIR|EWR|BHX|IST|SZG|
SZG|MCI,|MCI|ORD|IST|SZG|
SZG|MDT,|MDT|IAD|IST|SZG|
SZG|MIA,|MIA|ZRH|IST|SZG|
SZG|MKE,|MKE|YYZ|IST|SZG|
SZG|MSP,|MSP|YUL|FRA|IST|SZG|
SZG|NAS,|NAS|EWR|BHX|IST|SZG|
SZG|PHL,|PHL|IAD|IST|SZG|
SZG|PHX,|PHX|DEN|FRA|IST|SZG|
SZG|PIT,|PIT|YYZ|IST|SZG|
SZG|PLS,|PLS|EWR|BHX|IST|SZG|
SZG|POP,|POP|EWR|BHX|IST|SZG|
SZG|RDU,|RDU|EWR|BHX|IST|SZG|
SZG|ROC,|ROC|YYZ|IST|SZG|
SZG|RSW,|RSW|MCO|FRA|IST|SZG|
SZG|SAN,|SAN|LAX|IST|SZG|
SZG|SJO,|SJO|EWR|BHX|IST|SZG|
SZG|STL,|STL|ORD|IST|SZG|
SZG|SYR,|SYR|EWR|BHX|IST|SZG|
SZG|TLV,|TLV|IST|SZG|
SZG|TPA,|TPA|EWR|BHX|IST|SZG|
SZG|UVF,|UVF|EWR|BHX|IST|SZG|
SZG|VIE,|VIE|IST|SZG|
SZG|YAM,|YAM|YYZ|IST|SZG|
SZG|YGK,|YGK|YYZ|IST|SZG|
SZG|YQG,|YQG|YYZ|IST|SZG|
SZG|YSB,|YSB|YYZ|IST|SZG|
SZG|YTS,|YTS|YYZ|IST|SZG|
SZG|YYB,|YYB|YYZ|IST|SZG|
SZG|YZR,|YZR|YYZ|IST|SZG|
SZG|CAN,|CAN|IST|SZG|
SZG|URC,|URC|IST|SZG|
SZG|CTU,|CTU|URC|IST|SZG|
SZG|HGH,|HGH|URC|IST|SZG|
SZG|XMN,|XMN|CSX|URC|IST|SZG|
SZG|CGO,|CGO|URC|IST|SZG|
SZG|CSX,|CSX|URC|IST|SZG|
SZG|SHE,|SHE|PEK|IST|SZG|
SZG|SJW,|SJW|URC|IST|SZG|
