SRQ|ZBF,|ZBF|YUL|ORD|SRQ|
SRQ|ZRH,|ZRH|ORD|SRQ|
SRQ|ZSA,|ZSA|YUL|ORD|SRQ|
SRQ|AKL,|AKL|LAX|ORD|SRQ|
SRQ|HKG,|HKG|ORD|SRQ|
SRQ|HND,|HND|YVR|ORD|SRQ|
SRQ|HNL,|HNL|ORD|SRQ|
SRQ|MEX,|MEX|ORD|SRQ|
SRQ|OGG,|OGG|ORD|SRQ|
SRQ|PDX,|PDX|ORD|SRQ|
SRQ|PEK,|PEK|ORD|SRQ|
SRQ|PVG,|PVG|ORD|SRQ|
SRQ|PVR,|PVR|ORD|SRQ|
SRQ|SEA,|SEA|ORD|SRQ|
SRQ|SYD,|SYD|LAX|ORD|SRQ|
SRQ|YBL,|YBL|YVR|ORD|SRQ|
SRQ|YCD,|YCD|YVR|ORD|SRQ|
SRQ|YCG,|YCG|YYC|ORD|SRQ|
SRQ|YKA,|YKA|YYC|ORD|SRQ|
SRQ|YPR,|YPR|YVR|ORD|SRQ|
SRQ|YQZ,|YQZ|YVR|ORD|SRQ|
SRQ|YXC,|YXC|YYC|ORD|SRQ|
SRQ|YXJ,|YXJ|YYC|ORD|SRQ|
SRQ|YXS,|YXS|YYC|ORD|SRQ|
SRQ|YXT,|YXT|YVR|ORD|SRQ|
SRQ|YXY,|YXY|YVR|ORD|SRQ|
SRQ|YYD,|YYD|YVR|ORD|SRQ|
SRQ|YYF,|YYF|YVR|ORD|SRQ|
SRQ|YZP,|YZP|YVR|ORD|SRQ|
SRQ|YQT,|YQT|YYZ|ORD|SRQ|
SRQ|SJD,|SJD|ORD|SRQ|
SRQ|YQF,|YQF|YYC|ORD|SRQ|
SRQ|YQL,|YQL|YYC|ORD|SRQ|
SRQ|YXH,|YXH|YYC|ORD|SRQ|
SRQ|YWK,|YWK|YZV|YQB|ORD|SRQ|
SRQ|ANU,|ANU|EWR|ORD|SRQ|
SRQ|AUA,|AUA|ATL|ORD|SRQ|
SRQ|AUH,|AUH|YYZ|ORD|SRQ|
SRQ|BCN,|BCN|YYZ|ORD|SRQ|
SRQ|BDA,|BDA|EWR|ORD|SRQ|
SRQ|BGI,|BGI|YYZ|ORD|SRQ|
SRQ|BNA,|BNA|ORD|SRQ|
SRQ|BOG,|BOG|MIA|ORD|SRQ|
SRQ|BWI,|BWI|ORD|SRQ|
SRQ|CLE,|CLE|ORD|SRQ|
SRQ|CLT,|CLT|ORD|SRQ|
SRQ|CMH,|CMH|ORD|SRQ|
SRQ|CVG,|CVG|ORD|SRQ|
SRQ|DFW,|DFW|ORD|SRQ|
SRQ|DTW,|DTW|ORD|SRQ|
SRQ|DUB,|DUB|ORD|SRQ|
SRQ|FCO,|FCO|YYZ|ORD|SRQ|
SRQ|GCM,|GCM|IAD|ORD|SRQ|
SRQ|GGT,|GGT|FLL|ORD|SRQ|
SRQ|GND,|GND|YYZ|ORD|SRQ|
SRQ|GRU,|GRU|ORD|SRQ|
SRQ|HAV,|HAV|YYZ|ORD|SRQ|
SRQ|IND,|IND|ORD|SRQ|
SRQ|JFK,|JFK|YYZ|ORD|SRQ|
SRQ|KIN,|KIN|YYZ|ORD|SRQ|
SRQ|LIM,|LIM|MIA|ORD|SRQ|
SRQ|LIR,|LIR|IAH|ORD|SRQ|
SRQ|MCI,|MCI|ORD|SRQ|
SRQ|MDT,|MDT|ORD|SRQ|
SRQ|MIA,|MIA|ORD|SRQ|
SRQ|MKE,|MKE|ORD|SRQ|
SRQ|MSP,|MSP|ORD|SRQ|
SRQ|NAS,|NAS|ORD|SRQ|
SRQ|PHL,|PHL|ORD|SRQ|
SRQ|PHX,|PHX|ORD|SRQ|
SRQ|PIT,|PIT|ORD|SRQ|
SRQ|PLS,|PLS|YYZ|ORD|SRQ|
SRQ|POP,|POP|YYZ|ORD|SRQ|
SRQ|RDU,|RDU|ORD|SRQ|
SRQ|ROC,|ROC|ORD|SRQ|
SRQ|RSW,|RSW|ORD|SRQ|
SRQ|SAN,|SAN|ORD|SRQ|
SRQ|SJO,|SJO|ORD|SRQ|
SRQ|STL,|STL|ORD|SRQ|
SRQ|SYR,|SYR|ORD|SRQ|
SRQ|TLV,|TLV|IST|ORD|SRQ|
SRQ|TPA,|TPA|ORD|SRQ|
SRQ|UVF,|UVF|EWR|ORD|SRQ|
SRQ|VIE,|VIE|ORD|SRQ|
SRQ|YAM,|YAM|YYZ|ORD|SRQ|
SRQ|YGK,|YGK|YYZ|ORD|SRQ|
SRQ|YQG,|YQG|YYZ|ORD|SRQ|
SRQ|YSB,|YSB|YYZ|ORD|SRQ|
