YUM|YXT,|YXT|YVR|LAX|YUM|
YUM|YXY,|YXY|YVR|LAX|YUM|
YUM|YYD,|YYD|YVR|LAX|YUM|
YUM|YYF,|YYF|YVR|LAX|YUM|
YUM|YZP,|YZP|YVR|LAX|YUM|
YUM|YQT,|YQT|YWG|LAS|LAX|YUM|
YUM|SJD,|SJD|LAX|YUM|
YUM|YQF,|YQF|YYC|LAX|YUM|
YUM|YQL,|YQL|YYC|LAX|YUM|
YUM|YXH,|YXH|YYC|LAX|YUM|
YUM|YWK,|YWK|YZV|YUL|LAX|YUM|
YUM|ANU,|ANU|EWR|LAX|YUM|
YUM|AUA,|AUA|ATL|LAX|YUM|
YUM|AUH,|AUH|IST|LAX|YUM|
YUM|BCN,|BCN|YYZ|LAX|YUM|
YUM|BDA,|BDA|EWR|LAX|YUM|
YUM|BGI,|BGI|YYZ|LAX|YUM|
YUM|BNA,|BNA|LAX|YUM|
YUM|BOG,|BOG|IAH|LAX|YUM|
YUM|BWI,|BWI|LAX|YUM|
YUM|CLE,|CLE|LAX|YUM|
YUM|CLT,|CLT|IAH|LAX|YUM|
YUM|CMH,|CMH|STL|LAX|YUM|
YUM|CVG,|CVG|DEN|LAX|YUM|
YUM|DFW,|DFW|LAX|YUM|
YUM|DTW,|DTW|MDW|LAX|YUM|
YUM|DUB,|DUB|ORD|LAX|YUM|
YUM|FCO,|FCO|YYZ|LAX|YUM|
YUM|GCM,|GCM|IAH|LAX|YUM|
YUM|GGT,|GGT|FLL|PHX|LAX|YUM|
YUM|GND,|GND|YYZ|LAX|YUM|
YUM|GRU,|GRU|IAH|LAX|YUM|
YUM|HAV,|HAV|YYZ|LAX|YUM|
YUM|IND,|IND|MCI|LAX|YUM|
YUM|JFK,|JFK|LAX|YUM|
YUM|KIN,|KIN|YYZ|LAX|YUM|
YUM|LIM,|LIM|IAH|LAX|YUM|
YUM|LIR,|LIR|IAH|LAX|YUM|
YUM|MCI,|MCI|LAX|YUM|
YUM|MDT,|MDT|ORD|LAX|YUM|
YUM|MIA,|MIA|IAH|LAX|YUM|
YUM|MKE,|MKE|LAX|YUM|
YUM|MSP,|MSP|LAX|YUM|
YUM|NAS,|NAS|IAH|LAX|YUM|
YUM|PHL,|PHL|STL|LAX|YUM|
YUM|PHX,|PHX|LAX|YUM|
YUM|PIT,|PIT|LAX|YUM|
YUM|PLS,|PLS|YYZ|LAX|YUM|
YUM|POP,|POP|YYZ|LAX|YUM|
YUM|RDU,|RDU|BNA|LAX|YUM|
YUM|ROC,|ROC|ORD|LAX|YUM|
YUM|RSW,|RSW|IAH|LAX|YUM|
YUM|SAN,|SAN|LAX|YUM|
YUM|SJO,|SJO|IAH|LAX|YUM|
YUM|STL,|STL|LAX|YUM|
YUM|SYR,|SYR|ORD|LAX|YUM|
YUM|TLV,|TLV|IST|LAX|YUM|
YUM|TPA,|TPA|MSY|LAX|YUM|
YUM|UVF,|UVF|EWR|LAX|YUM|
YUM|VIE,|VIE|ORD|LAX|YUM|
YUM|YAM,|YAM|YYZ|LAX|YUM|
YUM|YGK,|YGK|YYZ|LAX|YUM|
YUM|YQG,|YQG|YYZ|LAX|YUM|
YUM|YSB,|YSB|YYZ|LAX|YUM|
YUM|YTS,|YTS|YYZ|LAX|YUM|
YUM|YYB,|YYB|YYZ|LAX|YUM|
YUM|YZR,|YZR|YYZ|LAX|YUM|
YUM|CAN,|CAN|LAX|YUM|
YUM|URC,|URC|PEK|LAX|YUM|
YUM|CTU,|CTU|PEK|LAX|YUM|
YUM|HGH,|HGH|DLC|ICN|LAX|YUM|
YUM|XMN,|XMN|YNZ|DLC|ICN|LAX|YUM|
YUM|CGO,|CGO|PEK|LAX|YUM|
YUM|CSX,|CSX|ICN|LAX|YUM|
YUM|SHE,|SHE|ICN|LAX|YUM|
YUM|SJW,|SJW|DLC|ICN|LAX|YUM|
YUM|WUH,|WUH|ICN|LAX|YUM|
YUM|SZX,|SZX|PVG|LAX|YUM|
