RSW|YCG,|YCG|YYC|MCO|RSW|
RSW|YKA,|YKA|YYC|MCO|RSW|
RSW|YPR,|YPR|YVR|DEN|RSW|
RSW|YQZ,|YQZ|YVR|DEN|RSW|
RSW|YXC,|YXC|YYC|MCO|RSW|
RSW|YXJ,|YXJ|YYC|MCO|RSW|
RSW|YXS,|YXS|YYC|MCO|RSW|
RSW|YXT,|YXT|YVR|DEN|RSW|
RSW|YXY,|YXY|YVR|DEN|RSW|
RSW|YYD,|YYD|YVR|DEN|RSW|
RSW|YYF,|YYF|YVR|DEN|RSW|
RSW|YZP,|YZP|YVR|DEN|RSW|
RSW|YQT,|YQT|YYZ|RSW|
RSW|SJD,|SJD|IAH|RSW|
RSW|YQF,|YQF|YYC|MCO|RSW|
RSW|YQL,|YQL|YYC|MCO|RSW|
RSW|YXH,|YXH|YYC|MCO|RSW|
RSW|YWK,|YWK|YZV|YQB|EWR|RSW|
RSW|ANU,|ANU|EWR|RSW|
RSW|AUA,|AUA|ATL|RSW|
RSW|AUH,|AUH|FRA|MCO|RSW|
RSW|BCN,|BCN|EWR|RSW|
RSW|BDA,|BDA|EWR|RSW|
RSW|BGI,|BGI|YYZ|RSW|
RSW|BNA,|BNA|MCO|RSW|
RSW|BOG,|BOG|MIA|MSY|MCO|RSW|
RSW|BWI,|BWI|RSW|
RSW|CLE,|CLE|RSW|
RSW|CLT,|CLT|MCO|RSW|
RSW|CMH,|CMH|RSW|
RSW|CVG,|CVG|IAD|MCO|RSW|
RSW|DFW,|DFW|IAH|RSW|
RSW|DTW,|DTW|ATL|RSW|
RSW|DUB,|DUB|BOS|MCO|RSW|
RSW|FCO,|FCO|EWR|RSW|
RSW|GCM,|GCM|IAH|RSW|
RSW|GGT,|GGT|FLL|EYW|RSW|
RSW|GND,|GND|YYZ|RSW|
RSW|GRU,|GRU|IAD|MCO|RSW|
RSW|HAV,|HAV|YYZ|RSW|
RSW|IND,|IND|RSW|
RSW|JFK,|JFK|IAD|MCO|RSW|
RSW|KIN,|KIN|YYZ|RSW|
RSW|LIM,|LIM|MIA|MSY|MCO|RSW|
RSW|LIR,|LIR|IAH|RSW|
RSW|MCI,|MCI|MCO|RSW|
RSW|MDT,|MDT|IAD|MCO|RSW|
RSW|MIA,|MIA|MSY|MCO|RSW|
RSW|MKE,|MKE|RSW|
RSW|MSP,|MSP|ATL|RSW|
RSW|NAS,|NAS|ATL|RSW|
RSW|PHL,|PHL|RSW|
RSW|PHX,|PHX|IAH|RSW|
RSW|PIT,|PIT|RSW|
RSW|PLS,|PLS|EWR|RSW|
RSW|POP,|POP|EWR|RSW|
RSW|RDU,|RDU|MCO|RSW|
RSW|ROC,|ROC|MCO|RSW|
RSW|SAN,|SAN|IAH|RSW|
RSW|SJO,|SJO|IAH|RSW|
RSW|STL,|STL|RSW|
RSW|SYR,|SYR|IAD|MCO|RSW|
RSW|TLV,|TLV|IST|FRA|MCO|RSW|
RSW|TPA,|TPA|GNV|MCO|RSW|
RSW|UVF,|UVF|EWR|RSW|
RSW|VIE,|VIE|IAD|MCO|RSW|
RSW|YAM,|YAM|YYZ|RSW|
RSW|YGK,|YGK|YYZ|RSW|
RSW|YQG,|YQG|YYZ|RSW|
RSW|YSB,|YSB|YYZ|RSW|
RSW|YTS,|YTS|YYZ|RSW|
RSW|YYB,|YYB|YYZ|RSW|
RSW|YZR,|YZR|YYZ|RSW|
RSW|CAN,|CAN|PEK|ORD|RSW|
RSW|URC,|URC|TSE|FRA|MCO|RSW|
RSW|CTU,|CTU|PEK|ORD|RSW|
RSW|HGH,|HGH|PEK|ORD|RSW|
RSW|XMN,|XMN|PEK|ORD|RSW|
