YSB|YXS,|YXS|YYC|YYZ|YSB|
YSB|YXT,|YXT|YVR|YYZ|YSB|
YSB|YXY,|YXY|YVR|YYZ|YSB|
YSB|YYD,|YYD|YVR|YYZ|YSB|
YSB|YYF,|YYF|YVR|YYZ|YSB|
YSB|YZP,|YZP|YVR|YYZ|YSB|
YSB|YQT,|YQT|YYZ|YSB|
YSB|SJD,|SJD|ORD|YYZ|YSB|
YSB|YQF,|YQF|YYC|YYZ|YSB|
YSB|YQL,|YQL|YYC|YYZ|YSB|
YSB|YXH,|YXH|YYC|YYZ|YSB|
YSB|YWK,|YWK|YZV|YQB|YYZ|YSB|
YSB|ANU,|ANU|YYZ|YSB|
YSB|AUA,|AUA|YYZ|YSB|
YSB|AUH,|AUH|YYZ|YSB|
YSB|BCN,|BCN|YYZ|YSB|
YSB|BDA,|BDA|YYZ|YSB|
YSB|BGI,|BGI|YYZ|YSB|
YSB|BNA,|BNA|YYZ|YSB|
YSB|BOG,|BOG|YYZ|YSB|
YSB|BWI,|BWI|YYZ|YSB|
YSB|CLE,|CLE|YYZ|YSB|
YSB|CLT,|CLT|YYZ|YSB|
YSB|CMH,|CMH|YYZ|YSB|
YSB|CVG,|CVG|YYZ|YSB|
YSB|DFW,|DFW|YYZ|YSB|
YSB|DTW,|DTW|YYZ|YSB|
YSB|DUB,|DUB|YYZ|YSB|
YSB|FCO,|FCO|YYZ|YSB|
YSB|GCM,|GCM|YYZ|YSB|
YSB|GGT,|GGT|YYZ|YSB|
YSB|GND,|GND|YYZ|YSB|
YSB|GRU,|GRU|YYZ|YSB|
YSB|HAV,|HAV|YYZ|YSB|
YSB|IND,|IND|YYZ|YSB|
YSB|JFK,|JFK|YYZ|YSB|
YSB|KIN,|KIN|YYZ|YSB|
YSB|LIM,|LIM|YYZ|YSB|
YSB|LIR,|LIR|YYZ|YSB|
YSB|MCI,|MCI|YYZ|YSB|
YSB|MDT,|MDT|YYZ|YSB|
YSB|MIA,|MIA|YYZ|YSB|
YSB|MKE,|MKE|YYZ|YSB|
YSB|MSP,|MSP|YYZ|YSB|
YSB|NAS,|NAS|YYZ|YSB|
YSB|PHL,|PHL|YYZ|YSB|
YSB|PHX,|PHX|YYZ|YSB|
YSB|PIT,|PIT|YYZ|YSB|
YSB|PLS,|PLS|YYZ|YSB|
YSB|POP,|POP|YYZ|YSB|
YSB|RDU,|RDU|YYZ|YSB|
YSB|ROC,|ROC|YYZ|YSB|
YSB|RSW,|RSW|YYZ|YSB|
YSB|SAN,|SAN|YYZ|YSB|
YSB|SJO,|SJO|YYZ|YSB|
YSB|STL,|STL|YYZ|YSB|
YSB|SYR,|SYR|YYZ|YSB|
YSB|TLV,|TLV|YYZ|YSB|
YSB|TPA,|TPA|YYZ|YSB|
YSB|UVF,|UVF|YYZ|YSB|
YSB|VIE,|VIE|YYZ|YSB|
YSB|YAM,|YAM|YYZ|YSB|
YSB|YGK,|YGK|YYZ|YSB|
YSB|YQG,|YQG|YYZ|YSB|
YSB|YTS,|YTS|YYZ|YSB|
YSB|YYB,|YYB|YYZ|YSB|
YSB|YZR,|YZR|YYZ|YSB|
YSB|CAN,|CAN|PEK|YYZ|YSB|
YSB|URC,|URC|TSE|FRA|YYZ|YSB|
YSB|CTU,|CTU|PEK|YYZ|YSB|
YSB|HGH,|HGH|PEK|YYZ|YSB|
YSB|XMN,|XMN|PEK|YYZ|YSB|
YSB|CGO,|CGO|PEK|YYZ|YSB|
YSB|CSX,|CSX|PEK|YYZ|YSB|
YSB|SHE,|SHE|PEK|YYZ|YSB|
YSB|SJW,|SJW|DLC|PEK|YYZ|YSB|
YSB|WUH,|WUH|PEK|YYZ|YSB|
YSB|SZX,|SZX|PEK|YYZ|YSB|
YSB|CKG,|CKG|PEK|YYZ|YSB|
YSB|KMG,|KMG|PEK|YYZ|YSB|
YSB|FOC,|FOC|PEK|YYZ|YSB|
YSB|NNG,|NNG|PEK|YYZ|YSB|
YSB|SWA,|SWA|PEK|YYZ|YSB|
