ATL|YWK,|YWK|YZV|YUL|IAD|ATL|
ATL|ANU,|ANU|EWR|ATL|
ATL|AUA,|AUA|ATL|
ATL|AUH,|AUH|FRA|ATL|
ATL|BCN,|BCN|EWR|ATL|
ATL|BDA,|BDA|EWR|ATL|
ATL|BGI,|BGI|YYZ|ATL|
ATL|BNA,|BNA|CHS|ATL|
ATL|BOG,|BOG|MIA|MSY|ATL|
ATL|BWI,|BWI|ATL|
ATL|CLE,|CLE|ATL|
ATL|CLT,|CLT|IAD|ATL|
ATL|CMH,|CMH|ATL|
ATL|CVG,|CVG|ORD|ATL|
ATL|DFW,|DFW|IAH|ATL|
ATL|DTW,|DTW|ATL|
ATL|DUB,|DUB|IAD|ATL|
ATL|FCO,|FCO|EWR|ATL|
ATL|GCM,|GCM|IAH|ATL|
ATL|GGT,|GGT|FLL|ATL|
ATL|GND,|GND|YYZ|ATL|
ATL|GRU,|GRU|IAD|ATL|
ATL|HAV,|HAV|YYZ|ATL|
ATL|IND,|IND|ATL|
ATL|JFK,|JFK|ATL|
ATL|KIN,|KIN|YYZ|ATL|
ATL|LIM,|LIM|MIA|MSY|ATL|
ATL|LIR,|LIR|IAH|ATL|
ATL|MCI,|MCI|ATL|
ATL|MDT,|MDT|IAD|ATL|
ATL|MIA,|MIA|MSY|ATL|
ATL|MKE,|MKE|ATL|
ATL|MSP,|MSP|ATL|
ATL|NAS,|NAS|ATL|
ATL|PHL,|PHL|ATL|
ATL|PHX,|PHX|ATL|
ATL|PIT,|PIT|ATL|
ATL|PLS,|PLS|EWR|ATL|
ATL|POP,|POP|EWR|ATL|
ATL|RDU,|RDU|ATL|
ATL|ROC,|ROC|CLE|ATL|
ATL|RSW,|RSW|ATL|
ATL|SAN,|SAN|ATL|
ATL|SJO,|SJO|IAH|ATL|
ATL|STL,|STL|ATL|
ATL|SYR,|SYR|IAD|ATL|
ATL|TLV,|TLV|EWR|ATL|
ATL|TPA,|TPA|ATL|
ATL|UVF,|UVF|EWR|ATL|
ATL|VIE,|VIE|IAD|ATL|
ATL|YAM,|YAM|YYZ|ATL|
