OSL|YQL,|YQL|YYC|EWR|OSL|
OSL|YXH,|YXH|YYC|EWR|OSL|
OSL|YWK,|YWK|YZV|YQB|EWR|OSL|
OSL|ANU,|ANU|EWR|OSL|
OSL|AUA,|AUA|EWR|OSL|
OSL|AUH,|AUH|IST|OSL|
OSL|BCN,|BCN|IST|OSL|
OSL|BDA,|BDA|EWR|OSL|
OSL|BGI,|BGI|YYZ|EWR|OSL|
OSL|BNA,|BNA|EWR|OSL|
OSL|BOG,|BOG|EWR|OSL|
OSL|BWI,|BWI|EWR|OSL|
OSL|CLE,|CLE|EWR|OSL|
OSL|CLT,|CLT|EWR|OSL|
OSL|CMH,|CMH|EWR|OSL|
OSL|CVG,|CVG|EWR|OSL|
OSL|DFW,|DFW|EWR|OSL|
OSL|DTW,|DTW|EWR|OSL|
OSL|DUB,|DUB|IST|OSL|
OSL|FCO,|FCO|IST|OSL|
OSL|GCM,|GCM|EWR|OSL|
OSL|GGT,|GGT|FLL|EWR|OSL|
OSL|GND,|GND|YYZ|EWR|OSL|
OSL|GRU,|GRU|IST|OSL|
OSL|HAV,|HAV|YYZ|EWR|OSL|
OSL|IND,|IND|EWR|OSL|
OSL|JFK,|JFK|IAD|EWR|OSL|
OSL|KIN,|KIN|YYZ|EWR|OSL|
OSL|LIM,|LIM|EWR|OSL|
OSL|LIR,|LIR|EWR|OSL|
OSL|MCI,|MCI|EWR|OSL|
OSL|MDT,|MDT|IAD|EWR|OSL|
OSL|MIA,|MIA|EWR|OSL|
OSL|MKE,|MKE|EWR|OSL|
OSL|MSP,|MSP|EWR|OSL|
OSL|NAS,|NAS|EWR|OSL|
OSL|PHL,|PHL|IAD|EWR|OSL|
OSL|PHX,|PHX|EWR|OSL|
OSL|PIT,|PIT|EWR|OSL|
OSL|PLS,|PLS|EWR|OSL|
OSL|POP,|POP|EWR|OSL|
OSL|RDU,|RDU|EWR|OSL|
OSL|ROC,|ROC|EWR|OSL|
OSL|RSW,|RSW|EWR|OSL|
OSL|SAN,|SAN|EWR|OSL|
OSL|SJO,|SJO|EWR|OSL|
OSL|STL,|STL|EWR|OSL|
OSL|SYR,|SYR|EWR|OSL|
OSL|TLV,|TLV|IST|OSL|
OSL|TPA,|TPA|EWR|OSL|
OSL|UVF,|UVF|EWR|OSL|
OSL|VIE,|VIE|IST|OSL|
OSL|YAM,|YAM|YYZ|EWR|OSL|
OSL|YGK,|YGK|YYZ|EWR|OSL|
OSL|YQG,|YQG|YYZ|EWR|OSL|
OSL|YSB,|YSB|YYZ|EWR|OSL|
OSL|YTS,|YTS|YYZ|EWR|OSL|
