JXA|YBL,|YBL|YVR|ICN|SHE|JXA|
JXA|YCD,|YCD|YVR|ICN|SHE|JXA|
JXA|YCG,|YCG|YVR|ICN|SHE|JXA|
JXA|YKA,|YKA|YVR|ICN|SHE|JXA|
JXA|YPR,|YPR|YVR|ICN|SHE|JXA|
JXA|YQZ,|YQZ|YVR|ICN|SHE|JXA|
JXA|YXC,|YXC|YVR|ICN|SHE|JXA|
JXA|YXJ,|YXJ|YVR|ICN|SHE|JXA|
JXA|YXS,|YXS|YVR|ICN|SHE|JXA|
JXA|YXT,|YXT|YVR|ICN|SHE|JXA|
JXA|YXY,|YXY|YVR|ICN|SHE|JXA|
JXA|YYD,|YYD|YVR|ICN|SHE|JXA|
JXA|YYF,|YYF|YVR|ICN|SHE|JXA|
JXA|YZP,|YZP|YVR|ICN|SHE|JXA|
JXA|YQT,|YQT|YWG|YVR|ICN|SHE|JXA|
JXA|SJD,|SJD|LAX|ICN|SHE|JXA|
JXA|YQF,|YQF|YYC|YVR|ICN|SHE|JXA|
JXA|YQL,|YQL|YYC|YVR|ICN|SHE|JXA|
JXA|YXH,|YXH|YYC|YVR|ICN|SHE|JXA|
JXA|YWK,|YWK|YZV|YQB|YYZ|PEK|SHE|JXA|
JXA|ANU,|ANU|EWR|PEK|SHE|JXA|
JXA|AUA,|AUA|EWR|PEK|SHE|JXA|
JXA|AUH,|AUH|IST|PEK|SHE|JXA|
JXA|BCN,|BCN|IST|PEK|SHE|JXA|
JXA|BDA,|BDA|EWR|PEK|SHE|JXA|
JXA|BGI,|BGI|YYZ|PEK|SHE|JXA|
JXA|BNA,|BNA|ORD|PEK|SHE|JXA|
JXA|BOG,|BOG|IAH|YVR|ICN|SHE|JXA|
JXA|BWI,|BWI|YYZ|PEK|SHE|JXA|
JXA|CLE,|CLE|YYZ|PEK|SHE|JXA|
JXA|CLT,|CLT|YYZ|PEK|SHE|JXA|
JXA|CMH,|CMH|ORD|PEK|SHE|JXA|
JXA|CVG,|CVG|ORD|PEK|SHE|JXA|
JXA|DFW,|DFW|YVR|ICN|SHE|JXA|
JXA|DTW,|DTW|PEK|SHE|JXA|
JXA|DUB,|DUB|IST|PEK|SHE|JXA|
JXA|FCO,|FCO|IST|PEK|SHE|JXA|
JXA|GCM,|GCM|IAH|YVR|ICN|SHE|JXA|
JXA|GGT,|GGT|YYZ|PEK|SHE|JXA|
JXA|GND,|GND|YYZ|PEK|SHE|JXA|
JXA|GRU,|GRU|IST|PEK|SHE|JXA|
JXA|HAV,|HAV|YYZ|PEK|SHE|JXA|
JXA|IND,|IND|ORD|PEK|SHE|JXA|
JXA|JFK,|JFK|PEK|SHE|JXA|
JXA|KIN,|KIN|YYZ|PEK|SHE|JXA|
JXA|LIM,|LIM|IAH|YVR|ICN|SHE|JXA|
JXA|LIR,|LIR|IAH|YVR|ICN|SHE|JXA|
JXA|MCI,|MCI|DEN|YVR|ICN|SHE|JXA|
JXA|MDT,|MDT|YYZ|PEK|SHE|JXA|
JXA|MIA,|MIA|ORD|PEK|SHE|JXA|
JXA|MKE,|MKE|ORD|PEK|SHE|JXA|
JXA|MSP,|MSP|DEN|YVR|ICN|SHE|JXA|
JXA|NAS,|NAS|YYZ|PEK|SHE|JXA|
JXA|PHL,|PHL|YYZ|PEK|SHE|JXA|
JXA|PHX,|PHX|SFO|ICN|SHE|JXA|
JXA|PIT,|PIT|YYZ|PEK|SHE|JXA|
JXA|PLS,|PLS|EWR|PEK|SHE|JXA|
JXA|POP,|POP|EWR|PEK|SHE|JXA|
JXA|RDU,|RDU|YYZ|PEK|SHE|JXA|
JXA|ROC,|ROC|YYZ|PEK|SHE|JXA|
JXA|RSW,|RSW|ORD|PEK|SHE|JXA|
JXA|SAN,|SAN|LAX|ICN|SHE|JXA|
JXA|SJO,|SJO|IAH|YVR|ICN|SHE|JXA|
JXA|STL,|STL|ORD|PEK|SHE|JXA|
JXA|SYR,|SYR|YYZ|PEK|SHE|JXA|
JXA|TLV,|TLV|IST|PEK|SHE|JXA|
JXA|TPA,|TPA|ORD|PEK|SHE|JXA|
JXA|UVF,|UVF|EWR|PEK|SHE|JXA|
JXA|VIE,|VIE|IST|PEK|SHE|JXA|
JXA|YAM,|YAM|YYZ|PEK|SHE|JXA|
JXA|YGK,|YGK|YYZ|PEK|SHE|JXA|
JXA|YQG,|YQG|YYZ|PEK|SHE|JXA|
JXA|YSB,|YSB|YYZ|PEK|SHE|JXA|
JXA|YTS,|YTS|YYZ|PEK|SHE|JXA|
JXA|YYB,|YYB|YYZ|PEK|SHE|JXA|
JXA|YZR,|YZR|YYZ|PEK|SHE|JXA|
JXA|CAN,|CAN|SHE|JXA|
JXA|URC,|URC|HET|SHE|JXA|
JXA|CTU,|CTU|XIY|SHE|JXA|
JXA|HGH,|HGH|SHE|JXA|
JXA|XMN,|XMN|SHE|JXA|
JXA|CGO,|CGO|SHE|JXA|
JXA|CSX,|CSX|TAO|SHE|JXA|
JXA|SHE,|SHE|JXA|
JXA|SJW,|SJW|SHE|JXA|
JXA|WUH,|WUH|SHE|JXA|
JXA|SZX,|SZX|TAO|SHE|JXA|
JXA|CKG,|CKG|SHE|JXA|
JXA|KMG,|KMG|CGO|SHE|JXA|
JXA|FOC,|FOC|HGH|SHE|JXA|
