DNZ|IAD,|IAD|IST|DNZ|
DNZ|IAH,|IAH|IST|DNZ|
DNZ|ORD,|ORD|IST|DNZ|
DNZ|SOF,|SOF|IST|DNZ|
DNZ|YQB,|YQB|YUL|FRA|IST|DNZ|
DNZ|YXU,|YXU|YYZ|IST|DNZ|
DNZ|EZE,|EZE|GRU|IST|DNZ|
DNZ|YYJ,|YYJ|YVR|MUC|IST|DNZ|
DNZ|YYY,|YYY|YUL|FRA|IST|DNZ|
DNZ|YQQ,|YQQ|YBL|YVR|MUC|IST|DNZ|
DNZ|YYR,|YYR|YYT|LHR|IST|DNZ|
DNZ|LHR,|LHR|IST|DNZ|
DNZ|SFO,|SFO|MUC|IST|DNZ|
DNZ|YQU,|YQU|YEG|LHR|IST|DNZ|
DNZ|YZF,|YZF|YEG|LHR|IST|DNZ|
DNZ|YGR,|YGR|YGP|YQB|YUL|FRA|IST|DNZ|
DNZ|YGP,|YGP|YQB|YUL|FRA|IST|DNZ|
DNZ|BOS,|BOS|FRA|IST|DNZ|
DNZ|YDF,|YDF|YYT|LHR|IST|DNZ|
DNZ|YFC,|YFC|YHZ|LHR|IST|DNZ|
DNZ|YQM,|YQM|YHZ|LHR|IST|DNZ|
DNZ|YQX,|YQX|YYT|LHR|IST|DNZ|
DNZ|YQY,|YQY|YHZ|LHR|IST|DNZ|
DNZ|YSJ,|YSJ|YHZ|LHR|IST|DNZ|
DNZ|YYG,|YYG|YHZ|LHR|IST|DNZ|
DNZ|LAX,|LAX|IST|DNZ|
DNZ|DCA,|DCA|EWR|BHX|IST|DNZ|
DNZ|LGA,|LGA|YHZ|LHR|IST|DNZ|
DNZ|YZV,|YZV|YWK|YYR|YYT|LHR|IST|DNZ|
DNZ|YWL,|YWL|YVR|MUC|IST|DNZ|
DNZ|AZS,|AZS|YUL|FRA|IST|DNZ|
DNZ|BDL,|BDL|YUL|FRA|IST|DNZ|
DNZ|CCC,|CCC|YUL|FRA|IST|DNZ|
DNZ|CDG,|CDG|IST|DNZ|
DNZ|CUN,|CUN|YHZ|LHR|IST|DNZ|
DNZ|CZM,|CZM|YUL|FRA|IST|DNZ|
DNZ|FDF,|FDF|YUL|FRA|IST|DNZ|
DNZ|FLL,|FLL|MCO|FRA|IST|DNZ|
DNZ|GVA,|GVA|IST|DNZ|
DNZ|HOG,|HOG|YUL|FRA|IST|DNZ|
DNZ|LAS,|LAS|DEN|FRA|IST|DNZ|
DNZ|MBJ,|MBJ|YHZ|LHR|IST|DNZ|
DNZ|MCO,|MCO|FRA|IST|DNZ|
DNZ|MUC,|MUC|IST|DNZ|
DNZ|PAP,|PAP|YUL|FRA|IST|DNZ|
DNZ|PTP,|PTP|YUL|FRA|IST|DNZ|
DNZ|PUJ,|PUJ|YHZ|LHR|IST|DNZ|
DNZ|SNU,|SNU|YUL|FRA|IST|DNZ|
DNZ|VRA,|VRA|YUL|FRA|IST|DNZ|
DNZ|YBC,|YBC|YUL|FRA|IST|DNZ|
DNZ|YBG,|YBG|YUL|FRA|IST|DNZ|
DNZ|YTZ,|YTZ|YUL|FRA|IST|DNZ|
DNZ|YUY,|YUY|YUL|FRA|IST|DNZ|
DNZ|YVO,|YVO|YUL|FRA|IST|DNZ|
DNZ|ZBF,|ZBF|YUL|FRA|IST|DNZ|
DNZ|ZRH,|ZRH|IST|DNZ|
DNZ|ZSA,|ZSA|YUL|FRA|IST|DNZ|
DNZ|AKL,|AKL|BKK|IST|DNZ|
DNZ|HKG,|HKG|IST|DNZ|
DNZ|HND,|HND|YVR|MUC|IST|DNZ|
DNZ|HNL,|HNL|YVR|MUC|IST|DNZ|
DNZ|MEX,|MEX|IAD|IST|DNZ|
DNZ|OGG,|OGG|YVR|MUC|IST|DNZ|
DNZ|PDX,|PDX|SEA|FRA|IST|DNZ|
DNZ|PEK,|PEK|IST|DNZ|
DNZ|PVG,|PVG|IST|DNZ|
DNZ|PVR,|PVR|ORD|IST|DNZ|
DNZ|SEA,|SEA|FRA|IST|DNZ|
DNZ|SYD,|SYD|BKK|IST|DNZ|
DNZ|YBL,|YBL|YVR|MUC|IST|DNZ|
DNZ|YCD,|YCD|YVR|MUC|IST|DNZ|
DNZ|YCG,|YCG|YYC|FRA|IST|DNZ|
DNZ|YKA,|YKA|YYC|FRA|IST|DNZ|
DNZ|YPR,|YPR|YVR|MUC|IST|DNZ|
DNZ|YQZ,|YQZ|YVR|MUC|IST|DNZ|
DNZ|YXC,|YXC|YYC|FRA|IST|DNZ|
DNZ|YXJ,|YXJ|YYC|FRA|IST|DNZ|
DNZ|YXS,|YXS|YYC|FRA|IST|DNZ|
DNZ|YXT,|YXT|YVR|MUC|IST|DNZ|
DNZ|YXY,|YXY|YVR|MUC|IST|DNZ|
DNZ|YYD,|YYD|YVR|MUC|IST|DNZ|
DNZ|YYF,|YYF|YVR|MUC|IST|DNZ|
DNZ|YZP,|YZP|YVR|MUC|IST|DNZ|
DNZ|YQT,|YQT|YYZ|IST|DNZ|
DNZ|SJD,|SJD|ORD|IST|DNZ|
DNZ|YQF,|YQF|YYC|FRA|IST|DNZ|
DNZ|YQL,|YQL|YYC|FRA|IST|DNZ|
DNZ|YXH,|YXH|YYC|FRA|IST|DNZ|
DNZ|YWK,|YWK|YYR|YYT|LHR|IST|DNZ|
DNZ|ANU,|ANU|EWR|BHX|IST|DNZ|
DNZ|AUA,|AUA|EWR|BHX|IST|DNZ|
DNZ|AUH,|AUH|IST|DNZ|
DNZ|BCN,|BCN|IST|DNZ|
DNZ|BDA,|BDA|EWR|BHX|IST|DNZ|
DNZ|BGI,|BGI|YYZ|IST|DNZ|
DNZ|BNA,|BNA|YYZ|IST|DNZ|
DNZ|BOG,|BOG|MIA|ZRH|IST|DNZ|
DNZ|BWI,|BWI|EWR|BHX|IST|DNZ|
DNZ|CLE,|CLE|YYZ|IST|DNZ|
DNZ|CLT,|CLT|EWR|BHX|IST|DNZ|
DNZ|CMH,|CMH|YYZ|IST|DNZ|
DNZ|CVG,|CVG|YYZ|IST|DNZ|
DNZ|DFW,|DFW|ORD|IST|DNZ|
DNZ|DTW,|DTW|FRA|IST|DNZ|
DNZ|DUB,|DUB|IST|DNZ|
DNZ|FCO,|FCO|IST|DNZ|
DNZ|GCM,|GCM|EWR|BHX|IST|DNZ|
DNZ|GGT,|GGT|FLL|MCO|FRA|IST|DNZ|
DNZ|GND,|GND|YYZ|IST|DNZ|
DNZ|GRU,|GRU|IST|DNZ|
DNZ|HAV,|HAV|YYZ|IST|DNZ|
DNZ|IND,|IND|YYZ|IST|DNZ|
DNZ|JFK,|JFK|IST|DNZ|
DNZ|KIN,|KIN|YYZ|IST|DNZ|
DNZ|LIM,|LIM|MIA|ZRH|IST|DNZ|
DNZ|LIR,|LIR|EWR|BHX|IST|DNZ|
DNZ|MCI,|MCI|ORD|IST|DNZ|
DNZ|MDT,|MDT|IAD|IST|DNZ|
DNZ|MIA,|MIA|ZRH|IST|DNZ|
DNZ|MKE,|MKE|YYZ|IST|DNZ|
DNZ|MSP,|MSP|YUL|FRA|IST|DNZ|
DNZ|NAS,|NAS|EWR|BHX|IST|DNZ|
DNZ|PHL,|PHL|IAD|IST|DNZ|
DNZ|PHX,|PHX|DEN|FRA|IST|DNZ|
DNZ|PIT,|PIT|YYZ|IST|DNZ|
DNZ|PLS,|PLS|EWR|BHX|IST|DNZ|
DNZ|POP,|POP|EWR|BHX|IST|DNZ|
DNZ|RDU,|RDU|EWR|BHX|IST|DNZ|
DNZ|ROC,|ROC|YYZ|IST|DNZ|
DNZ|RSW,|RSW|MCO|FRA|IST|DNZ|
DNZ|SAN,|SAN|LAX|IST|DNZ|
DNZ|SJO,|SJO|EWR|BHX|IST|DNZ|
DNZ|STL,|STL|ORD|IST|DNZ|
DNZ|SYR,|SYR|EWR|BHX|IST|DNZ|
DNZ|TLV,|TLV|IST|DNZ|
DNZ|TPA,|TPA|EWR|BHX|IST|DNZ|
DNZ|UVF,|UVF|EWR|BHX|IST|DNZ|
DNZ|VIE,|VIE|IST|DNZ|
DNZ|YAM,|YAM|YYZ|IST|DNZ|
DNZ|YGK,|YGK|YYZ|IST|DNZ|
DNZ|YQG,|YQG|YYZ|IST|DNZ|
DNZ|YSB,|YSB|YYZ|IST|DNZ|
DNZ|YTS,|YTS|YYZ|IST|DNZ|
DNZ|YYB,|YYB|YYZ|IST|DNZ|
DNZ|YZR,|YZR|YYZ|IST|DNZ|
DNZ|CAN,|CAN|IST|DNZ|
DNZ|URC,|URC|IST|DNZ|
DNZ|CTU,|CTU|URC|IST|DNZ|
DNZ|HGH,|HGH|URC|IST|DNZ|
DNZ|XMN,|XMN|CSX|URC|IST|DNZ|
DNZ|CGO,|CGO|URC|IST|DNZ|
DNZ|CSX,|CSX|URC|IST|DNZ|
DNZ|SHE,|SHE|PEK|IST|DNZ|
DNZ|SJW,|SJW|URC|IST|DNZ|
DNZ|WUH,|WUH|URC|IST|DNZ|
DNZ|SZX,|SZX|CKG|URC|IST|DNZ|
DNZ|CKG,|CKG|URC|IST|DNZ|
DNZ|KMG,|KMG|CTU|URC|IST|DNZ|
DNZ|FOC,|FOC|XIY|URC|IST|DNZ|
