MSO|YZF,|YZF|YEG|DEN|MSO|
MSO|YGR,|YGR|YGP|YQB|YUL|DEN|MSO|
MSO|YGP,|YGP|YQB|YUL|DEN|MSO|
MSO|BOS,|BOS|DEN|MSO|
MSO|YDF,|YDF|YYZ|DEN|MSO|
MSO|YFC,|YFC|YUL|DEN|MSO|
MSO|YQM,|YQM|YUL|DEN|MSO|
MSO|YQX,|YQX|YHZ|YUL|DEN|MSO|
MSO|YQY,|YQY|YYZ|DEN|MSO|
MSO|YSJ,|YSJ|YUL|DEN|MSO|
MSO|YYG,|YYG|YUL|DEN|MSO|
MSO|LAX,|LAX|DEN|MSO|
MSO|DCA,|DCA|DEN|MSO|
MSO|LGA,|LGA|DEN|MSO|
MSO|YZV,|YZV|YUL|DEN|MSO|
MSO|YWL,|YWL|YVR|DEN|MSO|
MSO|AZS,|AZS|YYZ|DEN|MSO|
MSO|BDL,|BDL|DEN|MSO|
MSO|CCC,|CCC|YYZ|DEN|MSO|
MSO|CDG,|CDG|ORD|DEN|MSO|
MSO|CUN,|CUN|DEN|MSO|
MSO|CZM,|CZM|IAH|DEN|MSO|
MSO|FDF,|FDF|YUL|DEN|MSO|
MSO|FLL,|FLL|DEN|MSO|
MSO|GVA,|GVA|YUL|DEN|MSO|
MSO|HOG,|HOG|YYZ|DEN|MSO|
MSO|LAS,|LAS|DEN|MSO|
MSO|MBJ,|MBJ|IAH|DEN|MSO|
MSO|MCO,|MCO|DEN|MSO|
MSO|MUC,|MUC|ORD|DEN|MSO|
MSO|PAP,|PAP|YUL|DEN|MSO|
MSO|PTP,|PTP|YUL|DEN|MSO|
MSO|PUJ,|PUJ|ATL|DEN|MSO|
MSO|SNU,|SNU|YYZ|DEN|MSO|
MSO|VRA,|VRA|YYZ|DEN|MSO|
MSO|YBC,|YBC|YUL|DEN|MSO|
MSO|YBG,|YBG|YUL|DEN|MSO|
MSO|YTZ,|YTZ|YUL|DEN|MSO|
MSO|YUY,|YUY|YUL|DEN|MSO|
MSO|YVO,|YVO|YUL|DEN|MSO|
MSO|ZBF,|ZBF|YUL|DEN|MSO|
MSO|ZRH,|ZRH|ORD|DEN|MSO|
MSO|ZSA,|ZSA|YUL|DEN|MSO|
MSO|AKL,|AKL|LAX|DEN|MSO|
MSO|HKG,|HKG|YVR|DEN|MSO|
MSO|HND,|HND|YVR|DEN|MSO|
MSO|HNL,|HNL|DEN|MSO|
