DLU|PVG,|PVG|KWE|DLU|
DLU|PVR,|PVR|SFO|PEK|KMG|DLU|
DLU|SEA,|SEA|PEK|KMG|DLU|
DLU|SYD,|SYD|CAN|KMG|DLU|
DLU|YBL,|YBL|YVR|PEK|KMG|DLU|
DLU|YCD,|YCD|YVR|PEK|KMG|DLU|
DLU|YCG,|YCG|YVR|PEK|KMG|DLU|
DLU|YKA,|YKA|YVR|PEK|KMG|DLU|
DLU|YPR,|YPR|YVR|PEK|KMG|DLU|
DLU|YQZ,|YQZ|YVR|PEK|KMG|DLU|
DLU|YXC,|YXC|YVR|PEK|KMG|DLU|
DLU|YXJ,|YXJ|YVR|PEK|KMG|DLU|
DLU|YXS,|YXS|YVR|PEK|KMG|DLU|
DLU|YXT,|YXT|YVR|PEK|KMG|DLU|
DLU|YXY,|YXY|YVR|PEK|KMG|DLU|
DLU|YYD,|YYD|YVR|PEK|KMG|DLU|
DLU|YYF,|YYF|YVR|PEK|KMG|DLU|
DLU|YZP,|YZP|YVR|PEK|KMG|DLU|
DLU|YQT,|YQT|YWG|YVR|PEK|KMG|DLU|
DLU|SJD,|SJD|SFO|PEK|KMG|DLU|
DLU|YQF,|YQF|YYC|YVR|PEK|KMG|DLU|
DLU|YQL,|YQL|YYC|YVR|PEK|KMG|DLU|
DLU|YXH,|YXH|YYC|YVR|PEK|KMG|DLU|
DLU|YWK,|YWK|YZV|YQB|YYZ|PEK|KMG|DLU|
DLU|ANU,|ANU|EWR|PEK|KMG|DLU|
DLU|AUA,|AUA|EWR|PEK|KMG|DLU|
DLU|AUH,|AUH|IST|URC|CTU|KMG|DLU|
DLU|BCN,|BCN|IST|URC|CTU|KMG|DLU|
DLU|BDA,|BDA|EWR|PEK|KMG|DLU|
DLU|BGI,|BGI|YYZ|PEK|KMG|DLU|
DLU|BNA,|BNA|ORD|PEK|KMG|DLU|
DLU|BOG,|BOG|MIA|ORD|PEK|KMG|DLU|
DLU|BWI,|BWI|YYZ|PEK|KMG|DLU|
DLU|CLE,|CLE|YYZ|PEK|KMG|DLU|
DLU|CLT,|CLT|YYZ|PEK|KMG|DLU|
DLU|CMH,|CMH|ORD|PEK|KMG|DLU|
DLU|CVG,|CVG|ORD|PEK|KMG|DLU|
DLU|DFW,|DFW|YVR|PEK|KMG|DLU|
DLU|DTW,|DTW|PEK|KMG|DLU|
DLU|DUB,|DUB|IST|URC|CTU|KMG|DLU|
DLU|FCO,|FCO|IST|URC|CTU|KMG|DLU|
DLU|GCM,|GCM|YYZ|PEK|KMG|DLU|
DLU|GGT,|GGT|YYZ|PEK|KMG|DLU|
DLU|GND,|GND|YYZ|PEK|KMG|DLU|
DLU|GRU,|GRU|IST|URC|CTU|KMG|DLU|
DLU|HAV,|HAV|YYZ|PEK|KMG|DLU|
DLU|IND,|IND|ORD|PEK|KMG|DLU|
DLU|JFK,|JFK|PEK|KMG|DLU|
DLU|KIN,|KIN|YYZ|PEK|KMG|DLU|
DLU|LIM,|LIM|IAH|PEK|KMG|DLU|
DLU|LIR,|LIR|IAH|PEK|KMG|DLU|
DLU|MCI,|MCI|DEN|YVR|PEK|KMG|DLU|
DLU|MDT,|MDT|YYZ|PEK|KMG|DLU|
DLU|MIA,|MIA|ORD|PEK|KMG|DLU|
DLU|MKE,|MKE|ORD|PEK|KMG|DLU|
DLU|MSP,|MSP|ORD|PEK|KMG|DLU|
DLU|NAS,|NAS|YYZ|PEK|KMG|DLU|
DLU|PHL,|PHL|YYZ|PEK|KMG|DLU|
DLU|PHX,|PHX|SEA|PEK|KMG|DLU|
DLU|PIT,|PIT|YYZ|PEK|KMG|DLU|
DLU|PLS,|PLS|EWR|PEK|KMG|DLU|
DLU|POP,|POP|EWR|PEK|KMG|DLU|
DLU|RDU,|RDU|YYZ|PEK|KMG|DLU|
DLU|ROC,|ROC|YYZ|PEK|KMG|DLU|
DLU|RSW,|RSW|ORD|PEK|KMG|DLU|
DLU|SAN,|SAN|LAX|PEK|KMG|DLU|
DLU|SJO,|SJO|IAH|PEK|KMG|DLU|
DLU|STL,|STL|ORD|PEK|KMG|DLU|
