AEX|PHX,|PHX|IAH|AEX|
AEX|PIT,|PIT|IAH|AEX|
AEX|PLS,|PLS|EWR|IAH|AEX|
AEX|POP,|POP|EWR|IAH|AEX|
AEX|RDU,|RDU|IAH|AEX|
AEX|ROC,|ROC|CLE|IAH|AEX|
AEX|RSW,|RSW|IAH|AEX|
AEX|SAN,|SAN|IAH|AEX|
AEX|SJO,|SJO|IAH|AEX|
AEX|STL,|STL|IAH|AEX|
AEX|SYR,|SYR|CLE|IAH|AEX|
AEX|TLV,|TLV|YYZ|IAH|AEX|
AEX|TPA,|TPA|IAH|AEX|
AEX|UVF,|UVF|EWR|IAH|AEX|
AEX|VIE,|VIE|YYZ|IAH|AEX|
AEX|YAM,|YAM|YYZ|IAH|AEX|
AEX|YGK,|YGK|YYZ|IAH|AEX|
AEX|YQG,|YQG|YYZ|IAH|AEX|
AEX|YSB,|YSB|YYZ|IAH|AEX|
AEX|YTS,|YTS|YYZ|IAH|AEX|
AEX|YYB,|YYB|YYZ|IAH|AEX|
AEX|YZR,|YZR|YYZ|IAH|AEX|
AEX|CAN,|CAN|YVR|IAH|AEX|
AEX|URC,|URC|PEK|IAH|AEX|
AEX|CTU,|CTU|PEK|IAH|AEX|
AEX|HGH,|HGH|PEK|IAH|AEX|
AEX|XMN,|XMN|PEK|IAH|AEX|
AEX|CGO,|CGO|PEK|IAH|AEX|
AEX|CSX,|CSX|PEK|IAH|AEX|
AEX|SHE,|SHE|ICN|YVR|IAH|AEX|
AEX|SJW,|SJW|DLC|ICN|YVR|IAH|AEX|
AEX|WUH,|WUH|PEK|IAH|AEX|
AEX|SZX,|SZX|PVG|YVR|IAH|AEX|
AEX|CKG,|CKG|PEK|IAH|AEX|
AEX|KMG,|KMG|PEK|IAH|AEX|
AEX|FOC,|FOC|PEK|IAH|AEX|
AEX|NNG,|NNG|PEK|IAH|AEX|
AEX|SWA,|SWA|PEK|IAH|AEX|
AEX|ACX,|ACX|CAN|YVR|IAH|AEX|
AEX|AQG,|AQG|CAN|YVR|IAH|AEX|
AEX|AVA,|AVA|CAN|YVR|IAH|AEX|
AEX|BFJ,|BFJ|CAN|YVR|IAH|AEX|
AEX|BHY,|BHY|CGO|PEK|IAH|AEX|
AEX|BNE,|BNE|CAN|YVR|IAH|AEX|
AEX|CGD,|CGD|PEK|IAH|AEX|
AEX|CGK,|CGK|CAN|YVR|IAH|AEX|
AEX|CGQ,|CGQ|ICN|YVR|IAH|AEX|
AEX|CIH,|CIH|PEK|IAH|AEX|
AEX|CNX,|CNX|CAN|YVR|IAH|AEX|
AEX|CZX,|CZX|SHE|ICN|YVR|IAH|AEX|
AEX|DAC,|DAC|CAN|YVR|IAH|AEX|
AEX|DAD,|DAD|CAN|YVR|IAH|AEX|
AEX|DEL,|DEL|EWR|IAH|AEX|
AEX|DIG,|DIG|KMG|PEK|IAH|AEX|
AEX|DLC,|DLC|ICN|YVR|IAH|AEX|
AEX|DPS,|DPS|SZX|PVG|YVR|IAH|AEX|
AEX|DXB,|DXB|IST|IAH|AEX|
AEX|DYG,|DYG|PEK|IAH|AEX|
AEX|FUG,|FUG|CAN|YVR|IAH|AEX|
AEX|FUK,|FUK|ICN|YVR|IAH|AEX|
AEX|HAK,|HAK|CAN|YVR|IAH|AEX|
AEX|HAN,|HAN|PEK|IAH|AEX|
AEX|HDG,|HDG|CAN|YVR|IAH|AEX|
AEX|HET,|HET|DLC|ICN|YVR|IAH|AEX|
AEX|HFE,|HFE|XIY|PEK|IAH|AEX|
AEX|HJJ,|HJJ|CSX|PEK|IAH|AEX|
AEX|HKT,|HKT|KWE|PEK|IAH|AEX|
AEX|HRB,|HRB|ICN|YVR|IAH|AEX|
AEX|HZH,|HZH|CAN|YVR|IAH|AEX|
AEX|JIU,|JIU|CAN|YVR|IAH|AEX|
AEX|JJN,|JJN|PEK|IAH|AEX|
AEX|JNG,|JNG|CAN|YVR|IAH|AEX|
AEX|KHN,|KHN|DLC|ICN|YVR|IAH|AEX|
AEX|KIX,|KIX|SFO|IAH|AEX|
AEX|KOW,|KOW|PEK|IAH|AEX|
AEX|KTM,|KTM|IST|IAH|AEX|
AEX|KUL,|KUL|PVG|YVR|IAH|AEX|
AEX|KWE,|KWE|PEK|IAH|AEX|
