MZR|GVA,|GVA|IST|MZR|
MZR|HOG,|HOG|YUL|FRA|IST|MZR|
MZR|LAS,|LAS|DEN|FRA|IST|MZR|
MZR|MBJ,|MBJ|YHZ|LHR|IST|MZR|
MZR|MCO,|MCO|FRA|IST|MZR|
MZR|MUC,|MUC|IST|MZR|
MZR|PAP,|PAP|YUL|FRA|IST|MZR|
MZR|PTP,|PTP|YUL|FRA|IST|MZR|
MZR|PUJ,|PUJ|YHZ|LHR|IST|MZR|
MZR|SNU,|SNU|YUL|FRA|IST|MZR|
MZR|VRA,|VRA|YUL|FRA|IST|MZR|
MZR|YBC,|YBC|YUL|FRA|IST|MZR|
MZR|YBG,|YBG|YUL|FRA|IST|MZR|
MZR|YTZ,|YTZ|YUL|FRA|IST|MZR|
MZR|YUY,|YUY|YUL|FRA|IST|MZR|
MZR|YVO,|YVO|YUL|FRA|IST|MZR|
MZR|ZBF,|ZBF|YUL|FRA|IST|MZR|
MZR|ZRH,|ZRH|IST|MZR|
MZR|ZSA,|ZSA|YUL|FRA|IST|MZR|
MZR|AKL,|AKL|BKK|IST|MZR|
MZR|HKG,|HKG|IST|MZR|
MZR|HND,|HND|YVR|MUC|IST|MZR|
MZR|HNL,|HNL|YVR|MUC|IST|MZR|
MZR|MEX,|MEX|IAD|IST|MZR|
MZR|OGG,|OGG|YVR|MUC|IST|MZR|
MZR|PDX,|PDX|SEA|FRA|IST|MZR|
MZR|PEK,|PEK|IST|MZR|
MZR|PVG,|PVG|IST|MZR|
MZR|PVR,|PVR|ORD|IST|MZR|
MZR|SEA,|SEA|FRA|IST|MZR|
MZR|SYD,|SYD|BKK|IST|MZR|
MZR|YBL,|YBL|YVR|MUC|IST|MZR|
MZR|YCD,|YCD|YVR|MUC|IST|MZR|
MZR|YCG,|YCG|YYC|FRA|IST|MZR|
MZR|YKA,|YKA|YYC|FRA|IST|MZR|
MZR|YPR,|YPR|YVR|MUC|IST|MZR|
MZR|YQZ,|YQZ|YVR|MUC|IST|MZR|
MZR|YXC,|YXC|YYC|FRA|IST|MZR|
MZR|YXJ,|YXJ|YYC|FRA|IST|MZR|
MZR|YXS,|YXS|YYC|FRA|IST|MZR|
MZR|YXT,|YXT|YVR|MUC|IST|MZR|
MZR|YXY,|YXY|YVR|MUC|IST|MZR|
MZR|YYD,|YYD|YVR|MUC|IST|MZR|
MZR|YYF,|YYF|YVR|MUC|IST|MZR|
MZR|YZP,|YZP|YVR|MUC|IST|MZR|
MZR|YQT,|YQT|YYZ|IST|MZR|
MZR|SJD,|SJD|ORD|IST|MZR|
MZR|YQF,|YQF|YYC|FRA|IST|MZR|
MZR|YQL,|YQL|YYC|FRA|IST|MZR|
MZR|YXH,|YXH|YYC|FRA|IST|MZR|
MZR|YWK,|YWK|YYR|YYT|LHR|IST|MZR|
MZR|ANU,|ANU|EWR|BHX|IST|MZR|
MZR|AUA,|AUA|EWR|BHX|IST|MZR|
MZR|AUH,|AUH|IST|MZR|
MZR|BCN,|BCN|IST|MZR|
