SWA|YCG,|YCG|YVR|PEK|SWA|
SWA|YKA,|YKA|YVR|PEK|SWA|
SWA|YPR,|YPR|YVR|PEK|SWA|
SWA|YQZ,|YQZ|YVR|PEK|SWA|
SWA|YXC,|YXC|YVR|PEK|SWA|
SWA|YXJ,|YXJ|YVR|PEK|SWA|
SWA|YXS,|YXS|YVR|PEK|SWA|
SWA|YXT,|YXT|YVR|PEK|SWA|
SWA|YXY,|YXY|YVR|PEK|SWA|
SWA|YYD,|YYD|YVR|PEK|SWA|
SWA|YYF,|YYF|YVR|PEK|SWA|
SWA|YZP,|YZP|YVR|PEK|SWA|
SWA|YQT,|YQT|YWG|YVR|PEK|SWA|
SWA|SJD,|SJD|LAX|ICN|WUH|SWA|
SWA|YQF,|YQF|YYC|YVR|PEK|SWA|
SWA|YQL,|YQL|YYC|YVR|PEK|SWA|
SWA|YXH,|YXH|YYC|YVR|PEK|SWA|
SWA|YWK,|YWK|YZV|YQB|YYZ|PEK|SWA|
SWA|ANU,|ANU|EWR|PEK|SWA|
SWA|AUA,|AUA|EWR|PEK|SWA|
SWA|AUH,|AUH|IST|CAN|SWA|
SWA|BCN,|BCN|IST|CAN|SWA|
SWA|BDA,|BDA|EWR|PEK|SWA|
SWA|BGI,|BGI|YYZ|PEK|SWA|
SWA|BNA,|BNA|ORD|PEK|SWA|
SWA|BOG,|BOG|MIA|ORD|PEK|SWA|
SWA|BWI,|BWI|YYZ|PEK|SWA|
SWA|CLE,|CLE|YYZ|PEK|SWA|
SWA|CLT,|CLT|YYZ|PEK|SWA|
SWA|CMH,|CMH|ORD|PEK|SWA|
SWA|CVG,|CVG|ORD|PEK|SWA|
SWA|DFW,|DFW|YVR|PEK|SWA|
SWA|DTW,|DTW|PEK|SWA|
SWA|DUB,|DUB|IST|CAN|SWA|
SWA|FCO,|FCO|IST|CAN|SWA|
SWA|GCM,|GCM|YYZ|PEK|SWA|
SWA|GGT,|GGT|YYZ|PEK|SWA|
SWA|GND,|GND|YYZ|PEK|SWA|
SWA|GRU,|GRU|IST|CAN|SWA|
SWA|HAV,|HAV|YYZ|PEK|SWA|
SWA|IND,|IND|ORD|PEK|SWA|
SWA|JFK,|JFK|PEK|SWA|
SWA|KIN,|KIN|YYZ|PEK|SWA|
SWA|LIM,|LIM|IAH|PEK|SWA|
SWA|LIR,|LIR|IAH|PEK|SWA|
SWA|MCI,|MCI|DEN|YVR|PEK|SWA|
SWA|MDT,|MDT|YYZ|PEK|SWA|
SWA|MIA,|MIA|ORD|PEK|SWA|
SWA|MKE,|MKE|ORD|PEK|SWA|
SWA|MSP,|MSP|ORD|PEK|SWA|
SWA|NAS,|NAS|YYZ|PEK|SWA|
SWA|PHL,|PHL|YYZ|PEK|SWA|
SWA|PHX,|PHX|SEA|PEK|SWA|
SWA|PIT,|PIT|YYZ|PEK|SWA|
SWA|PLS,|PLS|EWR|PEK|SWA|
SWA|POP,|POP|EWR|PEK|SWA|
SWA|RDU,|RDU|YYZ|PEK|SWA|
SWA|ROC,|ROC|YYZ|PEK|SWA|
SWA|RSW,|RSW|ORD|PEK|SWA|
SWA|SAN,|SAN|LAX|ICN|WUH|SWA|
SWA|SJO,|SJO|IAH|PEK|SWA|
SWA|STL,|STL|ORD|PEK|SWA|
SWA|SYR,|SYR|YYZ|PEK|SWA|
SWA|TLV,|TLV|SAW|TBS|URC|CSX|SWA|
SWA|TPA,|TPA|ORD|PEK|SWA|
SWA|UVF,|UVF|EWR|PEK|SWA|
SWA|VIE,|VIE|IST|CAN|SWA|
SWA|YAM,|YAM|YYZ|PEK|SWA|
SWA|YGK,|YGK|YYZ|PEK|SWA|
SWA|YQG,|YQG|YYZ|PEK|SWA|
SWA|YSB,|YSB|YYZ|PEK|SWA|
SWA|YTS,|YTS|YYZ|PEK|SWA|
SWA|YYB,|YYB|YYZ|PEK|SWA|
SWA|YZR,|YZR|YYZ|PEK|SWA|
SWA|CAN,|CAN|SWA|
SWA|URC,|URC|CSX|SWA|
SWA|CTU,|CTU|SWA|
