AKL|YTZ,|YTZ|YUL|LAX|AKL|
AKL|YUY,|YUY|YUL|LAX|AKL|
AKL|YVO,|YVO|YUL|LAX|AKL|
AKL|ZBF,|ZBF|YUL|LAX|AKL|
AKL|ZRH,|ZRH|IST|BKK|AKL|
AKL|ZSA,|ZSA|YUL|LAX|AKL|
AKL|HKG,|HKG|CAN|AKL|
AKL|HND,|HND|LAX|AKL|
AKL|HNL,|HNL|SFO|AKL|
AKL|MEX,|MEX|LAX|AKL|
AKL|OGG,|OGG|SFO|AKL|
AKL|PDX,|PDX|SFO|AKL|
AKL|PEK,|PEK|CAN|AKL|
AKL|PVG,|PVG|CAN|AKL|
AKL|PVR,|PVR|LAX|AKL|
AKL|SEA,|SEA|SFO|AKL|
AKL|SYD,|SYD|CAN|AKL|
AKL|YBL,|YBL|YVR|SFO|AKL|
AKL|YCD,|YCD|YVR|SFO|AKL|
AKL|YCG,|YCG|YVR|SFO|AKL|
AKL|YKA,|YKA|YVR|SFO|AKL|
AKL|YPR,|YPR|YVR|SFO|AKL|
AKL|YQZ,|YQZ|YVR|SFO|AKL|
AKL|YXC,|YXC|YVR|SFO|AKL|
AKL|YXJ,|YXJ|YVR|SFO|AKL|
AKL|YXS,|YXS|YVR|SFO|AKL|
AKL|YXT,|YXT|YVR|SFO|AKL|
AKL|YXY,|YXY|YVR|SFO|AKL|
AKL|YYD,|YYD|YVR|SFO|AKL|
AKL|YYF,|YYF|YVR|SFO|AKL|
AKL|YZP,|YZP|YVR|SFO|AKL|
AKL|YQT,|YQT|YWG|LAS|LAX|AKL|
AKL|SJD,|SJD|LAX|AKL|
AKL|YQF,|YQF|YYC|SFO|AKL|
AKL|YQL,|YQL|YYC|SFO|AKL|
AKL|YXH,|YXH|YYC|SFO|AKL|
AKL|YWK,|YWK|YZV|YUL|LAX|AKL|
AKL|ANU,|ANU|EWR|LAX|AKL|
AKL|AUA,|AUA|ATL|LAX|AKL|
AKL|AUH,|AUH|IST|BKK|AKL|
AKL|BCN,|BCN|IST|BKK|AKL|
AKL|BDA,|BDA|EWR|LAX|AKL|
AKL|BGI,|BGI|YYZ|LAX|AKL|
AKL|BNA,|BNA|LAX|AKL|
AKL|BOG,|BOG|IAH|LAX|AKL|
AKL|BWI,|BWI|LAX|AKL|
AKL|CLE,|CLE|LAX|AKL|
AKL|CLT,|CLT|IAH|LAX|AKL|
AKL|CMH,|CMH|STL|LAX|AKL|
AKL|CVG,|CVG|DEN|LAX|AKL|
AKL|DFW,|DFW|LAX|AKL|
AKL|DTW,|DTW|MDW|LAX|AKL|
AKL|DUB,|DUB|ORD|LAX|AKL|
AKL|FCO,|FCO|IST|BKK|AKL|
AKL|GCM,|GCM|IAH|LAX|AKL|
AKL|GGT,|GGT|FLL|PHX|LAX|AKL|
AKL|GND,|GND|YYZ|LAX|AKL|
AKL|GRU,|GRU|IAH|LAX|AKL|
AKL|HAV,|HAV|YYZ|LAX|AKL|
AKL|IND,|IND|MCI|LAX|AKL|
AKL|JFK,|JFK|LAX|AKL|
AKL|KIN,|KIN|YYZ|LAX|AKL|
AKL|LIM,|LIM|IAH|LAX|AKL|
AKL|LIR,|LIR|IAH|LAX|AKL|
AKL|MCI,|MCI|LAX|AKL|
AKL|MDT,|MDT|ORD|LAX|AKL|
AKL|MIA,|MIA|IAH|LAX|AKL|
AKL|MKE,|MKE|LAX|AKL|
AKL|MSP,|MSP|LAX|AKL|
AKL|NAS,|NAS|IAH|LAX|AKL|
AKL|PHL,|PHL|STL|LAX|AKL|
AKL|PHX,|PHX|LAX|AKL|
AKL|PIT,|PIT|LAX|AKL|
AKL|PLS,|PLS|YYZ|LAX|AKL|
AKL|POP,|POP|YYZ|LAX|AKL|
AKL|RDU,|RDU|BNA|LAX|AKL|
AKL|ROC,|ROC|ORD|LAX|AKL|
AKL|RSW,|RSW|IAH|LAX|AKL|
AKL|SAN,|SAN|LAX|AKL|
AKL|SJO,|SJO|IAH|LAX|AKL|
AKL|STL,|STL|LAX|AKL|
AKL|SYR,|SYR|ORD|LAX|AKL|
AKL|TLV,|TLV|IST|BKK|AKL|
AKL|TPA,|TPA|MSY|LAX|AKL|
AKL|UVF,|UVF|EWR|LAX|AKL|
AKL|VIE,|VIE|IST|BKK|AKL|
AKL|YAM,|YAM|YYZ|LAX|AKL|
AKL|YGK,|YGK|YYZ|LAX|AKL|
AKL|YQG,|YQG|YYZ|LAX|AKL|
AKL|YSB,|YSB|YYZ|LAX|AKL|
AKL|YTS,|YTS|YYZ|LAX|AKL|
AKL|YYB,|YYB|YYZ|LAX|AKL|
AKL|YZR,|YZR|YYZ|LAX|AKL|
AKL|CAN,|CAN|AKL|
AKL|URC,|URC|CAN|AKL|
AKL|CTU,|CTU|CAN|AKL|
AKL|HGH,|HGH|CAN|AKL|
AKL|XMN,|XMN|CAN|AKL|
AKL|CGO,|CGO|CAN|AKL|
AKL|CSX,|CSX|CAN|AKL|
AKL|SHE,|SHE|CAN|AKL|
AKL|SJW,|SJW|CAN|AKL|
AKL|WUH,|WUH|CAN|AKL|
AKL|SZX,|SZX|MXZ|CAN|AKL|
AKL|CKG,|CKG|CAN|AKL|
AKL|KMG,|KMG|CAN|AKL|
AKL|FOC,|FOC|CAN|AKL|
AKL|NNG,|NNG|CAN|AKL|
AKL|SWA,|SWA|CAN|AKL|
AKL|ACX,|ACX|CAN|AKL|
AKL|AQG,|AQG|CAN|AKL|
AKL|AVA,|AVA|CAN|AKL|
AKL|BFJ,|BFJ|CAN|AKL|
AKL|BHY,|BHY|CAN|AKL|
AKL|BNE,|BNE|CAN|AKL|
AKL|CGD,|CGD|CAN|AKL|
AKL|CGK,|CGK|CAN|AKL|
AKL|CGQ,|CGQ|CAN|AKL|
AKL|CIH,|CIH|CAN|AKL|
AKL|CNX,|CNX|CAN|AKL|
AKL|CZX,|CZX|CAN|AKL|
AKL|DAC,|DAC|CAN|AKL|
AKL|DAD,|DAD|CAN|AKL|
AKL|DEL,|DEL|CAN|AKL|
AKL|DIG,|DIG|CAN|AKL|
AKL|DLC,|DLC|CAN|AKL|
AKL|DPS,|DPS|CAN|AKL|
AKL|DXB,|DXB|CAN|AKL|
AKL|DYG,|DYG|CAN|AKL|
AKL|FUG,|FUG|CAN|AKL|
AKL|FUK,|FUK|CAN|AKL|
AKL|HAK,|HAK|CAN|AKL|
AKL|HAN,|HAN|CAN|AKL|
AKL|HDG,|HDG|CAN|AKL|
AKL|HET,|HET|CAN|AKL|
AKL|HFE,|HFE|CAN|AKL|
AKL|HJJ,|HJJ|CAN|AKL|
AKL|HKT,|HKT|CAN|AKL|
AKL|HRB,|HRB|CAN|AKL|
AKL|HZH,|HZH|CAN|AKL|
AKL|JIU,|JIU|CAN|AKL|
AKL|JJN,|JJN|CAN|AKL|
AKL|JNG,|JNG|CAN|AKL|
AKL|KHN,|KHN|CAN|AKL|
AKL|KIX,|KIX|CAN|AKL|
AKL|KOW,|KOW|CAN|AKL|
AKL|KTM,|KTM|CAN|AKL|
AKL|KUL,|KUL|BKK|AKL|
AKL|KWE,|KWE|CAN|AKL|
AKL|KWL,|KWL|CAN|AKL|
AKL|LHW,|LHW|CAN|AKL|
AKL|LYA,|LYA|CAN|AKL|
AKL|LYG,|LYG|CAN|AKL|
AKL|LZH,|LZH|CAN|AKL|
AKL|MEL,|MEL|CAN|AKL|
AKL|MIG,|MIG|CAN|AKL|
AKL|MLE,|MLE|CAN|AKL|
AKL|MNL,|MNL|CAN|AKL|
AKL|MXZ,|MXZ|CAN|AKL|
AKL|NAO,|NAO|CAN|AKL|
AKL|NGB,|NGB|CAN|AKL|
AKL|NKG,|NKG|CAN|AKL|
AKL|NNY,|NNY|CAN|AKL|
AKL|PEN,|PEN|CAN|AKL|
AKL|PER,|PER|BKK|AKL|
AKL|PNH,|PNH|CAN|AKL|
AKL|REP,|REP|CAN|AKL|
AKL|RGN,|RGN|CAN|AKL|
AKL|SGN,|SGN|BKK|AKL|
AKL|SHA,|SHA|CAN|AKL|
AKL|SIN,|SIN|CAN|AKL|
AKL|SVO,|SVO|CAN|AKL|
AKL|SYX,|SYX|CAN|AKL|
AKL|TAO,|TAO|CAN|AKL|
AKL|TEN,|TEN|CAN|AKL|
AKL|TNA,|TNA|CAN|AKL|
AKL|TPE,|TPE|CAN|AKL|
AKL|TSN,|TSN|CAN|AKL|
AKL|TXN,|TXN|CAN|AKL|
AKL|TYN,|TYN|CAN|AKL|
AKL|WNZ,|WNZ|CAN|AKL|
AKL|WUX,|WUX|CAN|AKL|
AKL|XFN,|XFN|CAN|AKL|
AKL|XIY,|XIY|CAN|AKL|
AKL|XUZ,|XUZ|CAN|AKL|
AKL|YIH,|YIH|CAN|AKL|
AKL|YIW,|YIW|CAN|AKL|
AKL|YNT,|YNT|CAN|AKL|
AKL|YNZ,|YNZ|CAN|AKL|
AKL|YTY,|YTY|CAN|AKL|
AKL|ZHA,|ZHA|CAN|AKL|
AKL|ZYI,|ZYI|CAN|AKL|
AKL|BAV,|BAV|CSX|CAN|AKL|
AKL|CJU,|CJU|CSX|CAN|AKL|
AKL|DSN,|DSN|CGO|CAN|AKL|
AKL|HMI,|HMI|CGO|CAN|AKL|
AKL|INC,|INC|XIY|CAN|AKL|
AKL|KHH,|KHH|WUH|CAN|AKL|
AKL|UYN,|UYN|XIY|CAN|AKL|
AKL|XNN,|XNN|CKG|CAN|AKL|
AKL|ZUH,|ZUH|MXZ|CAN|AKL|
AKL|YNJ,|YNJ|ICN|CAN|AKL|
AKL|DAT,|DAT|CIH|CAN|AKL|
AKL|JHG,|JHG|KMG|CAN|AKL|
AKL|LJG,|LJG|KMG|CAN|AKL|
AKL|LXA,|LXA|CKG|CAN|AKL|
AKL|YCU,|YCU|CSX|CAN|AKL|
AKL|LZO,|LZO|CSX|CAN|AKL|
AKL|MDG,|MDG|DLC|CAN|AKL|
AKL|NGO,|NGO|PVG|CAN|AKL|
AKL|TOY,|TOY|DLC|CAN|AKL|
AKL|MFM,|MFM|XMN|CAN|AKL|
AKL|TGO,|TGO|HET|CAN|AKL|
AKL|XIL,|XIL|HET|CAN|AKL|
AKL|HEK,|HEK|HRB|CAN|AKL|
AKL|KIJ,|KIJ|HRB|CAN|AKL|
AKL|LDS,|LDS|HRB|CAN|AKL|
AKL|OHE,|OHE|HRB|CAN|AKL|
AKL|HSN,|HSN|XMN|CAN|AKL|
AKL|DLU,|DLU|KMG|CAN|AKL|
AKL|SYM,|SYM|KMG|CAN|AKL|
AKL|ZAT,|ZAT|KMG|CAN|AKL|
AKL|LUN,|LUN|NBO|BKK|AKL|
AKL|AOG,|AOG|PEK|CAN|AKL|
AKL|GMP,|GMP|PEK|CAN|AKL|
AKL|ISB,|ISB|URC|CAN|AKL|
AKL|TAS,|TAS|URC|CAN|AKL|
AKL|WUS,|WUS|PEK|CAN|AKL|
AKL|JMU,|JMU|PVG|CAN|AKL|
AKL|NDG,|NDG|PVG|CAN|AKL|
AKL|JXA,|JXA|SHE|CAN|AKL|
