KZN|ZBF,|ZBF|YUL|FRA|IST|KZN|
KZN|ZRH,|ZRH|IST|KZN|
KZN|ZSA,|ZSA|YUL|FRA|IST|KZN|
KZN|AKL,|AKL|BKK|IST|KZN|
KZN|HKG,|HKG|IST|KZN|
KZN|HND,|HND|YVR|MUC|IST|KZN|
KZN|HNL,|HNL|YVR|MUC|IST|KZN|
KZN|MEX,|MEX|IAD|IST|KZN|
KZN|OGG,|OGG|YVR|MUC|IST|KZN|
KZN|PDX,|PDX|SEA|FRA|IST|KZN|
KZN|PEK,|PEK|IST|KZN|
KZN|PVG,|PVG|IST|KZN|
KZN|PVR,|PVR|ORD|IST|KZN|
KZN|SEA,|SEA|FRA|IST|KZN|
KZN|SYD,|SYD|BKK|IST|KZN|
KZN|YBL,|YBL|YVR|MUC|IST|KZN|
KZN|YCD,|YCD|YVR|MUC|IST|KZN|
KZN|YCG,|YCG|YYC|FRA|IST|KZN|
KZN|YKA,|YKA|YYC|FRA|IST|KZN|
KZN|YPR,|YPR|YVR|MUC|IST|KZN|
KZN|YQZ,|YQZ|YVR|MUC|IST|KZN|
KZN|YXC,|YXC|YYC|FRA|IST|KZN|
KZN|YXJ,|YXJ|YYC|FRA|IST|KZN|
KZN|YXS,|YXS|YYC|FRA|IST|KZN|
KZN|YXT,|YXT|YVR|MUC|IST|KZN|
KZN|YXY,|YXY|YVR|MUC|IST|KZN|
KZN|YYD,|YYD|YVR|MUC|IST|KZN|
KZN|YYF,|YYF|YVR|MUC|IST|KZN|
KZN|YZP,|YZP|YVR|MUC|IST|KZN|
KZN|YQT,|YQT|YYZ|IST|KZN|
KZN|SJD,|SJD|ORD|IST|KZN|
KZN|YQF,|YQF|YYC|FRA|IST|KZN|
KZN|YQL,|YQL|YYC|FRA|IST|KZN|
KZN|YXH,|YXH|YYC|FRA|IST|KZN|
KZN|YWK,|YWK|YYR|YYT|LHR|IST|KZN|
KZN|ANU,|ANU|EWR|BHX|IST|KZN|
KZN|AUA,|AUA|EWR|BHX|IST|KZN|
KZN|AUH,|AUH|IST|KZN|
KZN|BCN,|BCN|IST|KZN|
KZN|BDA,|BDA|EWR|BHX|IST|KZN|
KZN|BGI,|BGI|YYZ|IST|KZN|
KZN|BNA,|BNA|YYZ|IST|KZN|
KZN|BOG,|BOG|MIA|ZRH|IST|KZN|
KZN|BWI,|BWI|EWR|BHX|IST|KZN|
KZN|CLE,|CLE|YYZ|IST|KZN|
