MSN|CTU,|CTU|PEK|ORD|MSN|
MSN|HGH,|HGH|PEK|ORD|MSN|
MSN|XMN,|XMN|PEK|ORD|MSN|
MSN|CGO,|CGO|PEK|ORD|MSN|
MSN|CSX,|CSX|PEK|ORD|MSN|
MSN|SHE,|SHE|PEK|ORD|MSN|
MSN|SJW,|SJW|DLC|PEK|ORD|MSN|
MSN|WUH,|WUH|PEK|ORD|MSN|
MSN|SZX,|SZX|PEK|ORD|MSN|
MSN|CKG,|CKG|PEK|ORD|MSN|
MSN|KMG,|KMG|PEK|ORD|MSN|
MSN|FOC,|FOC|PEK|ORD|MSN|
MSN|NNG,|NNG|PEK|ORD|MSN|
MSN|SWA,|SWA|PEK|ORD|MSN|
MSN|ACX,|ACX|CAN|PEK|ORD|MSN|
MSN|AQG,|AQG|CAN|PEK|ORD|MSN|
MSN|AVA,|AVA|CAN|PEK|ORD|MSN|
MSN|BFJ,|BFJ|CAN|PEK|ORD|MSN|
MSN|BHY,|BHY|CGO|PEK|ORD|MSN|
MSN|BNE,|BNE|CAN|PEK|ORD|MSN|
MSN|CGD,|CGD|PEK|ORD|MSN|
MSN|CGK,|CGK|CAN|PEK|ORD|MSN|
MSN|CGQ,|CGQ|PEK|ORD|MSN|
MSN|CIH,|CIH|PEK|ORD|MSN|
MSN|CNX,|CNX|CAN|PEK|ORD|MSN|
MSN|CZX,|CZX|SHE|PEK|ORD|MSN|
MSN|DAC,|DAC|IST|ORD|MSN|
MSN|DAD,|DAD|CAN|PEK|ORD|MSN|
MSN|DEL,|DEL|EWR|MSN|
MSN|DIG,|DIG|KMG|PEK|ORD|MSN|
MSN|DLC,|DLC|PEK|ORD|MSN|
MSN|DPS,|DPS|SZX|PEK|ORD|MSN|
MSN|DXB,|DXB|IST|ORD|MSN|
MSN|DYG,|DYG|PEK|ORD|MSN|
MSN|FUG,|FUG|CAN|PEK|ORD|MSN|
MSN|FUK,|FUK|ICN|YVR|ORD|MSN|
MSN|HAK,|HAK|PEK|ORD|MSN|
MSN|HAN,|HAN|PEK|ORD|MSN|
MSN|HDG,|HDG|CAN|PEK|ORD|MSN|
MSN|HET,|HET|DLC|PEK|ORD|MSN|
MSN|HFE,|HFE|XIY|PEK|ORD|MSN|
MSN|HJJ,|HJJ|CSX|PEK|ORD|MSN|
MSN|HKT,|HKT|KWE|PEK|ORD|MSN|
MSN|HRB,|HRB|PEK|ORD|MSN|
MSN|HZH,|HZH|CAN|PEK|ORD|MSN|
MSN|JIU,|JIU|CAN|PEK|ORD|MSN|
MSN|JJN,|JJN|PEK|ORD|MSN|
MSN|JNG,|JNG|CAN|PEK|ORD|MSN|
MSN|KHN,|KHN|DLC|PEK|ORD|MSN|
MSN|KIX,|KIX|SFO|DEN|MSN|
MSN|KOW,|KOW|PEK|ORD|MSN|
MSN|KTM,|KTM|IST|ORD|MSN|
MSN|KUL,|KUL|CAN|PEK|ORD|MSN|
MSN|KWE,|KWE|PEK|ORD|MSN|
MSN|KWL,|KWL|PEK|ORD|MSN|
MSN|LHW,|LHW|CGO|PEK|ORD|MSN|
MSN|LYA,|LYA|KHN|DLC|PEK|ORD|MSN|
MSN|LYG,|LYG|HSN|PEK|ORD|MSN|
MSN|LZH,|LZH|CAN|PEK|ORD|MSN|
MSN|MEL,|MEL|SYD|LAX|DEN|MSN|
MSN|MIG,|MIG|CSX|PEK|ORD|MSN|
MSN|MLE,|MLE|IST|ORD|MSN|
MSN|MNL,|MNL|XMN|PEK|ORD|MSN|
MSN|MXZ,|MXZ|CAN|PEK|ORD|MSN|
MSN|NAO,|NAO|PEK|ORD|MSN|
MSN|NGB,|NGB|PEK|ORD|MSN|
MSN|NKG,|NKG|DLC|PEK|ORD|MSN|
MSN|NNY,|NNY|CGO|PEK|ORD|MSN|
MSN|PEN,|PEN|CAN|PEK|ORD|MSN|
MSN|PER,|PER|CAN|PEK|ORD|MSN|
MSN|PNH,|PNH|CAN|PEK|ORD|MSN|
MSN|REP,|REP|CAN|PEK|ORD|MSN|
MSN|RGN,|RGN|CAN|PEK|ORD|MSN|
MSN|SGN,|SGN|CAN|PEK|ORD|MSN|
MSN|SHA,|SHA|PEK|ORD|MSN|
MSN|SIN,|SIN|HKG|ORD|MSN|
MSN|SVO,|SVO|URC|TSE|FRA|ORD|MSN|
MSN|SYX,|SYX|PEK|ORD|MSN|
MSN|TAO,|TAO|DLC|PEK|ORD|MSN|
MSN|TEN,|TEN|PEK|ORD|MSN|
MSN|TNA,|TNA|DLC|PEK|ORD|MSN|
MSN|TPE,|TPE|PVG|ORD|MSN|
MSN|TSN,|TSN|DLC|PEK|ORD|MSN|
MSN|TXN,|TXN|DLC|PEK|ORD|MSN|
MSN|TYN,|TYN|DAT|CIH|PEK|ORD|MSN|
MSN|WNZ,|WNZ|CGO|PEK|ORD|MSN|
MSN|WUX,|WUX|CAN|PEK|ORD|MSN|
MSN|XFN,|XFN|XMN|PEK|ORD|MSN|
MSN|XIY,|XIY|PEK|ORD|MSN|
MSN|XUZ,|XUZ|LYG|HSN|PEK|ORD|MSN|
MSN|YIH,|YIH|CKG|PEK|ORD|MSN|
MSN|YIW,|YIW|PEK|ORD|MSN|
MSN|YNT,|YNT|SHE|PEK|ORD|MSN|
MSN|YNZ,|YNZ|DLC|PEK|ORD|MSN|
MSN|YTY,|YTY|DLC|PEK|ORD|MSN|
MSN|ZHA,|ZHA|CAN|PEK|ORD|MSN|
MSN|ZYI,|ZYI|PEK|ORD|MSN|
MSN|BAV,|BAV|CGO|PEK|ORD|MSN|
MSN|CJU,|CJU|DLC|PEK|ORD|MSN|
MSN|DSN,|DSN|CGO|PEK|ORD|MSN|
MSN|HMI,|HMI|CGO|PEK|ORD|MSN|
MSN|INC,|INC|PEK|ORD|MSN|
MSN|KHH,|KHH|CGO|PEK|ORD|MSN|
MSN|UYN,|UYN|CGO|PEK|ORD|MSN|
MSN|XNN,|XNN|PEK|ORD|MSN|
MSN|ZUH,|ZUH|PEK|ORD|MSN|
MSN|YNJ,|YNJ|PEK|ORD|MSN|
MSN|DAT,|DAT|CIH|PEK|ORD|MSN|
MSN|JHG,|JHG|CKG|PEK|ORD|MSN|
MSN|LJG,|LJG|CKG|PEK|ORD|MSN|
MSN|LXA,|LXA|XIY|PEK|ORD|MSN|
MSN|YCU,|YCU|CSX|PEK|ORD|MSN|
MSN|LZO,|LZO|CSX|PEK|ORD|MSN|
MSN|MDG,|MDG|ICN|YVR|ORD|MSN|
MSN|NGO,|NGO|ICN|YVR|ORD|MSN|
MSN|TOY,|TOY|DLC|PEK|ORD|MSN|
MSN|MFM,|MFM|XMN|PEK|ORD|MSN|
MSN|TGO,|TGO|HET|DLC|PEK|ORD|MSN|
MSN|XIL,|XIL|HET|DLC|PEK|ORD|MSN|
MSN|HEK,|HEK|HRB|PEK|ORD|MSN|
MSN|KIJ,|KIJ|HRB|PEK|ORD|MSN|
MSN|LDS,|LDS|HRB|PEK|ORD|MSN|
MSN|OHE,|OHE|HRB|PEK|ORD|MSN|
MSN|HSN,|HSN|PEK|ORD|MSN|
MSN|DLU,|DLU|KMG|PEK|ORD|MSN|
MSN|SYM,|SYM|KMG|PEK|ORD|MSN|
MSN|ZAT,|ZAT|KMG|PEK|ORD|MSN|
MSN|LUN,|LUN|NBO|ZRH|ORD|MSN|
MSN|AOG,|AOG|PEK|ORD|MSN|
MSN|GMP,|GMP|PEK|ORD|MSN|
MSN|ISB,|ISB|IST|ORD|MSN|
MSN|TAS,|TAS|IST|ORD|MSN|
MSN|WUS,|WUS|PEK|ORD|MSN|
MSN|JMU,|JMU|PVG|ORD|MSN|
MSN|NDG,|NDG|PVG|ORD|MSN|
MSN|JXA,|JXA|SHE|PEK|ORD|MSN|
MSN|PUS,|PUS|SHE|PEK|ORD|MSN|
MSN|BKI,|BKI|SZX|PEK|ORD|MSN|
MSN|AKU,|AKU|URC|TSE|FRA|ORD|MSN|
MSN|ALA,|ALA|TSE|FRA|ORD|MSN|
MSN|ASB,|ASB|GYD|FRA|ORD|MSN|
MSN|DNH,|DNH|XIY|PEK|ORD|MSN|
