STC|AUH,|AUH|YYZ|ORD|STC|
STC|BCN,|BCN|YYZ|ORD|STC|
STC|BDA,|BDA|EWR|ORD|STC|
STC|BGI,|BGI|YYZ|ORD|STC|
STC|BNA,|BNA|ORD|STC|
STC|BOG,|BOG|MIA|ORD|STC|
STC|BWI,|BWI|ORD|STC|
STC|CLE,|CLE|ORD|STC|
STC|CLT,|CLT|ORD|STC|
STC|CMH,|CMH|ORD|STC|
STC|CVG,|CVG|ORD|STC|
STC|DFW,|DFW|ORD|STC|
STC|DTW,|DTW|ORD|STC|
STC|DUB,|DUB|ORD|STC|
STC|FCO,|FCO|YYZ|ORD|STC|
STC|GCM,|GCM|IAD|ORD|STC|
STC|GGT,|GGT|FLL|ORD|STC|
STC|GND,|GND|YYZ|ORD|STC|
STC|GRU,|GRU|ORD|STC|
STC|HAV,|HAV|YYZ|ORD|STC|
STC|IND,|IND|ORD|STC|
STC|JFK,|JFK|YYZ|ORD|STC|
STC|KIN,|KIN|YYZ|ORD|STC|
STC|LIM,|LIM|MIA|ORD|STC|
STC|LIR,|LIR|IAH|ORD|STC|
STC|MCI,|MCI|ORD|STC|
STC|MDT,|MDT|ORD|STC|
STC|MIA,|MIA|ORD|STC|
STC|MKE,|MKE|ORD|STC|
STC|MSP,|MSP|ORD|STC|
STC|NAS,|NAS|ORD|STC|
STC|PHL,|PHL|ORD|STC|
STC|PHX,|PHX|ORD|STC|
STC|PIT,|PIT|ORD|STC|
STC|PLS,|PLS|YYZ|ORD|STC|
STC|POP,|POP|YYZ|ORD|STC|
STC|RDU,|RDU|ORD|STC|
STC|ROC,|ROC|ORD|STC|
STC|RSW,|RSW|ORD|STC|
STC|SAN,|SAN|ORD|STC|
STC|SJO,|SJO|ORD|STC|
STC|STL,|STL|ORD|STC|
STC|SYR,|SYR|ORD|STC|
STC|TLV,|TLV|IST|ORD|STC|
STC|TPA,|TPA|ORD|STC|
STC|UVF,|UVF|EWR|ORD|STC|
STC|VIE,|VIE|ORD|STC|
STC|YAM,|YAM|YYZ|ORD|STC|
STC|YGK,|YGK|YYZ|ORD|STC|
STC|YQG,|YQG|YYZ|ORD|STC|
STC|YSB,|YSB|YYZ|ORD|STC|
STC|YTS,|YTS|YYZ|ORD|STC|
STC|YYB,|YYB|YYZ|ORD|STC|
STC|YZR,|YZR|YYZ|ORD|STC|
STC|CAN,|CAN|PEK|ORD|STC|
STC|URC,|URC|TSE|FRA|ORD|STC|
STC|CTU,|CTU|PEK|ORD|STC|
STC|HGH,|HGH|PEK|ORD|STC|
STC|XMN,|XMN|PEK|ORD|STC|
STC|CGO,|CGO|PEK|ORD|STC|
STC|CSX,|CSX|PEK|ORD|STC|
STC|SHE,|SHE|PEK|ORD|STC|
STC|SJW,|SJW|DLC|PEK|ORD|STC|
STC|WUH,|WUH|PEK|ORD|STC|
STC|SZX,|SZX|PEK|ORD|STC|
STC|CKG,|CKG|PEK|ORD|STC|
STC|KMG,|KMG|PEK|ORD|STC|
STC|FOC,|FOC|PEK|ORD|STC|
STC|NNG,|NNG|PEK|ORD|STC|
STC|SWA,|SWA|PEK|ORD|STC|
STC|ACX,|ACX|CAN|PEK|ORD|STC|
STC|AQG,|AQG|CAN|PEK|ORD|STC|
STC|AVA,|AVA|CAN|PEK|ORD|STC|
STC|BFJ,|BFJ|CAN|PEK|ORD|STC|
STC|BHY,|BHY|CGO|PEK|ORD|STC|
STC|BNE,|BNE|CAN|PEK|ORD|STC|
