BUS|YQZ,|YQZ|YVR|MUC|IST|BUS|
BUS|YXC,|YXC|YYC|FRA|IST|BUS|
BUS|YXJ,|YXJ|YYC|FRA|IST|BUS|
BUS|YXS,|YXS|YYC|FRA|IST|BUS|
BUS|YXT,|YXT|YVR|MUC|IST|BUS|
BUS|YXY,|YXY|YVR|MUC|IST|BUS|
BUS|YYD,|YYD|YVR|MUC|IST|BUS|
BUS|YYF,|YYF|YVR|MUC|IST|BUS|
BUS|YZP,|YZP|YVR|MUC|IST|BUS|
BUS|YQT,|YQT|YYZ|IST|BUS|
BUS|SJD,|SJD|ORD|IST|BUS|
BUS|YQF,|YQF|YYC|FRA|IST|BUS|
BUS|YQL,|YQL|YYC|FRA|IST|BUS|
BUS|YXH,|YXH|YYC|FRA|IST|BUS|
BUS|YWK,|YWK|YYR|YYT|LHR|IST|BUS|
BUS|ANU,|ANU|EWR|BHX|IST|BUS|
BUS|AUA,|AUA|EWR|BHX|IST|BUS|
BUS|AUH,|AUH|IST|BUS|
BUS|BCN,|BCN|IST|BUS|
BUS|BDA,|BDA|EWR|BHX|IST|BUS|
BUS|BGI,|BGI|YYZ|IST|BUS|
BUS|BNA,|BNA|YYZ|IST|BUS|
BUS|BOG,|BOG|MIA|ZRH|IST|BUS|
BUS|BWI,|BWI|EWR|BHX|IST|BUS|
BUS|CLE,|CLE|YYZ|IST|BUS|
BUS|CLT,|CLT|EWR|BHX|IST|BUS|
BUS|CMH,|CMH|YYZ|IST|BUS|
BUS|CVG,|CVG|YYZ|IST|BUS|
BUS|DFW,|DFW|ORD|IST|BUS|
BUS|DTW,|DTW|FRA|IST|BUS|
BUS|DUB,|DUB|IST|BUS|
BUS|FCO,|FCO|IST|BUS|
BUS|GCM,|GCM|EWR|BHX|IST|BUS|
BUS|GGT,|GGT|FLL|MCO|FRA|IST|BUS|
BUS|GND,|GND|YYZ|IST|BUS|
BUS|GRU,|GRU|IST|BUS|
BUS|HAV,|HAV|YYZ|IST|BUS|
BUS|IND,|IND|YYZ|IST|BUS|
BUS|JFK,|JFK|IST|BUS|
BUS|KIN,|KIN|YYZ|IST|BUS|
BUS|LIM,|LIM|MIA|ZRH|IST|BUS|
BUS|LIR,|LIR|EWR|BHX|IST|BUS|
BUS|MCI,|MCI|ORD|IST|BUS|
BUS|MDT,|MDT|IAD|IST|BUS|
BUS|MIA,|MIA|ZRH|IST|BUS|
BUS|MKE,|MKE|YYZ|IST|BUS|
BUS|MSP,|MSP|YUL|FRA|IST|BUS|
BUS|NAS,|NAS|EWR|BHX|IST|BUS|
BUS|PHL,|PHL|IAD|IST|BUS|
BUS|PHX,|PHX|DEN|FRA|IST|BUS|
BUS|PIT,|PIT|YYZ|IST|BUS|
BUS|PLS,|PLS|EWR|BHX|IST|BUS|
BUS|POP,|POP|EWR|BHX|IST|BUS|
BUS|RDU,|RDU|EWR|BHX|IST|BUS|
BUS|ROC,|ROC|YYZ|IST|BUS|
BUS|RSW,|RSW|MCO|FRA|IST|BUS|
BUS|SAN,|SAN|LAX|IST|BUS|
BUS|SJO,|SJO|EWR|BHX|IST|BUS|
BUS|STL,|STL|ORD|IST|BUS|
BUS|SYR,|SYR|EWR|BHX|IST|BUS|
BUS|TLV,|TLV|IST|BUS|
BUS|TPA,|TPA|EWR|BHX|IST|BUS|
BUS|UVF,|UVF|EWR|BHX|IST|BUS|
BUS|VIE,|VIE|IST|BUS|
