IFN|YQZ,|YQZ|YVR|MUC|IST|IFN|
IFN|YXC,|YXC|YYC|FRA|IST|IFN|
IFN|YXJ,|YXJ|YYC|FRA|IST|IFN|
IFN|YXS,|YXS|YYC|FRA|IST|IFN|
IFN|YXT,|YXT|YVR|MUC|IST|IFN|
IFN|YXY,|YXY|YVR|MUC|IST|IFN|
IFN|YYD,|YYD|YVR|MUC|IST|IFN|
IFN|YYF,|YYF|YVR|MUC|IST|IFN|
IFN|YZP,|YZP|YVR|MUC|IST|IFN|
IFN|YQT,|YQT|YYZ|IST|IFN|
IFN|SJD,|SJD|ORD|IST|IFN|
IFN|YQF,|YQF|YYC|FRA|IST|IFN|
IFN|YQL,|YQL|YYC|FRA|IST|IFN|
IFN|YXH,|YXH|YYC|FRA|IST|IFN|
IFN|YWK,|YWK|YYR|YYT|LHR|IST|IFN|
IFN|ANU,|ANU|EWR|BHX|IST|IFN|
IFN|AUA,|AUA|EWR|BHX|IST|IFN|
IFN|AUH,|AUH|IST|IFN|
IFN|BCN,|BCN|IST|IFN|
IFN|BDA,|BDA|EWR|BHX|IST|IFN|
IFN|BGI,|BGI|YYZ|IST|IFN|
IFN|BNA,|BNA|YYZ|IST|IFN|
IFN|BOG,|BOG|MIA|ZRH|IST|IFN|
IFN|BWI,|BWI|EWR|BHX|IST|IFN|
IFN|CLE,|CLE|YYZ|IST|IFN|
IFN|CLT,|CLT|EWR|BHX|IST|IFN|
IFN|CMH,|CMH|YYZ|IST|IFN|
IFN|CVG,|CVG|YYZ|IST|IFN|
IFN|DFW,|DFW|ORD|IST|IFN|
IFN|DTW,|DTW|FRA|IST|IFN|
IFN|DUB,|DUB|IST|IFN|
IFN|FCO,|FCO|IST|IFN|
IFN|GCM,|GCM|EWR|BHX|IST|IFN|
IFN|GGT,|GGT|FLL|MCO|FRA|IST|IFN|
IFN|GND,|GND|YYZ|IST|IFN|
IFN|GRU,|GRU|IST|IFN|
IFN|HAV,|HAV|YYZ|IST|IFN|
IFN|IND,|IND|YYZ|IST|IFN|
IFN|JFK,|JFK|IST|IFN|
IFN|KIN,|KIN|YYZ|IST|IFN|
IFN|LIM,|LIM|MIA|ZRH|IST|IFN|
IFN|LIR,|LIR|EWR|BHX|IST|IFN|
IFN|MCI,|MCI|ORD|IST|IFN|
IFN|MDT,|MDT|IAD|IST|IFN|
IFN|MIA,|MIA|ZRH|IST|IFN|
IFN|MKE,|MKE|YYZ|IST|IFN|
IFN|MSP,|MSP|YUL|FRA|IST|IFN|
IFN|NAS,|NAS|EWR|BHX|IST|IFN|
IFN|PHL,|PHL|IAD|IST|IFN|
IFN|PHX,|PHX|DEN|FRA|IST|IFN|
IFN|PIT,|PIT|YYZ|IST|IFN|
IFN|PLS,|PLS|EWR|BHX|IST|IFN|
IFN|POP,|POP|EWR|BHX|IST|IFN|
IFN|RDU,|RDU|EWR|BHX|IST|IFN|
IFN|ROC,|ROC|YYZ|IST|IFN|
IFN|RSW,|RSW|MCO|FRA|IST|IFN|
IFN|SAN,|SAN|LAX|IST|IFN|
IFN|SJO,|SJO|EWR|BHX|IST|IFN|
IFN|STL,|STL|ORD|IST|IFN|
IFN|SYR,|SYR|EWR|BHX|IST|IFN|
IFN|TLV,|TLV|IST|IFN|
IFN|TPA,|TPA|EWR|BHX|IST|IFN|
IFN|UVF,|UVF|EWR|BHX|IST|IFN|
IFN|VIE,|VIE|IST|IFN|
IFN|YAM,|YAM|YYZ|IST|IFN|
IFN|YGK,|YGK|YYZ|IST|IFN|
IFN|YQG,|YQG|YYZ|IST|IFN|
IFN|YSB,|YSB|YYZ|IST|IFN|
IFN|YTS,|YTS|YYZ|IST|IFN|
IFN|YYB,|YYB|YYZ|IST|IFN|
IFN|YZR,|YZR|YYZ|IST|IFN|
IFN|CAN,|CAN|IST|IFN|
IFN|URC,|URC|IST|IFN|
IFN|CTU,|CTU|URC|IST|IFN|
IFN|HGH,|HGH|URC|IST|IFN|
IFN|XMN,|XMN|CSX|URC|IST|IFN|
IFN|CGO,|CGO|URC|IST|IFN|
IFN|CSX,|CSX|URC|IST|IFN|
IFN|SHE,|SHE|PEK|IST|IFN|
IFN|SJW,|SJW|URC|IST|IFN|
IFN|WUH,|WUH|URC|IST|IFN|
IFN|SZX,|SZX|CKG|URC|IST|IFN|
IFN|CKG,|CKG|URC|IST|IFN|
IFN|KMG,|KMG|CTU|URC|IST|IFN|
IFN|FOC,|FOC|XIY|URC|IST|IFN|
IFN|NNG,|NNG|KWE|URC|IST|IFN|
IFN|SWA,|SWA|CAN|IST|IFN|
IFN|ACX,|ACX|CAN|IST|IFN|
IFN|AQG,|AQG|CAN|IST|IFN|
IFN|AVA,|AVA|CAN|IST|IFN|
IFN|BFJ,|BFJ|CAN|IST|IFN|
IFN|BHY,|BHY|CKG|URC|IST|IFN|
IFN|BNE,|BNE|BKK|IST|IFN|
IFN|CGD,|CGD|PEK|IST|IFN|
IFN|CGK,|CGK|SIN|IST|IFN|
IFN|CGQ,|CGQ|HET|URC|IST|IFN|
IFN|CIH,|CIH|PEK|IST|IFN|
IFN|CNX,|CNX|CAN|IST|IFN|
IFN|CZX,|CZX|TYN|URC|IST|IFN|
IFN|DAC,|DAC|IST|IFN|
IFN|DAD,|DAD|CAN|IST|IFN|
IFN|DEL,|DEL|IST|IFN|
IFN|DIG,|DIG|KMG|CTU|URC|IST|IFN|
IFN|DLC,|DLC|PEK|IST|IFN|
IFN|DPS,|DPS|CAN|IST|IFN|
IFN|DXB,|DXB|IST|IFN|
IFN|DYG,|DYG|CSX|URC|IST|IFN|
IFN|FUG,|FUG|CAN|IST|IFN|
IFN|FUK,|FUK|ICN|IST|IFN|
IFN|HAK,|HAK|CTU|URC|IST|IFN|
IFN|HAN,|HAN|CAN|IST|IFN|
IFN|HDG,|HDG|CAN|IST|IFN|
IFN|HET,|HET|URC|IST|IFN|
IFN|HFE,|HFE|XIY|URC|IST|IFN|
IFN|HJJ,|HJJ|CSX|URC|IST|IFN|
IFN|HKT,|HKT|KWE|URC|IST|IFN|
IFN|HRB,|HRB|PEK|IST|IFN|
IFN|HZH,|HZH|CAN|IST|IFN|
IFN|JIU,|JIU|CAN|IST|IFN|
IFN|JJN,|JJN|CSX|URC|IST|IFN|
IFN|JNG,|JNG|CAN|IST|IFN|
IFN|KHN,|KHN|XIY|URC|IST|IFN|
IFN|KIX,|KIX|IST|IFN|
IFN|KOW,|KOW|CAN|IST|IFN|
IFN|KTM,|KTM|IST|IFN|
IFN|KUL,|KUL|IST|IFN|
IFN|KWE,|KWE|URC|IST|IFN|
IFN|KWL,|KWL|CKG|URC|IST|IFN|
IFN|LHW,|LHW|URC|IST|IFN|
IFN|LYA,|LYA|KHN|XIY|URC|IST|IFN|
IFN|LYG,|LYG|XUZ|INC|URC|IST|IFN|
IFN|LZH,|LZH|CAN|IST|IFN|
IFN|MEL,|MEL|BKK|IST|IFN|
IFN|MIG,|MIG|CSX|URC|IST|IFN|
IFN|MLE,|MLE|IST|IFN|
IFN|MNL,|MNL|CAN|IST|IFN|
IFN|MXZ,|MXZ|CAN|IST|IFN|
IFN|NAO,|NAO|PEK|IST|IFN|
IFN|NGB,|NGB|WUH|URC|IST|IFN|
IFN|NKG,|NKG|URC|IST|IFN|
IFN|NNY,|NNY|CGO|URC|IST|IFN|
IFN|PEN,|PEN|CAN|IST|IFN|
IFN|PER,|PER|BKK|IST|IFN|
IFN|PNH,|PNH|CAN|IST|IFN|
IFN|REP,|REP|CAN|IST|IFN|
IFN|RGN,|RGN|CAN|IST|IFN|
IFN|SGN,|SGN|BKK|IST|IFN|
IFN|SHA,|SHA|URC|IST|IFN|
IFN|SIN,|SIN|IST|IFN|
IFN|SVO,|SVO|URC|IST|IFN|
IFN|SYX,|SYX|CKG|URC|IST|IFN|
IFN|TAO,|TAO|TYN|URC|IST|IFN|
IFN|TEN,|TEN|CAN|IST|IFN|
IFN|TNA,|TNA|URC|IST|IFN|
