LAD|PDX,|PDX|SEA|FRA|IST|FIH|LAD|
LAD|PEK,|PEK|IST|FIH|LAD|
LAD|PVG,|PVG|IST|FIH|LAD|
LAD|PVR,|PVR|IAH|YUL|BRU|FIH|LAD|
LAD|SEA,|SEA|FRA|IST|FIH|LAD|
LAD|SYD,|SYD|BKK|IST|FIH|LAD|
LAD|YBL,|YBL|YVR|MUC|IST|FIH|LAD|
LAD|YCD,|YCD|YVR|MUC|IST|FIH|LAD|
LAD|YCG,|YCG|YYC|FRA|IST|FIH|LAD|
LAD|YKA,|YKA|YYC|FRA|IST|FIH|LAD|
LAD|YPR,|YPR|YVR|MUC|IST|FIH|LAD|
LAD|YQZ,|YQZ|YVR|MUC|IST|FIH|LAD|
LAD|YXC,|YXC|YYC|FRA|IST|FIH|LAD|
LAD|YXJ,|YXJ|YYC|FRA|IST|FIH|LAD|
LAD|YXS,|YXS|YYC|FRA|IST|FIH|LAD|
LAD|YXT,|YXT|YVR|MUC|IST|FIH|LAD|
LAD|YXY,|YXY|YVR|MUC|IST|FIH|LAD|
LAD|YYD,|YYD|YVR|MUC|IST|FIH|LAD|
LAD|YYF,|YYF|YVR|MUC|IST|FIH|LAD|
LAD|YZP,|YZP|YVR|MUC|IST|FIH|LAD|
LAD|YQT,|YQT|YYZ|BRU|FIH|LAD|
LAD|SJD,|SJD|ORD|BRU|FIH|LAD|
LAD|YQF,|YQF|YYC|FRA|IST|FIH|LAD|
LAD|YQL,|YQL|YYC|FRA|IST|FIH|LAD|
LAD|YXH,|YXH|YYC|FRA|IST|FIH|LAD|
LAD|YWK,|YWK|YYR|YYT|LHR|IST|FIH|LAD|
LAD|ANU,|ANU|EWR|BRU|FIH|LAD|
LAD|AUA,|AUA|EWR|BRU|FIH|LAD|
LAD|AUH,|AUH|IST|FIH|LAD|
LAD|BCN,|BCN|IST|FIH|LAD|
LAD|BDA,|BDA|EWR|BRU|FIH|LAD|
LAD|BGI,|BGI|YYZ|BRU|FIH|LAD|
LAD|BNA,|BNA|YYZ|BRU|FIH|LAD|
LAD|BOG,|BOG|JFK|BRU|FIH|LAD|
LAD|BWI,|BWI|EWR|BRU|FIH|LAD|
LAD|CLE,|CLE|YYZ|BRU|FIH|LAD|
LAD|CLT,|CLT|EWR|BRU|FIH|LAD|
LAD|CMH,|CMH|YYZ|BRU|FIH|LAD|
LAD|CVG,|CVG|YYZ|BRU|FIH|LAD|
LAD|DFW,|DFW|ORD|BRU|FIH|LAD|
LAD|DTW,|DTW|YYZ|BRU|FIH|LAD|
LAD|DUB,|DUB|IST|FIH|LAD|
LAD|FCO,|FCO|IST|FIH|LAD|
LAD|GCM,|GCM|EWR|BRU|FIH|LAD|
LAD|GGT,|GGT|FLL|EWR|BRU|FIH|LAD|
LAD|GND,|GND|YYZ|BRU|FIH|LAD|
LAD|GRU,|GRU|IST|FIH|LAD|
LAD|HAV,|HAV|YYZ|BRU|FIH|LAD|
LAD|IND,|IND|YYZ|BRU|FIH|LAD|
LAD|JFK,|JFK|BRU|FIH|LAD|
LAD|KIN,|KIN|YYZ|BRU|FIH|LAD|
LAD|LIM,|LIM|EWR|BRU|FIH|LAD|
LAD|LIR,|LIR|EWR|BRU|FIH|LAD|
LAD|MCI,|MCI|ORD|BRU|FIH|LAD|
LAD|MDT,|MDT|IAD|BRU|FIH|LAD|
LAD|MIA,|MIA|EWR|BRU|FIH|LAD|
LAD|MKE,|MKE|YYZ|BRU|FIH|LAD|
LAD|MSP,|MSP|YUL|BRU|FIH|LAD|
LAD|NAS,|NAS|EWR|BRU|FIH|LAD|
LAD|PHL,|PHL|IAD|BRU|FIH|LAD|
LAD|PHX,|PHX|ORD|BRU|FIH|LAD|
LAD|PIT,|PIT|YYZ|BRU|FIH|LAD|
LAD|PLS,|PLS|EWR|BRU|FIH|LAD|
LAD|POP,|POP|EWR|BRU|FIH|LAD|
LAD|RDU,|RDU|EWR|BRU|FIH|LAD|
LAD|ROC,|ROC|YYZ|BRU|FIH|LAD|
LAD|RSW,|RSW|EWR|BRU|FIH|LAD|
LAD|SAN,|SAN|ORD|BRU|FIH|LAD|
LAD|SJO,|SJO|EWR|BRU|FIH|LAD|
LAD|STL,|STL|ORD|BRU|FIH|LAD|
LAD|SYR,|SYR|EWR|BRU|FIH|LAD|
LAD|TLV,|TLV|IST|FIH|LAD|
LAD|TPA,|TPA|EWR|BRU|FIH|LAD|
LAD|UVF,|UVF|EWR|BRU|FIH|LAD|
LAD|VIE,|VIE|IST|FIH|LAD|
LAD|YAM,|YAM|YYZ|BRU|FIH|LAD|
LAD|YGK,|YGK|YYZ|BRU|FIH|LAD|
LAD|YQG,|YQG|YYZ|BRU|FIH|LAD|
LAD|YSB,|YSB|YYZ|BRU|FIH|LAD|
LAD|YTS,|YTS|YYZ|BRU|FIH|LAD|
LAD|YYB,|YYB|YYZ|BRU|FIH|LAD|
LAD|YZR,|YZR|YYZ|BRU|FIH|LAD|
LAD|CAN,|CAN|IST|FIH|LAD|
LAD|URC,|URC|IST|FIH|LAD|
LAD|CTU,|CTU|URC|IST|FIH|LAD|
LAD|HGH,|HGH|URC|IST|FIH|LAD|
LAD|XMN,|XMN|CSX|URC|IST|FIH|LAD|
LAD|CGO,|CGO|URC|IST|FIH|LAD|
LAD|CSX,|CSX|URC|IST|FIH|LAD|
LAD|SHE,|SHE|PEK|IST|FIH|LAD|
LAD|SJW,|SJW|URC|IST|FIH|LAD|
LAD|WUH,|WUH|URC|IST|FIH|LAD|
LAD|SZX,|SZX|CKG|URC|IST|FIH|LAD|
LAD|CKG,|CKG|URC|IST|FIH|LAD|
LAD|KMG,|KMG|CTU|URC|IST|FIH|LAD|
LAD|FOC,|FOC|XIY|URC|IST|FIH|LAD|
LAD|NNG,|NNG|KWE|URC|IST|FIH|LAD|
LAD|SWA,|SWA|CAN|IST|FIH|LAD|
LAD|ACX,|ACX|CAN|IST|FIH|LAD|
LAD|AQG,|AQG|CAN|IST|FIH|LAD|
LAD|AVA,|AVA|CAN|IST|FIH|LAD|
LAD|BFJ,|BFJ|CAN|IST|FIH|LAD|
LAD|BHY,|BHY|CKG|URC|IST|FIH|LAD|
LAD|BNE,|BNE|BKK|IST|FIH|LAD|
LAD|CGD,|CGD|PEK|IST|FIH|LAD|
LAD|CGK,|CGK|SIN|IST|FIH|LAD|
LAD|CGQ,|CGQ|HET|URC|IST|FIH|LAD|
LAD|CIH,|CIH|PEK|IST|FIH|LAD|
LAD|CNX,|CNX|CAN|IST|FIH|LAD|
LAD|CZX,|CZX|TYN|URC|IST|FIH|LAD|
LAD|DAC,|DAC|IST|FIH|LAD|
LAD|DAD,|DAD|CAN|IST|FIH|LAD|
LAD|DEL,|DEL|IST|FIH|LAD|
LAD|DIG,|DIG|KMG|CTU|URC|IST|FIH|LAD|
LAD|DLC,|DLC|PEK|IST|FIH|LAD|
LAD|DPS,|DPS|CAN|IST|FIH|LAD|
LAD|DXB,|DXB|IST|FIH|LAD|
LAD|DYG,|DYG|CSX|URC|IST|FIH|LAD|
LAD|FUG,|FUG|CAN|IST|FIH|LAD|
LAD|FUK,|FUK|ICN|IST|FIH|LAD|
LAD|HAK,|HAK|CTU|URC|IST|FIH|LAD|
LAD|HAN,|HAN|CAN|IST|FIH|LAD|
LAD|HDG,|HDG|CAN|IST|FIH|LAD|
LAD|HET,|HET|URC|IST|FIH|LAD|
LAD|HFE,|HFE|XIY|URC|IST|FIH|LAD|
LAD|HJJ,|HJJ|CSX|URC|IST|FIH|LAD|
LAD|HKT,|HKT|KWE|URC|IST|FIH|LAD|
LAD|HRB,|HRB|PEK|IST|FIH|LAD|
