GLA|YYD,|YYD|YVR|EWR|GLA|
GLA|YYF,|YYF|YVR|EWR|GLA|
GLA|YZP,|YZP|YVR|EWR|GLA|
GLA|YQT,|YQT|YYZ|EWR|GLA|
GLA|SJD,|SJD|EWR|GLA|
GLA|YQF,|YQF|YYC|EWR|GLA|
GLA|YQL,|YQL|YYC|EWR|GLA|
GLA|YXH,|YXH|YYC|EWR|GLA|
GLA|YWK,|YWK|YZV|YQB|EWR|GLA|
GLA|ANU,|ANU|EWR|GLA|
GLA|AUA,|AUA|EWR|GLA|
GLA|AUH,|AUH|FRA|EWR|GLA|
GLA|BCN,|BCN|EWR|GLA|
GLA|BDA,|BDA|EWR|GLA|
GLA|BGI,|BGI|YYZ|EWR|GLA|
GLA|BNA,|BNA|EWR|GLA|
GLA|BOG,|BOG|EWR|GLA|
GLA|BWI,|BWI|EWR|GLA|
GLA|CLE,|CLE|EWR|GLA|
GLA|CLT,|CLT|EWR|GLA|
GLA|CMH,|CMH|EWR|GLA|
GLA|CVG,|CVG|EWR|GLA|
GLA|DFW,|DFW|EWR|GLA|
GLA|DTW,|DTW|EWR|GLA|
GLA|DUB,|DUB|EWR|GLA|
GLA|FCO,|FCO|EWR|GLA|
GLA|GCM,|GCM|EWR|GLA|
GLA|GGT,|GGT|FLL|EWR|GLA|
GLA|GND,|GND|YYZ|EWR|GLA|
GLA|GRU,|GRU|EWR|GLA|
GLA|HAV,|HAV|YYZ|EWR|GLA|
GLA|IND,|IND|EWR|GLA|
GLA|JFK,|JFK|IAD|EWR|GLA|
GLA|KIN,|KIN|YYZ|EWR|GLA|
GLA|LIM,|LIM|EWR|GLA|
GLA|LIR,|LIR|EWR|GLA|
GLA|MCI,|MCI|EWR|GLA|
GLA|MDT,|MDT|IAD|EWR|GLA|
GLA|MIA,|MIA|EWR|GLA|
GLA|MKE,|MKE|EWR|GLA|
GLA|MSP,|MSP|EWR|GLA|
GLA|NAS,|NAS|EWR|GLA|
GLA|PHL,|PHL|IAD|EWR|GLA|
GLA|PHX,|PHX|EWR|GLA|
GLA|PIT,|PIT|EWR|GLA|
GLA|PLS,|PLS|EWR|GLA|
GLA|POP,|POP|EWR|GLA|
GLA|RDU,|RDU|EWR|GLA|
GLA|ROC,|ROC|EWR|GLA|
GLA|RSW,|RSW|EWR|GLA|
GLA|SAN,|SAN|EWR|GLA|
GLA|SJO,|SJO|EWR|GLA|
GLA|STL,|STL|EWR|GLA|
GLA|SYR,|SYR|EWR|GLA|
GLA|TLV,|TLV|EWR|GLA|
GLA|TPA,|TPA|EWR|GLA|
GLA|UVF,|UVF|EWR|GLA|
GLA|VIE,|VIE|IAD|EWR|GLA|
GLA|YAM,|YAM|YYZ|EWR|GLA|
GLA|YGK,|YGK|YYZ|EWR|GLA|
GLA|YQG,|YQG|YYZ|EWR|GLA|
GLA|YSB,|YSB|YYZ|EWR|GLA|
GLA|YTS,|YTS|YYZ|EWR|GLA|
GLA|YYB,|YYB|YYZ|EWR|GLA|
GLA|YZR,|YZR|YYZ|EWR|GLA|
GLA|CAN,|CAN|PEK|EWR|GLA|
GLA|URC,|URC|TSE|FRA|EWR|GLA|
GLA|CTU,|CTU|PEK|EWR|GLA|
GLA|HGH,|HGH|PEK|EWR|GLA|
GLA|XMN,|XMN|PEK|EWR|GLA|
GLA|CGO,|CGO|PEK|EWR|GLA|
GLA|CSX,|CSX|PEK|EWR|GLA|
GLA|SHE,|SHE|PEK|EWR|GLA|
GLA|SJW,|SJW|DLC|PEK|EWR|GLA|
GLA|WUH,|WUH|PEK|EWR|GLA|
GLA|SZX,|SZX|PEK|EWR|GLA|
GLA|CKG,|CKG|PEK|EWR|GLA|
GLA|KMG,|KMG|PEK|EWR|GLA|
GLA|FOC,|FOC|PEK|EWR|GLA|
GLA|NNG,|NNG|PEK|EWR|GLA|
GLA|SWA,|SWA|PEK|EWR|GLA|
GLA|ACX,|ACX|CAN|PEK|EWR|GLA|
GLA|AQG,|AQG|CAN|PEK|EWR|GLA|
GLA|AVA,|AVA|CAN|PEK|EWR|GLA|
GLA|BFJ,|BFJ|CAN|PEK|EWR|GLA|
GLA|BHY,|BHY|CGO|PEK|EWR|GLA|
GLA|BNE,|BNE|CAN|PEK|EWR|GLA|
GLA|CGD,|CGD|PEK|EWR|GLA|
GLA|CGK,|CGK|CAN|PEK|EWR|GLA|
GLA|CGQ,|CGQ|PEK|EWR|GLA|
GLA|CIH,|CIH|PEK|EWR|GLA|
GLA|CNX,|CNX|CAN|PEK|EWR|GLA|
GLA|CZX,|CZX|SHE|PEK|EWR|GLA|
GLA|DAC,|DAC|IST|BHX|EWR|GLA|
GLA|DAD,|DAD|CAN|PEK|EWR|GLA|
GLA|DEL,|DEL|EWR|GLA|
GLA|DIG,|DIG|KMG|PEK|EWR|GLA|
GLA|DLC,|DLC|PEK|EWR|GLA|
GLA|DPS,|DPS|SZX|PEK|EWR|GLA|
GLA|DXB,|DXB|IST|BHX|EWR|GLA|
GLA|DYG,|DYG|PEK|EWR|GLA|
GLA|FUG,|FUG|CAN|PEK|EWR|GLA|
GLA|FUK,|FUK|ICN|JFK|IAD|EWR|GLA|
GLA|HAK,|HAK|PEK|EWR|GLA|
GLA|HAN,|HAN|PEK|EWR|GLA|
GLA|HDG,|HDG|CAN|PEK|EWR|GLA|
GLA|HET,|HET|DLC|PEK|EWR|GLA|
GLA|HFE,|HFE|XIY|PEK|EWR|GLA|
GLA|HJJ,|HJJ|CSX|PEK|EWR|GLA|
GLA|HKT,|HKT|KWE|PEK|EWR|GLA|
GLA|HRB,|HRB|PEK|EWR|GLA|
GLA|HZH,|HZH|CAN|PEK|EWR|GLA|
GLA|JIU,|JIU|CAN|PEK|EWR|GLA|
GLA|JJN,|JJN|PEK|EWR|GLA|
GLA|JNG,|JNG|CAN|PEK|EWR|GLA|
GLA|KHN,|KHN|DLC|PEK|EWR|GLA|
GLA|KIX,|KIX|DLC|PEK|EWR|GLA|
GLA|KOW,|KOW|PEK|EWR|GLA|
GLA|KTM,|KTM|IST|BHX|EWR|GLA|
GLA|KUL,|KUL|CAN|PEK|EWR|GLA|
GLA|KWE,|KWE|PEK|EWR|GLA|
GLA|KWL,|KWL|PEK|EWR|GLA|
GLA|LHW,|LHW|CGO|PEK|EWR|GLA|
GLA|LYA,|LYA|KHN|DLC|PEK|EWR|GLA|
GLA|LYG,|LYG|HSN|PEK|EWR|GLA|
GLA|LZH,|LZH|CAN|PEK|EWR|GLA|
GLA|MEL,|MEL|SYD|LAX|EWR|GLA|
GLA|MIG,|MIG|CSX|PEK|EWR|GLA|
GLA|MLE,|MLE|IST|BHX|EWR|GLA|
GLA|MNL,|MNL|XMN|PEK|EWR|GLA|
GLA|MXZ,|MXZ|CAN|PEK|EWR|GLA|
GLA|NAO,|NAO|PEK|EWR|GLA|
GLA|NGB,|NGB|PEK|EWR|GLA|
GLA|NKG,|NKG|DLC|PEK|EWR|GLA|
GLA|NNY,|NNY|CGO|PEK|EWR|GLA|
GLA|PEN,|PEN|CAN|PEK|EWR|GLA|
GLA|PER,|PER|CAN|PEK|EWR|GLA|
GLA|PNH,|PNH|CAN|PEK|EWR|GLA|
GLA|REP,|REP|CAN|PEK|EWR|GLA|
GLA|RGN,|RGN|CAN|PEK|EWR|GLA|
GLA|SGN,|SGN|CAN|PEK|EWR|GLA|
GLA|SHA,|SHA|PEK|EWR|GLA|
GLA|SIN,|SIN|CAN|PEK|EWR|GLA|
GLA|SVO,|SVO|URC|TSE|FRA|EWR|GLA|
GLA|SYX,|SYX|PEK|EWR|GLA|
GLA|TAO,|TAO|DLC|PEK|EWR|GLA|
GLA|TEN,|TEN|PEK|EWR|GLA|
GLA|TNA,|TNA|DLC|PEK|EWR|GLA|
GLA|TPE,|TPE|PVG|EWR|GLA|
GLA|TSN,|TSN|DLC|PEK|EWR|GLA|
GLA|TXN,|TXN|DLC|PEK|EWR|GLA|
GLA|TYN,|TYN|DAT|CIH|PEK|EWR|GLA|
GLA|WNZ,|WNZ|CGO|PEK|EWR|GLA|
GLA|WUX,|WUX|CAN|PEK|EWR|GLA|
GLA|XFN,|XFN|XMN|PEK|EWR|GLA|
GLA|XIY,|XIY|PEK|EWR|GLA|
GLA|XUZ,|XUZ|LYG|HSN|PEK|EWR|GLA|
GLA|YIH,|YIH|CKG|PEK|EWR|GLA|
GLA|YIW,|YIW|PEK|EWR|GLA|
GLA|YNT,|YNT|SHE|PEK|EWR|GLA|
