BOM|YXJ,|YXJ|YYC|FRA|IST|BOM|
BOM|YXS,|YXS|YYC|FRA|IST|BOM|
BOM|YXT,|YXT|YVR|MUC|IST|BOM|
BOM|YXY,|YXY|YVR|MUC|IST|BOM|
BOM|YYD,|YYD|YVR|MUC|IST|BOM|
BOM|YYF,|YYF|YVR|MUC|IST|BOM|
BOM|YZP,|YZP|YVR|MUC|IST|BOM|
BOM|YQT,|YQT|YYZ|IST|BOM|
BOM|SJD,|SJD|EWR|BOM|
BOM|YQF,|YQF|YYC|FRA|IST|BOM|
BOM|YQL,|YQL|YYC|FRA|IST|BOM|
BOM|YXH,|YXH|YYC|FRA|IST|BOM|
BOM|YWK,|YWK|YYR|YYT|LHR|IST|BOM|
BOM|ANU,|ANU|EWR|BOM|
BOM|AUA,|AUA|EWR|BOM|
BOM|AUH,|AUH|IST|BOM|
BOM|BCN,|BCN|IST|BOM|
BOM|BDA,|BDA|EWR|BOM|
BOM|BGI,|BGI|YYZ|IST|BOM|
BOM|BNA,|BNA|EWR|BOM|
BOM|BOG,|BOG|EWR|BOM|
BOM|BWI,|BWI|EWR|BOM|
BOM|CLE,|CLE|EWR|BOM|
BOM|CLT,|CLT|EWR|BOM|
BOM|CMH,|CMH|EWR|BOM|
BOM|CVG,|CVG|EWR|BOM|
BOM|DFW,|DFW|EWR|BOM|
BOM|DTW,|DTW|EWR|BOM|
BOM|DUB,|DUB|IST|BOM|
BOM|FCO,|FCO|IST|BOM|
BOM|GCM,|GCM|EWR|BOM|
BOM|GGT,|GGT|FLL|EWR|BOM|
BOM|GND,|GND|YYZ|IST|BOM|
BOM|GRU,|GRU|IST|BOM|
BOM|HAV,|HAV|YYZ|IST|BOM|
BOM|IND,|IND|EWR|BOM|
BOM|JFK,|JFK|IST|BOM|
BOM|KIN,|KIN|YYZ|IST|BOM|
BOM|LIM,|LIM|EWR|BOM|
BOM|LIR,|LIR|EWR|BOM|
BOM|MCI,|MCI|ORD|IST|BOM|
BOM|MDT,|MDT|IAD|EWR|BOM|
BOM|MIA,|MIA|EWR|BOM|
BOM|MKE,|MKE|YYZ|IST|BOM|
BOM|MSP,|MSP|YUL|FRA|IST|BOM|
BOM|NAS,|NAS|EWR|BOM|
BOM|PHL,|PHL|IAD|EWR|BOM|
BOM|PHX,|PHX|DEN|FRA|IST|BOM|
BOM|PIT,|PIT|EWR|BOM|
BOM|PLS,|PLS|EWR|BOM|
BOM|POP,|POP|EWR|BOM|
BOM|RDU,|RDU|EWR|BOM|
BOM|ROC,|ROC|EWR|BOM|
BOM|RSW,|RSW|EWR|BOM|
BOM|SAN,|SAN|LAX|IST|BOM|
BOM|SJO,|SJO|EWR|BOM|
BOM|STL,|STL|EWR|BOM|
BOM|SYR,|SYR|EWR|BOM|
BOM|TLV,|TLV|IST|BOM|
BOM|TPA,|TPA|EWR|BOM|
BOM|UVF,|UVF|EWR|BOM|
BOM|VIE,|VIE|IST|BOM|
BOM|YAM,|YAM|YYZ|IST|BOM|
BOM|YGK,|YGK|YYZ|IST|BOM|
BOM|YQG,|YQG|YYZ|IST|BOM|
BOM|YSB,|YSB|YYZ|IST|BOM|
BOM|YTS,|YTS|YYZ|IST|BOM|
BOM|YYB,|YYB|YYZ|IST|BOM|
BOM|YZR,|YZR|YYZ|IST|BOM|
BOM|CAN,|CAN|IST|BOM|
BOM|URC,|URC|IST|BOM|
BOM|CTU,|CTU|URC|IST|BOM|
BOM|HGH,|HGH|URC|IST|BOM|
BOM|XMN,|XMN|CSX|URC|IST|BOM|
BOM|CGO,|CGO|URC|IST|BOM|
BOM|CSX,|CSX|URC|IST|BOM|
BOM|SHE,|SHE|PEK|IST|BOM|
BOM|SJW,|SJW|URC|IST|BOM|
BOM|WUH,|WUH|URC|IST|BOM|
BOM|SZX,|SZX|CKG|URC|IST|BOM|
BOM|CKG,|CKG|URC|IST|BOM|
BOM|KMG,|KMG|CTU|URC|IST|BOM|
BOM|FOC,|FOC|XIY|URC|IST|BOM|
BOM|NNG,|NNG|KWE|URC|IST|BOM|
BOM|SWA,|SWA|CAN|IST|BOM|
BOM|ACX,|ACX|CAN|IST|BOM|
BOM|AQG,|AQG|CAN|IST|BOM|
BOM|AVA,|AVA|CAN|IST|BOM|
BOM|BFJ,|BFJ|CAN|IST|BOM|
BOM|BHY,|BHY|CKG|URC|IST|BOM|
BOM|BNE,|BNE|BKK|IST|BOM|
BOM|CGD,|CGD|PEK|IST|BOM|
BOM|CGK,|CGK|SIN|IST|BOM|
BOM|CGQ,|CGQ|HET|URC|IST|BOM|
BOM|CIH,|CIH|PEK|IST|BOM|
BOM|CNX,|CNX|CAN|IST|BOM|
BOM|CZX,|CZX|TYN|URC|IST|BOM|
BOM|DAC,|DAC|IST|BOM|
BOM|DAD,|DAD|CAN|IST|BOM|
BOM|DEL,|DEL|IST|BOM|
BOM|DIG,|DIG|KMG|CTU|URC|IST|BOM|
BOM|DLC,|DLC|PEK|IST|BOM|
BOM|DPS,|DPS|CAN|IST|BOM|
BOM|DXB,|DXB|IST|BOM|
BOM|DYG,|DYG|CSX|URC|IST|BOM|
BOM|FUG,|FUG|CAN|IST|BOM|
BOM|FUK,|FUK|ICN|IST|BOM|
BOM|HAK,|HAK|CTU|URC|IST|BOM|
BOM|HAN,|HAN|CAN|IST|BOM|
BOM|HDG,|HDG|CAN|IST|BOM|
BOM|HET,|HET|URC|IST|BOM|
BOM|HFE,|HFE|XIY|URC|IST|BOM|
BOM|HJJ,|HJJ|CSX|URC|IST|BOM|
BOM|HKT,|HKT|KWE|URC|IST|BOM|
BOM|HRB,|HRB|PEK|IST|BOM|
BOM|HZH,|HZH|CAN|IST|BOM|
BOM|JIU,|JIU|CAN|IST|BOM|
BOM|JJN,|JJN|CSX|URC|IST|BOM|
BOM|JNG,|JNG|CAN|IST|BOM|
BOM|KHN,|KHN|XIY|URC|IST|BOM|
BOM|KIX,|KIX|IST|BOM|
BOM|KOW,|KOW|CAN|IST|BOM|
BOM|KTM,|KTM|IST|BOM|
BOM|KUL,|KUL|IST|BOM|
BOM|KWE,|KWE|URC|IST|BOM|
BOM|KWL,|KWL|CKG|URC|IST|BOM|
BOM|LHW,|LHW|URC|IST|BOM|
BOM|LYA,|LYA|KHN|XIY|URC|IST|BOM|
BOM|LYG,|LYG|XUZ|INC|URC|IST|BOM|
BOM|LZH,|LZH|CAN|IST|BOM|
BOM|MEL,|MEL|BKK|IST|BOM|
BOM|MIG,|MIG|CSX|URC|IST|BOM|
BOM|MLE,|MLE|IST|BOM|
BOM|MNL,|MNL|CAN|IST|BOM|
BOM|MXZ,|MXZ|CAN|IST|BOM|
BOM|NAO,|NAO|PEK|IST|BOM|
BOM|NGB,|NGB|WUH|URC|IST|BOM|
BOM|NKG,|NKG|URC|IST|BOM|
BOM|NNY,|NNY|CGO|URC|IST|BOM|
BOM|PEN,|PEN|CAN|IST|BOM|
BOM|PER,|PER|BKK|IST|BOM|
BOM|PNH,|PNH|CAN|IST|BOM|
BOM|REP,|REP|CAN|IST|BOM|
BOM|RGN,|RGN|CAN|IST|BOM|
BOM|SGN,|SGN|BKK|IST|BOM|
BOM|SHA,|SHA|URC|IST|BOM|
BOM|SIN,|SIN|IST|BOM|
BOM|SVO,|SVO|URC|IST|BOM|
BOM|SYX,|SYX|CKG|URC|IST|BOM|
BOM|TAO,|TAO|TYN|URC|IST|BOM|
BOM|TEN,|TEN|CAN|IST|BOM|
BOM|TNA,|TNA|URC|IST|BOM|
BOM|TPE,|TPE|URC|IST|BOM|
BOM|TSN,|TSN|HET|URC|IST|BOM|
BOM|TXN,|TXN|TYN|URC|IST|BOM|
BOM|TYN,|TYN|URC|IST|BOM|
