IST|CVG,|CVG|YYZ|IST|
IST|DFW,|DFW|ORD|IST|
IST|DTW,|DTW|FRA|IST|
IST|DUB,|DUB|IST|
IST|FCO,|FCO|IST|
IST|GCM,|GCM|EWR|BHX|IST|
IST|GGT,|GGT|FLL|MCO|FRA|IST|
IST|GND,|GND|YYZ|IST|
IST|GRU,|GRU|IST|
IST|HAV,|HAV|YYZ|IST|
IST|IND,|IND|YYZ|IST|
IST|JFK,|JFK|IST|
IST|KIN,|KIN|YYZ|IST|
IST|LIM,|LIM|MIA|ZRH|IST|
IST|LIR,|LIR|EWR|BHX|IST|
IST|MCI,|MCI|ORD|IST|
IST|MDT,|MDT|IAD|IST|
IST|MIA,|MIA|ZRH|IST|
IST|MKE,|MKE|YYZ|IST|
IST|MSP,|MSP|YUL|FRA|IST|
IST|NAS,|NAS|EWR|BHX|IST|
IST|PHL,|PHL|IAD|IST|
IST|PHX,|PHX|DEN|FRA|IST|
IST|PIT,|PIT|YYZ|IST|
IST|PLS,|PLS|EWR|BHX|IST|
IST|POP,|POP|EWR|BHX|IST|
IST|RDU,|RDU|EWR|BHX|IST|
IST|ROC,|ROC|YYZ|IST|
IST|RSW,|RSW|MCO|FRA|IST|
IST|SAN,|SAN|LAX|IST|
IST|SJO,|SJO|EWR|BHX|IST|
IST|STL,|STL|ORD|IST|
IST|SYR,|SYR|EWR|BHX|IST|
IST|TLV,|TLV|IST|
IST|TPA,|TPA|EWR|BHX|IST|
IST|UVF,|UVF|EWR|BHX|IST|
IST|VIE,|VIE|IST|
IST|YAM,|YAM|YYZ|IST|
IST|YGK,|YGK|YYZ|IST|
IST|YQG,|YQG|YYZ|IST|
IST|YSB,|YSB|YYZ|IST|
IST|YTS,|YTS|YYZ|IST|
IST|YYB,|YYB|YYZ|IST|
IST|YZR,|YZR|YYZ|IST|
IST|CAN,|CAN|IST|
IST|URC,|URC|IST|
IST|CTU,|CTU|URC|IST|
IST|HGH,|HGH|URC|IST|
IST|XMN,|XMN|CSX|URC|IST|
IST|CGO,|CGO|URC|IST|
IST|CSX,|CSX|URC|IST|
IST|SHE,|SHE|PEK|IST|
IST|SJW,|SJW|URC|IST|
IST|WUH,|WUH|URC|IST|
IST|SZX,|SZX|CKG|URC|IST|
IST|CKG,|CKG|URC|IST|
IST|KMG,|KMG|CTU|URC|IST|
IST|FOC,|FOC|XIY|URC|IST|
IST|NNG,|NNG|KWE|URC|IST|
IST|SWA,|SWA|CAN|IST|
IST|ACX,|ACX|CAN|IST|
IST|AQG,|AQG|CAN|IST|
IST|AVA,|AVA|CAN|IST|
IST|BFJ,|BFJ|CAN|IST|
IST|BHY,|BHY|CKG|URC|IST|
IST|BNE,|BNE|BKK|IST|
IST|CGD,|CGD|PEK|IST|
IST|CGK,|CGK|SIN|IST|
IST|CGQ,|CGQ|HET|URC|IST|
IST|CIH,|CIH|PEK|IST|
IST|CNX,|CNX|CAN|IST|
IST|CZX,|CZX|TYN|URC|IST|
IST|DAC,|DAC|IST|
IST|DAD,|DAD|CAN|IST|
IST|DEL,|DEL|IST|
IST|DIG,|DIG|KMG|CTU|URC|IST|
IST|DLC,|DLC|PEK|IST|
IST|DPS,|DPS|CAN|IST|
IST|DXB,|DXB|IST|
IST|DYG,|DYG|CSX|URC|IST|
IST|FUG,|FUG|CAN|IST|
IST|FUK,|FUK|ICN|IST|
IST|HAK,|HAK|CTU|URC|IST|
IST|HAN,|HAN|CAN|IST|
IST|HDG,|HDG|CAN|IST|
IST|HET,|HET|URC|IST|
IST|HFE,|HFE|XIY|URC|IST|
IST|HJJ,|HJJ|CSX|URC|IST|
IST|HKT,|HKT|KWE|URC|IST|
IST|HRB,|HRB|PEK|IST|
IST|HZH,|HZH|CAN|IST|
IST|JIU,|JIU|CAN|IST|
IST|JJN,|JJN|CSX|URC|IST|
IST|JNG,|JNG|CAN|IST|
IST|KHN,|KHN|XIY|URC|IST|
IST|KIX,|KIX|IST|
IST|KOW,|KOW|CAN|IST|
IST|KTM,|KTM|IST|
IST|KUL,|KUL|IST|
IST|KWE,|KWE|URC|IST|
IST|KWL,|KWL|CKG|URC|IST|
IST|LHW,|LHW|URC|IST|
IST|LYA,|LYA|KHN|XIY|URC|IST|
IST|LYG,|LYG|XUZ|INC|URC|IST|
IST|LZH,|LZH|CAN|IST|
IST|MEL,|MEL|BKK|IST|
IST|MIG,|MIG|CSX|URC|IST|
IST|MLE,|MLE|IST|
IST|MNL,|MNL|CAN|IST|
IST|MXZ,|MXZ|CAN|IST|
IST|NAO,|NAO|PEK|IST|
IST|NGB,|NGB|WUH|URC|IST|
IST|NKG,|NKG|URC|IST|
IST|NNY,|NNY|CGO|URC|IST|
IST|PEN,|PEN|CAN|IST|
IST|PER,|PER|BKK|IST|
IST|PNH,|PNH|CAN|IST|
IST|REP,|REP|CAN|IST|
IST|RGN,|RGN|CAN|IST|
IST|SGN,|SGN|BKK|IST|
IST|SHA,|SHA|URC|IST|
IST|SIN,|SIN|IST|
IST|SVO,|SVO|URC|IST|
IST|SYX,|SYX|CKG|URC|IST|
IST|TAO,|TAO|TYN|URC|IST|
IST|TEN,|TEN|CAN|IST|
IST|TNA,|TNA|URC|IST|
IST|TPE,|TPE|URC|IST|
IST|TSN,|TSN|HET|URC|IST|
IST|TXN,|TXN|TYN|URC|IST|
IST|TYN,|TYN|URC|IST|
IST|WNZ,|WNZ|XIY|URC|IST|
IST|WUX,|WUX|CAN|IST|
