NUE|YQZ,|YQZ|YVR|MUC|IST|NUE|
NUE|YXC,|YXC|YYC|FRA|IST|NUE|
NUE|YXJ,|YXJ|YYC|FRA|IST|NUE|
NUE|YXS,|YXS|YYC|FRA|IST|NUE|
NUE|YXT,|YXT|YVR|MUC|IST|NUE|
NUE|YXY,|YXY|YVR|MUC|IST|NUE|
NUE|YYD,|YYD|YVR|MUC|IST|NUE|
NUE|YYF,|YYF|YVR|MUC|IST|NUE|
NUE|YZP,|YZP|YVR|MUC|IST|NUE|
NUE|YQT,|YQT|YYZ|IST|NUE|
NUE|SJD,|SJD|ORD|IST|NUE|
NUE|YQF,|YQF|YYC|FRA|IST|NUE|
NUE|YQL,|YQL|YYC|FRA|IST|NUE|
NUE|YXH,|YXH|YYC|FRA|IST|NUE|
NUE|YWK,|YWK|YYR|YYT|LHR|IST|NUE|
NUE|ANU,|ANU|EWR|BHX|IST|NUE|
NUE|AUA,|AUA|EWR|BHX|IST|NUE|
NUE|AUH,|AUH|IST|NUE|
NUE|BCN,|BCN|IST|NUE|
NUE|BDA,|BDA|EWR|BHX|IST|NUE|
NUE|BGI,|BGI|YYZ|IST|NUE|
NUE|BNA,|BNA|YYZ|IST|NUE|
NUE|BOG,|BOG|MIA|ZRH|IST|NUE|
NUE|BWI,|BWI|EWR|BHX|IST|NUE|
NUE|CLE,|CLE|YYZ|IST|NUE|
NUE|CLT,|CLT|EWR|BHX|IST|NUE|
NUE|CMH,|CMH|YYZ|IST|NUE|
NUE|CVG,|CVG|YYZ|IST|NUE|
NUE|DFW,|DFW|ORD|IST|NUE|
NUE|DTW,|DTW|FRA|IST|NUE|
NUE|DUB,|DUB|IST|NUE|
NUE|FCO,|FCO|IST|NUE|
NUE|GCM,|GCM|EWR|BHX|IST|NUE|
NUE|GGT,|GGT|FLL|MCO|FRA|IST|NUE|
NUE|GND,|GND|YYZ|IST|NUE|
NUE|GRU,|GRU|IST|NUE|
NUE|HAV,|HAV|YYZ|IST|NUE|
NUE|IND,|IND|YYZ|IST|NUE|
NUE|JFK,|JFK|IST|NUE|
NUE|KIN,|KIN|YYZ|IST|NUE|
NUE|LIM,|LIM|MIA|ZRH|IST|NUE|
NUE|LIR,|LIR|EWR|BHX|IST|NUE|
NUE|MCI,|MCI|ORD|IST|NUE|
NUE|MDT,|MDT|IAD|IST|NUE|
NUE|MIA,|MIA|ZRH|IST|NUE|
NUE|MKE,|MKE|YYZ|IST|NUE|
NUE|MSP,|MSP|YUL|FRA|IST|NUE|
NUE|NAS,|NAS|EWR|BHX|IST|NUE|
NUE|PHL,|PHL|IAD|IST|NUE|
