LYG|YVO,|YVO|YUL|YYZ|PEK|HSN|LYG|
LYG|ZBF,|ZBF|YUL|YYZ|PEK|HSN|LYG|
LYG|ZRH,|ZRH|IST|URC|INC|XUZ|LYG|
LYG|ZSA,|ZSA|YUL|YYZ|PEK|HSN|LYG|
LYG|AKL,|AKL|CAN|LYG|
LYG|HKG,|HKG|CAN|LYG|
LYG|HND,|HND|HNL|PEK|HSN|LYG|
LYG|HNL,|HNL|PEK|HSN|LYG|
LYG|MEX,|MEX|YVR|PEK|HSN|LYG|
LYG|OGG,|OGG|HNL|PEK|HSN|LYG|
LYG|PDX,|PDX|SEA|PEK|HSN|LYG|
LYG|PEK,|PEK|HSN|LYG|
LYG|PVG,|PVG|CAN|LYG|
LYG|PVR,|PVR|SFO|PEK|HSN|LYG|
LYG|SEA,|SEA|PEK|HSN|LYG|
LYG|SYD,|SYD|CAN|LYG|
LYG|YBL,|YBL|YVR|PEK|HSN|LYG|
LYG|YCD,|YCD|YVR|PEK|HSN|LYG|
LYG|YCG,|YCG|YVR|PEK|HSN|LYG|
LYG|YKA,|YKA|YVR|PEK|HSN|LYG|
LYG|YPR,|YPR|YVR|PEK|HSN|LYG|
LYG|YQZ,|YQZ|YVR|PEK|HSN|LYG|
LYG|YXC,|YXC|YVR|PEK|HSN|LYG|
LYG|YXJ,|YXJ|YVR|PEK|HSN|LYG|
LYG|YXS,|YXS|YVR|PEK|HSN|LYG|
LYG|YXT,|YXT|YVR|PEK|HSN|LYG|
LYG|YXY,|YXY|YVR|PEK|HSN|LYG|
LYG|YYD,|YYD|YVR|PEK|HSN|LYG|
LYG|YYF,|YYF|YVR|PEK|HSN|LYG|
LYG|YZP,|YZP|YVR|PEK|HSN|LYG|
LYG|YQT,|YQT|YWG|YVR|PEK|HSN|LYG|
LYG|SJD,|SJD|SFO|PEK|HSN|LYG|
LYG|YQF,|YQF|YYC|YVR|PEK|HSN|LYG|
LYG|YQL,|YQL|YYC|YVR|PEK|HSN|LYG|
LYG|YXH,|YXH|YYC|YVR|PEK|HSN|LYG|
LYG|YWK,|YWK|YZV|YQB|YYZ|PEK|HSN|LYG|
LYG|ANU,|ANU|EWR|PEK|HSN|LYG|
LYG|AUA,|AUA|EWR|PEK|HSN|LYG|
LYG|AUH,|AUH|IST|URC|INC|XUZ|LYG|
LYG|BCN,|BCN|IST|URC|INC|XUZ|LYG|
LYG|BDA,|BDA|EWR|PEK|HSN|LYG|
LYG|BGI,|BGI|YYZ|PEK|HSN|LYG|
LYG|BNA,|BNA|ORD|PEK|HSN|LYG|
LYG|BOG,|BOG|MIA|ORD|PEK|HSN|LYG|
LYG|BWI,|BWI|YYZ|PEK|HSN|LYG|
LYG|CLE,|CLE|YYZ|PEK|HSN|LYG|
LYG|CLT,|CLT|YYZ|PEK|HSN|LYG|
LYG|CMH,|CMH|ORD|PEK|HSN|LYG|
LYG|CVG,|CVG|ORD|PEK|HSN|LYG|
LYG|DFW,|DFW|YVR|PEK|HSN|LYG|
LYG|DTW,|DTW|PEK|HSN|LYG|
LYG|DUB,|DUB|IST|URC|INC|XUZ|LYG|
LYG|FCO,|FCO|IST|URC|INC|XUZ|LYG|
LYG|GCM,|GCM|YYZ|PEK|HSN|LYG|
LYG|GGT,|GGT|YYZ|PEK|HSN|LYG|
LYG|GND,|GND|YYZ|PEK|HSN|LYG|
LYG|GRU,|GRU|IST|URC|INC|XUZ|LYG|
LYG|HAV,|HAV|YYZ|PEK|HSN|LYG|
LYG|IND,|IND|ORD|PEK|HSN|LYG|
LYG|JFK,|JFK|PEK|HSN|LYG|
LYG|KIN,|KIN|YYZ|PEK|HSN|LYG|
LYG|LIM,|LIM|IAH|PEK|HSN|LYG|
LYG|LIR,|LIR|IAH|PEK|HSN|LYG|
LYG|MCI,|MCI|DEN|YVR|PEK|HSN|LYG|
LYG|MDT,|MDT|YYZ|PEK|HSN|LYG|
LYG|MIA,|MIA|ORD|PEK|HSN|LYG|
LYG|MKE,|MKE|ORD|PEK|HSN|LYG|
LYG|MSP,|MSP|ORD|PEK|HSN|LYG|
LYG|NAS,|NAS|YYZ|PEK|HSN|LYG|
LYG|PHL,|PHL|YYZ|PEK|HSN|LYG|
LYG|PHX,|PHX|SEA|PEK|HSN|LYG|
LYG|PIT,|PIT|YYZ|PEK|HSN|LYG|
LYG|PLS,|PLS|EWR|PEK|HSN|LYG|
LYG|POP,|POP|EWR|PEK|HSN|LYG|
LYG|RDU,|RDU|YYZ|PEK|HSN|LYG|
LYG|ROC,|ROC|YYZ|PEK|HSN|LYG|
LYG|RSW,|RSW|ORD|PEK|HSN|LYG|
LYG|SAN,|SAN|LAX|PEK|HSN|LYG|
LYG|SJO,|SJO|IAH|PEK|HSN|LYG|
LYG|STL,|STL|ORD|PEK|HSN|LYG|
LYG|SYR,|SYR|YYZ|PEK|HSN|LYG|
LYG|TLV,|TLV|SAW|TBS|URC|INC|XUZ|LYG|
LYG|TPA,|TPA|ORD|PEK|HSN|LYG|
LYG|UVF,|UVF|EWR|PEK|HSN|LYG|
LYG|VIE,|VIE|IST|URC|INC|XUZ|LYG|
LYG|YAM,|YAM|YYZ|PEK|HSN|LYG|
LYG|YGK,|YGK|YYZ|PEK|HSN|LYG|
LYG|YQG,|YQG|YYZ|PEK|HSN|LYG|
LYG|YSB,|YSB|YYZ|PEK|HSN|LYG|
LYG|YTS,|YTS|YYZ|PEK|HSN|LYG|
LYG|YYB,|YYB|YYZ|PEK|HSN|LYG|
LYG|YZR,|YZR|YYZ|PEK|HSN|LYG|
LYG|CAN,|CAN|LYG|
LYG|URC,|URC|INC|XUZ|LYG|
LYG|CTU,|CTU|XIY|INC|XUZ|LYG|
LYG|HGH,|HGH|JJN|HSN|LYG|
LYG|XMN,|XMN|HSN|LYG|
LYG|CGO,|CGO|INC|XUZ|LYG|
LYG|CSX,|CSX|CAN|LYG|
LYG|SHE,|SHE|PEK|HSN|LYG|
LYG|SJW,|SJW|DLC|PEK|HSN|LYG|
LYG|WUH,|WUH|JJN|HSN|LYG|
LYG|SZX,|SZX|HSN|LYG|
LYG|CKG,|CKG|CAN|LYG|
LYG|KMG,|KMG|CAN|LYG|
LYG|FOC,|FOC|CAN|LYG|
LYG|NNG,|NNG|CAN|LYG|
LYG|SWA,|SWA|CAN|LYG|
LYG|ACX,|ACX|CAN|LYG|
LYG|AQG,|AQG|CAN|LYG|
LYG|AVA,|AVA|CAN|LYG|
LYG|BFJ,|BFJ|CAN|LYG|
LYG|BHY,|BHY|CAN|LYG|
LYG|BNE,|BNE|CAN|LYG|
LYG|CGD,|CGD|CAN|LYG|
LYG|CGK,|CGK|CAN|LYG|
LYG|CGQ,|CGQ|PEK|HSN|LYG|
LYG|CIH,|CIH|PEK|HSN|LYG|
LYG|CNX,|CNX|CAN|LYG|
LYG|CZX,|CZX|CAN|LYG|
LYG|DAC,|DAC|CAN|LYG|
LYG|DAD,|DAD|CAN|LYG|
LYG|DEL,|DEL|CAN|LYG|
LYG|DIG,|DIG|CAN|LYG|
LYG|DLC,|DLC|PEK|HSN|LYG|
LYG|DPS,|DPS|CAN|LYG|
LYG|DXB,|DXB|CAN|LYG|
LYG|DYG,|DYG|CAN|LYG|
LYG|FUG,|FUG|CAN|LYG|
LYG|FUK,|FUK|ICN|PEK|HSN|LYG|
LYG|HAK,|HAK|CAN|LYG|
LYG|HAN,|HAN|CAN|LYG|
LYG|HDG,|HDG|CAN|LYG|
LYG|HET,|HET|INC|XUZ|LYG|
LYG|HFE,|HFE|XMN|HSN|LYG|
LYG|HJJ,|HJJ|CAN|LYG|
LYG|HKT,|HKT|CAN|LYG|
LYG|HRB,|HRB|PEK|HSN|LYG|
LYG|HZH,|HZH|CAN|LYG|
LYG|JIU,|JIU|CAN|LYG|
LYG|JJN,|JJN|HSN|LYG|
LYG|JNG,|JNG|CAN|LYG|
LYG|KHN,|KHN|XMN|HSN|LYG|
LYG|KIX,|KIX|DLC|PEK|HSN|LYG|
LYG|KOW,|KOW|CAN|LYG|
LYG|KTM,|KTM|CAN|LYG|
LYG|KUL,|KUL|CAN|LYG|
LYG|KWE,|KWE|CAN|LYG|
LYG|KWL,|KWL|CAN|LYG|
LYG|LHW,|LHW|CGO|INC|XUZ|LYG|
LYG|LYA,|LYA|KHN|XMN|HSN|LYG|
LYG|LZH,|LZH|CAN|LYG|
LYG|MEL,|MEL|CAN|LYG|
LYG|MIG,|MIG|CAN|LYG|
LYG|MLE,|MLE|CAN|LYG|
LYG|MNL,|MNL|XMN|HSN|LYG|
LYG|MXZ,|MXZ|CAN|LYG|
LYG|NAO,|NAO|CAN|LYG|
LYG|NGB,|NGB|XMN|HSN|LYG|
LYG|NKG,|NKG|JJN|HSN|LYG|
LYG|NNY,|NNY|CGO|INC|XUZ|LYG|
LYG|PEN,|PEN|CAN|LYG|
LYG|PER,|PER|CAN|LYG|
LYG|PNH,|PNH|CAN|LYG|
LYG|REP,|REP|CAN|LYG|
LYG|RGN,|RGN|CAN|LYG|
LYG|SGN,|SGN|CAN|LYG|
LYG|SHA,|SHA|JJN|HSN|LYG|
LYG|SIN,|SIN|CAN|LYG|
LYG|SVO,|SVO|URC|INC|XUZ|LYG|
LYG|SYX,|SYX|CAN|LYG|
LYG|TAO,|TAO|TYN|INC|XUZ|LYG|
LYG|TEN,|TEN|CAN|LYG|
LYG|TNA,|TNA|HET|INC|XUZ|LYG|
LYG|TPE,|TPE|CAN|LYG|
LYG|TSN,|TSN|HET|INC|XUZ|LYG|
LYG|TXN,|TXN|XMN|HSN|LYG|
LYG|TYN,|TYN|INC|XUZ|LYG|
LYG|WNZ,|WNZ|CAN|LYG|
LYG|WUX,|WUX|CAN|LYG|
LYG|XFN,|XFN|CAN|LYG|
LYG|XIY,|XIY|INC|XUZ|LYG|
LYG|XUZ,|XUZ|LYG|
LYG|YIH,|YIH|CAN|LYG|
LYG|YIW,|YIW|XMN|HSN|LYG|
LYG|YNT,|YNT|SHE|PEK|HSN|LYG|
LYG|YNZ,|YNZ|XMN|HSN|LYG|
LYG|YTY,|YTY|CAN|LYG|
LYG|ZHA,|ZHA|CAN|LYG|
LYG|ZYI,|ZYI|CAN|LYG|
LYG|BAV,|BAV|CGO|INC|XUZ|LYG|
LYG|CJU,|CJU|DLC|PEK|HSN|LYG|
LYG|DSN,|DSN|CGO|INC|XUZ|LYG|
LYG|HMI,|HMI|URC|INC|XUZ|LYG|
LYG|INC,|INC|XUZ|LYG|
LYG|KHH,|KHH|WUH|JJN|HSN|LYG|
LYG|UYN,|UYN|XIY|INC|XUZ|LYG|
LYG|XNN,|XNN|XIY|INC|XUZ|LYG|
LYG|ZUH,|ZUH|XMN|HSN|LYG|
LYG|YNJ,|YNJ|PEK|HSN|LYG|
LYG|DAT,|DAT|TYN|INC|XUZ|LYG|
LYG|JHG,|JHG|KMG|CAN|LYG|
LYG|LJG,|LJG|KMG|CAN|LYG|
LYG|LXA,|LXA|XIY|INC|XUZ|LYG|
LYG|YCU,|YCU|CSX|CAN|LYG|
LYG|LZO,|LZO|CSX|CAN|LYG|
LYG|MDG,|MDG|DLC|PEK|HSN|LYG|
LYG|NGO,|NGO|DLC|PEK|HSN|LYG|
LYG|TOY,|TOY|DLC|PEK|HSN|LYG|
LYG|MFM,|MFM|XMN|HSN|LYG|
LYG|TGO,|TGO|HET|INC|XUZ|LYG|
LYG|XIL,|XIL|HET|INC|XUZ|LYG|
LYG|HEK,|HEK|HRB|PEK|HSN|LYG|
LYG|KIJ,|KIJ|HRB|PEK|HSN|LYG|
LYG|LDS,|LDS|HRB|PEK|HSN|LYG|
LYG|OHE,|OHE|HRB|PEK|HSN|LYG|
LYG|HSN,|HSN|LYG|
LYG|DLU,|DLU|KMG|CAN|LYG|
LYG|SYM,|SYM|KMG|CAN|LYG|
LYG|ZAT,|ZAT|KMG|CAN|LYG|
LYG|LUN,|LUN|NBO|CAN|LYG|
LYG|AOG,|AOG|PEK|HSN|LYG|
LYG|GMP,|GMP|PEK|HSN|LYG|
LYG|ISB,|ISB|URC|INC|XUZ|LYG|
LYG|TAS,|TAS|URC|INC|XUZ|LYG|
LYG|WUS,|WUS|PEK|HSN|LYG|
LYG|JMU,|JMU|PVG|CAN|LYG|
LYG|NDG,|NDG|PVG|CAN|LYG|
LYG|JXA,|JXA|SHE|PEK|HSN|LYG|
LYG|PUS,|PUS|SHE|PEK|HSN|LYG|
LYG|BKI,|BKI|SZX|HSN|LYG|
LYG|AKU,|AKU|URC|INC|XUZ|LYG|
LYG|ALA,|ALA|URC|INC|XUZ|LYG|
LYG|ASB,|ASB|URC|INC|XUZ|LYG|
LYG|DNH,|DNH|XIY|INC|XUZ|LYG|
LYG|DYU,|DYU|URC|INC|XUZ|LYG|
LYG|FRU,|FRU|URC|INC|XUZ|LYG|
LYG|GYD,|GYD|URC|INC|XUZ|LYG|
LYG|HTN,|HTN|URC|INC|XUZ|LYG|
LYG|IKA,|IKA|URC|INC|XUZ|LYG|
LYG|KCA,|KCA|URC|INC|XUZ|LYG|
LYG|KHG,|KHG|URC|INC|XUZ|LYG|
LYG|KRL,|KRL|URC|INC|XUZ|LYG|
LYG|KRY,|KRY|URC|INC|XUZ|LYG|
LYG|LBD,|LBD|URC|INC|XUZ|LYG|
LYG|NLT,|NLT|URC|INC|XUZ|LYG|
LYG|OSS,|OSS|URC|INC|XUZ|LYG|
LYG|OVB,|OVB|URC|INC|XUZ|LYG|
LYG|TBS,|TBS|URC|INC|XUZ|LYG|
LYG|TCG,|TCG|URC|INC|XUZ|LYG|
LYG|TSE,|TSE|URC|INC|XUZ|LYG|
LYG|YIN,|YIN|URC|INC|XUZ|LYG|
LYG|ENH,|ENH|WUH|JJN|HSN|LYG|
LYG|ENY,|ENY|XIY|INC|XUZ|LYG|
LYG|WXN,|WXN|XIY|INC|XUZ|LYG|
LYG|BLL,|BLL|IST|URC|INC|XUZ|LYG|
LYG|ESB,|ESB|SAW|TBS|URC|INC|XUZ|LYG|
LYG|SAW,|SAW|TBS|URC|INC|XUZ|LYG|
LYG|HAM,|HAM|IST|URC|INC|XUZ|LYG|
LYG|HRE,|HRE|ADD|IST|URC|INC|XUZ|LYG|
LYG|JUB,|JUB|CAI|IST|URC|INC|XUZ|LYG|
LYG|SSG,|SSG|DLA|IST|URC|INC|XUZ|LYG|
