MBJ|YXJ,|YXJ|YYC|IAH|MBJ|
MBJ|YXS,|YXS|YYC|IAH|MBJ|
MBJ|YXT,|YXT|YVR|IAH|MBJ|
MBJ|YXY,|YXY|YVR|IAH|MBJ|
MBJ|YYD,|YYD|YVR|IAH|MBJ|
MBJ|YYF,|YYF|YVR|IAH|MBJ|
MBJ|YZP,|YZP|YVR|IAH|MBJ|
MBJ|YQT,|YQT|YYZ|MBJ|
MBJ|SJD,|SJD|IAH|MBJ|
MBJ|YQF,|YQF|YYC|IAH|MBJ|
MBJ|YQL,|YQL|YYC|IAH|MBJ|
MBJ|YXH,|YXH|YYC|IAH|MBJ|
MBJ|YWK,|YWK|YZV|YQB|EWR|MBJ|
MBJ|ANU,|ANU|EWR|MBJ|
MBJ|AUA,|AUA|ATL|MBJ|
MBJ|AUH,|AUH|IST|LHR|YHZ|MBJ|
MBJ|BCN,|BCN|EWR|MBJ|
MBJ|BDA,|BDA|EWR|MBJ|
MBJ|BGI,|BGI|YYZ|MBJ|
MBJ|BNA,|BNA|CHS|ATL|MBJ|
MBJ|BOG,|BOG|IAH|MBJ|
MBJ|BWI,|BWI|ATL|MBJ|
MBJ|CLE,|CLE|ATL|MBJ|
MBJ|CLT,|CLT|IAD|MBJ|
MBJ|CMH,|CMH|ATL|MBJ|
MBJ|CVG,|CVG|IAD|MBJ|
MBJ|DFW,|DFW|IAH|MBJ|
MBJ|DTW,|DTW|ATL|MBJ|
MBJ|DUB,|DUB|EWR|MBJ|
MBJ|FCO,|FCO|EWR|MBJ|
MBJ|GCM,|GCM|IAH|MBJ|
MBJ|GGT,|GGT|FLL|ATL|MBJ|
MBJ|GND,|GND|YYZ|MBJ|
MBJ|GRU,|GRU|IAD|MBJ|
MBJ|HAV,|HAV|YYZ|MBJ|
MBJ|IND,|IND|ATL|MBJ|
MBJ|JFK,|JFK|IAD|MBJ|
MBJ|KIN,|KIN|YYZ|MBJ|
MBJ|LIM,|LIM|IAH|MBJ|
MBJ|LIR,|LIR|IAH|MBJ|
MBJ|MCI,|MCI|ATL|MBJ|
MBJ|MDT,|MDT|IAD|MBJ|
MBJ|MIA,|MIA|MSY|ATL|MBJ|
MBJ|MKE,|MKE|ATL|MBJ|
MBJ|MSP,|MSP|ATL|MBJ|
MBJ|NAS,|NAS|ATL|MBJ|
MBJ|PHL,|PHL|IAD|MBJ|
MBJ|PHX,|PHX|IAH|MBJ|
MBJ|PIT,|PIT|IAD|MBJ|
MBJ|PLS,|PLS|EWR|MBJ|
MBJ|POP,|POP|EWR|MBJ|
MBJ|RDU,|RDU|ATL|MBJ|
MBJ|ROC,|ROC|IAD|MBJ|
MBJ|RSW,|RSW|ATL|MBJ|
MBJ|SAN,|SAN|IAH|MBJ|
MBJ|SJO,|SJO|IAH|MBJ|
