BGI|YQX,|YQX|YHZ|YYZ|BGI|
BGI|YQY,|YQY|YYZ|BGI|
BGI|YSJ,|YSJ|YYZ|BGI|
BGI|YYG,|YYG|YYZ|BGI|
BGI|LAX,|LAX|YYZ|BGI|
BGI|DCA,|DCA|YYZ|BGI|
BGI|LGA,|LGA|YYZ|BGI|
BGI|YZV,|YZV|YQB|YYZ|BGI|
BGI|YWL,|YWL|YVR|YYZ|BGI|
BGI|AZS,|AZS|YYZ|BGI|
BGI|BDL,|BDL|YYZ|BGI|
BGI|CCC,|CCC|YYZ|BGI|
BGI|CDG,|CDG|YYZ|BGI|
BGI|CUN,|CUN|YYZ|BGI|
BGI|CZM,|CZM|IAH|YYZ|BGI|
BGI|FDF,|FDF|YUL|YYZ|BGI|
BGI|FLL,|FLL|YYZ|BGI|
BGI|GVA,|GVA|YUL|YYZ|BGI|
BGI|HOG,|HOG|YYZ|BGI|
BGI|LAS,|LAS|YYZ|BGI|
BGI|MBJ,|MBJ|YYZ|BGI|
BGI|MCO,|MCO|YYZ|BGI|
BGI|MUC,|MUC|YYZ|BGI|
BGI|PAP,|PAP|YUL|YYZ|BGI|
BGI|PTP,|PTP|YUL|YYZ|BGI|
BGI|PUJ,|PUJ|YYZ|BGI|
BGI|SNU,|SNU|YYZ|BGI|
BGI|VRA,|VRA|YYZ|BGI|
BGI|YBC,|YBC|YUL|YYZ|BGI|
BGI|YBG,|YBG|YUL|YYZ|BGI|
BGI|YTZ,|YTZ|YUL|YYZ|BGI|
BGI|YUY,|YUY|YUL|YYZ|BGI|
BGI|YVO,|YVO|YUL|YYZ|BGI|
BGI|ZBF,|ZBF|YUL|YYZ|BGI|
BGI|ZRH,|ZRH|YYZ|BGI|
BGI|ZSA,|ZSA|YUL|YYZ|BGI|
BGI|AKL,|AKL|LAX|YYZ|BGI|
BGI|HKG,|HKG|YYZ|BGI|
BGI|HND,|HND|YVR|YYZ|BGI|
BGI|HNL,|HNL|SFO|YYZ|BGI|
BGI|MEX,|MEX|YYZ|BGI|
BGI|OGG,|OGG|SFO|YYZ|BGI|
BGI|PDX,|PDX|ORD|YYZ|BGI|
BGI|PEK,|PEK|YYZ|BGI|
BGI|PVG,|PVG|YYZ|BGI|
BGI|PVR,|PVR|IAH|YYZ|BGI|
BGI|SEA,|SEA|YYZ|BGI|
