YXE|SJD,|SJD|DEN|YXE|
YXE|YQF,|YQF|YYC|YXE|
YXE|YQL,|YQL|YYC|YXE|
YXE|YXH,|YXH|YYC|YXE|
YXE|YWK,|YWK|YZV|YUL|YWG|YXE|
YXE|ANU,|ANU|YYZ|YXE|
YXE|AUA,|AUA|ATL|ORD|YXE|
YXE|AUH,|AUH|IST|LHR|YEG|YXE|
YXE|BCN,|BCN|YYZ|YXE|
YXE|BDA,|BDA|YYZ|YXE|
YXE|BGI,|BGI|YYZ|YXE|
YXE|BNA,|BNA|ORD|YXE|
YXE|BOG,|BOG|MIA|ORD|YXE|
YXE|BWI,|BWI|YYZ|YXE|
YXE|CLE,|CLE|ORD|YXE|
YXE|CLT,|CLT|ORD|YXE|
YXE|CMH,|CMH|ORD|YXE|
YXE|CVG,|CVG|ORD|YXE|
YXE|DFW,|DFW|DEN|YXE|
YXE|DTW,|DTW|ORD|YXE|
YXE|DUB,|DUB|YYZ|YXE|
YXE|FCO,|FCO|YYZ|YXE|
YXE|GCM,|GCM|IAH|DEN|YXE|
YXE|GGT,|GGT|FLL|ORD|YXE|
YXE|GND,|GND|YYZ|YXE|
YXE|GRU,|GRU|ORD|YXE|
YXE|HAV,|HAV|YYZ|YXE|
YXE|IND,|IND|ORD|YXE|
YXE|JFK,|JFK|YYZ|YXE|
YXE|KIN,|KIN|YYZ|YXE|
YXE|LIM,|LIM|IAH|DEN|YXE|
YXE|LIR,|LIR|IAH|DEN|YXE|
YXE|MCI,|MCI|DEN|YXE|
YXE|MDT,|MDT|YYZ|YXE|
YXE|MIA,|MIA|ORD|YXE|
YXE|MKE,|MKE|ORD|YXE|
YXE|MSP,|MSP|ORD|YXE|
YXE|NAS,|NAS|ORD|YXE|
YXE|PHL,|PHL|YYZ|YXE|
YXE|PHX,|PHX|LAS|YXE|
YXE|PIT,|PIT|ORD|YXE|
YXE|PLS,|PLS|YYZ|YXE|
YXE|POP,|POP|YYZ|YXE|
YXE|RDU,|RDU|ORD|YXE|
YXE|ROC,|ROC|YYZ|YXE|
YXE|RSW,|RSW|ORD|YXE|
YXE|SAN,|SAN|LAS|YXE|
YXE|SJO,|SJO|IAH|DEN|YXE|
YXE|STL,|STL|ORD|YXE|
YXE|SYR,|SYR|YYZ|YXE|
YXE|TLV,|TLV|IST|LHR|YEG|YXE|
YXE|TPA,|TPA|ORD|YXE|
YXE|UVF,|UVF|YYZ|YXE|
YXE|VIE,|VIE|YYZ|YXE|
YXE|YAM,|YAM|YYZ|YXE|
YXE|YGK,|YGK|YYZ|YXE|
YXE|YQG,|YQG|YYZ|YXE|
YXE|YSB,|YSB|YYZ|YXE|
YXE|YTS,|YTS|YYZ|YXE|
YXE|YYB,|YYB|YYZ|YXE|
YXE|YZR,|YZR|YYZ|YXE|
YXE|CAN,|CAN|YVR|YXE|
YXE|URC,|URC|PEK|YVR|YXE|
YXE|CTU,|CTU|PEK|YVR|YXE|
YXE|HGH,|HGH|DLC|ICN|YVR|YXE|
YXE|XMN,|XMN|PEK|YVR|YXE|
YXE|CGO,|CGO|PEK|YVR|YXE|
YXE|CSX,|CSX|ICN|YVR|YXE|
YXE|SHE,|SHE|ICN|YVR|YXE|
YXE|SJW,|SJW|DLC|ICN|YVR|YXE|
YXE|WUH,|WUH|ICN|YVR|YXE|
YXE|SZX,|SZX|PVG|YVR|YXE|
YXE|CKG,|CKG|PEK|YVR|YXE|
YXE|KMG,|KMG|PEK|YVR|YXE|
YXE|FOC,|FOC|PEK|YVR|YXE|
YXE|NNG,|NNG|PEK|YVR|YXE|
YXE|SWA,|SWA|PEK|YVR|YXE|
YXE|ACX,|ACX|CAN|YVR|YXE|
YXE|AQG,|AQG|CAN|YVR|YXE|
YXE|AVA,|AVA|CAN|YVR|YXE|
YXE|BFJ,|BFJ|CAN|YVR|YXE|
YXE|BHY,|BHY|CSX|ICN|YVR|YXE|
YXE|BNE,|BNE|CAN|YVR|YXE|
YXE|CGD,|CGD|PEK|YVR|YXE|
YXE|CGK,|CGK|SIN|NRT|YYC|YXE|
YXE|CGQ,|CGQ|NRT|YYC|YXE|
YXE|CIH,|CIH|PEK|YVR|YXE|
YXE|CNX,|CNX|CAN|YVR|YXE|
YXE|CZX,|CZX|SHE|ICN|YVR|YXE|
YXE|DAC,|DAC|CAN|YVR|YXE|
YXE|DAD,|DAD|CAN|YVR|YXE|
YXE|DEL,|DEL|IST|LHR|YEG|YXE|
YXE|DIG,|DIG|KMG|PEK|YVR|YXE|
YXE|DLC,|DLC|ICN|YVR|YXE|
YXE|DPS,|DPS|SZX|PVG|YVR|YXE|
YXE|DXB,|DXB|IST|LHR|YEG|YXE|
YXE|DYG,|DYG|PEK|YVR|YXE|
YXE|FUG,|FUG|CAN|YVR|YXE|
YXE|FUK,|FUK|ICN|YVR|YXE|
YXE|HAK,|HAK|CAN|YVR|YXE|
YXE|HAN,|HAN|PEK|YVR|YXE|
YXE|HDG,|HDG|CAN|YVR|YXE|
YXE|HET,|HET|DLC|ICN|YVR|YXE|
YXE|HFE,|HFE|TYN|DLC|ICN|YVR|YXE|
YXE|HJJ,|HJJ|CSX|ICN|YVR|YXE|
YXE|HKT,|HKT|KWE|PEK|YVR|YXE|
YXE|HRB,|HRB|ICN|YVR|YXE|
YXE|HZH,|HZH|CAN|YVR|YXE|
YXE|JIU,|JIU|CAN|YVR|YXE|
YXE|JJN,|JJN|PEK|YVR|YXE|
YXE|JNG,|JNG|CAN|YVR|YXE|
YXE|KHN,|KHN|DLC|ICN|YVR|YXE|
YXE|KIX,|KIX|SFO|YYC|YXE|
YXE|KOW,|KOW|PEK|YVR|YXE|
YXE|KTM,|KTM|CAN|YVR|YXE|
YXE|KUL,|KUL|PVG|YVR|YXE|
YXE|KWE,|KWE|PEK|YVR|YXE|
YXE|KWL,|KWL|PEK|YVR|YXE|
YXE|LHW,|LHW|CGO|PEK|YVR|YXE|
YXE|LYA,|LYA|KHN|DLC|ICN|YVR|YXE|
YXE|LYG,|LYG|HSN|PEK|YVR|YXE|
YXE|LZH,|LZH|CAN|YVR|YXE|
YXE|MEL,|MEL|SYD|YVR|YXE|
YXE|MIG,|MIG|CSX|ICN|YVR|YXE|
YXE|MLE,|MLE|IST|LHR|YEG|YXE|
YXE|MNL,|MNL|XMN|PEK|YVR|YXE|
YXE|MXZ,|MXZ|CAN|YVR|YXE|
YXE|NAO,|NAO|PEK|YVR|YXE|
YXE|NGB,|NGB|DLC|ICN|YVR|YXE|
YXE|NKG,|NKG|DLC|ICN|YVR|YXE|
YXE|NNY,|NNY|CGO|PEK|YVR|YXE|
YXE|PEN,|PEN|CAN|YVR|YXE|
YXE|PER,|PER|CAN|YVR|YXE|
YXE|PNH,|PNH|CAN|YVR|YXE|
YXE|REP,|REP|ICN|YVR|YXE|
YXE|RGN,|RGN|CAN|YVR|YXE|
YXE|SGN,|SGN|HKG|YVR|YXE|
YXE|SHA,|SHA|PEK|YVR|YXE|
YXE|SIN,|SIN|NRT|YYC|YXE|
YXE|SVO,|SVO|URC|PEK|YVR|YXE|
YXE|SYX,|SYX|CAN|YVR|YXE|
YXE|TAO,|TAO|DLC|ICN|YVR|YXE|
YXE|TEN,|TEN|PEK|YVR|YXE|
YXE|TNA,|TNA|DLC|ICN|YVR|YXE|
YXE|TPE,|TPE|PVG|YVR|YXE|
YXE|TSN,|TSN|DLC|ICN|YVR|YXE|
YXE|TXN,|TXN|DLC|ICN|YVR|YXE|
YXE|TYN,|TYN|DLC|ICN|YVR|YXE|
YXE|WNZ,|WNZ|CGO|PEK|YVR|YXE|
YXE|WUX,|WUX|CAN|YVR|YXE|
YXE|XFN,|XFN|CAN|YVR|YXE|
YXE|XIY,|XIY|PEK|YVR|YXE|
YXE|XUZ,|XUZ|LYG|HSN|PEK|YVR|YXE|
YXE|YIH,|YIH|CKG|PEK|YVR|YXE|
YXE|YIW,|YIW|PEK|YVR|YXE|
YXE|YNT,|YNT|SHE|ICN|YVR|YXE|
YXE|YNZ,|YNZ|DLC|ICN|YVR|YXE|
YXE|YTY,|YTY|DLC|ICN|YVR|YXE|
YXE|ZHA,|ZHA|CAN|YVR|YXE|
YXE|ZYI,|ZYI|PEK|YVR|YXE|
YXE|BAV,|BAV|SJW|DLC|ICN|YVR|YXE|
YXE|CJU,|CJU|DLC|ICN|YVR|YXE|
YXE|DSN,|DSN|CGO|PEK|YVR|YXE|
YXE|HMI,|HMI|CGO|PEK|YVR|YXE|
YXE|INC,|INC|PEK|YVR|YXE|
YXE|KHH,|KHH|CGO|PEK|YVR|YXE|
YXE|UYN,|UYN|CGO|PEK|YVR|YXE|
YXE|XNN,|XNN|PEK|YVR|YXE|
YXE|ZUH,|ZUH|PVG|YVR|YXE|
YXE|YNJ,|YNJ|ICN|YVR|YXE|
YXE|DAT,|DAT|CIH|PEK|YVR|YXE|
YXE|JHG,|JHG|CKG|PEK|YVR|YXE|
YXE|LJG,|LJG|CKG|PEK|YVR|YXE|
YXE|LXA,|LXA|XIY|PEK|YVR|YXE|
YXE|YCU,|YCU|CSX|ICN|YVR|YXE|
YXE|LZO,|LZO|CSX|ICN|YVR|YXE|
YXE|MDG,|MDG|ICN|YVR|YXE|
YXE|NGO,|NGO|ICN|YVR|YXE|
YXE|TOY,|TOY|DLC|ICN|YVR|YXE|
YXE|MFM,|MFM|XMN|PEK|YVR|YXE|
YXE|TGO,|TGO|HET|DLC|ICN|YVR|YXE|
YXE|XIL,|XIL|HET|DLC|ICN|YVR|YXE|
