CAI|OGG,|OGG|YVR|MUC|IST|CAI|
CAI|PDX,|PDX|SEA|FRA|IST|CAI|
CAI|PEK,|PEK|IST|CAI|
CAI|PVG,|PVG|IST|CAI|
CAI|PVR,|PVR|IAH|IAD|JFK|CAI|
CAI|SEA,|SEA|FRA|IST|CAI|
CAI|SYD,|SYD|BKK|IST|CAI|
CAI|YBL,|YBL|YVR|MUC|IST|CAI|
CAI|YCD,|YCD|YVR|MUC|IST|CAI|
CAI|YCG,|YCG|YYC|FRA|IST|CAI|
CAI|YKA,|YKA|YYC|FRA|IST|CAI|
CAI|YPR,|YPR|YVR|MUC|IST|CAI|
CAI|YQZ,|YQZ|YVR|MUC|IST|CAI|
CAI|YXC,|YXC|YYC|FRA|IST|CAI|
CAI|YXJ,|YXJ|YYC|FRA|IST|CAI|
CAI|YXS,|YXS|YYC|FRA|IST|CAI|
CAI|YXT,|YXT|YVR|MUC|IST|CAI|
CAI|YXY,|YXY|YVR|MUC|IST|CAI|
CAI|YYD,|YYD|YVR|MUC|IST|CAI|
CAI|YYF,|YYF|YVR|MUC|IST|CAI|
CAI|YZP,|YZP|YVR|MUC|IST|CAI|
CAI|YQT,|YQT|YYZ|IST|CAI|
CAI|SJD,|SJD|IAH|IAD|JFK|CAI|
CAI|YQF,|YQF|YYC|FRA|IST|CAI|
CAI|YQL,|YQL|YYC|FRA|IST|CAI|
CAI|YXH,|YXH|YYC|FRA|IST|CAI|
CAI|YWK,|YWK|YYR|YYT|LHR|IST|CAI|
CAI|ANU,|ANU|EWR|BHX|IST|CAI|
CAI|AUA,|AUA|IAD|JFK|CAI|
CAI|AUH,|AUH|IST|CAI|
CAI|BCN,|BCN|IST|CAI|
CAI|BDA,|BDA|EWR|BHX|IST|CAI|
CAI|BGI,|BGI|YYZ|IST|CAI|
CAI|BNA,|BNA|IAD|JFK|CAI|
CAI|BOG,|BOG|JFK|CAI|
CAI|BWI,|BWI|EWR|BHX|IST|CAI|
CAI|CLE,|CLE|YYZ|IST|CAI|
CAI|CLT,|CLT|IAD|JFK|CAI|
CAI|CMH,|CMH|IAD|JFK|CAI|
CAI|CVG,|CVG|IAD|JFK|CAI|
CAI|DFW,|DFW|IAD|JFK|CAI|
CAI|DTW,|DTW|FRA|IST|CAI|
CAI|DUB,|DUB|IST|CAI|
CAI|FCO,|FCO|IST|CAI|
CAI|GCM,|GCM|IAD|JFK|CAI|
CAI|GGT,|GGT|FLL|IAD|JFK|CAI|
CAI|GND,|GND|YYZ|IST|CAI|
CAI|GRU,|GRU|IST|CAI|
CAI|HAV,|HAV|YYZ|IST|CAI|
CAI|IND,|IND|YYZ|IST|CAI|
CAI|JFK,|JFK|CAI|
CAI|KIN,|KIN|YYZ|IST|CAI|
CAI|LIM,|LIM|MIA|ZRH|IST|CAI|
CAI|LIR,|LIR|EWR|BHX|IST|CAI|
CAI|MCI,|MCI|ORD|IST|CAI|
CAI|MDT,|MDT|IAD|JFK|CAI|
CAI|MIA,|MIA|ZRH|IST|CAI|
CAI|MKE,|MKE|YYZ|IST|CAI|
CAI|MSP,|MSP|YUL|FRA|IST|CAI|
CAI|NAS,|NAS|EWR|BHX|IST|CAI|
CAI|PHL,|PHL|IAD|JFK|CAI|
CAI|PHX,|PHX|DEN|FRA|IST|CAI|
CAI|PIT,|PIT|IAD|JFK|CAI|
CAI|PLS,|PLS|EWR|BHX|IST|CAI|
CAI|POP,|POP|EWR|BHX|IST|CAI|
CAI|RDU,|RDU|IAD|JFK|CAI|
CAI|ROC,|ROC|YYZ|IST|CAI|
CAI|RSW,|RSW|MCO|IAD|JFK|CAI|
CAI|SAN,|SAN|LAX|IST|CAI|
CAI|SJO,|SJO|IAD|JFK|CAI|
CAI|STL,|STL|ORD|IST|CAI|
CAI|SYR,|SYR|EWR|BHX|IST|CAI|
CAI|TLV,|TLV|IST|CAI|
CAI|TPA,|TPA|IAD|JFK|CAI|
CAI|UVF,|UVF|EWR|BHX|IST|CAI|
CAI|VIE,|VIE|IST|CAI|
CAI|YAM,|YAM|YYZ|IST|CAI|
CAI|YGK,|YGK|YYZ|IST|CAI|
CAI|YQG,|YQG|YYZ|IST|CAI|
CAI|YSB,|YSB|YYZ|IST|CAI|
CAI|YTS,|YTS|YYZ|IST|CAI|
CAI|YYB,|YYB|YYZ|IST|CAI|
CAI|YZR,|YZR|YYZ|IST|CAI|
CAI|CAN,|CAN|IST|CAI|
CAI|URC,|URC|IST|CAI|
CAI|CTU,|CTU|URC|IST|CAI|
CAI|HGH,|HGH|URC|IST|CAI|
CAI|XMN,|XMN|CSX|URC|IST|CAI|
CAI|CGO,|CGO|URC|IST|CAI|
CAI|CSX,|CSX|URC|IST|CAI|
CAI|SHE,|SHE|PEK|IST|CAI|
CAI|SJW,|SJW|URC|IST|CAI|
CAI|WUH,|WUH|URC|IST|CAI|
CAI|SZX,|SZX|CKG|URC|IST|CAI|
CAI|CKG,|CKG|URC|IST|CAI|
CAI|KMG,|KMG|CTU|URC|IST|CAI|
CAI|FOC,|FOC|XIY|URC|IST|CAI|
CAI|NNG,|NNG|KWE|URC|IST|CAI|
CAI|SWA,|SWA|CAN|IST|CAI|
