MAD|YYY,|YYY|YUL|EWR|MAD|
MAD|YQQ,|YQQ|YYC|EWR|MAD|
MAD|YYR,|YYR|YHZ|EWR|MAD|
MAD|LHR,|LHR|IST|MAD|
MAD|SFO,|SFO|EWR|MAD|
MAD|YQU,|YQU|YEG|EWR|MAD|
MAD|YZF,|YZF|YEG|EWR|MAD|
MAD|YGR,|YGR|YGP|YQB|EWR|MAD|
MAD|YGP,|YGP|YQB|EWR|MAD|
MAD|BOS,|BOS|EWR|MAD|
MAD|YDF,|YDF|YHZ|EWR|MAD|
MAD|YFC,|YFC|YUL|EWR|MAD|
MAD|YQM,|YQM|EWR|MAD|
MAD|YQX,|YQX|YHZ|EWR|MAD|
MAD|YQY,|YQY|YHZ|EWR|MAD|
MAD|YSJ,|YSJ|YUL|EWR|MAD|
MAD|YYG,|YYG|YHZ|EWR|MAD|
MAD|LAX,|LAX|EWR|MAD|
MAD|DCA,|DCA|EWR|MAD|
MAD|LGA,|LGA|IAD|EWR|MAD|
MAD|YZV,|YZV|YQB|EWR|MAD|
MAD|YWL,|YWL|YVR|EWR|MAD|
MAD|AZS,|AZS|YYZ|EWR|MAD|
MAD|BDL,|BDL|BWI|EWR|MAD|
MAD|CCC,|CCC|YYZ|EWR|MAD|
MAD|CDG,|CDG|IST|MAD|
MAD|CUN,|CUN|EWR|MAD|
MAD|CZM,|CZM|YUL|EWR|MAD|
MAD|FDF,|FDF|YUL|EWR|MAD|
MAD|FLL,|FLL|EWR|MAD|
MAD|GVA,|GVA|IST|MAD|
MAD|HOG,|HOG|YYZ|EWR|MAD|
MAD|LAS,|LAS|EWR|MAD|
MAD|MBJ,|MBJ|EWR|MAD|
MAD|MCO,|MCO|EWR|MAD|
MAD|MUC,|MUC|IST|MAD|
MAD|PAP,|PAP|YUL|EWR|MAD|
MAD|PTP,|PTP|YUL|EWR|MAD|
MAD|PUJ,|PUJ|EWR|MAD|
MAD|SNU,|SNU|YYZ|EWR|MAD|
MAD|VRA,|VRA|YYZ|EWR|MAD|
MAD|YBC,|YBC|YUL|EWR|MAD|
MAD|YBG,|YBG|YUL|EWR|MAD|
MAD|YTZ,|YTZ|YUL|EWR|MAD|
MAD|YUY,|YUY|YUL|EWR|MAD|
MAD|YVO,|YVO|YUL|EWR|MAD|
MAD|ZBF,|ZBF|YUL|EWR|MAD|
MAD|ZRH,|ZRH|IST|MAD|
MAD|ZSA,|ZSA|YUL|EWR|MAD|
MAD|AKL,|AKL|BKK|IST|MAD|
MAD|HKG,|HKG|IST|MAD|
MAD|HND,|HND|YVR|EWR|MAD|
MAD|HNL,|HNL|EWR|MAD|
MAD|MEX,|MEX|EWR|MAD|
MAD|OGG,|OGG|ORD|EWR|MAD|
MAD|PDX,|PDX|EWR|MAD|
MAD|PEK,|PEK|IST|MAD|
MAD|PVG,|PVG|IST|MAD|
MAD|PVR,|PVR|EWR|MAD|
MAD|SEA,|SEA|EWR|MAD|
MAD|SYD,|SYD|BKK|IST|MAD|
MAD|YBL,|YBL|YVR|EWR|MAD|
MAD|YCD,|YCD|YVR|EWR|MAD|
MAD|YCG,|YCG|YYC|EWR|MAD|
MAD|YKA,|YKA|YYC|EWR|MAD|
MAD|YPR,|YPR|YVR|EWR|MAD|
MAD|YQZ,|YQZ|YVR|EWR|MAD|
MAD|YXC,|YXC|YYC|EWR|MAD|
MAD|YXJ,|YXJ|YYC|EWR|MAD|
MAD|YXS,|YXS|YYC|EWR|MAD|
MAD|YXT,|YXT|YVR|EWR|MAD|
MAD|YXY,|YXY|YVR|EWR|MAD|
MAD|YYD,|YYD|YVR|EWR|MAD|
MAD|YYF,|YYF|YVR|EWR|MAD|
MAD|YZP,|YZP|YVR|EWR|MAD|
MAD|YQT,|YQT|YYZ|EWR|MAD|
MAD|SJD,|SJD|EWR|MAD|
MAD|YQF,|YQF|YYC|EWR|MAD|
MAD|YQL,|YQL|YYC|EWR|MAD|
MAD|YXH,|YXH|YYC|EWR|MAD|
MAD|YWK,|YWK|YZV|YQB|EWR|MAD|
MAD|ANU,|ANU|EWR|MAD|
MAD|AUA,|AUA|EWR|MAD|
MAD|AUH,|AUH|IST|MAD|
MAD|BCN,|BCN|IST|MAD|
MAD|BDA,|BDA|EWR|MAD|
MAD|BGI,|BGI|YYZ|EWR|MAD|
MAD|BNA,|BNA|EWR|MAD|
MAD|BOG,|BOG|EWR|MAD|
MAD|BWI,|BWI|EWR|MAD|
MAD|CLE,|CLE|EWR|MAD|
MAD|CLT,|CLT|EWR|MAD|
MAD|CMH,|CMH|EWR|MAD|
MAD|CVG,|CVG|EWR|MAD|
MAD|DFW,|DFW|EWR|MAD|
MAD|DTW,|DTW|EWR|MAD|
MAD|DUB,|DUB|IST|MAD|
MAD|FCO,|FCO|IST|MAD|
MAD|GCM,|GCM|EWR|MAD|
MAD|GGT,|GGT|FLL|EWR|MAD|
MAD|GND,|GND|YYZ|EWR|MAD|
MAD|GRU,|GRU|IST|MAD|
MAD|HAV,|HAV|YYZ|EWR|MAD|
MAD|IND,|IND|EWR|MAD|
MAD|JFK,|JFK|IAD|EWR|MAD|
MAD|KIN,|KIN|YYZ|EWR|MAD|
MAD|LIM,|LIM|EWR|MAD|
MAD|LIR,|LIR|EWR|MAD|
MAD|MCI,|MCI|EWR|MAD|
MAD|MDT,|MDT|IAD|EWR|MAD|
MAD|MIA,|MIA|EWR|MAD|
MAD|MKE,|MKE|EWR|MAD|
MAD|MSP,|MSP|EWR|MAD|
MAD|NAS,|NAS|EWR|MAD|
MAD|PHL,|PHL|IAD|EWR|MAD|
MAD|PHX,|PHX|EWR|MAD|
MAD|PIT,|PIT|EWR|MAD|
MAD|PLS,|PLS|EWR|MAD|
MAD|POP,|POP|EWR|MAD|
MAD|RDU,|RDU|EWR|MAD|
MAD|ROC,|ROC|EWR|MAD|
MAD|RSW,|RSW|EWR|MAD|
MAD|SAN,|SAN|EWR|MAD|
MAD|SJO,|SJO|EWR|MAD|
MAD|STL,|STL|EWR|MAD|
