ROA|YXY,|YXY|YVR|ORD|ROA|
ROA|YYD,|YYD|YVR|ORD|ROA|
ROA|YYF,|YYF|YVR|ORD|ROA|
ROA|YZP,|YZP|YVR|ORD|ROA|
ROA|YQT,|YQT|YYZ|IAD|ROA|
ROA|SJD,|SJD|ORD|ROA|
ROA|YQF,|YQF|YYC|ORD|ROA|
ROA|YQL,|YQL|YYC|ORD|ROA|
ROA|YXH,|YXH|YYC|ORD|ROA|
ROA|YWK,|YWK|YZV|YUL|IAD|ROA|
ROA|ANU,|ANU|EWR|IAD|ROA|
ROA|AUA,|AUA|IAD|ROA|
ROA|AUH,|AUH|FRA|IAD|ROA|
ROA|BCN,|BCN|EWR|IAD|ROA|
ROA|BDA,|BDA|EWR|IAD|ROA|
ROA|BGI,|BGI|YYZ|IAD|ROA|
ROA|BNA,|BNA|IAD|ROA|
ROA|BOG,|BOG|IAD|ROA|
ROA|BWI,|BWI|ORF|IAD|ROA|
ROA|CLE,|CLE|IAD|ROA|
ROA|CLT,|CLT|IAD|ROA|
ROA|CMH,|CMH|IAD|ROA|
ROA|CVG,|CVG|IAD|ROA|
ROA|DFW,|DFW|ORD|ROA|
ROA|DTW,|DTW|IAD|ROA|
ROA|DUB,|DUB|IAD|ROA|
ROA|FCO,|FCO|IAD|ROA|
ROA|GCM,|GCM|IAD|ROA|
ROA|GGT,|GGT|FLL|IAD|ROA|
ROA|GND,|GND|YYZ|IAD|ROA|
ROA|GRU,|GRU|IAD|ROA|
ROA|HAV,|HAV|YYZ|IAD|ROA|
ROA|IND,|IND|IAD|ROA|
ROA|JFK,|JFK|IAD|ROA|
ROA|KIN,|KIN|YYZ|IAD|ROA|
ROA|LIM,|LIM|MIA|IAD|ROA|
ROA|LIR,|LIR|EWR|IAD|ROA|
ROA|MCI,|MCI|ORD|ROA|
ROA|MDT,|MDT|IAD|ROA|
ROA|MIA,|MIA|IAD|ROA|
ROA|MKE,|MKE|ORD|ROA|
ROA|MSP,|MSP|ORD|ROA|
ROA|NAS,|NAS|ATL|IAD|ROA|
ROA|PHL,|PHL|IAD|ROA|
ROA|PHX,|PHX|ORD|ROA|
ROA|PIT,|PIT|IAD|ROA|
ROA|PLS,|PLS|EWR|IAD|ROA|
ROA|POP,|POP|EWR|IAD|ROA|
ROA|RDU,|RDU|IAD|ROA|
ROA|ROC,|ROC|IAD|ROA|
ROA|RSW,|RSW|MCO|IAD|ROA|
ROA|SAN,|SAN|ORD|ROA|
ROA|SJO,|SJO|IAD|ROA|
ROA|STL,|STL|ORD|ROA|
ROA|SYR,|SYR|IAD|ROA|
ROA|TLV,|TLV|EWR|IAD|ROA|
ROA|TPA,|TPA|IAD|ROA|
ROA|UVF,|UVF|EWR|IAD|ROA|
ROA|VIE,|VIE|IAD|ROA|
ROA|YAM,|YAM|YYZ|IAD|ROA|
ROA|YGK,|YGK|YYZ|IAD|ROA|
ROA|YQG,|YQG|YYZ|IAD|ROA|
ROA|YSB,|YSB|YYZ|IAD|ROA|
ROA|YTS,|YTS|YYZ|IAD|ROA|
ROA|YYB,|YYB|YYZ|IAD|ROA|
ROA|YZR,|YZR|YYZ|IAD|ROA|
ROA|CAN,|CAN|PEK|IAD|ROA|
ROA|URC,|URC|TSE|FRA|IAD|ROA|
ROA|CTU,|CTU|PEK|IAD|ROA|
ROA|HGH,|HGH|PEK|IAD|ROA|
ROA|XMN,|XMN|PEK|IAD|ROA|
ROA|CGO,|CGO|PEK|IAD|ROA|
ROA|CSX,|CSX|PEK|IAD|ROA|
ROA|SHE,|SHE|PEK|IAD|ROA|
ROA|SJW,|SJW|DLC|PEK|IAD|ROA|
ROA|WUH,|WUH|PEK|IAD|ROA|
ROA|SZX,|SZX|PEK|IAD|ROA|
ROA|CKG,|CKG|PEK|IAD|ROA|
ROA|KMG,|KMG|PEK|IAD|ROA|
ROA|FOC,|FOC|PEK|IAD|ROA|
ROA|NNG,|NNG|PEK|IAD|ROA|
ROA|SWA,|SWA|PEK|IAD|ROA|
ROA|ACX,|ACX|CAN|PEK|IAD|ROA|
ROA|AQG,|AQG|CAN|PEK|IAD|ROA|
ROA|AVA,|AVA|CAN|PEK|IAD|ROA|
ROA|BFJ,|BFJ|CAN|PEK|IAD|ROA|
ROA|BHY,|BHY|CGO|PEK|IAD|ROA|
ROA|BNE,|BNE|CAN|PEK|IAD|ROA|
ROA|CGD,|CGD|PEK|IAD|ROA|
ROA|CGK,|CGK|CAN|PEK|IAD|ROA|
ROA|CGQ,|CGQ|PEK|IAD|ROA|
ROA|CIH,|CIH|PEK|IAD|ROA|
ROA|CNX,|CNX|CAN|PEK|IAD|ROA|
ROA|CZX,|CZX|SHE|PEK|IAD|ROA|
ROA|DAC,|DAC|IST|IAD|ROA|
ROA|DAD,|DAD|CAN|PEK|IAD|ROA|
ROA|DEL,|DEL|EWR|IAD|ROA|
ROA|DIG,|DIG|KMG|PEK|IAD|ROA|
ROA|DLC,|DLC|PEK|IAD|ROA|
ROA|DPS,|DPS|SZX|PEK|IAD|ROA|
ROA|DXB,|DXB|IAD|ROA|
ROA|DYG,|DYG|PEK|IAD|ROA|
ROA|FUG,|FUG|CAN|PEK|IAD|ROA|
ROA|FUK,|FUK|ICN|JFK|IAD|ROA|
ROA|HAK,|HAK|PEK|IAD|ROA|
ROA|HAN,|HAN|PEK|IAD|ROA|
ROA|HDG,|HDG|CAN|PEK|IAD|ROA|
ROA|HET,|HET|DLC|PEK|IAD|ROA|
ROA|HFE,|HFE|XIY|PEK|IAD|ROA|
ROA|HJJ,|HJJ|CSX|PEK|IAD|ROA|
ROA|HKT,|HKT|KWE|PEK|IAD|ROA|
ROA|HRB,|HRB|PEK|IAD|ROA|
ROA|HZH,|HZH|CAN|PEK|IAD|ROA|
ROA|JIU,|JIU|CAN|PEK|IAD|ROA|
ROA|JJN,|JJN|PEK|IAD|ROA|
ROA|JNG,|JNG|CAN|PEK|IAD|ROA|
ROA|KHN,|KHN|DLC|PEK|IAD|ROA|
ROA|KIX,|KIX|SFO|ORD|ROA|
ROA|KOW,|KOW|PEK|IAD|ROA|
