FCA|YXJ,|YXJ|YYC|DEN|FCA|
FCA|YXS,|YXS|YYC|DEN|FCA|
FCA|YXT,|YXT|YVR|DEN|FCA|
FCA|YXY,|YXY|YVR|DEN|FCA|
FCA|YYD,|YYD|YVR|DEN|FCA|
FCA|YYF,|YYF|YVR|DEN|FCA|
FCA|YZP,|YZP|YVR|DEN|FCA|
FCA|YQT,|YQT|YWG|DEN|FCA|
FCA|SJD,|SJD|DEN|FCA|
FCA|YQF,|YQF|YYC|DEN|FCA|
FCA|YQL,|YQL|YYC|DEN|FCA|
FCA|YXH,|YXH|YYC|DEN|FCA|
FCA|YWK,|YWK|YZV|YUL|DEN|FCA|
FCA|ANU,|ANU|EWR|DEN|FCA|
FCA|AUA,|AUA|ATL|DEN|FCA|
FCA|AUH,|AUH|FRA|DEN|FCA|
FCA|BCN,|BCN|YYZ|DEN|FCA|
FCA|BDA,|BDA|EWR|DEN|FCA|
FCA|BGI,|BGI|YYZ|DEN|FCA|
FCA|BNA,|BNA|DEN|FCA|
FCA|BOG,|BOG|IAH|DEN|FCA|
FCA|BWI,|BWI|DEN|FCA|
FCA|CLE,|CLE|DEN|FCA|
FCA|CLT,|CLT|MDW|DEN|FCA|
FCA|CMH,|CMH|DEN|FCA|
FCA|CVG,|CVG|DEN|FCA|
FCA|DFW,|DFW|DEN|FCA|
FCA|DTW,|DTW|DEN|FCA|
FCA|DUB,|DUB|ORD|DEN|FCA|
FCA|FCO,|FCO|YYZ|DEN|FCA|
FCA|GCM,|GCM|IAH|DEN|FCA|
FCA|GGT,|GGT|FLL|DEN|FCA|
FCA|GND,|GND|YYZ|DEN|FCA|
FCA|GRU,|GRU|IAH|DEN|FCA|
FCA|HAV,|HAV|YYZ|DEN|FCA|
FCA|IND,|IND|DEN|FCA|
FCA|JFK,|JFK|IAD|DEN|FCA|
FCA|KIN,|KIN|YYZ|DEN|FCA|
FCA|LIM,|LIM|IAH|DEN|FCA|
FCA|LIR,|LIR|IAH|DEN|FCA|
FCA|MCI,|MCI|DEN|FCA|
FCA|MDT,|MDT|ORD|DEN|FCA|
FCA|MIA,|MIA|DEN|FCA|
FCA|MKE,|MKE|DEN|FCA|
FCA|MSP,|MSP|DEN|FCA|
FCA|NAS,|NAS|ATL|DEN|FCA|
FCA|PHL,|PHL|DEN|FCA|
FCA|PHX,|PHX|DEN|FCA|
FCA|PIT,|PIT|DEN|FCA|
FCA|PLS,|PLS|YYZ|DEN|FCA|
FCA|POP,|POP|YYZ|DEN|FCA|
FCA|RDU,|RDU|DEN|FCA|
FCA|ROC,|ROC|ORD|DEN|FCA|
FCA|RSW,|RSW|DEN|FCA|
FCA|SAN,|SAN|DEN|FCA|
FCA|SJO,|SJO|IAH|DEN|FCA|
FCA|STL,|STL|DEN|FCA|
FCA|SYR,|SYR|ORD|DEN|FCA|
FCA|TLV,|TLV|IST|FRA|DEN|FCA|
FCA|TPA,|TPA|DEN|FCA|
FCA|UVF,|UVF|EWR|DEN|FCA|
FCA|VIE,|VIE|ORD|DEN|FCA|
FCA|YAM,|YAM|YYZ|DEN|FCA|
FCA|YGK,|YGK|YYZ|DEN|FCA|
FCA|YQG,|YQG|YYZ|DEN|FCA|
FCA|YSB,|YSB|YYZ|DEN|FCA|
FCA|YTS,|YTS|YYZ|DEN|FCA|
FCA|YYB,|YYB|YYZ|DEN|FCA|
FCA|YZR,|YZR|YYZ|DEN|FCA|
FCA|CAN,|CAN|YVR|DEN|FCA|
FCA|URC,|URC|PEK|YVR|DEN|FCA|
FCA|CTU,|CTU|PEK|YVR|DEN|FCA|
FCA|HGH,|HGH|DLC|ICN|YVR|DEN|FCA|
FCA|XMN,|XMN|PEK|YVR|DEN|FCA|
FCA|CGO,|CGO|PEK|YVR|DEN|FCA|
FCA|CSX,|CSX|ICN|YVR|DEN|FCA|
FCA|SHE,|SHE|ICN|YVR|DEN|FCA|
FCA|SJW,|SJW|DLC|ICN|YVR|DEN|FCA|
FCA|WUH,|WUH|ICN|YVR|DEN|FCA|
